"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","idps","oip","stateless","hst","ooc"
1,"S2eI04",1,1,2011,44,"Colombia","COL","COL",224,"Aruba","ABW","ABW","0",5,"0","-","0","0","0"
1,"S2eI04",1,2,2012,44,"Colombia","COL","COL",224,"Aruba","ABW","ABW","0",5,"0","-","0","0","0"
1,"S2eI04",1,3,2013,44,"Colombia","COL","COL",224,"Aruba","ABW","ABW","0",5,"0","-","0","0","0"
1,"S2eI04",1,4,2014,44,"Colombia","COL","COL",224,"Aruba","ABW","ABW","0",5,"0","-","0","0","0"
1,"S2eI04",1,5,2018,44,"Colombia","COL","COL",224,"Aruba","ABW","ABW","0",9,"0","-","0","0","0"
1,"S2eI04",1,6,2019,44,"Colombia","COL","COL",224,"Aruba","ABW","ABW","0",8,"0","-","0","0","0"
1,"S2eI04",1,7,2020,44,"Colombia","COL","COL",224,"Aruba","ABW","ABW","0","0","0","-","0","0",13
1,"S2eI04",1,8,2024,44,"Colombia","COL","COL",224,"Aruba","ABW","ABW","0","0","0","-","0","0",522
1,"S2eI04",1,9,2025,44,"Colombia","COL","COL",224,"Aruba","ABW","ABW","0","0","0","-","0","0",19
1,"S2eI04",1,10,2016,207,"Venezuela (Bolivarian Republic of)","VEN","VEN",224,"Aruba","ABW","ABW","0",5,"0","-","0","0","0"
1,"S2eI04",1,11,2017,207,"Venezuela (Bolivarian Republic of)","VEN","VEN",224,"Aruba","ABW","ABW","0",147,"0","-","0","0","0"
1,"S2eI04",1,12,2018,207,"Venezuela (Bolivarian Republic of)","VEN","VEN",224,"Aruba","ABW","ABW","0",398,"0",15602,"0","0","0"
1,"S2eI04",1,13,2019,207,"Venezuela (Bolivarian Republic of)","VEN","VEN",224,"Aruba","ABW","ABW","0",398,"0",16602,"0","0","0"
1,"S2eI04",1,14,2020,207,"Venezuela (Bolivarian Republic of)","VEN","VEN",224,"Aruba","ABW","ABW","0","0","0",17000,"0","0","0"
1,"S2eI04",1,15,2021,207,"Venezuela (Bolivarian Republic of)","VEN","VEN",224,"Aruba","ABW","ABW","0","0","0",17000,"0","0","0"
1,"S2eI04",1,16,2022,207,"Venezuela (Bolivarian Republic of)","VEN","VEN",224,"Aruba","ABW","ABW","0","0","0",17000,"0","0","0"
1,"S2eI04",1,17,2023,207,"Venezuela (Bolivarian Republic of)","VEN","VEN",224,"Aruba","ABW","ABW","0","0","0",17085,"0","0","0"
1,"S2eI04",1,18,2024,207,"Venezuela (Bolivarian Republic of)","VEN","VEN",224,"Aruba","ABW","ABW","0","0","0",11470,"0","0","0"
1,"S2eI04",1,19,2025,207,"Venezuela (Bolivarian Republic of)","VEN","VEN",224,"Aruba","ABW","ABW","0","0","0",11470,"0","0","0"
1,"S2eI04",1,20,2021,224,"Aruba","ABW","ABW",224,"Aruba","ABW","ABW","0","0","0","-","0",6000,"0"
1,"S2eI04",1,21,2022,224,"Aruba","ABW","ABW",224,"Aruba","ABW","ABW","0","0","0","-","0",1700,"0"
