"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"gK39zo",1,1,1993,6,"Angola","ANG","AGO",6,"Angola","ANG","AGO","0","0","0",88000,"0","0","0","-","0"
1,"gK39zo",1,2,1994,6,"Angola","ANG","AGO",6,"Angola","ANG","AGO","0","0","0",303800,"0","0","0","-","0"
1,"gK39zo",1,3,2000,6,"Angola","ANG","AGO",6,"Angola","ANG","AGO","0","0","0",257508,"0","0","0","-","0"
1,"gK39zo",1,4,2001,6,"Angola","ANG","AGO",6,"Angola","ANG","AGO","0","0","0",202000,"0","0","0","-","0"
1,"gK39zo",1,5,2002,6,"Angola","ANG","AGO",6,"Angola","ANG","AGO","0","0","0",188728,13272,"0","0","-","0"
1,"gK39zo",1,6,2009,6,"Angola","ANG","AGO",6,"Angola","ANG","AGO","0","0","0","0","0","0",14479,"-","0"
1,"gK39zo",1,7,2019,6,"Angola","ANG","AGO",6,"Angola","ANG","AGO","0","0","0","0","0","0",5,"-","0"
1,"gK39zo",1,8,2020,6,"Angola","ANG","AGO",6,"Angola","ANG","AGO","0","0","0","0","0","0",5,"-","0"
1,"gK39zo",1,9,2021,6,"Angola","ANG","AGO",6,"Angola","ANG","AGO","0","0","0","0","0","0",142,"-","0"
1,"gK39zo",1,10,2022,6,"Angola","ANG","AGO",6,"Angola","ANG","AGO","0","0","0","0","0","0",142,"-","0"
1,"gK39zo",1,11,2023,6,"Angola","ANG","AGO",6,"Angola","ANG","AGO","0","0","0","0","0","0",142,"-","0"
1,"gK39zo",1,12,2024,6,"Angola","ANG","AGO",6,"Angola","ANG","AGO","0","0","0","0","0","0",142,"-","0"
1,"gK39zo",1,13,2025,6,"Angola","ANG","AGO",6,"Angola","ANG","AGO","0","0","0","0","0","0",142,"-","0"
1,"gK39zo",1,14,1996,16,"Burundi","BDI","BDI",6,"Angola","ANG","AGO",5,"0","0","0","0","0","0","-","0"
1,"gK39zo",1,15,1997,16,"Burundi","BDI","BDI",6,"Angola","ANG","AGO",5,"0","0","0","0","0","0","-","0"
