"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","idps","oip","stateless","hst","ooc"
1,"47lELF",1,1,1993,2,"Afghanistan","AFG","AFG",8,"Egypt","ARE","EGY",30,"0","0","-","0","0","0"
1,"47lELF",1,2,1994,2,"Afghanistan","AFG","AFG",8,"Egypt","ARE","EGY",30,"0","0","-","0","0","0"
1,"47lELF",1,3,1995,2,"Afghanistan","AFG","AFG",8,"Egypt","ARE","EGY",23,"0","0","-","0","0","0"
1,"47lELF",1,4,1996,2,"Afghanistan","AFG","AFG",8,"Egypt","ARE","EGY",28,"0","0","-","0","0","0"
1,"47lELF",1,5,1997,2,"Afghanistan","AFG","AFG",8,"Egypt","ARE","EGY",45,"0","0","-","0","0","0"
1,"47lELF",1,6,1998,2,"Afghanistan","AFG","AFG",8,"Egypt","ARE","EGY",56,"0","0","-","0","0","0"
1,"47lELF",1,7,1999,2,"Afghanistan","AFG","AFG",8,"Egypt","ARE","EGY",72,"0","0","-","0","0","0"
1,"47lELF",1,8,2000,2,"Afghanistan","AFG","AFG",8,"Egypt","ARE","EGY",60,21,"0","-","0","0","0"
1,"47lELF",1,9,2001,2,"Afghanistan","AFG","AFG",8,"Egypt","ARE","EGY",66,21,"0","-","0","0","0"
1,"47lELF",1,10,2002,2,"Afghanistan","AFG","AFG",8,"Egypt","ARE","EGY",43,"0","0","-","0","0","0"
1,"47lELF",1,11,2003,2,"Afghanistan","AFG","AFG",8,"Egypt","ARE","EGY",35,"0","0","-","0","0","0"
1,"47lELF",1,12,2004,2,"Afghanistan","AFG","AFG",8,"Egypt","ARE","EGY",35,"0","0","-","0","0","0"
1,"47lELF",1,13,2005,2,"Afghanistan","AFG","AFG",8,"Egypt","ARE","EGY",31,"0","0","-","0","0","0"
1,"47lELF",1,14,2006,2,"Afghanistan","AFG","AFG",8,"Egypt","ARE","EGY",31,"0","0","-","0","0","0"
1,"47lELF",1,15,2007,2,"Afghanistan","AFG","AFG",8,"Egypt","ARE","EGY",28,"0","0","-","0","0","0"
1,"47lELF",1,16,2008,2,"Afghanistan","AFG","AFG",8,"Egypt","ARE","EGY",28,"0","0","-","0","0","0"
1,"47lELF",1,17,2011,2,"Afghanistan","AFG","AFG",8,"Egypt","ARE","EGY","0",5,"0","-","0","0","0"
1,"47lELF",1,18,2012,2,"Afghanistan","AFG","AFG",8,"Egypt","ARE","EGY","0",9,"0","-","0","0","0"
1,"47lELF",1,19,2013,2,"Afghanistan","AFG","AFG",8,"Egypt","ARE","EGY","0",29,"0","-","0","0","0"
1,"47lELF",1,20,2014,2,"Afghanistan","AFG","AFG",8,"Egypt","ARE","EGY","0",25,"0","-","0","0","0"
1,"47lELF",1,21,2015,2,"Afghanistan","AFG","AFG",8,"Egypt","ARE","EGY","0",33,"0","-","0","0","0"
1,"47lELF",1,22,2016,2,"Afghanistan","AFG","AFG",8,"Egypt","ARE","EGY",14,21,"0","-","0","0","0"
1,"47lELF",1,23,2017,2,"Afghanistan","AFG","AFG",8,"Egypt","ARE","EGY",17,22,"0","-","0","0","0"
1,"47lELF",1,24,2018,2,"Afghanistan","AFG","AFG",8,"Egypt","ARE","EGY",20,23,"0","-","0","0","0"
1,"47lELF",1,25,2019,2,"Afghanistan","AFG","AFG",8,"Egypt","ARE","EGY",28,36,"0","-","0","0","0"
1,"47lELF",1,26,2020,2,"Afghanistan","AFG","AFG",8,"Egypt","ARE","EGY",34,44,"0","-","0","0","0"
1,"47lELF",1,27,2021,2,"Afghanistan","AFG","AFG",8,"Egypt","ARE","EGY",43,49,"0","-","0","0","0"
1,"47lELF",1,28,2022,2,"Afghanistan","AFG","AFG",8,"Egypt","ARE","EGY",47,334,"0","-","0","0","0"
