"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"9L0WeH",1,1,2014,2,"Afghanistan","AFG","AFG",9,"Argentina","ARG","ARG",5,"0","0","0","0","0","0","-","-"
1,"9L0WeH",1,2,2015,2,"Afghanistan","AFG","AFG",9,"Argentina","ARG","ARG",5,"0","0","0","0","0","0","-","-"
1,"9L0WeH",1,3,2016,2,"Afghanistan","AFG","AFG",9,"Argentina","ARG","ARG",5,"0","0","0","0","0","0","-","-"
1,"9L0WeH",1,4,2017,2,"Afghanistan","AFG","AFG",9,"Argentina","ARG","ARG",5,9,"0","0","0","0","0","-","-"
1,"9L0WeH",1,5,2018,2,"Afghanistan","AFG","AFG",9,"Argentina","ARG","ARG",5,8,"0","0","0","0","0","-","-"
1,"9L0WeH",1,6,2019,2,"Afghanistan","AFG","AFG",9,"Argentina","ARG","ARG",12,"0","0","0","0","0","0","-","-"
1,"9L0WeH",1,7,2020,2,"Afghanistan","AFG","AFG",9,"Argentina","ARG","ARG",12,"0","0","0","0","0","0","-","-"
1,"9L0WeH",1,8,2021,2,"Afghanistan","AFG","AFG",9,"Argentina","ARG","ARG",12,"0","0","0","0","0","0","-","-"
1,"9L0WeH",1,9,2022,2,"Afghanistan","AFG","AFG",9,"Argentina","ARG","ARG",11,11,"0","0","0","0","0","-","0"
1,"9L0WeH",1,10,2023,2,"Afghanistan","AFG","AFG",9,"Argentina","ARG","ARG",19,7,"0","0","0","0","0","-","0"
1,"9L0WeH",1,11,1998,3,"Albania","ALB","ALB",9,"Argentina","ARG","ARG",15,"0","0","0","0","0","0","-","-"
1,"9L0WeH",1,12,1999,3,"Albania","ALB","ALB",9,"Argentina","ARG","ARG",15,"0","0","0","0","0","0","-","-"
1,"9L0WeH",1,13,2000,3,"Albania","ALB","ALB",9,"Argentina","ARG","ARG",17,11,"0","0","0","0","0","-","-"
1,"9L0WeH",1,14,2001,3,"Albania","ALB","ALB",9,"Argentina","ARG","ARG",13,14,"0","0","0","0","0","-","-"
1,"9L0WeH",1,15,2002,3,"Albania","ALB","ALB",9,"Argentina","ARG","ARG",10,14,5,"0","0","0","0","-","-"
1,"9L0WeH",1,16,2003,3,"Albania","ALB","ALB",9,"Argentina","ARG","ARG",10,7,"0","0","0","0","0","-","-"
1,"9L0WeH",1,17,2004,3,"Albania","ALB","ALB",9,"Argentina","ARG","ARG",13,"0","0","0","0","0","0","-","-"
1,"9L0WeH",1,18,2005,3,"Albania","ALB","ALB",9,"Argentina","ARG","ARG",17,"0","0","0","0","0","0","-","-"
1,"9L0WeH",1,19,2006,3,"Albania","ALB","ALB",9,"Argentina","ARG","ARG",14,"0","0","0","0","0","0","-","-"
1,"9L0WeH",1,20,2007,3,"Albania","ALB","ALB",9,"Argentina","ARG","ARG",13,6,"0","0","0","0","0","-","-"
1,"9L0WeH",1,21,2008,3,"Albania","ALB","ALB",9,"Argentina","ARG","ARG",24,"0","0","0","0","0","0","-","-"
1,"9L0WeH",1,22,2009,3,"Albania","ALB","ALB",9,"Argentina","ARG","ARG",25,"0","0","0","0","0","0","-","-"
1,"9L0WeH",1,23,2010,3,"Albania","ALB","ALB",9,"Argentina","ARG","ARG",27,"0","0","0","0","0","0","-","-"
1,"9L0WeH",1,24,2011,3,"Albania","ALB","ALB",9,"Argentina","ARG","ARG",28,"0","0","0","0","0","0","-","-"
1,"9L0WeH",1,25,2012,3,"Albania","ALB","ALB",9,"Argentina","ARG","ARG",28,"0","0","0","0","0","0","-","-"
1,"9L0WeH",1,26,2013,3,"Albania","ALB","ALB",9,"Argentina","ARG","ARG",25,"0","0","0","0","0","0","-","-"
1,"9L0WeH",1,27,2014,3,"Albania","ALB","ALB",9,"Argentina","ARG","ARG",25,"0","0","0","0","0","0","-","-"
1,"9L0WeH",1,28,2015,3,"Albania","ALB","ALB",9,"Argentina","ARG","ARG",20,"0","0","0","0","0","0","-","-"
1,"9L0WeH",1,29,2016,3,"Albania","ALB","ALB",9,"Argentina","ARG","ARG",18,"0","0","0","0","0","0","-","-"
1,"9L0WeH",1,30,2017,3,"Albania","ALB","ALB",9,"Argentina","ARG","ARG",18,"0","0","0","0","0","0","-","-"
1,"9L0WeH",1,31,2018,3,"Albania","ALB","ALB",9,"Argentina","ARG","ARG",18,"0","0","0","0","0","0","-","-"
1,"9L0WeH",1,32,2019,3,"Albania","ALB","ALB",9,"Argentina","ARG","ARG",18,"0","0","0","0","0","0","-","-"
1,"9L0WeH",1,33,2020,3,"Albania","ALB","ALB",9,"Argentina","ARG","ARG",18,"0","0","0","0","0","0","-","-"
1,"9L0WeH",1,34,2021,3,"Albania","ALB","ALB",9,"Argentina","ARG","ARG",18,"0","0","0","0","0","0","-","-"
1,"9L0WeH",1,35,2022,3,"Albania","ALB","ALB",9,"Argentina","ARG","ARG",18,"0","0","0","0","0","0","-","0"
1,"9L0WeH",1,36,2023,3,"Albania","ALB","ALB",9,"Argentina","ARG","ARG",18,"0","0","0","0","0","0","-","0"
1,"9L0WeH",1,37,1994,4,"Algeria","ALG","DZA",9,"Argentina","ARG","ARG",14,"0","0","0","0","0","0","-","-"
1,"9L0WeH",1,38,1998,4,"Algeria","ALG","DZA",9,"Argentina","ARG","ARG",40,"0","0","0","0","0","0","-","-"
1,"9L0WeH",1,39,1999,4,"Algeria","ALG","DZA",9,"Argentina","ARG","ARG",49,"0","0","0","0","0","0","-","-"
