"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"uQM9OV",1,1,1992,13,"Azerbaijan","AZE","AZE",10,"Armenia","ARM","ARM",300000,"0","0","0","0","0","0","-","0"
1,"uQM9OV",1,2,1993,10,"Armenia","ARM","ARM",10,"Armenia","ARM","ARM","0","0","0",77000,"0","0","0","-","0"
1,"uQM9OV",1,3,1993,13,"Azerbaijan","AZE","AZE",10,"Armenia","ARM","ARM",328000,"0","0","0","0","0","0","-","0"
1,"uQM9OV",1,4,1993,71,"Georgia","GEO","GEO",10,"Armenia","ARM","ARM",6000,"0","0","0","0","0","0","-","0"
1,"uQM9OV",1,5,1994,10,"Armenia","ARM","ARM",10,"Armenia","ARM","ARM","0","0","0",72000,"0","0","0","-","0"
1,"uQM9OV",1,6,1994,13,"Azerbaijan","AZE","AZE",10,"Armenia","ARM","ARM",299000,"0",29000,"0","0","0","0","-","0"
1,"uQM9OV",1,7,1994,71,"Georgia","GEO","GEO",10,"Armenia","ARM","ARM",5000,"0",1000,"0","0","0","0","-","0"
1,"uQM9OV",1,8,1994,91,"Iran (Islamic Rep. of)","IRN","IRN",10,"Armenia","ARM","ARM",5,"0","0","0","0","0","0","-","0"
1,"uQM9OV",1,9,1994,160,"Russian Federation","RUS","RUS",10,"Armenia","ARM","ARM",35,"0","0","0","0","0","0","-","0"
1,"uQM9OV",1,10,1995,10,"Armenia","ARM","ARM",10,"Armenia","ARM","ARM","0","0","0",72000,"0","0","0","-","0"
1,"uQM9OV",1,11,1995,13,"Azerbaijan","AZE","AZE",10,"Armenia","ARM","ARM",200000,"0",39000,"0","0","0","0","-","0"
1,"uQM9OV",1,12,1995,71,"Georgia","GEO","GEO",10,"Armenia","ARM","ARM","0","0",4500,"0","0","0","0","-","0"
1,"uQM9OV",1,13,1995,262,"Unknown ","UKN","UNK",10,"Armenia","ARM","ARM",18950,"0","0","0","0","0","0","-","0"
1,"uQM9OV",1,14,1996,10,"Armenia","ARM","ARM",10,"Armenia","ARM","ARM","0","0","0",72000,"0","0","0","-","0"
