"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"46eYUy",1,1,1996,2,"Afghanistan","AFG","AFG",11,"Australia","AUL","AUS",2199,"0","0","0","0","0","0","-","-"
1,"46eYUy",1,2,1997,2,"Afghanistan","AFG","AFG",11,"Australia","AUL","AUS",2237,"0","0","0","0","0","0","-","-"
1,"46eYUy",1,3,1998,2,"Afghanistan","AFG","AFG",11,"Australia","AUL","AUS",2428,"0","0","0","0","0","0","-","-"
1,"46eYUy",1,4,1999,2,"Afghanistan","AFG","AFG",11,"Australia","AUL","AUS",3115,"0","0","0","0","0","0","-","-"
1,"46eYUy",1,5,2000,2,"Afghanistan","AFG","AFG",11,"Australia","AUL","AUS",4358,376,"0","0","0","0","0","-","-"
1,"46eYUy",1,6,2001,2,"Afghanistan","AFG","AFG",11,"Australia","AUL","AUS",6262,452,"0","0","0","0","0","-","-"
1,"46eYUy",1,7,2002,2,"Afghanistan","AFG","AFG",11,"Australia","AUL","AUS",6943,128,"0","0","0","0","0","-","-"
1,"46eYUy",1,8,2003,2,"Afghanistan","AFG","AFG",11,"Australia","AUL","AUS",7240,379,"0","0","0","0","0","-","-"
1,"46eYUy",1,9,2004,2,"Afghanistan","AFG","AFG",11,"Australia","AUL","AUS",8037,289,"0","0","0","0","0","-","-"
1,"46eYUy",1,10,2005,2,"Afghanistan","AFG","AFG",11,"Australia","AUL","AUS",8082,30,5,"0","0","0","0","-","-"
1,"46eYUy",1,11,2006,2,"Afghanistan","AFG","AFG",11,"Australia","AUL","AUS",7908,15,"0","0","0","0","0","-","-"
1,"46eYUy",1,12,2007,2,"Afghanistan","AFG","AFG",11,"Australia","AUL","AUS",4990,12,5,"0","0","0","0","-","-"
1,"46eYUy",1,13,2008,2,"Afghanistan","AFG","AFG",11,"Australia","AUL","AUS",4933,28,"0","0","0","0","0","-","-"
1,"46eYUy",1,14,2009,2,"Afghanistan","AFG","AFG",11,"Australia","AUL","AUS",5664,54,"0","0","0","0","0","-","-"
1,"46eYUy",1,15,2010,2,"Afghanistan","AFG","AFG",11,"Australia","AUL","AUS",5518,68,"0","0","0","0","0","-","-"
1,"46eYUy",1,16,2011,2,"Afghanistan","AFG","AFG",11,"Australia","AUL","AUS",4826,124,"0","0","0","0","0","-","-"
1,"46eYUy",1,17,2012,2,"Afghanistan","AFG","AFG",11,"Australia","AUL","AUS",7192,1074,"0","0","0","0","0","-","-"
1,"46eYUy",1,18,2013,2,"Afghanistan","AFG","AFG",11,"Australia","AUL","AUS",8368,939,"0","0","0","0","0","-","-"
