"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","idps","oip","stateless","hst","ooc"
1,"se5NSa",1,1,1997,2,"Afghanistan","AFG","AFG",13,"Azerbaijan","AZE","AZE",5,"0","0","-","0","0","0"
1,"se5NSa",1,2,1998,2,"Afghanistan","AFG","AFG",13,"Azerbaijan","AZE","AZE",5,"0","0","-","0","0","0"
1,"se5NSa",1,3,1999,2,"Afghanistan","AFG","AFG",13,"Azerbaijan","AZE","AZE",8,"0","0","-","0","0","0"
1,"se5NSa",1,4,2000,2,"Afghanistan","AFG","AFG",13,"Azerbaijan","AZE","AZE",172,843,"0","-","0","0","0"
1,"se5NSa",1,5,2001,2,"Afghanistan","AFG","AFG",13,"Azerbaijan","AZE","AZE",243,931,"0","-","0","0","0"
1,"se5NSa",1,6,2002,2,"Afghanistan","AFG","AFG",13,"Azerbaijan","AZE","AZE",257,919,"0","-","0","0","0"
1,"se5NSa",1,7,2003,2,"Afghanistan","AFG","AFG",13,"Azerbaijan","AZE","AZE",171,925,"0","-","0","0","0"
1,"se5NSa",1,8,2004,2,"Afghanistan","AFG","AFG",13,"Azerbaijan","AZE","AZE",148,893,"0","-","0","0","0"
1,"se5NSa",1,9,2005,2,"Afghanistan","AFG","AFG",13,"Azerbaijan","AZE","AZE",90,50,"0","-","0","0",296
1,"se5NSa",1,10,2006,2,"Afghanistan","AFG","AFG",13,"Azerbaijan","AZE","AZE",104,33,"0","-","0","0",372
1,"se5NSa",1,11,2007,2,"Afghanistan","AFG","AFG",13,"Azerbaijan","AZE","AZE",108,43,"0","-","0","0",411
1,"se5NSa",1,12,2008,2,"Afghanistan","AFG","AFG",13,"Azerbaijan","AZE","AZE",125,24,"0","-","0","0",469
1,"se5NSa",1,13,2009,2,"Afghanistan","AFG","AFG",13,"Azerbaijan","AZE","AZE",149,15,"0","-","0","0",508
1,"se5NSa",1,14,2010,2,"Afghanistan","AFG","AFG",13,"Azerbaijan","AZE","AZE",718,"0","0","-","0","0","0"
1,"se5NSa",1,15,2011,2,"Afghanistan","AFG","AFG",13,"Azerbaijan","AZE","AZE",706,21,"0","-","0","0","0"
1,"se5NSa",1,16,2012,2,"Afghanistan","AFG","AFG",13,"Azerbaijan","AZE","AZE",576,82,"0","-","0","0","0"
1,"se5NSa",1,17,2013,2,"Afghanistan","AFG","AFG",13,"Azerbaijan","AZE","AZE",603,164,"0","-","0","0","0"
1,"se5NSa",1,18,2014,2,"Afghanistan","AFG","AFG",13,"Azerbaijan","AZE","AZE",618,160,"0","-","0","0","0"
1,"se5NSa",1,19,2015,2,"Afghanistan","AFG","AFG",13,"Azerbaijan","AZE","AZE",602,134,"0","-","0","0","0"
1,"se5NSa",1,20,2016,2,"Afghanistan","AFG","AFG",13,"Azerbaijan","AZE","AZE",562,135,"0","-","0","0","0"
1,"se5NSa",1,21,2017,2,"Afghanistan","AFG","AFG",13,"Azerbaijan","AZE","AZE",587,70,"0","-","0","0","0"
1,"se5NSa",1,22,2018,2,"Afghanistan","AFG","AFG",13,"Azerbaijan","AZE","AZE",636,100,"0","-","0","0","0"
1,"se5NSa",1,23,2019,2,"Afghanistan","AFG","AFG",13,"Azerbaijan","AZE","AZE",627,94,"0","-","0","0","0"
1,"se5NSa",1,24,2020,2,"Afghanistan","AFG","AFG",13,"Azerbaijan","AZE","AZE",1087,24,"0","-","0","0","0"
1,"se5NSa",1,25,2021,2,"Afghanistan","AFG","AFG",13,"Azerbaijan","AZE","AZE",1189,26,"0","-","0","0","0"
1,"se5NSa",1,26,2022,2,"Afghanistan","AFG","AFG",13,"Azerbaijan","AZE","AZE",1161,15,"0","-","0","0","0"
1,"se5NSa",1,27,2023,2,"Afghanistan","AFG","AFG",13,"Azerbaijan","AZE","AZE",1121,8,"0","-","0","0","0"
1,"se5NSa",1,28,2024,2,"Afghanistan","AFG","AFG",13,"Azerbaijan","AZE","AZE",1080,"0","0","-","0","0",18
1,"se5NSa",1,29,2025,2,"Afghanistan","AFG","AFG",13,"Azerbaijan","AZE","AZE",1069,"0","0","-","0","0",19
1,"se5NSa",1,30,2002,4,"Algeria","ALG","DZA",13,"Azerbaijan","AZE","AZE","0",5,"0","-","0","0","0"
1,"se5NSa",1,31,2004,4,"Algeria","ALG","DZA",13,"Azerbaijan","AZE","AZE","0",5,"0","-","0","0","0"
1,"se5NSa",1,32,2012,4,"Algeria","ALG","DZA",13,"Azerbaijan","AZE","AZE","0",5,"0","-","0","0","0"
1,"se5NSa",1,33,2019,8,"Egypt","ARE","EGY",13,"Azerbaijan","AZE","AZE","0",5,"0","-","0","0","0"
1,"se5NSa",1,34,1992,10,"Armenia","ARM","ARM",13,"Azerbaijan","AZE","AZE",195000,"0","0","-","0","0","0"
1,"se5NSa",1,35,1993,10,"Armenia","ARM","ARM",13,"Azerbaijan","AZE","AZE",200000,"0","0","-","0","0","0"
1,"se5NSa",1,36,1994,10,"Armenia","ARM","ARM",13,"Azerbaijan","AZE","AZE",201440,"0","0","-","0","0","0"
1,"se5NSa",1,37,1995,10,"Armenia","ARM","ARM",13,"Azerbaijan","AZE","AZE",200000,"0","0","-","0","0","0"
1,"se5NSa",1,38,1996,10,"Armenia","ARM","ARM",13,"Azerbaijan","AZE","AZE",198000,"0","0","-","0","0","0"
1,"se5NSa",1,39,1997,10,"Armenia","ARM","ARM",13,"Azerbaijan","AZE","AZE",198000,"0","0","-","0","0","0"
1,"se5NSa",1,40,1998,10,"Armenia","ARM","ARM",13,"Azerbaijan","AZE","AZE",188400,"0","0","-","0","0","0"
1,"se5NSa",1,41,1999,10,"Armenia","ARM","ARM",13,"Azerbaijan","AZE","AZE",188400,"0","0","-","0","0","0"
1,"se5NSa",1,42,2009,10,"Armenia","ARM","ARM",13,"Azerbaijan","AZE","AZE",5,"0","0","-","0","0","0"
1,"se5NSa",1,43,2010,10,"Armenia","ARM","ARM",13,"Azerbaijan","AZE","AZE",5,5,"0","-","0","0","0"
1,"se5NSa",1,44,2011,10,"Armenia","ARM","ARM",13,"Azerbaijan","AZE","AZE",8,"0","0","-","0","0","0"
1,"se5NSa",1,45,2012,10,"Armenia","ARM","ARM",13,"Azerbaijan","AZE","AZE",5,"0","0","-","0","0","0"
1,"se5NSa",1,46,2013,10,"Armenia","ARM","ARM",13,"Azerbaijan","AZE","AZE",5,"0","0","-","0","0","0"
1,"se5NSa",1,47,1993,13,"Azerbaijan","AZE","AZE",13,"Azerbaijan","AZE","AZE","0","0",778000,"-","0","0","0"
1,"se5NSa",1,48,1994,13,"Azerbaijan","AZE","AZE",13,"Azerbaijan","AZE","AZE","0","0",663100,"-","0","0","0"
1,"se5NSa",1,49,1995,13,"Azerbaijan","AZE","AZE",13,"Azerbaijan","AZE","AZE","0","0",622100,"-","0","0","0"
1,"se5NSa",1,50,1996,13,"Azerbaijan","AZE","AZE",13,"Azerbaijan","AZE","AZE","0","0",549030,"-","0","0","0"
1,"se5NSa",1,51,1997,13,"Azerbaijan","AZE","AZE",13,"Azerbaijan","AZE","AZE","0","0",551077,"-","0","0","0"
1,"se5NSa",1,52,1998,13,"Azerbaijan","AZE","AZE",13,"Azerbaijan","AZE","AZE","0","0",576321,"-","0","0","0"
1,"se5NSa",1,53,1999,13,"Azerbaijan","AZE","AZE",13,"Azerbaijan","AZE","AZE","0","0",569550,"-","0","0","0"
1,"se5NSa",1,54,2000,13,"Azerbaijan","AZE","AZE",13,"Azerbaijan","AZE","AZE","0","0",572451,"-","0","0","0"
1,"se5NSa",1,55,2001,13,"Azerbaijan","AZE","AZE",13,"Azerbaijan","AZE","AZE","0","0",572955,"-","0","0","0"
1,"se5NSa",1,56,2002,13,"Azerbaijan","AZE","AZE",13,"Azerbaijan","AZE","AZE","0","0",577179,"-","0","0","0"
1,"se5NSa",1,57,2003,13,"Azerbaijan","AZE","AZE",13,"Azerbaijan","AZE","AZE","0","0",575609,"-","0","0","0"
1,"se5NSa",1,58,2004,13,"Azerbaijan","AZE","AZE",13,"Azerbaijan","AZE","AZE","0","0",578545,"-","0","0","0"
