"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"PsE6uD",1,1,1974,262,"Unknown ","UKN","UNK",14,"Bahrain","BAH","BHR",60,"0","0","0","0","0","0","-","0"
1,"PsE6uD",1,2,1985,2,"Afghanistan","AFG","AFG",14,"Bahrain","BAH","BHR",250,"0","0","0","0","0","0","-","0"
1,"PsE6uD",1,3,1985,69,"Palestinian","GAZ","PSE",14,"Bahrain","BAH","BHR",500,"0","0","0","0","0","0","-","0"
1,"PsE6uD",1,4,1985,172,"Somalia","SOM","SOM",14,"Bahrain","BAH","BHR",50,"0","0","0","0","0","0","-","0"
1,"PsE6uD",1,5,1987,91,"Iran (Islamic Rep. of)","IRN","IRN",14,"Bahrain","BAH","BHR",280,"0","0","0","0","0","0","-","0"
1,"PsE6uD",1,6,1987,186,"United Rep. of Tanzania","TAN","TZA",14,"Bahrain","BAH","BHR",2000,"0","0","0","0","0","0","-","0"
1,"PsE6uD",1,7,1987,199,"Uganda","UGA","UGA",14,"Bahrain","BAH","BHR",80,"0","0","0","0","0","0","-","0"
1,"PsE6uD",1,8,1988,91,"Iran (Islamic Rep. of)","IRN","IRN",14,"Bahrain","BAH","BHR",50,"0","0","0","0","0","0","-","0"
1,"PsE6uD",1,9,1989,172,"Somalia","SOM","SOM",14,"Bahrain","BAH","BHR",70,"0","0","0","0","0","0","-","0"
1,"PsE6uD",1,10,1989,262,"Unknown ","UKN","UNK",14,"Bahrain","BAH","BHR",80,"0","0","0","0","0","0","-","0"
1,"PsE6uD",1,11,1990,91,"Iran (Islamic Rep. of)","IRN","IRN",14,"Bahrain","BAH","BHR",50,"0","0","0","0","0","0","-","0"
1,"PsE6uD",1,12,1990,172,"Somalia","SOM","SOM",14,"Bahrain","BAH","BHR",80,"0","0","0","0","0","0","-","0"
1,"PsE6uD",1,13,1990,262,"Unknown ","UKN","UNK",14,"Bahrain","BAH","BHR",1650,"0","0","0","0","0","0","-","0"
1,"PsE6uD",1,14,2004,92,"Iraq","IRQ","IRQ",14,"Bahrain","BAH","BHR","0",5,"0","0","0","0","0","-","0"
1,"PsE6uD",1,15,2005,92,"Iraq","IRQ","IRQ",14,"Bahrain","BAH","BHR","0",5,"0","0","0","0","0","-","0"
1,"PsE6uD",1,16,2005,177,"Sudan","SUD","SDN",14,"Bahrain","BAH","BHR","0",9,"0","0","0","0","0","-","0"
1,"PsE6uD",1,17,2006,92,"Iraq","IRQ","IRQ",14,"Bahrain","BAH","BHR","0",6,"0","0","0","0","0","-","0"
1,"PsE6uD",1,18,2006,177,"Sudan","SUD","SDN",14,"Bahrain","BAH","BHR","0",9,"0","0","0","0","0","-","0"
1,"PsE6uD",1,19,2007,92,"Iraq","IRQ","IRQ",14,"Bahrain","BAH","BHR","0",24,"0","0","0","0","0","-","0"
1,"PsE6uD",1,20,2007,177,"Sudan","SUD","SDN",14,"Bahrain","BAH","BHR","0",9,"0","0","0","0","0","-","0"
1,"PsE6uD",1,21,2008,92,"Iraq","IRQ","IRQ",14,"Bahrain","BAH","BHR",48,40,"0","0","0","0","0","-","0"
1,"PsE6uD",1,22,2008,177,"Sudan","SUD","SDN",14,"Bahrain","BAH","BHR","0",8,"0","0","0","0","0","-","0"
1,"PsE6uD",1,23,2009,92,"Iraq","IRQ","IRQ",14,"Bahrain","BAH","BHR",139,5,"0","0","0","0","0","-","0"
1,"PsE6uD",1,24,2009,177,"Sudan","SUD","SDN",14,"Bahrain","BAH","BHR","0",8,"0","0","0","0","0","-","0"
1,"PsE6uD",1,25,2010,92,"Iraq","IRQ","IRQ",14,"Bahrain","BAH","BHR",165,66,"0","0","0","0","0","-","0"
1,"PsE6uD",1,26,2011,92,"Iraq","IRQ","IRQ",14,"Bahrain","BAH","BHR",199,151,"0","0","0","0","0","-","0"
1,"PsE6uD",1,27,2011,185,"Syrian Arab Rep.","SYR","SYR",14,"Bahrain","BAH","BHR","0",5,"0","0","0","0","0","-","0"
1,"PsE6uD",1,28,2012,92,"Iraq","IRQ","IRQ",14,"Bahrain","BAH","BHR",289,41,"0","0","0","0","0","-","0"
1,"PsE6uD",1,29,2012,185,"Syrian Arab Rep.","SYR","SYR",14,"Bahrain","BAH","BHR","0",5,"0","0","0","0","0","-","0"
1,"PsE6uD",1,30,2013,8,"Egypt","ARE","EGY",14,"Bahrain","BAH","BHR","0",5,"0","0","0","0","0","-","0"
1,"PsE6uD",1,31,2013,92,"Iraq","IRQ","IRQ",14,"Bahrain","BAH","BHR",294,47,"0","0","0","0","0","-","0"
1,"PsE6uD",1,32,2014,8,"Egypt","ARE","EGY",14,"Bahrain","BAH","BHR","0",5,"0","0","0","0","0","-","0"
1,"PsE6uD",1,33,2014,92,"Iraq","IRQ","IRQ",14,"Bahrain","BAH","BHR",303,39,"0","0","0","0","0","-","0"
1,"PsE6uD",1,34,2014,211,"Yemen","YEM","YEM",14,"Bahrain","BAH","BHR",7,"0","0","0","0","0","0","-","0"
1,"PsE6uD",1,35,2015,8,"Egypt","ARE","EGY",14,"Bahrain","BAH","BHR","0",5,"0","0","0","0","0","-","0"
1,"PsE6uD",1,36,2015,92,"Iraq","IRQ","IRQ",14,"Bahrain","BAH","BHR",237,96,11,"0","0","0","0","-","0"
1,"PsE6uD",1,37,2015,96,"Jordan","JOR","JOR",14,"Bahrain","BAH","BHR","0",7,"0","0","0","0","0","-","0"
