"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","idps","oip","stateless","hst","ooc"
1,"87HPwL",1,1,2025,2,"Afghanistan","AFG","AFG",16,"Burundi","BDI","BDI","0",7,"0","-","0","0","0"
1,"87HPwL",1,2,2012,6,"Angola","ANG","AGO",16,"Burundi","BDI","BDI","0",9,"0","-","0","0","0"
1,"87HPwL",1,3,2013,6,"Angola","ANG","AGO",16,"Burundi","BDI","BDI","0",9,"0","-","0","0","0"
1,"87HPwL",1,4,2014,6,"Angola","ANG","AGO",16,"Burundi","BDI","BDI","0",9,"0","-","0","0","0"
1,"87HPwL",1,5,2015,6,"Angola","ANG","AGO",16,"Burundi","BDI","BDI","0",9,"0","-","0","0","0"
1,"87HPwL",1,6,2016,6,"Angola","ANG","AGO",16,"Burundi","BDI","BDI","0",5,"0","-","0","0","0"
1,"87HPwL",1,7,2017,6,"Angola","ANG","AGO",16,"Burundi","BDI","BDI","0",5,"0","-","0","0","0"
1,"87HPwL",1,8,2018,6,"Angola","ANG","AGO",16,"Burundi","BDI","BDI","0",5,"0","-","0","0","0"
1,"87HPwL",1,9,2019,6,"Angola","ANG","AGO",16,"Burundi","BDI","BDI","0",5,"0","-","0","0","0"
1,"87HPwL",1,10,1994,16,"Burundi","BDI","BDI",16,"Burundi","BDI","BDI","0","0",89900,"-","0","0","0"
1,"87HPwL",1,11,1995,16,"Burundi","BDI","BDI",16,"Burundi","BDI","BDI","0","0",216400,"-","0","0","0"
1,"87HPwL",1,12,1996,16,"Burundi","BDI","BDI",16,"Burundi","BDI","BDI","0","0",882900,"-","0","0","0"
1,"87HPwL",1,13,1997,16,"Burundi","BDI","BDI",16,"Burundi","BDI","BDI","0","0",586083,"-","0","0","0"
1,"87HPwL",1,14,1998,16,"Burundi","BDI","BDI",16,"Burundi","BDI","BDI","0","0",100000,"-","0","0","0"
