"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","idps","oip","stateless","hst","ooc"
1,"20qlZu",1,1,2023,2,"Afghanistan","AFG","AFG",18,"Benin","BEN","BEN","0",12,"0","-","0","0","0"
1,"20qlZu",1,2,2024,2,"Afghanistan","AFG","AFG",18,"Benin","BEN","BEN","0",12,"0","-","0","0","0"
1,"20qlZu",1,3,2025,2,"Afghanistan","AFG","AFG",18,"Benin","BEN","BEN","0",12,"0","-","0","0","0"
1,"20qlZu",1,4,1997,4,"Algeria","ALG","DZA",18,"Benin","BEN","BEN",5,"0","0","-","0","0","0"
1,"20qlZu",1,5,1998,4,"Algeria","ALG","DZA",18,"Benin","BEN","BEN",6,"0","0","-","0","0","0"
1,"20qlZu",1,6,1999,4,"Algeria","ALG","DZA",18,"Benin","BEN","BEN",7,"0","0","-","0","0","0"
1,"20qlZu",1,7,2000,4,"Algeria","ALG","DZA",18,"Benin","BEN","BEN",7,"0","0","-","0","0","0"
1,"20qlZu",1,8,2001,4,"Algeria","ALG","DZA",18,"Benin","BEN","BEN",7,5,"0","-","0","0","0"
1,"20qlZu",1,9,2002,4,"Algeria","ALG","DZA",18,"Benin","BEN","BEN",7,5,"0","-","0","0","0"
1,"20qlZu",1,10,2003,4,"Algeria","ALG","DZA",18,"Benin","BEN","BEN",7,5,"0","-","0","0","0"
1,"20qlZu",1,11,2004,4,"Algeria","ALG","DZA",18,"Benin","BEN","BEN",7,"0","0","-","0","0","0"
1,"20qlZu",1,12,2005,4,"Algeria","ALG","DZA",18,"Benin","BEN","BEN",7,"0","0","-","0","0","0"
1,"20qlZu",1,13,2000,6,"Angola","ANG","AGO",18,"Benin","BEN","BEN",5,"0","0","-","0","0","0"
1,"20qlZu",1,14,2001,6,"Angola","ANG","AGO",18,"Benin","BEN","BEN",5,"0","0","-","0","0","0"
1,"20qlZu",1,15,2002,6,"Angola","ANG","AGO",18,"Benin","BEN","BEN",5,"0","0","-","0","0","0"
1,"20qlZu",1,16,2003,6,"Angola","ANG","AGO",18,"Benin","BEN","BEN",5,"0","0","-","0","0","0"
1,"20qlZu",1,17,2004,6,"Angola","ANG","AGO",18,"Benin","BEN","BEN",5,8,"0","-","0","0","0"
1,"20qlZu",1,18,2005,6,"Angola","ANG","AGO",18,"Benin","BEN","BEN",7,5,"0","-","0","0","0"
1,"20qlZu",1,19,2006,6,"Angola","ANG","AGO",18,"Benin","BEN","BEN",5,"0","0","-","0","0","0"
1,"20qlZu",1,20,2007,6,"Angola","ANG","AGO",18,"Benin","BEN","BEN",5,"0","0","-","0","0","0"
1,"20qlZu",1,21,2008,6,"Angola","ANG","AGO",18,"Benin","BEN","BEN",5,"0","0","-","0","0","0"
1,"20qlZu",1,22,2009,6,"Angola","ANG","AGO",18,"Benin","BEN","BEN",5,"0","0","-","0","0","0"
1,"20qlZu",1,23,2010,6,"Angola","ANG","AGO",18,"Benin","BEN","BEN",5,"0","0","-","0","0","0"
1,"20qlZu",1,24,2011,6,"Angola","ANG","AGO",18,"Benin","BEN","BEN",5,"0","0","-","0","0","0"
1,"20qlZu",1,25,1993,16,"Burundi","BDI","BDI",18,"Benin","BEN","BEN",8,"0","0","-","0","0","0"
1,"20qlZu",1,26,1995,16,"Burundi","BDI","BDI",18,"Benin","BEN","BEN",11,"0","0","-","0","0","0"
1,"20qlZu",1,27,1996,16,"Burundi","BDI","BDI",18,"Benin","BEN","BEN",29,"0","0","-","0","0","0"
1,"20qlZu",1,28,1997,16,"Burundi","BDI","BDI",18,"Benin","BEN","BEN",38,"0","0","-","0","0","0"
1,"20qlZu",1,29,1998,16,"Burundi","BDI","BDI",18,"Benin","BEN","BEN",59,"0","0","-","0","0","0"
1,"20qlZu",1,30,1999,16,"Burundi","BDI","BDI",18,"Benin","BEN","BEN",95,"0","0","-","0","0","0"
1,"20qlZu",1,31,2000,16,"Burundi","BDI","BDI",18,"Benin","BEN","BEN",111,"0","0","-","0","0","0"
1,"20qlZu",1,32,2001,16,"Burundi","BDI","BDI",18,"Benin","BEN","BEN",132,"0","0","-","0","0","0"
1,"20qlZu",1,33,2002,16,"Burundi","BDI","BDI",18,"Benin","BEN","BEN",134,"0","0","-","0","0","0"
1,"20qlZu",1,34,2003,16,"Burundi","BDI","BDI",18,"Benin","BEN","BEN",132,"0","0","-","0","0","0"
1,"20qlZu",1,35,2004,16,"Burundi","BDI","BDI",18,"Benin","BEN","BEN",118,"0","0","-","0","0","0"
1,"20qlZu",1,36,2005,16,"Burundi","BDI","BDI",18,"Benin","BEN","BEN",110,5,"0","-","0","0","0"
1,"20qlZu",1,37,2006,16,"Burundi","BDI","BDI",18,"Benin","BEN","BEN",46,"0","0","-","0","0","0"
1,"20qlZu",1,38,2007,16,"Burundi","BDI","BDI",18,"Benin","BEN","BEN",37,"0","0","-","0","0","0"
1,"20qlZu",1,39,2008,16,"Burundi","BDI","BDI",18,"Benin","BEN","BEN",35,"0","0","-","0","0","0"
1,"20qlZu",1,40,2009,16,"Burundi","BDI","BDI",18,"Benin","BEN","BEN",33,"0","0","-","0","0","0"
1,"20qlZu",1,41,2010,16,"Burundi","BDI","BDI",18,"Benin","BEN","BEN",23,"0","0","-","0","0","0"
1,"20qlZu",1,42,2011,16,"Burundi","BDI","BDI",18,"Benin","BEN","BEN",18,"0","0","-","0","0","0"
1,"20qlZu",1,43,2012,16,"Burundi","BDI","BDI",18,"Benin","BEN","BEN",14,"0","0","-","0","0","0"
1,"20qlZu",1,44,2017,16,"Burundi","BDI","BDI",18,"Benin","BEN","BEN",5,"0","0","-","0","0","0"
1,"20qlZu",1,45,2018,16,"Burundi","BDI","BDI",18,"Benin","BEN","BEN",5,"0","0","-","0","0","0"
1,"20qlZu",1,46,2019,16,"Burundi","BDI","BDI",18,"Benin","BEN","BEN",7,"0","0","-","0","0","0"
1,"20qlZu",1,47,2020,16,"Burundi","BDI","BDI",18,"Benin","BEN","BEN",7,"0","0","-","0","0","0"
1,"20qlZu",1,48,2021,16,"Burundi","BDI","BDI",18,"Benin","BEN","BEN",5,"0","0","-","0","0","0"
1,"20qlZu",1,49,2022,16,"Burundi","BDI","BDI",18,"Benin","BEN","BEN",5,"0","0","-","0","0","0"
1,"20qlZu",1,50,2023,16,"Burundi","BDI","BDI",18,"Benin","BEN","BEN",5,"0","0","-","0","0","0"
1,"20qlZu",1,51,2024,16,"Burundi","BDI","BDI",18,"Benin","BEN","BEN",5,5,"0","-","0","0","0"
1,"20qlZu",1,52,2025,16,"Burundi","BDI","BDI",18,"Benin","BEN","BEN",5,5,"0","-","0","0","0"
1,"20qlZu",1,53,2023,18,"Benin","BEN","BEN",18,"Benin","BEN","BEN","0","0",8785,"-","0","0","0"
1,"20qlZu",1,54,2024,18,"Benin","BEN","BEN",18,"Benin","BEN","BEN","0","0",8785,"-","0","0","0"
1,"20qlZu",1,55,2025,18,"Benin","BEN","BEN",18,"Benin","BEN","BEN","0","0",12501,"-","0","0","0"
1,"20qlZu",1,56,1997,23,"Burkina Faso","BKF","BFA",18,"Benin","BEN","BEN",6,"0","0","-","0","0","0"
1,"20qlZu",1,57,1998,23,"Burkina Faso","BKF","BFA",18,"Benin","BEN","BEN",6,"0","0","-","0","0","0"
1,"20qlZu",1,58,1999,23,"Burkina Faso","BKF","BFA",18,"Benin","BEN","BEN",6,"0","0","-","0","0","0"
1,"20qlZu",1,59,2000,23,"Burkina Faso","BKF","BFA",18,"Benin","BEN","BEN",9,"0","0","-","0","0","0"
1,"20qlZu",1,60,2001,23,"Burkina Faso","BKF","BFA",18,"Benin","BEN","BEN",8,"0","0","-","0","0","0"
1,"20qlZu",1,61,2002,23,"Burkina Faso","BKF","BFA",18,"Benin","BEN","BEN",8,5,"0","-","0","0","0"
1,"20qlZu",1,62,2003,23,"Burkina Faso","BKF","BFA",18,"Benin","BEN","BEN",7,5,"0","-","0","0","0"
1,"20qlZu",1,63,2004,23,"Burkina Faso","BKF","BFA",18,"Benin","BEN","BEN",6,6,"0","-","0","0","0"
1,"20qlZu",1,64,2005,23,"Burkina Faso","BKF","BFA",18,"Benin","BEN","BEN",6,9,"0","-","0","0","0"
1,"20qlZu",1,65,2021,23,"Burkina Faso","BKF","BFA",18,"Benin","BEN","BEN",189,5,"0","-","0","0","0"
1,"20qlZu",1,66,2022,23,"Burkina Faso","BKF","BFA",18,"Benin","BEN","BEN",193,866,"0","-","0","0","0"
1,"20qlZu",1,67,2023,23,"Burkina Faso","BKF","BFA",18,"Benin","BEN","BEN",1114,4285,"0","-","0","0","0"
1,"20qlZu",1,68,2024,23,"Burkina Faso","BKF","BFA",18,"Benin","BEN","BEN",8609,5152,"0","-","0","0","0"
1,"20qlZu",1,69,2025,23,"Burkina Faso","BKF","BFA",18,"Benin","BEN","BEN",8609,5052,"0","-","0","0","0"
1,"20qlZu",1,70,2001,29,"Bosnia and Herzegovina","BSN","BIH",18,"Benin","BEN","BEN",5,"0","0","-","0","0","0"
1,"20qlZu",1,71,2002,29,"Bosnia and Herzegovina","BSN","BIH",18,"Benin","BEN","BEN",5,"0","0","-","0","0","0"
