"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","idps","oip","stateless","hst","ooc"
1,"1AsNsK",1,1,2021,2,"Afghanistan","AFG","AFG",20,"Bangladesh","BGD","BGD","0",5,"0","-","0","0","0"
1,"1AsNsK",1,2,2022,2,"Afghanistan","AFG","AFG",20,"Bangladesh","BGD","BGD",5,"0","0","-","0","0","0"
1,"1AsNsK",1,3,2024,2,"Afghanistan","AFG","AFG",20,"Bangladesh","BGD","BGD",5,"0","0","-","0","0","0"
1,"1AsNsK",1,4,2025,2,"Afghanistan","AFG","AFG",20,"Bangladesh","BGD","BGD",5,"0","0","-","0","0","0"
1,"1AsNsK",1,5,2020,20,"Bangladesh","BGD","BGD",20,"Bangladesh","BGD","BGD","0","0","0","-","0",472000,"0"
1,"1AsNsK",1,6,2021,20,"Bangladesh","BGD","BGD",20,"Bangladesh","BGD","BGD","0","0","0","-","0",174850,"0"
1,"1AsNsK",1,7,2022,20,"Bangladesh","BGD","BGD",20,"Bangladesh","BGD","BGD","0","0","0","-","0",174850,"0"
1,"1AsNsK",1,8,2023,20,"Bangladesh","BGD","BGD",20,"Bangladesh","BGD","BGD","0","0","0","-","0",537900,"0"
1,"1AsNsK",1,9,2024,20,"Bangladesh","BGD","BGD",20,"Bangladesh","BGD","BGD","0","0","0","-","0",544641,"0"
1,"1AsNsK",1,10,2025,20,"Bangladesh","BGD","BGD",20,"Bangladesh","BGD","BGD","0","0","0","-","0",568298,"0"
1,"1AsNsK",1,11,2017,41,"Dem. Rep. of the Congo","COD","COD",20,"Bangladesh","BGD","BGD","0",5,"0","-","0","0","0"
1,"1AsNsK",1,12,2005,69,"Palestinian","GAZ","PSE",20,"Bangladesh","BGD","BGD","0",5,"0","-","0","0","0"
1,"1AsNsK",1,13,2006,69,"Palestinian","GAZ","PSE",20,"Bangladesh","BGD","BGD","0",6,"0","-","0","0","0"
1,"1AsNsK",1,14,2007,69,"Palestinian","GAZ","PSE",20,"Bangladesh","BGD","BGD","0",6,"0","-","0","0","0"
1,"1AsNsK",1,15,2008,69,"Palestinian","GAZ","PSE",20,"Bangladesh","BGD","BGD",5,"0","0","-","0","0","0"
1,"1AsNsK",1,16,2024,69,"Palestinian","GAZ","PSE",20,"Bangladesh","BGD","BGD",5,"0","0","-","0","0","0"
1,"1AsNsK",1,17,2025,69,"Palestinian","GAZ","PSE",20,"Bangladesh","BGD","BGD",5,"0","0","-","0","0","0"
1,"1AsNsK",1,18,1994,91,"Iran (Islamic Rep. of)","IRN","IRN",20,"Bangladesh","BGD","BGD",17,"0","0","-","0","0","0"
1,"1AsNsK",1,19,1995,91,"Iran (Islamic Rep. of)","IRN","IRN",20,"Bangladesh","BGD","BGD",29,"0","0","-","0","0","0"
1,"1AsNsK",1,20,1996,91,"Iran (Islamic Rep. of)","IRN","IRN",20,"Bangladesh","BGD","BGD",24,"0","0","-","0","0","0"
1,"1AsNsK",1,21,1997,91,"Iran (Islamic Rep. of)","IRN","IRN",20,"Bangladesh","BGD","BGD",24,"0","0","-","0","0","0"
1,"1AsNsK",1,22,1998,91,"Iran (Islamic Rep. of)","IRN","IRN",20,"Bangladesh","BGD","BGD",27,"0","0","-","0","0","0"
1,"1AsNsK",1,23,1999,91,"Iran (Islamic Rep. of)","IRN","IRN",20,"Bangladesh","BGD","BGD",27,"0","0","-","0","0","0"
1,"1AsNsK",1,24,2000,91,"Iran (Islamic Rep. of)","IRN","IRN",20,"Bangladesh","BGD","BGD",27,"0","0","-","0","0","0"
1,"1AsNsK",1,25,2001,91,"Iran (Islamic Rep. of)","IRN","IRN",20,"Bangladesh","BGD","BGD",27,"0","0","-","0","0","0"
1,"1AsNsK",1,26,2002,91,"Iran (Islamic Rep. of)","IRN","IRN",20,"Bangladesh","BGD","BGD",27,"0","0","-","0","0","0"
1,"1AsNsK",1,27,2003,91,"Iran (Islamic Rep. of)","IRN","IRN",20,"Bangladesh","BGD","BGD",27,"0","0","-","0","0","0"
1,"1AsNsK",1,28,2004,91,"Iran (Islamic Rep. of)","IRN","IRN",20,"Bangladesh","BGD","BGD",27,"0","0","-","0","0","0"
1,"1AsNsK",1,29,2005,91,"Iran (Islamic Rep. of)","IRN","IRN",20,"Bangladesh","BGD","BGD",27,"0","0","-","0","0","0"
1,"1AsNsK",1,30,2006,91,"Iran (Islamic Rep. of)","IRN","IRN",20,"Bangladesh","BGD","BGD",27,"0","0","-","0","0","0"
1,"1AsNsK",1,31,2007,91,"Iran (Islamic Rep. of)","IRN","IRN",20,"Bangladesh","BGD","BGD",27,"0","0","-","0","0","0"
