"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"xeU9S4",1,1,2020,32,"Cambodia","CAM","KHM",21,"Bahamas","BHS","BHS","0",5,"0","0","0","0","0","-","0"
1,"xeU9S4",1,2,2022,32,"Cambodia","CAM","KHM",21,"Bahamas","BHS","BHS","0",5,"0","0","0","0","0","-","0"
1,"xeU9S4",1,3,2023,32,"Cambodia","CAM","KHM",21,"Bahamas","BHS","BHS","0",5,"0","0","0","0","0","-","0"
1,"xeU9S4",1,4,2014,37,"China","CHI","CHN",21,"Bahamas","BHS","BHS","0",5,"0","0","0","0","0","-","0"
1,"xeU9S4",1,5,2015,37,"China","CHI","CHN",21,"Bahamas","BHS","BHS","0",5,"0","0","0","0","0","-","0"
1,"xeU9S4",1,6,2021,39,"Cameroon","CMR","CMR",21,"Bahamas","BHS","BHS",5,"0","0","0","0","0","0","-","0"
1,"xeU9S4",1,7,2022,39,"Cameroon","CMR","CMR",21,"Bahamas","BHS","BHS",5,"0","0","0","0","0","0","-","0"
1,"xeU9S4",1,8,2018,44,"Colombia","COL","COL",21,"Bahamas","BHS","BHS",5,"0","0","0","0","0","0","-","0"
1,"xeU9S4",1,9,2019,44,"Colombia","COL","COL",21,"Bahamas","BHS","BHS",5,"0","0","0","0","0","0","-","0"
1,"xeU9S4",1,10,2020,44,"Colombia","COL","COL",21,"Bahamas","BHS","BHS",5,"0","0","0","0","0","0","-","0"
1,"xeU9S4",1,11,1995,46,"Cuba","CUB","CUB",21,"Bahamas","BHS","BHS",8,"0","0","0","0","0","0","-","0"
1,"xeU9S4",1,12,1996,46,"Cuba","CUB","CUB",21,"Bahamas","BHS","BHS",47,"0","0","0","0","0","0","-","0"
1,"xeU9S4",1,13,1997,46,"Cuba","CUB","CUB",21,"Bahamas","BHS","BHS",58,"0","0","0","0","0","0","-","0"
1,"xeU9S4",1,14,1998,46,"Cuba","CUB","CUB",21,"Bahamas","BHS","BHS",78,"0","0","0","0","0","0","-","0"
1,"xeU9S4",1,15,1999,46,"Cuba","CUB","CUB",21,"Bahamas","BHS","BHS",98,"0","0","0","0","0","0","-","0"
1,"xeU9S4",1,16,2000,46,"Cuba","CUB","CUB",21,"Bahamas","BHS","BHS",98,"0","0","0","0","0","0","-","0"
1,"xeU9S4",1,17,2010,46,"Cuba","CUB","CUB",21,"Bahamas","BHS","BHS",27,"0","0","0","0","0","0","-","0"
1,"xeU9S4",1,18,2011,46,"Cuba","CUB","CUB",21,"Bahamas","BHS","BHS",27,"0","0","0","0","0","0","-","0"
1,"xeU9S4",1,19,2012,46,"Cuba","CUB","CUB",21,"Bahamas","BHS","BHS",36,"0","0","0","0","0","0","-","0"
1,"xeU9S4",1,20,2013,46,"Cuba","CUB","CUB",21,"Bahamas","BHS","BHS",14,8,"0","0","0","0","0","-","0"
1,"xeU9S4",1,21,2014,46,"Cuba","CUB","CUB",21,"Bahamas","BHS","BHS",12,9,"0","0","0","0",75,"-","0"
1,"xeU9S4",1,22,2015,46,"Cuba","CUB","CUB",21,"Bahamas","BHS","BHS",7,10,"0","0","0","0",75,"-","0"
1,"xeU9S4",1,23,2016,46,"Cuba","CUB","CUB",21,"Bahamas","BHS","BHS",9,12,"0","0","0","0","0","-","0"
1,"xeU9S4",1,24,2017,46,"Cuba","CUB","CUB",21,"Bahamas","BHS","BHS",8,10,"0","0","0","0","0","-","0"
1,"xeU9S4",1,25,2018,46,"Cuba","CUB","CUB",21,"Bahamas","BHS","BHS",9,12,"0","0","0","0","0","-","0"
1,"xeU9S4",1,26,2019,46,"Cuba","CUB","CUB",21,"Bahamas","BHS","BHS",5,5,"0","0","0","0","0","-","0"
1,"xeU9S4",1,27,2020,46,"Cuba","CUB","CUB",21,"Bahamas","BHS","BHS",5,"0","0","0","0","0","0","-","0"
1,"xeU9S4",1,28,2021,46,"Cuba","CUB","CUB",21,"Bahamas","BHS","BHS","0",5,"0","0","0","0","0","-","0"
1,"xeU9S4",1,29,2022,46,"Cuba","CUB","CUB",21,"Bahamas","BHS","BHS","0",11,"0","0","0","0",723,"-","0"
1,"xeU9S4",1,30,2023,46,"Cuba","CUB","CUB",21,"Bahamas","BHS","BHS","0",11,"0","0","0","0",723,"-","0"
1,"xeU9S4",1,31,1992,81,"Haiti","HAI","HTI",21,"Bahamas","BHS","BHS",374,"0",980,"0","0","0","0","-","0"
