"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"JUOa38",1,1,1994,2,"Afghanistan","AFG","AFG",24,"Belarus","BLR","BLR",1607,"0","0","0","0","0","0","-","0"
1,"JUOa38",1,2,1994,58,"Ethiopia","ETH","ETH",24,"Belarus","BLR","BLR",80,"0","0","0","0","0","0","-","0"
1,"JUOa38",1,3,1994,69,"Palestinian","GAZ","PSE",24,"Belarus","BLR","BLR",5,"0","0","0","0","0","0","-","0"
1,"JUOa38",1,4,1994,91,"Iran (Islamic Rep. of)","IRN","IRN",24,"Belarus","BLR","BLR",58,"0","0","0","0","0","0","-","0"
1,"JUOa38",1,5,1994,92,"Iraq","IRQ","IRQ",24,"Belarus","BLR","BLR",26,"0","0","0","0","0","0","-","0"
1,"JUOa38",1,6,1994,112,"Sri Lanka","LKA","LKA",24,"Belarus","BLR","BLR",13,"0","0","0","0","0","0","-","0"
1,"JUOa38",1,7,1994,147,"Pakistan","PAK","PAK",24,"Belarus","BLR","BLR",19,"0","0","0","0","0","0","-","0"
1,"JUOa38",1,8,1994,172,"Somalia","SOM","SOM",24,"Belarus","BLR","BLR",10,"0","0","0","0","0","0","-","0"
1,"JUOa38",1,9,1994,262,"Unknown ","UKN","UNK",24,"Belarus","BLR","BLR",6,"0","0","0","0","0","0","-","0"
1,"JUOa38",1,10,1995,262,"Unknown ","UKN","UNK",24,"Belarus","BLR","BLR",28988,"0","0","0","0","0","0","-","0"
1,"JUOa38",1,11,1996,262,"Unknown ","UKN","UNK",24,"Belarus","BLR","BLR",30525,"0","0","0","0","0","0","-","0"
1,"JUOa38",1,12,1997,2,"Afghanistan","AFG","AFG",24,"Belarus","BLR","BLR",38,"0","0","0","0","0","0","-","0"
1,"JUOa38",1,13,1997,58,"Ethiopia","ETH","ETH",24,"Belarus","BLR","BLR",12,"0","0","0","0","0","0","-","0"
1,"JUOa38",1,14,1997,262,"Unknown ","UKN","UNK",24,"Belarus","BLR","BLR","0","0","0","0","0","0",160000,"-","0"
1,"JUOa38",1,15,1998,2,"Afghanistan","AFG","AFG",24,"Belarus","BLR","BLR",59,"0","0","0","0","0",2172,"-","0"
1,"JUOa38",1,16,1998,4,"Algeria","ALG","DZA",24,"Belarus","BLR","BLR","0","0","0","0","0","0",10,"-","0"
1,"JUOa38",1,17,1998,6,"Angola","ANG","AGO",24,"Belarus","BLR","BLR","0","0","0","0","0","0",8,"-","0"
1,"JUOa38",1,18,1998,10,"Armenia","ARM","ARM",24,"Belarus","BLR","BLR","0","0","0","0","0","0",426,"-","0"
1,"JUOa38",1,19,1998,13,"Azerbaijan","AZE","AZE",24,"Belarus","BLR","BLR","0","0","0","0","0","0",618,"-","0"
1,"JUOa38",1,20,1998,37,"China","CHI","CHN",24,"Belarus","BLR","BLR","0","0","0","0","0","0",5,"-","0"
1,"JUOa38",1,21,1998,40,"Congo","COB","COG",24,"Belarus","BLR","BLR","0","0","0","0","0","0",23,"-","0"
1,"JUOa38",1,22,1998,57,"Estonia","EST","EST",24,"Belarus","BLR","BLR","0","0","0","0","0","0",537,"-","0"
1,"JUOa38",1,23,1998,58,"Ethiopia","ETH","ETH",24,"Belarus","BLR","BLR",16,"0","0","0","0","0",75,"-","0"
1,"JUOa38",1,24,1998,69,"Palestinian","GAZ","PSE",24,"Belarus","BLR","BLR","0","0","0","0","0","0",10,"-","0"
1,"JUOa38",1,25,1998,71,"Georgia","GEO","GEO",24,"Belarus","BLR","BLR","0","0","0","0","0","0",1309,"-","0"
