"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","idps","oip","stateless","hst","ooc"
1,"58t7EL",1,1,2002,9,"Argentina","ARG","ARG",25,"Bolivia (Plurinational State of)","BOL","BOL","0",5,"0","-","0","0","0"
1,"58t7EL",1,2,2019,9,"Argentina","ARG","ARG",25,"Bolivia (Plurinational State of)","BOL","BOL",13,"0","0","-","0","0","0"
1,"58t7EL",1,3,2020,9,"Argentina","ARG","ARG",25,"Bolivia (Plurinational State of)","BOL","BOL",13,"0","0","-","0","0","0"
1,"58t7EL",1,4,2021,9,"Argentina","ARG","ARG",25,"Bolivia (Plurinational State of)","BOL","BOL",13,"0","0","-","0","0","0"
1,"58t7EL",1,5,2022,9,"Argentina","ARG","ARG",25,"Bolivia (Plurinational State of)","BOL","BOL",13,"0","0","-","0","0","0"
1,"58t7EL",1,6,2023,9,"Argentina","ARG","ARG",25,"Bolivia (Plurinational State of)","BOL","BOL",13,"0","0","-","0","0","0"
1,"58t7EL",1,7,2024,9,"Argentina","ARG","ARG",25,"Bolivia (Plurinational State of)","BOL","BOL",13,9,"0","-","0","0","0"
1,"58t7EL",1,8,2025,9,"Argentina","ARG","ARG",25,"Bolivia (Plurinational State of)","BOL","BOL",13,9,"0","-","0","0","0"
1,"58t7EL",1,9,2023,27,"Brazil","BRA","BRA",25,"Bolivia (Plurinational State of)","BOL","BOL","0",5,"0","-","0","0","0"
1,"58t7EL",1,10,2024,27,"Brazil","BRA","BRA",25,"Bolivia (Plurinational State of)","BOL","BOL","0",5,"0","-","0","0","0"
1,"58t7EL",1,11,2025,27,"Brazil","BRA","BRA",25,"Bolivia (Plurinational State of)","BOL","BOL","0",5,"0","-","0","0","0"
1,"58t7EL",1,12,1997,30,"Bulgaria","BUL","BGR",25,"Bolivia (Plurinational State of)","BOL","BOL",5,"0","0","-","0","0","0"
1,"58t7EL",1,13,1998,30,"Bulgaria","BUL","BGR",25,"Bolivia (Plurinational State of)","BOL","BOL",5,"0","0","-","0","0","0"
1,"58t7EL",1,14,2013,37,"China","CHI","CHN",25,"Bolivia (Plurinational State of)","BOL","BOL",8,"0","0","-","0","0","0"
1,"58t7EL",1,15,1985,38,"Chile","CHL","CHL",25,"Bolivia (Plurinational State of)","BOL","BOL",50,"0","0","-","0","0","0"
1,"58t7EL",1,16,1993,38,"Chile","CHL","CHL",25,"Bolivia (Plurinational State of)","BOL","BOL",5,"0","0","-","0","0","0"
1,"58t7EL",1,17,1994,38,"Chile","CHL","CHL",25,"Bolivia (Plurinational State of)","BOL","BOL",5,"0","0","-","0","0","0"
1,"58t7EL",1,18,1995,38,"Chile","CHL","CHL",25,"Bolivia (Plurinational State of)","BOL","BOL",5,"0","0","-","0","0","0"
1,"58t7EL",1,19,1996,38,"Chile","CHL","CHL",25,"Bolivia (Plurinational State of)","BOL","BOL",5,"0","0","-","0","0","0"
1,"58t7EL",1,20,2007,38,"Chile","CHL","CHL",25,"Bolivia (Plurinational State of)","BOL","BOL",7,"0","0","-","0","0","0"
1,"58t7EL",1,21,2008,38,"Chile","CHL","CHL",25,"Bolivia (Plurinational State of)","BOL","BOL",7,"0","0","-","0","0","0"
1,"58t7EL",1,22,2009,38,"Chile","CHL","CHL",25,"Bolivia (Plurinational State of)","BOL","BOL",8,"0","0","-","0","0","0"
1,"58t7EL",1,23,2010,38,"Chile","CHL","CHL",25,"Bolivia (Plurinational State of)","BOL","BOL",8,"0","0","-","0","0","0"
