"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"GC3Vub",1,1,2010,216,"Stateless","STA","XXA",28,"Brunei Darussalam","BRU","BRN","0","0","0","0","0",20992,"0","-","0"
1,"GC3Vub",1,2,2011,216,"Stateless","STA","XXA",28,"Brunei Darussalam","BRU","BRN","0","0","0","0","0",20992,"0","-","0"
1,"GC3Vub",1,3,2012,216,"Stateless","STA","XXA",28,"Brunei Darussalam","BRU","BRN","0","0","0","0","0",21009,"0","-","0"
1,"GC3Vub",1,4,2013,216,"Stateless","STA","XXA",28,"Brunei Darussalam","BRU","BRN","0","0","0","0","0",20524,"0","-","0"
1,"GC3Vub",1,5,2014,216,"Stateless","STA","XXA",28,"Brunei Darussalam","BRU","BRN","0","0","0","0","0",20524,"0","-","0"
1,"GC3Vub",1,6,2015,216,"Stateless","STA","XXA",28,"Brunei Darussalam","BRU","BRN","0","0","0","0","0",20524,"0","-","0"
1,"GC3Vub",1,7,2016,216,"Stateless","STA","XXA",28,"Brunei Darussalam","BRU","BRN","0","0","0","0","0",20524,"0","-","0"
1,"GC3Vub",1,8,2017,216,"Stateless","STA","XXA",28,"Brunei Darussalam","BRU","BRN","0","0","0","0","0",20524,"0","-","0"
1,"GC3Vub",1,9,2018,216,"Stateless","STA","XXA",28,"Brunei Darussalam","BRU","BRN","0","0","0","0","0",20863,"0","-","0"
1,"GC3Vub",1,10,2019,216,"Stateless","STA","XXA",28,"Brunei Darussalam","BRU","BRN","0","0","0","0","0",20863,"0","-","0"
1,"GC3Vub",1,11,2020,216,"Stateless","STA","XXA",28,"Brunei Darussalam","BRU","BRN","0","0","0","0","0",20863,"0","-","0"
1,"GC3Vub",1,12,2021,216,"Stateless","STA","XXA",28,"Brunei Darussalam","BRU","BRN","0","0","0","0","0",20863,"0","-","0"
1,"GC3Vub",1,13,2022,216,"Stateless","STA","XXA",28,"Brunei Darussalam","BRU","BRN","0","0","0","0","0",20863,"0","-","0"
1,"GC3Vub",1,14,2023,216,"Stateless","STA","XXA",28,"Brunei Darussalam","BRU","BRN","0","0","0","0","0",20863,"0","-","0"
