"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","idps","oip","stateless","hst","ooc"
1,"Cpq4SJ",1,1,1993,2,"Afghanistan","AFG","AFG",30,"Bulgaria","BUL","BGR",208,"0","0","-","0","0","0"
1,"Cpq4SJ",1,2,1994,2,"Afghanistan","AFG","AFG",30,"Bulgaria","BUL","BGR",382,"0","0","-","0","0","0"
1,"Cpq4SJ",1,3,1995,2,"Afghanistan","AFG","AFG",30,"Bulgaria","BUL","BGR",475,"0","0","-","0","0","0"
1,"Cpq4SJ",1,4,1996,2,"Afghanistan","AFG","AFG",30,"Bulgaria","BUL","BGR",542,"0","0","-","0","0","0"
1,"Cpq4SJ",1,5,1997,2,"Afghanistan","AFG","AFG",30,"Bulgaria","BUL","BGR",205,"0","0","-","0","0","0"
1,"Cpq4SJ",1,6,1998,2,"Afghanistan","AFG","AFG",30,"Bulgaria","BUL","BGR",94,"0","0","-","0","0","0"
1,"Cpq4SJ",1,7,1999,2,"Afghanistan","AFG","AFG",30,"Bulgaria","BUL","BGR",222,"0","0","-","0","0","0"
1,"Cpq4SJ",1,8,2000,2,"Afghanistan","AFG","AFG",30,"Bulgaria","BUL","BGR",786,428,"0","-","0","0","0"
1,"Cpq4SJ",1,9,2001,2,"Afghanistan","AFG","AFG",30,"Bulgaria","BUL","BGR",1565,623,"0","-","0","0","0"
1,"Cpq4SJ",1,10,2002,2,"Afghanistan","AFG","AFG",30,"Bulgaria","BUL","BGR",1733,357,"0","-","0","0","0"
1,"Cpq4SJ",1,11,2003,2,"Afghanistan","AFG","AFG",30,"Bulgaria","BUL","BGR",1829,332,"0","-","0","0","0"
1,"Cpq4SJ",1,12,2004,2,"Afghanistan","AFG","AFG",30,"Bulgaria","BUL","BGR",1908,425,"0","-","0","0","0"
1,"Cpq4SJ",1,13,2005,2,"Afghanistan","AFG","AFG",30,"Bulgaria","BUL","BGR",1930,390,"0","-","0","0","0"
1,"Cpq4SJ",1,14,2006,2,"Afghanistan","AFG","AFG",30,"Bulgaria","BUL","BGR",1967,395,"0","-","0","0","0"
1,"Cpq4SJ",1,15,2007,2,"Afghanistan","AFG","AFG",30,"Bulgaria","BUL","BGR",1990,380,"0","-","0","0","0"
1,"Cpq4SJ",1,16,2008,2,"Afghanistan","AFG","AFG",30,"Bulgaria","BUL","BGR",2012,377,"0","-","0","0","0"
1,"Cpq4SJ",1,17,2009,2,"Afghanistan","AFG","AFG",30,"Bulgaria","BUL","BGR",2039,388,"0","-","0","0","0"
1,"Cpq4SJ",1,18,2010,2,"Afghanistan","AFG","AFG",30,"Bulgaria","BUL","BGR",2048,402,"0","-","0","0","0"
1,"Cpq4SJ",1,19,2011,2,"Afghanistan","AFG","AFG",30,"Bulgaria","BUL","BGR",2067,347,"0","-","0","0","0"
1,"Cpq4SJ",1,20,2012,2,"Afghanistan","AFG","AFG",30,"Bulgaria","BUL","BGR",368,"0","0","-","0","0","0"
1,"Cpq4SJ",1,21,2013,2,"Afghanistan","AFG","AFG",30,"Bulgaria","BUL","BGR",268,584,"0","-","0","0","0"
1,"Cpq4SJ",1,22,2014,2,"Afghanistan","AFG","AFG",30,"Bulgaria","BUL","BGR",212,2633,"0","-","0","0","0"
1,"Cpq4SJ",1,23,2015,2,"Afghanistan","AFG","AFG",30,"Bulgaria","BUL","BGR",197,3241,"0","-","0","0","0"
1,"Cpq4SJ",1,24,2016,2,"Afghanistan","AFG","AFG",30,"Bulgaria","BUL","BGR",170,7636,"0","-","0","0","0"
1,"Cpq4SJ",1,25,2017,2,"Afghanistan","AFG","AFG",30,"Bulgaria","BUL","BGR",169,752,"0","-","0","0","0"
1,"Cpq4SJ",1,26,2018,2,"Afghanistan","AFG","AFG",30,"Bulgaria","BUL","BGR",205,584,"0","-","0","0","0"
1,"Cpq4SJ",1,27,2019,2,"Afghanistan","AFG","AFG",30,"Bulgaria","BUL","BGR",243,300,"0","-","0","0","0"
1,"Cpq4SJ",1,28,2020,2,"Afghanistan","AFG","AFG",30,"Bulgaria","BUL","BGR",244,942,"0","-","0","0","0"
1,"Cpq4SJ",1,29,2021,2,"Afghanistan","AFG","AFG",30,"Bulgaria","BUL","BGR",300,4545,"0","-","0","0","0"
1,"Cpq4SJ",1,30,2022,2,"Afghanistan","AFG","AFG",30,"Bulgaria","BUL","BGR",319,3250,"0","-","0","0","0"
1,"Cpq4SJ",1,31,2023,2,"Afghanistan","AFG","AFG",30,"Bulgaria","BUL","BGR",292,4179,"0","-","0","0","0"
1,"Cpq4SJ",1,32,2024,2,"Afghanistan","AFG","AFG",30,"Bulgaria","BUL","BGR",311,1295,"0","-","0","0","0"
1,"Cpq4SJ",1,33,2025,2,"Afghanistan","AFG","AFG",30,"Bulgaria","BUL","BGR",291,449,"0","-","0","0","0"
1,"Cpq4SJ",1,34,1996,3,"Albania","ALB","ALB",30,"Bulgaria","BUL","BGR",5,"0","0","-","0","0","0"
1,"Cpq4SJ",1,35,2000,3,"Albania","ALB","ALB",30,"Bulgaria","BUL","BGR",5,"0","0","-","0","0","0"
1,"Cpq4SJ",1,36,2001,3,"Albania","ALB","ALB",30,"Bulgaria","BUL","BGR",7,5,"0","-","0","0","0"
1,"Cpq4SJ",1,37,2002,3,"Albania","ALB","ALB",30,"Bulgaria","BUL","BGR",9,5,"0","-","0","0","0"
1,"Cpq4SJ",1,38,2003,3,"Albania","ALB","ALB",30,"Bulgaria","BUL","BGR",5,5,"0","-","0","0","0"
1,"Cpq4SJ",1,39,2004,3,"Albania","ALB","ALB",30,"Bulgaria","BUL","BGR",14,5,"0","-","0","0","0"
1,"Cpq4SJ",1,40,2005,3,"Albania","ALB","ALB",30,"Bulgaria","BUL","BGR",10,5,"0","-","0","0","0"
1,"Cpq4SJ",1,41,2006,3,"Albania","ALB","ALB",30,"Bulgaria","BUL","BGR",10,8,"0","-","0","0","0"
1,"Cpq4SJ",1,42,2007,3,"Albania","ALB","ALB",30,"Bulgaria","BUL","BGR",10,5,"0","-","0","0","0"
1,"Cpq4SJ",1,43,2008,3,"Albania","ALB","ALB",30,"Bulgaria","BUL","BGR",10,5,"0","-","0","0","0"
1,"Cpq4SJ",1,44,2009,3,"Albania","ALB","ALB",30,"Bulgaria","BUL","BGR",10,"0","0","-","0","0","0"
1,"Cpq4SJ",1,45,2010,3,"Albania","ALB","ALB",30,"Bulgaria","BUL","BGR",10,"0","0","-","0","0","0"
1,"Cpq4SJ",1,46,2011,3,"Albania","ALB","ALB",30,"Bulgaria","BUL","BGR",9,"0","0","-","0","0","0"
1,"Cpq4SJ",1,47,2012,3,"Albania","ALB","ALB",30,"Bulgaria","BUL","BGR",5,"0","0","-","0","0","0"
1,"Cpq4SJ",1,48,2013,3,"Albania","ALB","ALB",30,"Bulgaria","BUL","BGR",5,5,"0","-","0","0","0"
1,"Cpq4SJ",1,49,2021,3,"Albania","ALB","ALB",30,"Bulgaria","BUL","BGR","0",5,"0","-","0","0","0"
1,"Cpq4SJ",1,50,2022,3,"Albania","ALB","ALB",30,"Bulgaria","BUL","BGR","0",6,"0","-","0","0","0"
1,"Cpq4SJ",1,51,1994,4,"Algeria","ALG","DZA",30,"Bulgaria","BUL","BGR",36,"0","0","-","0","0","0"
1,"Cpq4SJ",1,52,1995,4,"Algeria","ALG","DZA",30,"Bulgaria","BUL","BGR",39,"0","0","-","0","0","0"
1,"Cpq4SJ",1,53,1996,4,"Algeria","ALG","DZA",30,"Bulgaria","BUL","BGR",46,"0","0","-","0","0","0"
1,"Cpq4SJ",1,54,1997,4,"Algeria","ALG","DZA",30,"Bulgaria","BUL","BGR",9,"0","0","-","0","0","0"
1,"Cpq4SJ",1,55,1998,4,"Algeria","ALG","DZA",30,"Bulgaria","BUL","BGR",6,"0","0","-","0","0","0"
1,"Cpq4SJ",1,56,1999,4,"Algeria","ALG","DZA",30,"Bulgaria","BUL","BGR",8,"0","0","-","0","0","0"
1,"Cpq4SJ",1,57,2000,4,"Algeria","ALG","DZA",30,"Bulgaria","BUL","BGR",13,5,"0","-","0","0","0"
1,"Cpq4SJ",1,58,2001,4,"Algeria","ALG","DZA",30,"Bulgaria","BUL","BGR",22,"0","0","-","0","0","0"
1,"Cpq4SJ",1,59,2002,4,"Algeria","ALG","DZA",30,"Bulgaria","BUL","BGR",21,"0","0","-","0","0","0"
1,"Cpq4SJ",1,60,2003,4,"Algeria","ALG","DZA",30,"Bulgaria","BUL","BGR",21,"0","0","-","0","0","0"
1,"Cpq4SJ",1,61,2004,4,"Algeria","ALG","DZA",30,"Bulgaria","BUL","BGR",23,"0","0","-","0","0","0"
1,"Cpq4SJ",1,62,2005,4,"Algeria","ALG","DZA",30,"Bulgaria","BUL","BGR",21,"0","0","-","0","0","0"
1,"Cpq4SJ",1,63,2006,4,"Algeria","ALG","DZA",30,"Bulgaria","BUL","BGR",21,"0","0","-","0","0","0"
1,"Cpq4SJ",1,64,2007,4,"Algeria","ALG","DZA",30,"Bulgaria","BUL","BGR",21,"0","0","-","0","0","0"
1,"Cpq4SJ",1,65,2008,4,"Algeria","ALG","DZA",30,"Bulgaria","BUL","BGR",21,"0","0","-","0","0","0"
1,"Cpq4SJ",1,66,2009,4,"Algeria","ALG","DZA",30,"Bulgaria","BUL","BGR",21,18,"0","-","0","0","0"
1,"Cpq4SJ",1,67,2010,4,"Algeria","ALG","DZA",30,"Bulgaria","BUL","BGR",21,"0","0","-","0","0","0"
