"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"WjK4g9",1,1,2015,31,"Belize","BZE","BLZ",31,"Belize","BZE","BLZ","0","0","0","0","0","0",57,"-","0"
1,"WjK4g9",1,2,2009,46,"Cuba","CUB","CUB",31,"Belize","BZE","BLZ","0",5,"0","0","0","0","0","-","0"
1,"WjK4g9",1,3,2018,46,"Cuba","CUB","CUB",31,"Belize","BZE","BLZ","0",5,"0","0","0","0","0","-","0"
1,"WjK4g9",1,4,2019,46,"Cuba","CUB","CUB",31,"Belize","BZE","BLZ","0",5,"0","0","0","0","0","-","0"
1,"WjK4g9",1,5,2020,46,"Cuba","CUB","CUB",31,"Belize","BZE","BLZ","0",5,"0","0","0","0","0","-","0"
1,"WjK4g9",1,6,2021,46,"Cuba","CUB","CUB",31,"Belize","BZE","BLZ","0",5,"0","0","0","0","0","-","0"
1,"WjK4g9",1,7,2022,46,"Cuba","CUB","CUB",31,"Belize","BZE","BLZ","0",5,"0","0","0","0","0","-","0"
1,"WjK4g9",1,8,2023,46,"Cuba","CUB","CUB",31,"Belize","BZE","BLZ","0",5,"0","0","0","0","0","-","0"
1,"WjK4g9",1,9,2000,58,"Ethiopia","ETH","ETH",31,"Belize","BZE","BLZ","0",5,"0","0","0","0","0","-","0"
1,"WjK4g9",1,10,1984,78,"Guatemala","GUA","GTM",31,"Belize","BZE","BLZ",1180,"0","0","0","0","0","0","-","0"
1,"WjK4g9",1,11,1985,78,"Guatemala","GUA","GTM",31,"Belize","BZE","BLZ",6000,"0","0","0","0","0","0","-","0"
1,"WjK4g9",1,12,1986,78,"Guatemala","GUA","GTM",31,"Belize","BZE","BLZ",6000,"0","0","0","0","0","0","-","0"
1,"WjK4g9",1,13,1987,78,"Guatemala","GUA","GTM",31,"Belize","BZE","BLZ",7000,"0","0","0","0","0","0","-","0"
1,"WjK4g9",1,14,1988,78,"Guatemala","GUA","GTM",31,"Belize","BZE","BLZ",7000,"0","0","0","0","0","0","-","0"
1,"WjK4g9",1,15,1989,78,"Guatemala","GUA","GTM",31,"Belize","BZE","BLZ",1357,"0","0","0","0","0","0","-","0"
1,"WjK4g9",1,16,1990,78,"Guatemala","GUA","GTM",31,"Belize","BZE","BLZ",1460,"0","0","0","0","0","0","-","0"
1,"WjK4g9",1,17,1991,78,"Guatemala","GUA","GTM",31,"Belize","BZE","BLZ",3000,"0","0","0","0","0","0","-","0"
1,"WjK4g9",1,18,1992,78,"Guatemala","GUA","GTM",31,"Belize","BZE","BLZ",3447,"0",200,"0","0","0","0","-","0"
1,"WjK4g9",1,19,1993,78,"Guatemala","GUA","GTM",31,"Belize","BZE","BLZ",2196,"0",18,"0","0","0","0","-","0"
1,"WjK4g9",1,20,1994,78,"Guatemala","GUA","GTM",31,"Belize","BZE","BLZ",2172,"0",30,"0","0","0","0","-","0"
1,"WjK4g9",1,21,1995,78,"Guatemala","GUA","GTM",31,"Belize","BZE","BLZ",2149,"0",20,"0","0","0","0","-","0"
1,"WjK4g9",1,22,1996,78,"Guatemala","GUA","GTM",31,"Belize","BZE","BLZ",2114,"0",34,"0","0","0","0","-","0"
1,"WjK4g9",1,23,1997,78,"Guatemala","GUA","GTM",31,"Belize","BZE","BLZ",2085,"0",25,"0","0","0","0","-","0"
1,"WjK4g9",1,24,1998,78,"Guatemala","GUA","GTM",31,"Belize","BZE","BLZ",856,"0",22,"0","0","0","0","-","0"
1,"WjK4g9",1,25,1999,78,"Guatemala","GUA","GTM",31,"Belize","BZE","BLZ",724,"0",37,"0","0","0","0","-","0"
1,"WjK4g9",1,26,2000,78,"Guatemala","GUA","GTM",31,"Belize","BZE","BLZ",280,"0","0","0","0","0",3341,"-","0"
1,"WjK4g9",1,27,2001,78,"Guatemala","GUA","GTM",31,"Belize","BZE","BLZ",219,"0","0","0","0","0","0","-","0"
1,"WjK4g9",1,28,2002,78,"Guatemala","GUA","GTM",31,"Belize","BZE","BLZ",169,"0","0","0","0","0","0","-","0"
1,"WjK4g9",1,29,2003,78,"Guatemala","GUA","GTM",31,"Belize","BZE","BLZ",84,"0","0","0","0","0","0","-","0"
1,"WjK4g9",1,30,2004,78,"Guatemala","GUA","GTM",31,"Belize","BZE","BLZ",32,"0","0","0","0","0","0","-","0"
1,"WjK4g9",1,31,2005,78,"Guatemala","GUA","GTM",31,"Belize","BZE","BLZ",7,"0","0","0","0","0","0","-","0"
1,"WjK4g9",1,32,2008,78,"Guatemala","GUA","GTM",31,"Belize","BZE","BLZ","0",5,"0","0","0","0","0","-","0"
1,"WjK4g9",1,33,2009,78,"Guatemala","GUA","GTM",31,"Belize","BZE","BLZ","0",10,"0","0","0","0","0","-","0"
1,"WjK4g9",1,34,2010,78,"Guatemala","GUA","GTM",31,"Belize","BZE","BLZ","0",5,"0","0","0","0","0","-","0"
1,"WjK4g9",1,35,2011,78,"Guatemala","GUA","GTM",31,"Belize","BZE","BLZ","0",12,"0","0","0","0","0","-","0"
1,"WjK4g9",1,36,2012,78,"Guatemala","GUA","GTM",31,"Belize","BZE","BLZ","0",11,"0","0","0","0","0","-","0"
1,"WjK4g9",1,37,2013,78,"Guatemala","GUA","GTM",31,"Belize","BZE","BLZ","0",8,"0","0","0","0","0","-","0"
1,"WjK4g9",1,38,2014,78,"Guatemala","GUA","GTM",31,"Belize","BZE","BLZ","0",12,"0","0","0","0","0","-","0"
1,"WjK4g9",1,39,2015,78,"Guatemala","GUA","GTM",31,"Belize","BZE","BLZ","0",117,"0","0","0","0","0","-","0"
1,"WjK4g9",1,40,2016,78,"Guatemala","GUA","GTM",31,"Belize","BZE","BLZ","0",427,"0","0","0","0","0","-","0"
1,"WjK4g9",1,41,2017,78,"Guatemala","GUA","GTM",31,"Belize","BZE","BLZ","0",447,"0","0","0","0","0","-","0"
1,"WjK4g9",1,42,2018,78,"Guatemala","GUA","GTM",31,"Belize","BZE","BLZ","0",453,"0","0","0","0","0","-","0"
1,"WjK4g9",1,43,2019,78,"Guatemala","GUA","GTM",31,"Belize","BZE","BLZ","0",422,"0","0","0","0","0","-","0"
1,"WjK4g9",1,44,2020,78,"Guatemala","GUA","GTM",31,"Belize","BZE","BLZ","0",434,"0","0","0","0","0","-","0"
1,"WjK4g9",1,45,2021,78,"Guatemala","GUA","GTM",31,"Belize","BZE","BLZ","0",416,"0","0","0","0","0","-","0"
1,"WjK4g9",1,46,2022,78,"Guatemala","GUA","GTM",31,"Belize","BZE","BLZ","0",410,"0","0","0","0","0","-","0"
1,"WjK4g9",1,47,2023,78,"Guatemala","GUA","GTM",31,"Belize","BZE","BLZ",6,409,"0","0","0","0","0","-","0"
1,"WjK4g9",1,48,2004,81,"Haiti","HAI","HTI",31,"Belize","BZE","BLZ","0",26,"0","0","0","0","0","-","0"
1,"WjK4g9",1,49,2005,81,"Haiti","HAI","HTI",31,"Belize","BZE","BLZ","0",14,"0","0","0","0","0","-","0"
1,"WjK4g9",1,50,2023,81,"Haiti","HAI","HTI",31,"Belize","BZE","BLZ","0",9,"0","0","0","0","0","-","0"
1,"WjK4g9",1,51,1993,83,"Honduras","HON","HND",31,"Belize","BZE","BLZ",221,"0",5,"0","0","0","0","-","0"
1,"WjK4g9",1,52,1994,83,"Honduras","HON","HND",31,"Belize","BZE","BLZ",221,"0","0","0","0","0","0","-","0"
