"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","idps","oip","stateless","hst","ooc"
1,"VAmAC9",1,1,1994,2,"Afghanistan","AFG","AFG",32,"Cambodia","CAM","KHM",7,"0","0","-","0","0","0"
1,"VAmAC9",1,2,1998,2,"Afghanistan","AFG","AFG",32,"Cambodia","CAM","KHM",5,"0","0","-","0","0","0"
1,"VAmAC9",1,3,1999,2,"Afghanistan","AFG","AFG",32,"Cambodia","CAM","KHM",5,"0","0","-","0","0","0"
1,"VAmAC9",1,4,2000,2,"Afghanistan","AFG","AFG",32,"Cambodia","CAM","KHM",5,6,"0","-","0","0","0"
1,"VAmAC9",1,5,2001,2,"Afghanistan","AFG","AFG",32,"Cambodia","CAM","KHM",17,"0","0","-","0","0","0"
1,"VAmAC9",1,6,2002,2,"Afghanistan","AFG","AFG",32,"Cambodia","CAM","KHM",15,"0","0","-","0","0","0"
1,"VAmAC9",1,7,2003,2,"Afghanistan","AFG","AFG",32,"Cambodia","CAM","KHM",13,"0","0","-","0","0","0"
1,"VAmAC9",1,8,2004,2,"Afghanistan","AFG","AFG",32,"Cambodia","CAM","KHM",7,"0","0","-","0","0","0"
1,"VAmAC9",1,9,1994,32,"Cambodia","CAM","KHM",32,"Cambodia","CAM","KHM","0","0",124100,"-","0","0","0"
1,"VAmAC9",1,10,1995,32,"Cambodia","CAM","KHM",32,"Cambodia","CAM","KHM","0","0",49700,"-","0","0","0"
1,"VAmAC9",1,11,1996,32,"Cambodia","CAM","KHM",32,"Cambodia","CAM","KHM","0","0",29406,"-","0","0","0"
1,"VAmAC9",1,12,1997,37,"China","CHI","CHN",32,"Cambodia","CAM","KHM",5,"0","0","-","0","0","0"
1,"VAmAC9",1,13,1998,37,"China","CHI","CHN",32,"Cambodia","CAM","KHM",5,"0","0","-","0","0","0"
1,"VAmAC9",1,14,1999,37,"China","CHI","CHN",32,"Cambodia","CAM","KHM",5,"0","0","-","0","0","0"
1,"VAmAC9",1,15,2000,37,"China","CHI","CHN",32,"Cambodia","CAM","KHM",8,13,"0","-","0","0","0"
1,"VAmAC9",1,16,2001,37,"China","CHI","CHN",32,"Cambodia","CAM","KHM",10,"0","0","-","0","0","0"
1,"VAmAC9",1,17,2002,37,"China","CHI","CHN",32,"Cambodia","CAM","KHM",7,5,"0","-","0","0","0"
1,"VAmAC9",1,18,2003,37,"China","CHI","CHN",32,"Cambodia","CAM","KHM",9,"0","0","-","0","0","0"
1,"VAmAC9",1,19,2004,37,"China","CHI","CHN",32,"Cambodia","CAM","KHM",6,5,"0","-","0","0","0"
1,"VAmAC9",1,20,2005,37,"China","CHI","CHN",32,"Cambodia","CAM","KHM",7,"0","0","-","0","0","0"
1,"VAmAC9",1,21,2006,37,"China","CHI","CHN",32,"Cambodia","CAM","KHM",5,"0","0","-","0","0","0"
1,"VAmAC9",1,22,2007,37,"China","CHI","CHN",32,"Cambodia","CAM","KHM",5,"0","0","-","0","0","0"
1,"VAmAC9",1,23,2009,37,"China","CHI","CHN",32,"Cambodia","CAM","KHM","0",5,"0","-","0","0","0"
1,"VAmAC9",1,24,2003,41,"Dem. Rep. of the Congo","COD","COD",32,"Cambodia","CAM","KHM","0",5,"0","-","0","0","0"
1,"VAmAC9",1,25,2006,41,"Dem. Rep. of the Congo","COD","COD",32,"Cambodia","CAM","KHM",5,"0","0","-","0","0","0"
1,"VAmAC9",1,26,2014,56,"Eritrea","ERT","ERI",32,"Cambodia","CAM","KHM","0",5,"0","-","0","0","0"
1,"VAmAC9",1,27,2015,56,"Eritrea","ERT","ERI",32,"Cambodia","CAM","KHM","0",5,"0","-","0","0","0"
1,"VAmAC9",1,28,2000,69,"Palestinian","GAZ","PSE",32,"Cambodia","CAM","KHM","0",5,"0","-","0","0","0"
1,"VAmAC9",1,29,2004,69,"Palestinian","GAZ","PSE",32,"Cambodia","CAM","KHM",5,"0","0","-","0","0","0"
1,"VAmAC9",1,30,2005,69,"Palestinian","GAZ","PSE",32,"Cambodia","CAM","KHM",5,"0","0","-","0","0","0"
1,"VAmAC9",1,31,2001,91,"Iran (Islamic Rep. of)","IRN","IRN",32,"Cambodia","CAM","KHM","0",5,"0","-","0","0","0"
1,"VAmAC9",1,32,2015,91,"Iran (Islamic Rep. of)","IRN","IRN",32,"Cambodia","CAM","KHM",5,"0","0","-","0","0","0"
1,"VAmAC9",1,33,1995,92,"Iraq","IRQ","IRQ",32,"Cambodia","CAM","KHM",6,"0","0","-","0","0","0"
1,"VAmAC9",1,34,1996,92,"Iraq","IRQ","IRQ",32,"Cambodia","CAM","KHM",8,"0","0","-","0","0","0"
1,"VAmAC9",1,35,1997,92,"Iraq","IRQ","IRQ",32,"Cambodia","CAM","KHM",5,"0","0","-","0","0","0"
1,"VAmAC9",1,36,2000,92,"Iraq","IRQ","IRQ",32,"Cambodia","CAM","KHM",5,7,"0","-","0","0","0"
