"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","idps","oip","stateless","hst","ooc"
1,"Pw50px",1,1,1993,6,"Angola","ANG","AGO",34,"Central African Rep.","CAR","CAF",9,"0","0","-","0","0","0"
1,"Pw50px",1,2,1994,6,"Angola","ANG","AGO",34,"Central African Rep.","CAR","CAF",14,"0","0","-","0","0","0"
1,"Pw50px",1,3,1995,6,"Angola","ANG","AGO",34,"Central African Rep.","CAR","CAF",13,"0","0","-","0","0","0"
1,"Pw50px",1,4,1996,6,"Angola","ANG","AGO",34,"Central African Rep.","CAR","CAF",7,"0","0","-","0","0","0"
1,"Pw50px",1,5,1997,6,"Angola","ANG","AGO",34,"Central African Rep.","CAR","CAF",10,"0","0","-","0","0","0"
1,"Pw50px",1,6,1998,6,"Angola","ANG","AGO",34,"Central African Rep.","CAR","CAF",11,"0","0","-","0","0","0"
1,"Pw50px",1,7,1999,6,"Angola","ANG","AGO",34,"Central African Rep.","CAR","CAF",39,"0","0","-","0","0","0"
1,"Pw50px",1,8,2000,6,"Angola","ANG","AGO",34,"Central African Rep.","CAR","CAF",42,12,"0","-","0","0","0"
1,"Pw50px",1,9,2001,6,"Angola","ANG","AGO",34,"Central African Rep.","CAR","CAF",48,18,"0","-","0","0","0"
1,"Pw50px",1,10,2002,6,"Angola","ANG","AGO",34,"Central African Rep.","CAR","CAF",48,18,"0","-","0","0","0"
1,"Pw50px",1,11,2003,6,"Angola","ANG","AGO",34,"Central African Rep.","CAR","CAF",50,18,"0","-","0","0","0"
1,"Pw50px",1,12,2004,6,"Angola","ANG","AGO",34,"Central African Rep.","CAR","CAF",33,20,"0","-","0","0","0"
1,"Pw50px",1,13,2005,6,"Angola","ANG","AGO",34,"Central African Rep.","CAR","CAF",38,20,"0","-","0","0","0"
1,"Pw50px",1,14,2006,6,"Angola","ANG","AGO",34,"Central African Rep.","CAR","CAF",5,18,"0","-","0","0","0"
1,"Pw50px",1,15,2007,6,"Angola","ANG","AGO",34,"Central African Rep.","CAR","CAF",5,18,"0","-","0","0","0"
1,"Pw50px",1,16,2008,6,"Angola","ANG","AGO",34,"Central African Rep.","CAR","CAF",11,"0","0","-","0","0","0"
1,"Pw50px",1,17,2009,6,"Angola","ANG","AGO",34,"Central African Rep.","CAR","CAF",11,"0","0","-","0","0","0"
1,"Pw50px",1,18,2010,6,"Angola","ANG","AGO",34,"Central African Rep.","CAR","CAF",11,"0","0","-","0","0","0"
1,"Pw50px",1,19,2011,6,"Angola","ANG","AGO",34,"Central African Rep.","CAR","CAF",7,"0","0","-","0","0","0"
1,"Pw50px",1,20,2012,6,"Angola","ANG","AGO",34,"Central African Rep.","CAR","CAF",9,"0","0","-","0","0","0"
1,"Pw50px",1,21,2013,6,"Angola","ANG","AGO",34,"Central African Rep.","CAR","CAF",9,"0","0","-","0","0","0"
1,"Pw50px",1,22,2014,6,"Angola","ANG","AGO",34,"Central African Rep.","CAR","CAF",15,"0","0","-","0","0","0"
1,"Pw50px",1,23,2015,6,"Angola","ANG","AGO",34,"Central African Rep.","CAR","CAF",15,"0","0","-","0","0","0"
1,"Pw50px",1,24,2016,6,"Angola","ANG","AGO",34,"Central African Rep.","CAR","CAF",13,"0","0","-","0","0","0"
1,"Pw50px",1,25,2017,6,"Angola","ANG","AGO",34,"Central African Rep.","CAR","CAF",14,"0","0","-","0","0","0"
1,"Pw50px",1,26,2018,6,"Angola","ANG","AGO",34,"Central African Rep.","CAR","CAF",14,"0","0","-","0","0","0"
1,"Pw50px",1,27,2019,6,"Angola","ANG","AGO",34,"Central African Rep.","CAR","CAF",13,"0","0","-","0","0","0"
1,"Pw50px",1,28,2020,6,"Angola","ANG","AGO",34,"Central African Rep.","CAR","CAF",13,"0","0","-","0","0","0"
1,"Pw50px",1,29,2021,6,"Angola","ANG","AGO",34,"Central African Rep.","CAR","CAF",12,"0","0","-","0","0","0"
1,"Pw50px",1,30,2022,6,"Angola","ANG","AGO",34,"Central African Rep.","CAR","CAF",13,"0","0","-","0","0","0"
1,"Pw50px",1,31,2023,6,"Angola","ANG","AGO",34,"Central African Rep.","CAR","CAF",12,"0","0","-","0","0","0"
1,"Pw50px",1,32,2024,6,"Angola","ANG","AGO",34,"Central African Rep.","CAR","CAF",12,"0","0","-","0","0","0"
1,"Pw50px",1,33,2025,6,"Angola","ANG","AGO",34,"Central African Rep.","CAR","CAF",12,"0","0","-","0","0","0"
1,"Pw50px",1,34,1993,16,"Burundi","BDI","BDI",34,"Central African Rep.","CAR","CAF",29,"0","0","-","0","0","0"
1,"Pw50px",1,35,1994,16,"Burundi","BDI","BDI",34,"Central African Rep.","CAR","CAF",115,"0","0","-","0","0","0"
1,"Pw50px",1,36,1995,16,"Burundi","BDI","BDI",34,"Central African Rep.","CAR","CAF",210,"0","0","-","0","0","0"
1,"Pw50px",1,37,1996,16,"Burundi","BDI","BDI",34,"Central African Rep.","CAR","CAF",179,"0","0","-","0","0","0"
1,"Pw50px",1,38,1997,16,"Burundi","BDI","BDI",34,"Central African Rep.","CAR","CAF",184,"0","0","-","0","0","0"
1,"Pw50px",1,39,1998,16,"Burundi","BDI","BDI",34,"Central African Rep.","CAR","CAF",183,"0","0","-","0","0","0"
1,"Pw50px",1,40,1999,16,"Burundi","BDI","BDI",34,"Central African Rep.","CAR","CAF",57,"0","0","-","0","0","0"
1,"Pw50px",1,41,2000,16,"Burundi","BDI","BDI",34,"Central African Rep.","CAR","CAF",59,"0","0","-","0","0","0"
