"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"AuAw09",1,1,2009,2,"Afghanistan","AFG","AFG",35,"Cayman Islands","CAY","CYM","0",5,"0","0","0","0","0","-","-"
1,"AuAw09",1,2,2010,2,"Afghanistan","AFG","AFG",35,"Cayman Islands","CAY","CYM","0",5,"0","0","0","0","0","-","-"
1,"AuAw09",1,3,2013,46,"Cuba","CUB","CUB",35,"Cayman Islands","CAY","CYM","0",5,"0","0","0","0","0","-","-"
1,"AuAw09",1,4,2014,46,"Cuba","CUB","CUB",35,"Cayman Islands","CAY","CYM","0","0","0","0","0","0",45,"-","-"
1,"AuAw09",1,5,2015,46,"Cuba","CUB","CUB",35,"Cayman Islands","CAY","CYM",5,"0","0","0","0","0","0","-","-"
1,"AuAw09",1,6,2016,46,"Cuba","CUB","CUB",35,"Cayman Islands","CAY","CYM",13,24,"0","0","0","0","0","-","-"
1,"AuAw09",1,7,2017,46,"Cuba","CUB","CUB",35,"Cayman Islands","CAY","CYM",24,28,"0","0","0","0","0","-","-"
1,"AuAw09",1,8,2018,46,"Cuba","CUB","CUB",35,"Cayman Islands","CAY","CYM",29,27,"0","0","0","0","0","-","-"
1,"AuAw09",1,9,2019,46,"Cuba","CUB","CUB",35,"Cayman Islands","CAY","CYM",34,14,"0","0","0","0","0","-","-"
1,"AuAw09",1,10,2020,46,"Cuba","CUB","CUB",35,"Cayman Islands","CAY","CYM",38,28,"0","0","0","0","0","-","-"
1,"AuAw09",1,11,2021,46,"Cuba","CUB","CUB",35,"Cayman Islands","CAY","CYM",57,30,"0","0","0","0","0","-","-"
1,"AuAw09",1,12,2022,46,"Cuba","CUB","CUB",35,"Cayman Islands","CAY","CYM",47,242,"0","0","0","0","0","-","0"
1,"AuAw09",1,13,2023,46,"Cuba","CUB","CUB",35,"Cayman Islands","CAY","CYM",47,246,"0","0","0","0","0","-","0"
1,"AuAw09",1,14,2022,81,"Haiti","HAI","HTI",35,"Cayman Islands","CAY","CYM","0","0","0","0","0","0",78,"-","0"
1,"AuAw09",1,15,2023,81,"Haiti","HAI","HTI",35,"Cayman Islands","CAY","CYM","0","0","0","0","0","0",43,"-","0"
1,"AuAw09",1,16,2013,124,"Mexico","MEX","MEX",35,"Cayman Islands","CAY","CYM",5,"0","0","0","0","0","0","-","-"
1,"AuAw09",1,17,2014,124,"Mexico","MEX","MEX",35,"Cayman Islands","CAY","CYM",5,"0","0","0","0","0","0","-","-"
1,"AuAw09",1,18,2015,124,"Mexico","MEX","MEX",35,"Cayman Islands","CAY","CYM",5,5,"0","0","0","0","0","-","-"
1,"AuAw09",1,19,2016,124,"Mexico","MEX","MEX",35,"Cayman Islands","CAY","CYM",5,"0","0","0","0","0","0","-","-"
1,"AuAw09",1,20,2017,124,"Mexico","MEX","MEX",35,"Cayman Islands","CAY","CYM",5,"0","0","0","0","0","0","-","-"
1,"AuAw09",1,21,2018,124,"Mexico","MEX","MEX",35,"Cayman Islands","CAY","CYM",5,"0","0","0","0","0","0","-","-"
1,"AuAw09",1,22,2019,207,"Venezuela (Bolivarian Republic of)","VEN","VEN",35,"Cayman Islands","CAY","CYM","0","0","0","0","0","0","0",52,"-"
1,"AuAw09",1,23,2020,207,"Venezuela (Bolivarian Republic of)","VEN","VEN",35,"Cayman Islands","CAY","CYM","0","0","0","0","0","0","0",39,"-"
1,"AuAw09",1,24,2021,207,"Venezuela (Bolivarian Republic of)","VEN","VEN",35,"Cayman Islands","CAY","CYM","0","0","0","0","0","0","0",92,"-"
1,"AuAw09",1,25,2022,207,"Venezuela (Bolivarian Republic of)","VEN","VEN",35,"Cayman Islands","CAY","CYM","0","0","0","0","0","0",144,"-","0"
1,"AuAw09",1,26,2023,207,"Venezuela (Bolivarian Republic of)","VEN","VEN",35,"Cayman Islands","CAY","CYM","0","0","0","0","0","0",73,"-","0"
