"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"T1w7XE",1,1,2003,2,"Afghanistan","AFG","AFG",36,"Chad","CHD","TCD",14,"0","0","0","0","0","0","-","0"
1,"T1w7XE",1,2,2025,4,"Algeria","ALG","DZA",36,"Chad","CHD","TCD",5,"0","0","0","0","0","0","-","0"
1,"T1w7XE",1,3,2025,8,"Egypt","ARE","EGY",36,"Chad","CHD","TCD","0",5,"0","0","0","0","0","-","0"
1,"T1w7XE",1,4,1999,16,"Burundi","BDI","BDI",36,"Chad","CHD","TCD",5,"0","0","0","0","0","0","-","0"
1,"T1w7XE",1,5,2001,16,"Burundi","BDI","BDI",36,"Chad","CHD","TCD",5,"0","0","0","0","0","0","-","0"
1,"T1w7XE",1,6,2002,16,"Burundi","BDI","BDI",36,"Chad","CHD","TCD",5,"0","0","0","0","0","0","-","0"
1,"T1w7XE",1,7,2006,16,"Burundi","BDI","BDI",36,"Chad","CHD","TCD","0","0",5,"0","0","0","0","-","0"
1,"T1w7XE",1,8,2016,16,"Burundi","BDI","BDI",36,"Chad","CHD","TCD","0",5,"0","0","0","0","0","-","0"
1,"T1w7XE",1,9,2017,16,"Burundi","BDI","BDI",36,"Chad","CHD","TCD",5,"0","0","0","0","0","0","-","0"
1,"T1w7XE",1,10,2018,16,"Burundi","BDI","BDI",36,"Chad","CHD","TCD",6,"0","0","0","0","0","0","-","0"
1,"T1w7XE",1,11,2019,16,"Burundi","BDI","BDI",36,"Chad","CHD","TCD",5,"0","0","0","0","0","0","-","0"
1,"T1w7XE",1,12,2020,16,"Burundi","BDI","BDI",36,"Chad","CHD","TCD",5,"0","0","0","0","0","0","-","0"
1,"T1w7XE",1,13,2021,16,"Burundi","BDI","BDI",36,"Chad","CHD","TCD",6,"0","0","0","0","0","0","-","0"
1,"T1w7XE",1,14,2022,16,"Burundi","BDI","BDI",36,"Chad","CHD","TCD",6,"0","0","0","0","0","0","-","0"
1,"T1w7XE",1,15,2023,16,"Burundi","BDI","BDI",36,"Chad","CHD","TCD",7,"0",6,"0","0","0","0","-","0"
1,"T1w7XE",1,16,2024,16,"Burundi","BDI","BDI",36,"Chad","CHD","TCD",6,"0","0","0","0","0","0","-","0"
