"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"tpp5lL",1,1,1990,2,"Afghanistan","AFG","AFG",37,"China","CHI","CHN",50,"0","0","0","0","0","0","-","0"
1,"tpp5lL",1,2,1991,2,"Afghanistan","AFG","AFG",37,"China","CHI","CHN",180,"0","0","0","0","0","0","-","0"
1,"tpp5lL",1,3,1993,2,"Afghanistan","AFG","AFG",37,"China","CHI","CHN","0","0",5,"0","0","0","0","-","0"
1,"tpp5lL",1,4,2002,2,"Afghanistan","AFG","AFG",37,"China","CHI","CHN",8,"0","0","0","0","0","0","-","0"
1,"tpp5lL",1,5,2003,2,"Afghanistan","AFG","AFG",37,"China","CHI","CHN",8,"0","0","0","0","0","0","-","0"
1,"tpp5lL",1,6,2004,2,"Afghanistan","AFG","AFG",37,"China","CHI","CHN",7,"0","0","0","0","0","0","-","0"
1,"tpp5lL",1,7,2005,2,"Afghanistan","AFG","AFG",37,"China","CHI","CHN",7,"0","0","0","0","0","0","-","0"
1,"tpp5lL",1,8,2006,2,"Afghanistan","AFG","AFG",37,"China","CHI","CHN",7,"0","0","0","0","0","0","-","0"
1,"tpp5lL",1,9,2007,2,"Afghanistan","AFG","AFG",37,"China","CHI","CHN",7,"0","0","0","0","0","0","-","0"
1,"tpp5lL",1,10,2009,2,"Afghanistan","AFG","AFG",37,"China","CHI","CHN",7,"0","0","0","0","0","0","-","0"
1,"tpp5lL",1,11,2010,2,"Afghanistan","AFG","AFG",37,"China","CHI","CHN",7,"0","0","0","0","0","0","-","0"
1,"tpp5lL",1,12,2011,2,"Afghanistan","AFG","AFG",37,"China","CHI","CHN",7,"0","0","0","0","0","0","-","0"
1,"tpp5lL",1,13,2012,2,"Afghanistan","AFG","AFG",37,"China","CHI","CHN",7,"0","0","0","0","0","0","-","0"
1,"tpp5lL",1,14,2013,2,"Afghanistan","AFG","AFG",37,"China","CHI","CHN",7,"0","0","0","0","0","0","-","0"
1,"tpp5lL",1,15,2014,2,"Afghanistan","AFG","AFG",37,"China","CHI","CHN",7,"0","0","0","0","0","0","-","0"
1,"tpp5lL",1,16,2015,2,"Afghanistan","AFG","AFG",37,"China","CHI","CHN",7,"0","0","0","0","0","0","-","0"
1,"tpp5lL",1,17,2016,2,"Afghanistan","AFG","AFG",37,"China","CHI","CHN",5,20,"0","0","0","0","0","-","0"
1,"tpp5lL",1,18,2017,2,"Afghanistan","AFG","AFG",37,"China","CHI","CHN",8,18,"0","0","0","0","0","-","0"
1,"tpp5lL",1,19,2018,2,"Afghanistan","AFG","AFG",37,"China","CHI","CHN",9,23,"0","0","0","0","0","-","0"
1,"tpp5lL",1,20,2019,2,"Afghanistan","AFG","AFG",37,"China","CHI","CHN",21,21,"0","0","0","0","0","-","0"
