"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"YqR46a",1,1,2001,2,"Afghanistan","AFG","AFG",38,"Chile","CHL","CHL",5,"0","0","0","0","0","0","-","0"
1,"YqR46a",1,2,2002,2,"Afghanistan","AFG","AFG",38,"Chile","CHL","CHL",5,"0","0","0","0","0","0","-","0"
1,"YqR46a",1,3,2003,2,"Afghanistan","AFG","AFG",38,"Chile","CHL","CHL",17,"0","0","0","0","0","0","-","0"
1,"YqR46a",1,4,2004,2,"Afghanistan","AFG","AFG",38,"Chile","CHL","CHL",15,"0","0","0","0","0","0","-","0"
1,"YqR46a",1,5,2005,2,"Afghanistan","AFG","AFG",38,"Chile","CHL","CHL",16,"0","0","0","0","0","0","-","0"
1,"YqR46a",1,6,2006,2,"Afghanistan","AFG","AFG",38,"Chile","CHL","CHL",17,"0","0","0","0","0","0","-","0"
1,"YqR46a",1,7,2007,2,"Afghanistan","AFG","AFG",38,"Chile","CHL","CHL",17,"0","0","0","0","0","0","-","0"
1,"YqR46a",1,8,2008,2,"Afghanistan","AFG","AFG",38,"Chile","CHL","CHL",16,"0","0","0","0","0","0","-","0"
1,"YqR46a",1,9,2010,2,"Afghanistan","AFG","AFG",38,"Chile","CHL","CHL",12,"0","0","0","0","0","0","-","0"
1,"YqR46a",1,10,2011,2,"Afghanistan","AFG","AFG",38,"Chile","CHL","CHL",12,"0","0","0","0","0","0","-","0"
1,"YqR46a",1,11,2012,2,"Afghanistan","AFG","AFG",38,"Chile","CHL","CHL",12,"0","0","0","0","0","0","-","0"
1,"YqR46a",1,12,2013,2,"Afghanistan","AFG","AFG",38,"Chile","CHL","CHL",14,"0","0","0","0","0","0","-","0"
1,"YqR46a",1,13,2014,2,"Afghanistan","AFG","AFG",38,"Chile","CHL","CHL",14,"0","0","0","0","0","0","-","0"
1,"YqR46a",1,14,2015,2,"Afghanistan","AFG","AFG",38,"Chile","CHL","CHL",14,"0","0","0","0","0","0","-","0"
1,"YqR46a",1,15,2016,2,"Afghanistan","AFG","AFG",38,"Chile","CHL","CHL",13,"0","0","0","0","0","0","-","0"
1,"YqR46a",1,16,2017,2,"Afghanistan","AFG","AFG",38,"Chile","CHL","CHL",13,12,"0","0","0","0","0","-","0"
1,"YqR46a",1,17,2018,2,"Afghanistan","AFG","AFG",38,"Chile","CHL","CHL",13,13,"0","0","0","0","0","-","0"
1,"YqR46a",1,18,2019,2,"Afghanistan","AFG","AFG",38,"Chile","CHL","CHL",13,13,"0","0","0","0","0","-","0"
1,"YqR46a",1,19,2020,2,"Afghanistan","AFG","AFG",38,"Chile","CHL","CHL",13,13,"0","0","0","0","0","-","0"
1,"YqR46a",1,20,2021,2,"Afghanistan","AFG","AFG",38,"Chile","CHL","CHL",13,87,"0","0","0","0","0","-","0"
1,"YqR46a",1,21,2022,2,"Afghanistan","AFG","AFG",38,"Chile","CHL","CHL",19,227,"0","0","0","0","0","-","0"
1,"YqR46a",1,22,2023,2,"Afghanistan","AFG","AFG",38,"Chile","CHL","CHL",156,70,"0","0","0","0","0","-","0"
1,"YqR46a",1,23,2024,2,"Afghanistan","AFG","AFG",38,"Chile","CHL","CHL",218,10,"0","0","0","0","0","-","0"
1,"YqR46a",1,24,2025,2,"Afghanistan","AFG","AFG",38,"Chile","CHL","CHL",217,"0","0","0","0","0","0","-","0"
1,"YqR46a",1,25,1995,6,"Angola","ANG","AGO",38,"Chile","CHL","CHL",5,"0","0","0","0","0","0","-","0"
1,"YqR46a",1,26,1996,6,"Angola","ANG","AGO",38,"Chile","CHL","CHL",5,"0","0","0","0","0","0","-","0"
1,"YqR46a",1,27,1997,6,"Angola","ANG","AGO",38,"Chile","CHL","CHL",6,"0","0","0","0","0","0","-","0"
1,"YqR46a",1,28,1998,6,"Angola","ANG","AGO",38,"Chile","CHL","CHL",6,"0","0","0","0","0","0","-","0"
1,"YqR46a",1,29,1999,6,"Angola","ANG","AGO",38,"Chile","CHL","CHL",6,"0","0","0","0","0","0","-","0"
1,"YqR46a",1,30,2000,6,"Angola","ANG","AGO",38,"Chile","CHL","CHL",6,"0","0","0","0","0","0","-","0"
1,"YqR46a",1,31,2001,6,"Angola","ANG","AGO",38,"Chile","CHL","CHL",6,"0","0","0","0","0","0","-","0"
1,"YqR46a",1,32,2002,6,"Angola","ANG","AGO",38,"Chile","CHL","CHL",6,"0","0","0","0","0","0","-","0"
1,"YqR46a",1,33,2003,6,"Angola","ANG","AGO",38,"Chile","CHL","CHL",6,"0","0","0","0","0","0","-","0"
1,"YqR46a",1,34,2004,6,"Angola","ANG","AGO",38,"Chile","CHL","CHL",6,"0","0","0","0","0","0","-","0"
1,"YqR46a",1,35,2005,6,"Angola","ANG","AGO",38,"Chile","CHL","CHL",6,"0","0","0","0","0","0","-","0"
1,"YqR46a",1,36,2006,6,"Angola","ANG","AGO",38,"Chile","CHL","CHL",6,"0","0","0","0","0","0","-","0"
1,"YqR46a",1,37,2007,6,"Angola","ANG","AGO",38,"Chile","CHL","CHL",6,"0","0","0","0","0","0","-","0"
1,"YqR46a",1,38,2008,6,"Angola","ANG","AGO",38,"Chile","CHL","CHL",6,"0","0","0","0","0","0","-","0"
1,"YqR46a",1,39,2017,6,"Angola","ANG","AGO",38,"Chile","CHL","CHL","0",8,"0","0","0","0","0","-","0"
1,"YqR46a",1,40,2018,6,"Angola","ANG","AGO",38,"Chile","CHL","CHL","0",8,"0","0","0","0","0","-","0"
1,"YqR46a",1,41,2019,6,"Angola","ANG","AGO",38,"Chile","CHL","CHL","0",5,"0","0","0","0","0","-","0"
1,"YqR46a",1,42,2020,6,"Angola","ANG","AGO",38,"Chile","CHL","CHL","0",5,"0","0","0","0","0","-","0"
1,"YqR46a",1,43,2021,6,"Angola","ANG","AGO",38,"Chile","CHL","CHL","0",5,"0","0","0","0","0","-","0"
1,"YqR46a",1,44,2022,6,"Angola","ANG","AGO",38,"Chile","CHL","CHL","0",5,"0","0","0","0","0","-","0"
1,"YqR46a",1,45,2023,6,"Angola","ANG","AGO",38,"Chile","CHL","CHL","0",5,"0","0","0","0","0","-","0"
1,"YqR46a",1,46,2024,6,"Angola","ANG","AGO",38,"Chile","CHL","CHL","0",5,"0","0","0","0","0","-","0"
1,"YqR46a",1,47,2016,8,"Egypt","ARE","EGY",38,"Chile","CHL","CHL","0",5,"0","0","0","0","0","-","0"
1,"YqR46a",1,48,2017,8,"Egypt","ARE","EGY",38,"Chile","CHL","CHL","0",5,"0","0","0","0","0","-","0"
1,"YqR46a",1,49,2016,9,"Argentina","ARG","ARG",38,"Chile","CHL","CHL","0",5,"0","0","0","0","0","-","0"
1,"YqR46a",1,50,2005,13,"Azerbaijan","AZE","AZE",38,"Chile","CHL","CHL",5,"0","0","0","0","0","0","-","0"
1,"YqR46a",1,51,2006,16,"Burundi","BDI","BDI",38,"Chile","CHL","CHL",5,"0","0","0","0","0","0","-","0"
1,"YqR46a",1,52,2007,16,"Burundi","BDI","BDI",38,"Chile","CHL","CHL",5,"0","0","0","0","0","0","-","0"
1,"YqR46a",1,53,2008,16,"Burundi","BDI","BDI",38,"Chile","CHL","CHL",5,"0","0","0","0","0","0","-","0"
1,"YqR46a",1,54,2001,20,"Bangladesh","BGD","BGD",38,"Chile","CHL","CHL","0",5,"0","0","0","0","0","-","0"
1,"YqR46a",1,55,2016,20,"Bangladesh","BGD","BGD",38,"Chile","CHL","CHL","0",5,"0","0","0","0","0","-","0"
1,"YqR46a",1,56,2017,20,"Bangladesh","BGD","BGD",38,"Chile","CHL","CHL","0",5,"0","0","0","0","0","-","0"
1,"YqR46a",1,57,2018,20,"Bangladesh","BGD","BGD",38,"Chile","CHL","CHL","0",8,"0","0","0","0","0","-","0"
1,"YqR46a",1,58,2019,20,"Bangladesh","BGD","BGD",38,"Chile","CHL","CHL","0",7,"0","0","0","0","0","-","0"
1,"YqR46a",1,59,2020,20,"Bangladesh","BGD","BGD",38,"Chile","CHL","CHL","0",7,"0","0","0","0","0","-","0"
1,"YqR46a",1,60,2021,20,"Bangladesh","BGD","BGD",38,"Chile","CHL","CHL","0",7,"0","0","0","0","0","-","0"
1,"YqR46a",1,61,2022,20,"Bangladesh","BGD","BGD",38,"Chile","CHL","CHL","0",7,"0","0","0","0","0","-","0"
