"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","idps","oip","stateless","hst","ooc"
1,"wVvI71",1,1,2017,4,"Algeria","ALG","DZA",40,"Congo","COB","COG","0",5,"0","-","0","0","0"
1,"wVvI71",1,2,2018,4,"Algeria","ALG","DZA",40,"Congo","COB","COG","0",5,"0","-","0","0","0"
1,"wVvI71",1,3,1974,6,"Angola","ANG","AGO",40,"Congo","COB","COG",10000,"0","0","-","0","0","0"
1,"wVvI71",1,4,1975,6,"Angola","ANG","AGO",40,"Congo","COB","COG",5000,"0","0","-","0","0","0"
1,"wVvI71",1,5,1978,6,"Angola","ANG","AGO",40,"Congo","COB","COG",150,"0","0","-","0","0","0"
1,"wVvI71",1,6,1993,6,"Angola","ANG","AGO",40,"Congo","COB","COG",10065,"0","0","-","0","0","0"
1,"wVvI71",1,7,1994,6,"Angola","ANG","AGO",40,"Congo","COB","COG",12697,"0","0","-","0","0","0"
1,"wVvI71",1,8,1995,6,"Angola","ANG","AGO",40,"Congo","COB","COG",19404,"0","0","-","0","0","0"
1,"wVvI71",1,9,1996,6,"Angola","ANG","AGO",40,"Congo","COB","COG",20201,"0","0","-","0","0","0"
1,"wVvI71",1,10,1997,6,"Angola","ANG","AGO",40,"Congo","COB","COG",20606,"0","0","-","0","0","0"
1,"wVvI71",1,11,1998,6,"Angola","ANG","AGO",40,"Congo","COB","COG",20980,"0","0","-","0","0","0"
1,"wVvI71",1,12,1999,6,"Angola","ANG","AGO",40,"Congo","COB","COG",20550,"0","0","-","0","0","0"
1,"wVvI71",1,13,2000,6,"Angola","ANG","AGO",40,"Congo","COB","COG",18515,"0","0","-","0","0","0"
1,"wVvI71",1,14,2001,6,"Angola","ANG","AGO",40,"Congo","COB","COG",17745,"0","0","-","0","0","0"
1,"wVvI71",1,15,2002,6,"Angola","ANG","AGO",40,"Congo","COB","COG",17746,5,"0","-","0","0","0"
1,"wVvI71",1,16,2003,6,"Angola","ANG","AGO",40,"Congo","COB","COG",3881,5,"0","-","0","0","0"
1,"wVvI71",1,17,2004,6,"Angola","ANG","AGO",40,"Congo","COB","COG",3632,5,"0","-","0","0","0"
1,"wVvI71",1,18,2005,6,"Angola","ANG","AGO",40,"Congo","COB","COG",2975,"0","0","-","0","0","0"
1,"wVvI71",1,19,2006,6,"Angola","ANG","AGO",40,"Congo","COB","COG",2666,8,"0","-","0","0","0"
1,"wVvI71",1,20,2007,6,"Angola","ANG","AGO",40,"Congo","COB","COG",2665,10,"0","-","0","0","0"
1,"wVvI71",1,21,2008,6,"Angola","ANG","AGO",40,"Congo","COB","COG",2652,25,"0","-","0","0","0"
1,"wVvI71",1,22,2009,6,"Angola","ANG","AGO",40,"Congo","COB","COG",813,36,"0","-","0","0","0"
1,"wVvI71",1,23,2010,6,"Angola","ANG","AGO",40,"Congo","COB","COG",828,46,"0","-","0","0","0"
1,"wVvI71",1,24,2011,6,"Angola","ANG","AGO",40,"Congo","COB","COG",918,39,"0","-","0","0","0"
1,"wVvI71",1,25,2012,6,"Angola","ANG","AGO",40,"Congo","COB","COG",322,29,"0","-","0","0",590
1,"wVvI71",1,26,2013,6,"Angola","ANG","AGO",40,"Congo","COB","COG",326,66,"0","-","0","0",576
1,"wVvI71",1,27,2014,6,"Angola","ANG","AGO",40,"Congo","COB","COG",467,89,"0","-","0","0",425
1,"wVvI71",1,28,2015,6,"Angola","ANG","AGO",40,"Congo","COB","COG",303,77,"0","-","0","0",144
1,"wVvI71",1,29,2016,6,"Angola","ANG","AGO",40,"Congo","COB","COG",317,77,"0","-","0","0",151
1,"wVvI71",1,30,2017,6,"Angola","ANG","AGO",40,"Congo","COB","COG",318,77,"0","-","0","0",151
1,"wVvI71",1,31,2018,6,"Angola","ANG","AGO",40,"Congo","COB","COG",317,78,"0","-","0","0",148
1,"wVvI71",1,32,2019,6,"Angola","ANG","AGO",40,"Congo","COB","COG",14,46,"0","-","0","0","0"
1,"wVvI71",1,33,2020,6,"Angola","ANG","AGO",40,"Congo","COB","COG",13,46,"0","-","0","0","0"
1,"wVvI71",1,34,2021,6,"Angola","ANG","AGO",40,"Congo","COB","COG",7,45,"0","-","0","0","0"
1,"wVvI71",1,35,2022,6,"Angola","ANG","AGO",40,"Congo","COB","COG",15,45,"0","-","0","0","0"
1,"wVvI71",1,36,2023,6,"Angola","ANG","AGO",40,"Congo","COB","COG",17,54,"0","-","0","0","0"
1,"wVvI71",1,37,2024,6,"Angola","ANG","AGO",40,"Congo","COB","COG",25,54,"0","-","0","0","0"
1,"wVvI71",1,38,2025,6,"Angola","ANG","AGO",40,"Congo","COB","COG",25,54,"0","-","0","0","0"
1,"wVvI71",1,39,2019,8,"Egypt","ARE","EGY",40,"Congo","COB","COG","0","0","0","-","0","0",5
1,"wVvI71",1,40,2020,8,"Egypt","ARE","EGY",40,"Congo","COB","COG","0","0","0","-","0","0",5
1,"wVvI71",1,41,2021,8,"Egypt","ARE","EGY",40,"Congo","COB","COG","0","0","0","-","0","0",5
1,"wVvI71",1,42,2022,8,"Egypt","ARE","EGY",40,"Congo","COB","COG","0","0","0","-","0","0",5
1,"wVvI71",1,43,2023,8,"Egypt","ARE","EGY",40,"Congo","COB","COG","0","0","0","-","0","0",5
1,"wVvI71",1,44,2024,8,"Egypt","ARE","EGY",40,"Congo","COB","COG","0","0","0","-","0","0",5
1,"wVvI71",1,45,1989,16,"Burundi","BDI","BDI",40,"Congo","COB","COG",100,"0","0","-","0","0","0"
1,"wVvI71",1,46,1997,16,"Burundi","BDI","BDI",40,"Congo","COB","COG",6,"0","0","-","0","0","0"
1,"wVvI71",1,47,1998,16,"Burundi","BDI","BDI",40,"Congo","COB","COG",140,"0","0","-","0","0","0"
1,"wVvI71",1,48,1999,16,"Burundi","BDI","BDI",40,"Congo","COB","COG",130,"0","0","-","0","0","0"
1,"wVvI71",1,49,2000,16,"Burundi","BDI","BDI",40,"Congo","COB","COG",130,5,"0","-","0","0","0"
1,"wVvI71",1,50,2001,16,"Burundi","BDI","BDI",40,"Congo","COB","COG",130,"0","0","-","0","0","0"
1,"wVvI71",1,51,2002,16,"Burundi","BDI","BDI",40,"Congo","COB","COG",93,"0","0","-","0","0","0"
1,"wVvI71",1,52,2003,16,"Burundi","BDI","BDI",40,"Congo","COB","COG",76,6,"0","-","0","0","0"
1,"wVvI71",1,53,2004,16,"Burundi","BDI","BDI",40,"Congo","COB","COG",68,13,"0","-","0","0","0"
1,"wVvI71",1,54,2005,16,"Burundi","BDI","BDI",40,"Congo","COB","COG",63,10,"0","-","0","0","0"
1,"wVvI71",1,55,2006,16,"Burundi","BDI","BDI",40,"Congo","COB","COG",47,9,"0","-","0","0","0"
1,"wVvI71",1,56,2007,16,"Burundi","BDI","BDI",40,"Congo","COB","COG",55,8,"0","-","0","0","0"
1,"wVvI71",1,57,2008,16,"Burundi","BDI","BDI",40,"Congo","COB","COG",56,6,"0","-","0","0","0"
1,"wVvI71",1,58,2009,16,"Burundi","BDI","BDI",40,"Congo","COB","COG",54,6,"0","-","0","0","0"
1,"wVvI71",1,59,2010,16,"Burundi","BDI","BDI",40,"Congo","COB","COG",70,20,"0","-","0","0","0"
1,"wVvI71",1,60,2011,16,"Burundi","BDI","BDI",40,"Congo","COB","COG",94,18,"0","-","0","0","0"
1,"wVvI71",1,61,2012,16,"Burundi","BDI","BDI",40,"Congo","COB","COG",95,18,"0","-","0","0","0"
1,"wVvI71",1,62,2013,16,"Burundi","BDI","BDI",40,"Congo","COB","COG",91,18,"0","-","0","0","0"
1,"wVvI71",1,63,2014,16,"Burundi","BDI","BDI",40,"Congo","COB","COG",96,17,"0","-","0","0",5
1,"wVvI71",1,64,2015,16,"Burundi","BDI","BDI",40,"Congo","COB","COG",89,9,"0","-","0","0",14
1,"wVvI71",1,65,2016,16,"Burundi","BDI","BDI",40,"Congo","COB","COG",96,9,"0","-","0","0",13
1,"wVvI71",1,66,2017,16,"Burundi","BDI","BDI",40,"Congo","COB","COG",98,14,"0","-","0","0",13
1,"wVvI71",1,67,2018,16,"Burundi","BDI","BDI",40,"Congo","COB","COG",94,12,"0","-","0","0",16
1,"wVvI71",1,68,2019,16,"Burundi","BDI","BDI",40,"Congo","COB","COG",66,8,"0","-","0","0",11
1,"wVvI71",1,69,2020,16,"Burundi","BDI","BDI",40,"Congo","COB","COG",71,8,"0","-","0","0",10
1,"wVvI71",1,70,2021,16,"Burundi","BDI","BDI",40,"Congo","COB","COG",75,8,"0","-","0","0",10
1,"wVvI71",1,71,2022,16,"Burundi","BDI","BDI",40,"Congo","COB","COG",78,8,"0","-","0","0",12
1,"wVvI71",1,72,2023,16,"Burundi","BDI","BDI",40,"Congo","COB","COG",86,5,"0","-","0","0",14
