"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","idps","oip","stateless","hst","ooc"
1,"0Msg59",1,1,2010,2,"Afghanistan","AFG","AFG",44,"Colombia","COL","COL","0",5,"0","-","0","0","0"
1,"0Msg59",1,2,2011,2,"Afghanistan","AFG","AFG",44,"Colombia","COL","COL","0",7,"0","-","0","0","0"
1,"0Msg59",1,3,2015,2,"Afghanistan","AFG","AFG",44,"Colombia","COL","COL",5,5,"0","-","0","0","0"
1,"0Msg59",1,4,2016,2,"Afghanistan","AFG","AFG",44,"Colombia","COL","COL",8,"0","0","-","0","0","0"
1,"0Msg59",1,5,2017,2,"Afghanistan","AFG","AFG",44,"Colombia","COL","COL",8,"0","0","-","0","0","0"
1,"0Msg59",1,6,2018,2,"Afghanistan","AFG","AFG",44,"Colombia","COL","COL",9,"0","0","-","0","0","0"
1,"0Msg59",1,7,2019,2,"Afghanistan","AFG","AFG",44,"Colombia","COL","COL",9,"0","0","-","0","0","0"
1,"0Msg59",1,8,2020,2,"Afghanistan","AFG","AFG",44,"Colombia","COL","COL",9,"0","0","-","0","0","0"
1,"0Msg59",1,9,2021,2,"Afghanistan","AFG","AFG",44,"Colombia","COL","COL",9,"0","0","-","0","0","0"
1,"0Msg59",1,10,2022,2,"Afghanistan","AFG","AFG",44,"Colombia","COL","COL",9,"0","0","-","0","0","0"
1,"0Msg59",1,11,2023,2,"Afghanistan","AFG","AFG",44,"Colombia","COL","COL",7,"0","0","-","0","0",63
1,"0Msg59",1,12,2024,2,"Afghanistan","AFG","AFG",44,"Colombia","COL","COL",7,"0","0","-","0","0","0"
1,"0Msg59",1,13,2025,2,"Afghanistan","AFG","AFG",44,"Colombia","COL","COL",7,"0","0","-","0","0","0"
1,"0Msg59",1,14,1999,6,"Angola","ANG","AGO",44,"Colombia","COL","COL",5,"0","0","-","0","0","0"
1,"0Msg59",1,15,2000,6,"Angola","ANG","AGO",44,"Colombia","COL","COL",5,"0","0","-","0","0","0"
1,"0Msg59",1,16,2001,6,"Angola","ANG","AGO",44,"Colombia","COL","COL",5,"0","0","-","0","0","0"
1,"0Msg59",1,17,2002,6,"Angola","ANG","AGO",44,"Colombia","COL","COL",5,"0","0","-","0","0","0"
1,"0Msg59",1,18,2003,6,"Angola","ANG","AGO",44,"Colombia","COL","COL",5,"0","0","-","0","0","0"
1,"0Msg59",1,19,2004,6,"Angola","ANG","AGO",44,"Colombia","COL","COL",5,"0","0","-","0","0","0"
1,"0Msg59",1,20,2005,6,"Angola","ANG","AGO",44,"Colombia","COL","COL",5,"0","0","-","0","0","0"
1,"0Msg59",1,21,2006,6,"Angola","ANG","AGO",44,"Colombia","COL","COL",5,"0","0","-","0","0","0"
1,"0Msg59",1,22,2007,6,"Angola","ANG","AGO",44,"Colombia","COL","COL",5,"0","0","-","0","0","0"
1,"0Msg59",1,23,2008,6,"Angola","ANG","AGO",44,"Colombia","COL","COL",5,"0","0","-","0","0","0"
1,"0Msg59",1,24,2009,6,"Angola","ANG","AGO",44,"Colombia","COL","COL",5,"0","0","-","0","0","0"
1,"0Msg59",1,25,2010,6,"Angola","ANG","AGO",44,"Colombia","COL","COL",5,"0","0","-","0","0","0"
1,"0Msg59",1,26,2011,6,"Angola","ANG","AGO",44,"Colombia","COL","COL",5,"0","0","-","0","0","0"
1,"0Msg59",1,27,2012,6,"Angola","ANG","AGO",44,"Colombia","COL","COL",5,"0","0","-","0","0","0"
1,"0Msg59",1,28,2013,6,"Angola","ANG","AGO",44,"Colombia","COL","COL",5,"0","0","-","0","0","0"
1,"0Msg59",1,29,2023,9,"Argentina","ARG","ARG",44,"Colombia","COL","COL","0",5,"0","-","0","0","0"
1,"0Msg59",1,30,2024,20,"Bangladesh","BGD","BGD",44,"Colombia","COL","COL","0","0","0","-","0","0",18
1,"0Msg59",1,31,2009,25,"Bolivia (Plurinational State of)","BOL","BOL",44,"Colombia","COL","COL","0",5,"0","-","0","0","0"
1,"0Msg59",1,32,2011,25,"Bolivia (Plurinational State of)","BOL","BOL",44,"Colombia","COL","COL",5,"0","0","-","0","0","0"
1,"0Msg59",1,33,2014,25,"Bolivia (Plurinational State of)","BOL","BOL",44,"Colombia","COL","COL",5,"0","0","-","0","0","0"
1,"0Msg59",1,34,2015,25,"Bolivia (Plurinational State of)","BOL","BOL",44,"Colombia","COL","COL",5,"0","0","-","0","0","0"
1,"0Msg59",1,35,2016,25,"Bolivia (Plurinational State of)","BOL","BOL",44,"Colombia","COL","COL",5,"0","0","-","0","0","0"
1,"0Msg59",1,36,2017,25,"Bolivia (Plurinational State of)","BOL","BOL",44,"Colombia","COL","COL",5,"0","0","-","0","0","0"
