"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"8RW9sA",1,1,2016,3,"Albania","ALB","ALB",45,"Costa Rica","COS","CRI","0",5,"0","0","0","0","0","-","0"
1,"8RW9sA",1,2,2018,6,"Angola","ANG","AGO",45,"Costa Rica","COS","CRI","0",15,"0","0","0","0","0","-","0"
1,"8RW9sA",1,3,2019,6,"Angola","ANG","AGO",45,"Costa Rica","COS","CRI","0",51,"0","0","0","0","0","-","0"
1,"8RW9sA",1,4,2020,6,"Angola","ANG","AGO",45,"Costa Rica","COS","CRI","0",52,"0","0","0","0","0","-","0"
1,"8RW9sA",1,5,2021,6,"Angola","ANG","AGO",45,"Costa Rica","COS","CRI","0",62,"0","0","0","0","0","-","0"
1,"8RW9sA",1,6,2022,6,"Angola","ANG","AGO",45,"Costa Rica","COS","CRI","0",64,"0","0","0","0","0","-","0"
1,"8RW9sA",1,7,2023,6,"Angola","ANG","AGO",45,"Costa Rica","COS","CRI","0",61,"0","0","0","0","0","-","0"
1,"8RW9sA",1,8,2024,6,"Angola","ANG","AGO",45,"Costa Rica","COS","CRI","0",47,"0","0","0","0","0","-","0"
1,"8RW9sA",1,9,2025,6,"Angola","ANG","AGO",45,"Costa Rica","COS","CRI","0",26,"0","0","0","0","0","-","0"
1,"8RW9sA",1,10,2022,8,"Egypt","ARE","EGY",45,"Costa Rica","COS","CRI",5,"0","0","0","0","0","0","-","0"
1,"8RW9sA",1,11,2023,8,"Egypt","ARE","EGY",45,"Costa Rica","COS","CRI",5,"0","0","0","0","0","0","-","0"
1,"8RW9sA",1,12,1984,9,"Argentina","ARG","ARG",45,"Costa Rica","COS","CRI","0","0",50,"0","0","0","0","-","0"
1,"8RW9sA",1,13,2017,9,"Argentina","ARG","ARG",45,"Costa Rica","COS","CRI","0",5,"0","0","0","0","0","-","0"
1,"8RW9sA",1,14,2018,9,"Argentina","ARG","ARG",45,"Costa Rica","COS","CRI","0",14,"0","0","0","0","0","-","0"
1,"8RW9sA",1,15,2019,9,"Argentina","ARG","ARG",45,"Costa Rica","COS","CRI","0",17,"0","0","0","0","0","-","0"
1,"8RW9sA",1,16,2020,9,"Argentina","ARG","ARG",45,"Costa Rica","COS","CRI","0",8,"0","0","0","0","0","-","0"
1,"8RW9sA",1,17,2021,9,"Argentina","ARG","ARG",45,"Costa Rica","COS","CRI","0",37,"0","0","0","0","0","-","0"
1,"8RW9sA",1,18,2022,9,"Argentina","ARG","ARG",45,"Costa Rica","COS","CRI","0",77,"0","0","0","0","0","-","0"
1,"8RW9sA",1,19,2023,9,"Argentina","ARG","ARG",45,"Costa Rica","COS","CRI","0",74,"0","0","0","0","0","-","0"
1,"8RW9sA",1,20,2024,9,"Argentina","ARG","ARG",45,"Costa Rica","COS","CRI","0",82,"0","0","0","0","0","-","0"
1,"8RW9sA",1,21,2025,9,"Argentina","ARG","ARG",45,"Costa Rica","COS","CRI","0",75,"0","0","0","0","0","-","0"
1,"8RW9sA",1,22,2022,11,"Australia","AUL","AUS",45,"Costa Rica","COS","CRI","0",6,"0","0","0","0","0","-","0"
1,"8RW9sA",1,23,2023,11,"Australia","AUL","AUS",45,"Costa Rica","COS","CRI","0",6,"0","0","0","0","0","-","0"
1,"8RW9sA",1,24,2024,11,"Australia","AUL","AUS",45,"Costa Rica","COS","CRI","0",5,"0","0","0","0","0","-","0"
1,"8RW9sA",1,25,2025,11,"Australia","AUL","AUS",45,"Costa Rica","COS","CRI","0",5,"0","0","0","0","0","-","0"
1,"8RW9sA",1,26,2019,16,"Burundi","BDI","BDI",45,"Costa Rica","COS","CRI",5,"0","0","0","0","0","0","-","0"
1,"8RW9sA",1,27,2020,16,"Burundi","BDI","BDI",45,"Costa Rica","COS","CRI",9,"0","0","0","0","0","0","-","0"
1,"8RW9sA",1,28,2021,16,"Burundi","BDI","BDI",45,"Costa Rica","COS","CRI",9,"0","0","0","0","0","0","-","0"
1,"8RW9sA",1,29,2022,16,"Burundi","BDI","BDI",45,"Costa Rica","COS","CRI",9,"0","0","0","0","0","0","-","0"
1,"8RW9sA",1,30,2023,16,"Burundi","BDI","BDI",45,"Costa Rica","COS","CRI",9,"0","0","0","0","0","0","-","0"
1,"8RW9sA",1,31,2011,20,"Bangladesh","BGD","BGD",45,"Costa Rica","COS","CRI","0",5,"0","0","0","0","0","-","0"
1,"8RW9sA",1,32,2014,20,"Bangladesh","BGD","BGD",45,"Costa Rica","COS","CRI","0",5,"0","0","0","0","0","-","0"
1,"8RW9sA",1,33,2015,20,"Bangladesh","BGD","BGD",45,"Costa Rica","COS","CRI","0",20,"0","0","0","0","0","-","0"
1,"8RW9sA",1,34,2016,20,"Bangladesh","BGD","BGD",45,"Costa Rica","COS","CRI","0",16,"0","0","0","0","0","-","0"
1,"8RW9sA",1,35,2017,20,"Bangladesh","BGD","BGD",45,"Costa Rica","COS","CRI","0",16,"0","0","0","0","0","-","0"
1,"8RW9sA",1,36,2018,20,"Bangladesh","BGD","BGD",45,"Costa Rica","COS","CRI","0",16,"0","0","0","0","0","-","0"
1,"8RW9sA",1,37,2019,20,"Bangladesh","BGD","BGD",45,"Costa Rica","COS","CRI","0",16,"0","0","0","0","0","-","0"
1,"8RW9sA",1,38,2020,20,"Bangladesh","BGD","BGD",45,"Costa Rica","COS","CRI","0",16,"0","0","0","0","0","-","0"
1,"8RW9sA",1,39,2021,20,"Bangladesh","BGD","BGD",45,"Costa Rica","COS","CRI","0",16,"0","0","0","0","0","-","0"
1,"8RW9sA",1,40,2022,20,"Bangladesh","BGD","BGD",45,"Costa Rica","COS","CRI","0",16,"0","0","0","0","0","-","0"
1,"8RW9sA",1,41,2023,20,"Bangladesh","BGD","BGD",45,"Costa Rica","COS","CRI","0",16,"0","0","0","0","0","-","0"
1,"8RW9sA",1,42,2024,20,"Bangladesh","BGD","BGD",45,"Costa Rica","COS","CRI","0",6,"0","0","0","0","0","-","0"
1,"8RW9sA",1,43,2025,20,"Bangladesh","BGD","BGD",45,"Costa Rica","COS","CRI","0",6,"0","0","0","0","0","-","0"
1,"8RW9sA",1,44,2018,23,"Burkina Faso","BKF","BFA",45,"Costa Rica","COS","CRI","0",5,"0","0","0","0","0","-","0"
1,"8RW9sA",1,45,2019,23,"Burkina Faso","BKF","BFA",45,"Costa Rica","COS","CRI","0",5,"0","0","0","0","0","-","0"
1,"8RW9sA",1,46,2020,23,"Burkina Faso","BKF","BFA",45,"Costa Rica","COS","CRI","0",5,"0","0","0","0","0","-","0"
1,"8RW9sA",1,47,2021,23,"Burkina Faso","BKF","BFA",45,"Costa Rica","COS","CRI","0",5,"0","0","0","0","0","-","0"
1,"8RW9sA",1,48,2022,23,"Burkina Faso","BKF","BFA",45,"Costa Rica","COS","CRI","0",5,"0","0","0","0","0","-","0"
1,"8RW9sA",1,49,2023,23,"Burkina Faso","BKF","BFA",45,"Costa Rica","COS","CRI","0",5,"0","0","0","0","0","-","0"
1,"8RW9sA",1,50,2007,24,"Belarus","BLR","BLR",45,"Costa Rica","COS","CRI",8,"0","0","0","0","0","0","-","0"
1,"8RW9sA",1,51,2008,24,"Belarus","BLR","BLR",45,"Costa Rica","COS","CRI",8,"0","0","0","0","0","0","-","0"
1,"8RW9sA",1,52,2009,24,"Belarus","BLR","BLR",45,"Costa Rica","COS","CRI",8,"0","0","0","0","0","0","-","0"
1,"8RW9sA",1,53,2010,24,"Belarus","BLR","BLR",45,"Costa Rica","COS","CRI",8,"0","0","0","0","0","0","-","0"
1,"8RW9sA",1,54,2011,24,"Belarus","BLR","BLR",45,"Costa Rica","COS","CRI",8,"0","0","0","0","0","0","-","0"
1,"8RW9sA",1,55,2012,24,"Belarus","BLR","BLR",45,"Costa Rica","COS","CRI",8,"0","0","0","0","0","0","-","0"
1,"8RW9sA",1,56,2013,24,"Belarus","BLR","BLR",45,"Costa Rica","COS","CRI",8,"0","0","0","0","0","0","-","0"
1,"8RW9sA",1,57,2014,24,"Belarus","BLR","BLR",45,"Costa Rica","COS","CRI",8,"0","0","0","0","0","0","-","0"
1,"8RW9sA",1,58,2021,24,"Belarus","BLR","BLR",45,"Costa Rica","COS","CRI","0",5,"0","0","0","0","0","-","0"
1,"8RW9sA",1,59,2022,24,"Belarus","BLR","BLR",45,"Costa Rica","COS","CRI","0",5,"0","0","0","0","0","-","0"
1,"8RW9sA",1,60,2023,24,"Belarus","BLR","BLR",45,"Costa Rica","COS","CRI","0",5,"0","0","0","0","0","-","0"
1,"8RW9sA",1,61,2024,24,"Belarus","BLR","BLR",45,"Costa Rica","COS","CRI",5,5,"0","0","0","0","0","-","0"
1,"8RW9sA",1,62,2025,24,"Belarus","BLR","BLR",45,"Costa Rica","COS","CRI",5,5,"0","0","0","0","0","-","0"
1,"8RW9sA",1,63,2008,25,"Bolivia (Plurinational State of)","BOL","BOL",45,"Costa Rica","COS","CRI",8,"0","0","0","0","0","0","-","0"
1,"8RW9sA",1,64,2009,25,"Bolivia (Plurinational State of)","BOL","BOL",45,"Costa Rica","COS","CRI",8,"0","0","0","0","0","0","-","0"
1,"8RW9sA",1,65,2010,25,"Bolivia (Plurinational State of)","BOL","BOL",45,"Costa Rica","COS","CRI",8,"0","0","0","0","0","0","-","0"
1,"8RW9sA",1,66,2011,25,"Bolivia (Plurinational State of)","BOL","BOL",45,"Costa Rica","COS","CRI",8,"0","0","0","0","0","0","-","0"
1,"8RW9sA",1,67,2012,25,"Bolivia (Plurinational State of)","BOL","BOL",45,"Costa Rica","COS","CRI",8,"0","0","0","0","0","0","-","0"
1,"8RW9sA",1,68,2013,25,"Bolivia (Plurinational State of)","BOL","BOL",45,"Costa Rica","COS","CRI",8,"0","0","0","0","0","0","-","0"
1,"8RW9sA",1,69,2014,25,"Bolivia (Plurinational State of)","BOL","BOL",45,"Costa Rica","COS","CRI",8,"0","0","0","0","0","0","-","0"
1,"8RW9sA",1,70,2019,25,"Bolivia (Plurinational State of)","BOL","BOL",45,"Costa Rica","COS","CRI","0",5,"0","0","0","0","0","-","0"
1,"8RW9sA",1,71,2020,25,"Bolivia (Plurinational State of)","BOL","BOL",45,"Costa Rica","COS","CRI","0",5,"0","0","0","0","0","-","0"
1,"8RW9sA",1,72,2021,25,"Bolivia (Plurinational State of)","BOL","BOL",45,"Costa Rica","COS","CRI","0",13,"0","0","0","0","0","-","0"
1,"8RW9sA",1,73,2022,25,"Bolivia (Plurinational State of)","BOL","BOL",45,"Costa Rica","COS","CRI","0",21,"0","0","0","0","0","-","0"
1,"8RW9sA",1,74,2023,25,"Bolivia (Plurinational State of)","BOL","BOL",45,"Costa Rica","COS","CRI","0",22,"0","0","0","0","0","-","0"
1,"8RW9sA",1,75,2024,25,"Bolivia (Plurinational State of)","BOL","BOL",45,"Costa Rica","COS","CRI",8,27,"0","0","0","0","0","-","0"
1,"8RW9sA",1,76,2025,25,"Bolivia (Plurinational State of)","BOL","BOL",45,"Costa Rica","COS","CRI",8,33,"0","0","0","0","0","-","0"
1,"8RW9sA",1,77,2015,27,"Brazil","BRA","BRA",45,"Costa Rica","COS","CRI","0",5,"0","0","0","0","0","-","0"
1,"8RW9sA",1,78,2016,27,"Brazil","BRA","BRA",45,"Costa Rica","COS","CRI","0",5,"0","0","0","0","0","-","0"
1,"8RW9sA",1,79,2017,27,"Brazil","BRA","BRA",45,"Costa Rica","COS","CRI","0",5,"0","0","0","0","0","-","0"
1,"8RW9sA",1,80,2018,27,"Brazil","BRA","BRA",45,"Costa Rica","COS","CRI","0",5,"0","0","0","0","0","-","0"
1,"8RW9sA",1,81,2019,27,"Brazil","BRA","BRA",45,"Costa Rica","COS","CRI","0",12,"0","0","0","0","0","-","0"
1,"8RW9sA",1,82,2020,27,"Brazil","BRA","BRA",45,"Costa Rica","COS","CRI","0",13,"0","0","0","0","0","-","0"
1,"8RW9sA",1,83,2021,27,"Brazil","BRA","BRA",45,"Costa Rica","COS","CRI","0",165,"0","0","0","0","0","-","0"
1,"8RW9sA",1,84,2022,27,"Brazil","BRA","BRA",45,"Costa Rica","COS","CRI","0",167,"0","0","0","0","0","-","0"
1,"8RW9sA",1,85,2023,27,"Brazil","BRA","BRA",45,"Costa Rica","COS","CRI","0",170,"0","0","0","0","0","-","0"
1,"8RW9sA",1,86,2024,27,"Brazil","BRA","BRA",45,"Costa Rica","COS","CRI","0",155,"0","0","0","0","0","-","0"
