"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"K3zFsc",1,1,2011,44,"Colombia","COL","COL",254,"Curacao ","CUW","CUW","0",5,"0","0","0","0","0","-","0"
1,"K3zFsc",1,2,2012,44,"Colombia","COL","COL",254,"Curacao ","CUW","CUW",6,"0","0","0","0","0","0","-","0"
1,"K3zFsc",1,3,2013,44,"Colombia","COL","COL",254,"Curacao ","CUW","CUW",6,14,"0","0","0","0","0","-","0"
1,"K3zFsc",1,4,2014,44,"Colombia","COL","COL",254,"Curacao ","CUW","CUW",27,13,"0","0","0","0","0","-","0"
1,"K3zFsc",1,5,2015,44,"Colombia","COL","COL",254,"Curacao ","CUW","CUW",34,15,"0","0","0","0","0","-","0"
1,"K3zFsc",1,6,2016,44,"Colombia","COL","COL",254,"Curacao ","CUW","CUW",35,35,"0","0","0","0","0","-","0"
1,"K3zFsc",1,7,2017,44,"Colombia","COL","COL",254,"Curacao ","CUW","CUW",45,68,"0","0","0","0","0","-","0"
1,"K3zFsc",1,8,2018,44,"Colombia","COL","COL",254,"Curacao ","CUW","CUW",53,57,"0","0","0","0","0","-","0"
1,"K3zFsc",1,9,2019,44,"Colombia","COL","COL",254,"Curacao ","CUW","CUW",28,49,"0","0","0","0","0","-","0"
1,"K3zFsc",1,10,2020,44,"Colombia","COL","COL",254,"Curacao ","CUW","CUW",44,33,"0","0","0","0","0","-","0"
1,"K3zFsc",1,11,2012,46,"Cuba","CUB","CUB",254,"Curacao ","CUW","CUW","0",24,"0","0","0","0","0","-","0"
1,"K3zFsc",1,12,2013,46,"Cuba","CUB","CUB",254,"Curacao ","CUW","CUW","0",31,"0","0","0","0","0","-","0"
1,"K3zFsc",1,13,2014,46,"Cuba","CUB","CUB",254,"Curacao ","CUW","CUW","0",27,"0","0","0","0","0","-","0"
1,"K3zFsc",1,14,2015,46,"Cuba","CUB","CUB",254,"Curacao ","CUW","CUW",5,9,"0","0","0","0","0","-","0"
1,"K3zFsc",1,15,2016,46,"Cuba","CUB","CUB",254,"Curacao ","CUW","CUW",6,7,"0","0","0","0","0","-","0"
1,"K3zFsc",1,16,2017,46,"Cuba","CUB","CUB",254,"Curacao ","CUW","CUW",6,6,"0","0","0","0","0","-","0"
1,"K3zFsc",1,17,2018,46,"Cuba","CUB","CUB",254,"Curacao ","CUW","CUW",6,6,"0","0","0","0","0","-","0"
1,"K3zFsc",1,18,2010,95,"Jamaica","JAM","JAM",254,"Curacao ","CUW","CUW",7,"0","0","0","0","0","0","-","0"
1,"K3zFsc",1,19,2011,95,"Jamaica","JAM","JAM",254,"Curacao ","CUW","CUW",6,"0","0","0","0","0","0","-","0"
1,"K3zFsc",1,20,2012,95,"Jamaica","JAM","JAM",254,"Curacao ","CUW","CUW",7,"0","0","0","0","0","0","-","0"
1,"K3zFsc",1,21,2013,95,"Jamaica","JAM","JAM",254,"Curacao ","CUW","CUW",7,"0","0","0","0","0","0","-","0"
1,"K3zFsc",1,22,2014,95,"Jamaica","JAM","JAM",254,"Curacao ","CUW","CUW",7,"0","0","0","0","0","0","-","0"
1,"K3zFsc",1,23,2015,95,"Jamaica","JAM","JAM",254,"Curacao ","CUW","CUW",7,"0","0","0","0","0","0","-","0"
1,"K3zFsc",1,24,2016,95,"Jamaica","JAM","JAM",254,"Curacao ","CUW","CUW",7,"0","0","0","0","0","0","-","0"
1,"K3zFsc",1,25,2018,95,"Jamaica","JAM","JAM",254,"Curacao ","CUW","CUW",5,"0","0","0","0","0","0","-","0"
1,"K3zFsc",1,26,2015,185,"Syrian Arab Rep.","SYR","SYR",254,"Curacao ","CUW","CUW","0",5,"0","0","0","0","0","-","0"
1,"K3zFsc",1,27,2015,207,"Venezuela (Bolivarian Republic of)","VEN","VEN",254,"Curacao ","CUW","CUW","0",5,"0","0","0","0","0","-","0"
1,"K3zFsc",1,28,2016,207,"Venezuela (Bolivarian Republic of)","VEN","VEN",254,"Curacao ","CUW","CUW",5,13,"0","0","0","0","0","-","0"
1,"K3zFsc",1,29,2017,207,"Venezuela (Bolivarian Republic of)","VEN","VEN",254,"Curacao ","CUW","CUW",23,655,"0","0","0","0","0","-","0"
1,"K3zFsc",1,30,2018,207,"Venezuela (Bolivarian Republic of)","VEN","VEN",254,"Curacao ","CUW","CUW",35,279,"0","0","0","0","0",25686,"0"
