"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"O6BBFq",1,1,1968,10,"Armenia","ARM","ARM",48,"Cyprus","CYP","CYP",200,"0","0","0","0","0","0","-","0"
1,"O6BBFq",1,2,1969,10,"Armenia","ARM","ARM",48,"Cyprus","CYP","CYP",200,"0","0","0","0","0","0","-","0"
1,"O6BBFq",1,3,1970,10,"Armenia","ARM","ARM",48,"Cyprus","CYP","CYP",200,"0","0","0","0","0","0","-","0"
1,"O6BBFq",1,4,1971,10,"Armenia","ARM","ARM",48,"Cyprus","CYP","CYP",200,"0","0","0","0","0","0","-","0"
1,"O6BBFq",1,5,1972,196,"Türkiye","TUR","TUR",48,"Cyprus","CYP","CYP",200,"0","0","0","0","0","0","-","0"
1,"O6BBFq",1,6,1977,48,"Cyprus","CYP","CYP",48,"Cyprus","CYP","CYP",700,"0","0","0","0","0","0","-","0"
1,"O6BBFq",1,7,1982,109,"Lebanon","LEB","LBN",48,"Cyprus","CYP","CYP","0","0",7240,"0","0","0","0","-","0"
1,"O6BBFq",1,8,1988,91,"Iran (Islamic Rep. of)","IRN","IRN",48,"Cyprus","CYP","CYP","0","0",230,"0","0","0","0","-","0"
1,"O6BBFq",1,9,1988,262,"Unknown ","UKN","UNK",48,"Cyprus","CYP","CYP",60,"0",110,"0","0","0","0","-","0"
1,"O6BBFq",1,10,1990,91,"Iran (Islamic Rep. of)","IRN","IRN",48,"Cyprus","CYP","CYP",16,"0","0","0","0","0","0","-","0"
1,"O6BBFq",1,11,1990,92,"Iraq","IRQ","IRQ",48,"Cyprus","CYP","CYP",15,"0",80,"0","0","0","0","-","0"
1,"O6BBFq",1,12,1990,109,"Lebanon","LEB","LBN",48,"Cyprus","CYP","CYP","0","0",50,"0","0","0","0","-","0"
1,"O6BBFq",1,13,1990,262,"Unknown ","UKN","UNK",48,"Cyprus","CYP","CYP","0","0",110,"0","0","0","0","-","0"
1,"O6BBFq",1,14,1991,91,"Iran (Islamic Rep. of)","IRN","IRN",48,"Cyprus","CYP","CYP",6,"0","0","0","0","0","0","-","0"
1,"O6BBFq",1,15,1991,92,"Iraq","IRQ","IRQ",48,"Cyprus","CYP","CYP",50,"0","0","0","0","0","0","-","0"
1,"O6BBFq",1,16,1991,172,"Somalia","SOM","SOM",48,"Cyprus","CYP","CYP",5,"0","0","0","0","0","0","-","0"
1,"O6BBFq",1,17,1991,262,"Unknown ","UKN","UNK",48,"Cyprus","CYP","CYP","0","0",50,"0","0","0","0","-","0"
1,"O6BBFq",1,18,1992,262,"Unknown ","UKN","UNK",48,"Cyprus","CYP","CYP",80,"0","0","0","0","0","0","-","0"
1,"O6BBFq",1,19,1993,29,"Bosnia and Herzegovina","BSN","BIH",48,"Cyprus","CYP","CYP",42,"0","0","0","0","0","0","-","0"
1,"O6BBFq",1,20,1993,48,"Cyprus","CYP","CYP",48,"Cyprus","CYP","CYP","0","0","0",265000,"0","0","0","-","0"
1,"O6BBFq",1,21,1993,91,"Iran (Islamic Rep. of)","IRN","IRN",48,"Cyprus","CYP","CYP",10,"0","0","0","0","0","0","-","0"
1,"O6BBFq",1,22,1993,92,"Iraq","IRQ","IRQ",48,"Cyprus","CYP","CYP",24,"0","0","0","0","0","0","-","0"
1,"O6BBFq",1,23,1993,172,"Somalia","SOM","SOM",48,"Cyprus","CYP","CYP",5,"0","0","0","0","0","0","-","0"
1,"O6BBFq",1,24,1994,29,"Bosnia and Herzegovina","BSN","BIH",48,"Cyprus","CYP","CYP",51,"0","0","0","0","0","0","-","0"
1,"O6BBFq",1,25,1994,48,"Cyprus","CYP","CYP",48,"Cyprus","CYP","CYP","0","0","0",265000,"0","0","0","-","0"
1,"O6BBFq",1,26,1994,91,"Iran (Islamic Rep. of)","IRN","IRN",48,"Cyprus","CYP","CYP",5,"0","0","0","0","0","0","-","0"
1,"O6BBFq",1,27,1994,92,"Iraq","IRQ","IRQ",48,"Cyprus","CYP","CYP",6,"0",5,"0","0","0","0","-","0"
1,"O6BBFq",1,28,1994,172,"Somalia","SOM","SOM",48,"Cyprus","CYP","CYP",5,"0","0","0","0","0","0","-","0"
1,"O6BBFq",1,29,1995,29,"Bosnia and Herzegovina","BSN","BIH",48,"Cyprus","CYP","CYP",43,"0","0","0","0","0","0","-","0"
1,"O6BBFq",1,30,1995,48,"Cyprus","CYP","CYP",48,"Cyprus","CYP","CYP","0","0","0",265000,"0","0","0","-","0"
1,"O6BBFq",1,31,1995,92,"Iraq","IRQ","IRQ",48,"Cyprus","CYP","CYP",5,"0","0","0","0","0","0","-","0"
1,"O6BBFq",1,32,1995,172,"Somalia","SOM","SOM",48,"Cyprus","CYP","CYP",5,"0","0","0","0","0","0","-","0"
1,"O6BBFq",1,33,1996,29,"Bosnia and Herzegovina","BSN","BIH",48,"Cyprus","CYP","CYP",11,"0",22,"0","0","0","0","-","0"
1,"O6BBFq",1,34,1996,48,"Cyprus","CYP","CYP",48,"Cyprus","CYP","CYP","0","0","0",265000,"0","0","0","-","0"
1,"O6BBFq",1,35,1996,92,"Iraq","IRQ","IRQ",48,"Cyprus","CYP","CYP",20,"0","0","0","0","0","0","-","0"
1,"O6BBFq",1,36,1996,107,"Libya","LBY","LBY",48,"Cyprus","CYP","CYP",9,"0","0","0","0","0","0","-","0"
1,"O6BBFq",1,37,1996,172,"Somalia","SOM","SOM",48,"Cyprus","CYP","CYP",5,"0","0","0","0","0","0","-","0"
1,"O6BBFq",1,38,1997,29,"Bosnia and Herzegovina","BSN","BIH",48,"Cyprus","CYP","CYP",9,"0",6,"0","0","0","0","-","0"
1,"O6BBFq",1,39,1997,48,"Cyprus","CYP","CYP",48,"Cyprus","CYP","CYP","0","0","0",265000,"0","0","0","-","0"
1,"O6BBFq",1,40,1997,91,"Iran (Islamic Rep. of)","IRN","IRN",48,"Cyprus","CYP","CYP",5,"0","0","0","0","0","0","-","0"
1,"O6BBFq",1,41,1997,92,"Iraq","IRQ","IRQ",48,"Cyprus","CYP","CYP",19,"0","0","0","0","0","0","-","0"
1,"O6BBFq",1,42,1997,172,"Somalia","SOM","SOM",48,"Cyprus","CYP","CYP",5,"0","0","0","0","0","0","-","0"
1,"O6BBFq",1,43,1998,29,"Bosnia and Herzegovina","BSN","BIH",48,"Cyprus","CYP","CYP",5,"0","0","0","0","0","0","-","0"
1,"O6BBFq",1,44,1998,48,"Cyprus","CYP","CYP",48,"Cyprus","CYP","CYP","0","0","0",265000,"0","0","0","-","0"
1,"O6BBFq",1,45,1998,91,"Iran (Islamic Rep. of)","IRN","IRN",48,"Cyprus","CYP","CYP",14,"0","0","0","0","0","0","-","0"
1,"O6BBFq",1,46,1998,92,"Iraq","IRQ","IRQ",48,"Cyprus","CYP","CYP",33,"0","0","0","0","0","0","-","0"
1,"O6BBFq",1,47,1998,169,"Sierra Leone","SLE","SLE",48,"Cyprus","CYP","CYP",5,"0","0","0","0","0","0","-","0"
1,"O6BBFq",1,48,1998,172,"Somalia","SOM","SOM",48,"Cyprus","CYP","CYP",5,"0","0","0","0","0","0","-","0"
1,"O6BBFq",1,49,1998,216,"Stateless","STA","XXA",48,"Cyprus","CYP","CYP",5,"0","0","0","0","0","0","-","0"
1,"O6BBFq",1,50,1998,177,"Sudan","SUD","SDN",48,"Cyprus","CYP","CYP",5,"0","0","0","0","0","0","-","0"
