"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"8PhbPn",1,1,1989,2,"Afghanistan","AFG","AFG",50,"Denmark","DEN","DNK",162,"0","0","0","0","0","0","-","-"
1,"8PhbPn",1,2,1990,2,"Afghanistan","AFG","AFG",50,"Denmark","DEN","DNK",192,"0","0","0","0","0","0","-","-"
1,"8PhbPn",1,3,1991,2,"Afghanistan","AFG","AFG",50,"Denmark","DEN","DNK",235,"0","0","0","0","0","0","-","-"
1,"8PhbPn",1,4,1992,2,"Afghanistan","AFG","AFG",50,"Denmark","DEN","DNK",260,"0","0","0","0","0","0","-","-"
1,"8PhbPn",1,5,1993,2,"Afghanistan","AFG","AFG",50,"Denmark","DEN","DNK",404,"0","0","0","0","0","0","-","-"
1,"8PhbPn",1,6,1994,2,"Afghanistan","AFG","AFG",50,"Denmark","DEN","DNK",547,"0","0","0","0","0","0","-","-"
1,"8PhbPn",1,7,1995,2,"Afghanistan","AFG","AFG",50,"Denmark","DEN","DNK",748,"0","0","0","0","0","0","-","-"
1,"8PhbPn",1,8,1996,2,"Afghanistan","AFG","AFG",50,"Denmark","DEN","DNK",1021,"0","0","0","0","0","0","-","-"
1,"8PhbPn",1,9,1997,2,"Afghanistan","AFG","AFG",50,"Denmark","DEN","DNK",1255,"0","0","0","0","0","0","-","-"
1,"8PhbPn",1,10,1998,2,"Afghanistan","AFG","AFG",50,"Denmark","DEN","DNK",1537,"0","0","0","0","0","0","-","-"
1,"8PhbPn",1,11,1999,2,"Afghanistan","AFG","AFG",50,"Denmark","DEN","DNK",2290,"0","0","0","0","0","0","-","-"
1,"8PhbPn",1,12,2000,2,"Afghanistan","AFG","AFG",50,"Denmark","DEN","DNK",3525,519,"0","0","0","0","0","-","-"
1,"8PhbPn",1,13,2001,2,"Afghanistan","AFG","AFG",50,"Denmark","DEN","DNK",4816,819,"0","0","0","0","0","-","-"
1,"8PhbPn",1,14,2002,2,"Afghanistan","AFG","AFG",50,"Denmark","DEN","DNK",5766,1437,"0","0","0","0","0","-","-"
1,"8PhbPn",1,15,2003,2,"Afghanistan","AFG","AFG",50,"Denmark","DEN","DNK",6369,299,"0","0","0","0","0","-","-"
1,"8PhbPn",1,16,2004,2,"Afghanistan","AFG","AFG",50,"Denmark","DEN","DNK",6437,159,"0","0","0","0","0","-","-"
1,"8PhbPn",1,17,2005,2,"Afghanistan","AFG","AFG",50,"Denmark","DEN","DNK",6381,80,65,"0","0","0","0","-","-"
1,"8PhbPn",1,18,2006,2,"Afghanistan","AFG","AFG",50,"Denmark","DEN","DNK",6306,61,5,"0","0","0","0","-","-"
1,"8PhbPn",1,19,2007,2,"Afghanistan","AFG","AFG",50,"Denmark","DEN","DNK",5378,58,5,"0","0","0","0","-","-"
1,"8PhbPn",1,20,2008,2,"Afghanistan","AFG","AFG",50,"Denmark","DEN","DNK",5214,82,"0","0","0","0","0","-","-"
1,"8PhbPn",1,21,2009,2,"Afghanistan","AFG","AFG",50,"Denmark","DEN","DNK",5026,328,"0","0","0","0","0","-","-"
1,"8PhbPn",1,22,2010,2,"Afghanistan","AFG","AFG",50,"Denmark","DEN","DNK",4467,974,"0","0","0","0","0","-","-"
1,"8PhbPn",1,23,2011,2,"Afghanistan","AFG","AFG",50,"Denmark","DEN","DNK",3108,160,"0","0","0","0","0","-","-"
1,"8PhbPn",1,24,2012,2,"Afghanistan","AFG","AFG",50,"Denmark","DEN","DNK",2515,361,"0","0","0","0","0","-","-"
1,"8PhbPn",1,25,2013,2,"Afghanistan","AFG","AFG",50,"Denmark","DEN","DNK",2139,209,"0","0","0","0","0","-","-"
1,"8PhbPn",1,26,2014,2,"Afghanistan","AFG","AFG",50,"Denmark","DEN","DNK",2130,144,"0","0","0","0","0","-","-"
1,"8PhbPn",1,27,2015,2,"Afghanistan","AFG","AFG",50,"Denmark","DEN","DNK",2166,217,"0","0","0","0","0","-","-"
1,"8PhbPn",1,28,2016,2,"Afghanistan","AFG","AFG",50,"Denmark","DEN","DNK",2364,1689,"0","0","0","0","0","-","-"
1,"8PhbPn",1,29,2017,2,"Afghanistan","AFG","AFG",50,"Denmark","DEN","DNK",2668,769,"0","0","0","0","0","-","-"
1,"8PhbPn",1,30,2018,2,"Afghanistan","AFG","AFG",50,"Denmark","DEN","DNK",2750,284,"0","0","0","0","0","-","-"
1,"8PhbPn",1,31,2019,2,"Afghanistan","AFG","AFG",50,"Denmark","DEN","DNK",2620,79,"0","0","0","0","0","-","-"
1,"8PhbPn",1,32,2020,2,"Afghanistan","AFG","AFG",50,"Denmark","DEN","DNK",2134,82,"0","0","0","0","0","-","-"
1,"8PhbPn",1,33,2021,2,"Afghanistan","AFG","AFG",50,"Denmark","DEN","DNK",1696,540,"0","0","0","0","0","-","-"
1,"8PhbPn",1,34,2022,2,"Afghanistan","AFG","AFG",50,"Denmark","DEN","DNK",1625,478,"0","0","0","0","0","-","0"
1,"8PhbPn",1,35,2023,2,"Afghanistan","AFG","AFG",50,"Denmark","DEN","DNK",1929,252,"0","0","0","0","0","-","0"
1,"8PhbPn",1,36,1991,3,"Albania","ALB","ALB",50,"Denmark","DEN","DNK",5,"0","0","0","0","0","0","-","-"
