"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","idps","oip","stateless","hst","ooc"
1,"1JcwxT",1,1,2025,2,"Afghanistan","AFG","AFG",51,"Djibouti","DJB","DJI","0",5,"0","-","0","0","0"
1,"1JcwxT",1,2,1995,16,"Burundi","BDI","BDI",51,"Djibouti","DJB","DJI",5,"0","0","-","0","0","0"
1,"1JcwxT",1,3,1996,16,"Burundi","BDI","BDI",51,"Djibouti","DJB","DJI",9,"0","0","-","0","0","0"
1,"1JcwxT",1,4,1997,16,"Burundi","BDI","BDI",51,"Djibouti","DJB","DJI",6,"0","0","-","0","0","0"
1,"1JcwxT",1,5,1998,16,"Burundi","BDI","BDI",51,"Djibouti","DJB","DJI",5,"0","0","-","0","0","0"
1,"1JcwxT",1,6,1999,16,"Burundi","BDI","BDI",51,"Djibouti","DJB","DJI",5,"0","0","-","0","0","0"
1,"1JcwxT",1,7,2000,16,"Burundi","BDI","BDI",51,"Djibouti","DJB","DJI",5,"0","0","-","0","0","0"
1,"1JcwxT",1,8,2001,16,"Burundi","BDI","BDI",51,"Djibouti","DJB","DJI",5,"0","0","-","0","0","0"
1,"1JcwxT",1,9,1997,41,"Dem. Rep. of the Congo","COD","COD",51,"Djibouti","DJB","DJI",5,"0","0","-","0","0","0"
1,"1JcwxT",1,10,2012,41,"Dem. Rep. of the Congo","COD","COD",51,"Djibouti","DJB","DJI","0",5,"0","-","0","0","0"
1,"1JcwxT",1,11,2013,41,"Dem. Rep. of the Congo","COD","COD",51,"Djibouti","DJB","DJI","0",5,"0","-","0","0","0"
1,"1JcwxT",1,12,2014,41,"Dem. Rep. of the Congo","COD","COD",51,"Djibouti","DJB","DJI","0",5,"0","-","0","0","0"
1,"1JcwxT",1,13,2019,41,"Dem. Rep. of the Congo","COD","COD",51,"Djibouti","DJB","DJI","0",5,"0","-","0","0","0"
1,"1JcwxT",1,14,2020,41,"Dem. Rep. of the Congo","COD","COD",51,"Djibouti","DJB","DJI",5,9,"0","-","0","0","0"
1,"1JcwxT",1,15,2021,41,"Dem. Rep. of the Congo","COD","COD",51,"Djibouti","DJB","DJI","0",18,"0","-","0","0","0"
1,"1JcwxT",1,16,2022,41,"Dem. Rep. of the Congo","COD","COD",51,"Djibouti","DJB","DJI",5,15,"0","-","0","0","0"
1,"1JcwxT",1,17,2023,41,"Dem. Rep. of the Congo","COD","COD",51,"Djibouti","DJB","DJI",5,15,"0","-","0","0","0"
1,"1JcwxT",1,18,2024,41,"Dem. Rep. of the Congo","COD","COD",51,"Djibouti","DJB","DJI",5,30,"0","-","0","0","0"
1,"1JcwxT",1,19,2025,41,"Dem. Rep. of the Congo","COD","COD",51,"Djibouti","DJB","DJI",5,34,"0","-","0","0","0"
1,"1JcwxT",1,20,2020,51,"Djibouti","DJB","DJI",51,"Djibouti","DJB","DJI","0","0","0","-","0",1301,"0"
1,"1JcwxT",1,21,2021,51,"Djibouti","DJB","DJI",51,"Djibouti","DJB","DJI","0","0","0","-","0",1301,"0"
1,"1JcwxT",1,22,2022,51,"Djibouti","DJB","DJI",51,"Djibouti","DJB","DJI","0","0","0","-","0",640,"0"
1,"1JcwxT",1,23,1981,56,"Eritrea","ERT","ERI",51,"Djibouti","DJB","DJI",200,"0","0","-","0","0","0"
1,"1JcwxT",1,24,1982,56,"Eritrea","ERT","ERI",51,"Djibouti","DJB","DJI",200,"0","0","-","0","0","0"
1,"1JcwxT",1,25,2002,56,"Eritrea","ERT","ERI",51,"Djibouti","DJB","DJI",6,"0","0","-","0","0","0"
1,"1JcwxT",1,26,2003,56,"Eritrea","ERT","ERI",51,"Djibouti","DJB","DJI",6,64,"0","-","0","0","0"
1,"1JcwxT",1,27,2004,56,"Eritrea","ERT","ERI",51,"Djibouti","DJB","DJI",86,"0","0","-","0","0","0"
1,"1JcwxT",1,28,2005,56,"Eritrea","ERT","ERI",51,"Djibouti","DJB","DJI",83,17,"0","-","0","0","0"
1,"1JcwxT",1,29,2006,56,"Eritrea","ERT","ERI",51,"Djibouti","DJB","DJI",64,14,"0","-","0","0","0"
1,"1JcwxT",1,30,2007,56,"Eritrea","ERT","ERI",51,"Djibouti","DJB","DJI",88,107,"0","-","0","0","0"
1,"1JcwxT",1,31,2008,56,"Eritrea","ERT","ERI",51,"Djibouti","DJB","DJI",150,225,"0","-","0","0","0"
1,"1JcwxT",1,32,2009,56,"Eritrea","ERT","ERI",51,"Djibouti","DJB","DJI",293,462,"0","-","0","0","0"
1,"1JcwxT",1,33,2010,56,"Eritrea","ERT","ERI",51,"Djibouti","DJB","DJI",236,360,"0","-","0","0","0"
1,"1JcwxT",1,34,2011,56,"Eritrea","ERT","ERI",51,"Djibouti","DJB","DJI",290,570,"0","-","0","0","0"
1,"1JcwxT",1,35,2012,56,"Eritrea","ERT","ERI",51,"Djibouti","DJB","DJI",292,750,"0","-","0","0","0"
1,"1JcwxT",1,36,2013,56,"Eritrea","ERT","ERI",51,"Djibouti","DJB","DJI",330,871,"0","-","0","0","0"
1,"1JcwxT",1,37,2014,56,"Eritrea","ERT","ERI",51,"Djibouti","DJB","DJI",303,937,"0","-","0","0","0"
1,"1JcwxT",1,38,2015,56,"Eritrea","ERT","ERI",51,"Djibouti","DJB","DJI",319,650,"0","-","0","0","0"
1,"1JcwxT",1,39,2016,56,"Eritrea","ERT","ERI",51,"Djibouti","DJB","DJI",322,749,"0","-","0","0","0"
1,"1JcwxT",1,40,2017,56,"Eritrea","ERT","ERI",51,"Djibouti","DJB","DJI",406,787,"0","-","0","0","0"
1,"1JcwxT",1,41,2018,56,"Eritrea","ERT","ERI",51,"Djibouti","DJB","DJI",382,478,"0","-","0","0","0"
1,"1JcwxT",1,42,2019,56,"Eritrea","ERT","ERI",51,"Djibouti","DJB","DJI",422,469,"0","-","0","0","0"
1,"1JcwxT",1,43,2020,56,"Eritrea","ERT","ERI",51,"Djibouti","DJB","DJI",515,438,"0","-","0","0","0"
1,"1JcwxT",1,44,2021,56,"Eritrea","ERT","ERI",51,"Djibouti","DJB","DJI",617,381,"0","-","0","0","0"
1,"1JcwxT",1,45,2022,56,"Eritrea","ERT","ERI",51,"Djibouti","DJB","DJI",584,465,"0","-","0","0","0"
1,"1JcwxT",1,46,2023,56,"Eritrea","ERT","ERI",51,"Djibouti","DJB","DJI",707,770,"0","-","0","0","0"
1,"1JcwxT",1,47,2024,56,"Eritrea","ERT","ERI",51,"Djibouti","DJB","DJI",1129,394,"0","-","0","0","0"
1,"1JcwxT",1,48,2025,56,"Eritrea","ERT","ERI",51,"Djibouti","DJB","DJI",1199,371,"0","-","0","0","0"
1,"1JcwxT",1,49,1977,58,"Ethiopia","ETH","ETH",51,"Djibouti","DJB","DJI",8000,"0","0","-","0","0","0"
1,"1JcwxT",1,50,1978,58,"Ethiopia","ETH","ETH",51,"Djibouti","DJB","DJI",20000,"0","0","-","0","0","0"
1,"1JcwxT",1,51,1979,58,"Ethiopia","ETH","ETH",51,"Djibouti","DJB","DJI",28800,"0","0","-","0","0","0"
1,"1JcwxT",1,52,1980,58,"Ethiopia","ETH","ETH",51,"Djibouti","DJB","DJI",45310,"0","0","-","0","0","0"
1,"1JcwxT",1,53,1981,58,"Ethiopia","ETH","ETH",51,"Djibouti","DJB","DJI",31600,"0","0","-","0","0","0"
1,"1JcwxT",1,54,1982,58,"Ethiopia","ETH","ETH",51,"Djibouti","DJB","DJI",34000,"0","0","-","0","0","0"
1,"1JcwxT",1,55,1983,58,"Ethiopia","ETH","ETH",51,"Djibouti","DJB","DJI",29170,"0","0","-","0","0","0"
1,"1JcwxT",1,56,1984,58,"Ethiopia","ETH","ETH",51,"Djibouti","DJB","DJI",16770,"0","0","-","0","0","0"
1,"1JcwxT",1,57,1985,58,"Ethiopia","ETH","ETH",51,"Djibouti","DJB","DJI",17280,"0","0","-","0","0","0"
1,"1JcwxT",1,58,1986,58,"Ethiopia","ETH","ETH",51,"Djibouti","DJB","DJI",16720,"0","0","-","0","0","0"
1,"1JcwxT",1,59,1987,58,"Ethiopia","ETH","ETH",51,"Djibouti","DJB","DJI",13140,"0","0","-","0","0","0"
1,"1JcwxT",1,60,1988,58,"Ethiopia","ETH","ETH",51,"Djibouti","DJB","DJI",1272,"0","0","-","0","0","0"
1,"1JcwxT",1,61,1989,58,"Ethiopia","ETH","ETH",51,"Djibouti","DJB","DJI",1449,"0","0","-","0","0","0"
1,"1JcwxT",1,62,1990,58,"Ethiopia","ETH","ETH",51,"Djibouti","DJB","DJI",1426,"0","0","-","0","0","0"
1,"1JcwxT",1,63,1991,58,"Ethiopia","ETH","ETH",51,"Djibouti","DJB","DJI",11516,"0","0","-","0","0","0"
1,"1JcwxT",1,64,1992,58,"Ethiopia","ETH","ETH",51,"Djibouti","DJB","DJI",8000,"0","0","-","0","0","0"
1,"1JcwxT",1,65,1993,58,"Ethiopia","ETH","ETH",51,"Djibouti","DJB","DJI",16383,"0","0","-","0","0","0"
1,"1JcwxT",1,66,1994,58,"Ethiopia","ETH","ETH",51,"Djibouti","DJB","DJI",12798,"0","0","-","0","0","0"
1,"1JcwxT",1,67,1995,58,"Ethiopia","ETH","ETH",51,"Djibouti","DJB","DJI",5979,"0","0","-","0","0","0"
1,"1JcwxT",1,68,1996,58,"Ethiopia","ETH","ETH",51,"Djibouti","DJB","DJI",2046,"0","0","-","0","0","0"
1,"1JcwxT",1,69,1997,58,"Ethiopia","ETH","ETH",51,"Djibouti","DJB","DJI",2000,"0","0","-","0","0","0"
1,"1JcwxT",1,70,1998,58,"Ethiopia","ETH","ETH",51,"Djibouti","DJB","DJI",1924,"0","0","-","0","0","0"
1,"1JcwxT",1,71,1999,58,"Ethiopia","ETH","ETH",51,"Djibouti","DJB","DJI",1582,"0","0","-","0","0","0"
1,"1JcwxT",1,72,2000,58,"Ethiopia","ETH","ETH",51,"Djibouti","DJB","DJI",1508,351,"0","-","0","0","0"
1,"1JcwxT",1,73,2001,58,"Ethiopia","ETH","ETH",51,"Djibouti","DJB","DJI",1428,408,"0","-","0","0","0"
1,"1JcwxT",1,74,2002,58,"Ethiopia","ETH","ETH",51,"Djibouti","DJB","DJI",1445,399,"0","-","0","0","0"
1,"1JcwxT",1,75,2003,58,"Ethiopia","ETH","ETH",51,"Djibouti","DJB","DJI",1554,1253,"0","-","0","0","0"
1,"1JcwxT",1,76,2004,58,"Ethiopia","ETH","ETH",51,"Djibouti","DJB","DJI",616,"0","0","-","0","0","0"
1,"1JcwxT",1,77,2005,58,"Ethiopia","ETH","ETH",51,"Djibouti","DJB","DJI",544,"0","0","-","0","0","0"
1,"1JcwxT",1,78,2006,58,"Ethiopia","ETH","ETH",51,"Djibouti","DJB","DJI",551,"0","0","-","0","0","0"
1,"1JcwxT",1,79,2007,58,"Ethiopia","ETH","ETH",51,"Djibouti","DJB","DJI",580,357,"0","-","0","0","0"
1,"1JcwxT",1,80,2008,58,"Ethiopia","ETH","ETH",51,"Djibouti","DJB","DJI",551,201,"0","-","0","0","0"
1,"1JcwxT",1,81,2009,58,"Ethiopia","ETH","ETH",51,"Djibouti","DJB","DJI",615,425,"0","-","0","0","0"
1,"1JcwxT",1,82,2010,58,"Ethiopia","ETH","ETH",51,"Djibouti","DJB","DJI",631,367,"0","-","0","0",7
1,"1JcwxT",1,83,2011,58,"Ethiopia","ETH","ETH",51,"Djibouti","DJB","DJI",600,1308,"0","-","0","0","0"
1,"1JcwxT",1,84,2012,58,"Ethiopia","ETH","ETH",51,"Djibouti","DJB","DJI",535,2273,"0","-","0","0","0"
1,"1JcwxT",1,85,2013,58,"Ethiopia","ETH","ETH",51,"Djibouti","DJB","DJI",497,2836,"0","-","0","0","0"
1,"1JcwxT",1,86,2014,58,"Ethiopia","ETH","ETH",51,"Djibouti","DJB","DJI",487,2788,"0","-","0","0","0"
1,"1JcwxT",1,87,2015,58,"Ethiopia","ETH","ETH",51,"Djibouti","DJB","DJI",522,1939,"0","-","0","0","0"
1,"1JcwxT",1,88,2016,58,"Ethiopia","ETH","ETH",51,"Djibouti","DJB","DJI",516,7243,"0","-","0","0",54
1,"1JcwxT",1,89,2017,58,"Ethiopia","ETH","ETH",51,"Djibouti","DJB","DJI",527,8504,"0","-","0","0",43
1,"1JcwxT",1,90,2018,58,"Ethiopia","ETH","ETH",51,"Djibouti","DJB","DJI",510,9902,"0","-","0","0","0"
1,"1JcwxT",1,91,2019,58,"Ethiopia","ETH","ETH",51,"Djibouti","DJB","DJI",581,10545,"0","-","0","0","0"
1,"1JcwxT",1,92,2020,58,"Ethiopia","ETH","ETH",51,"Djibouti","DJB","DJI",1413,10225,"0","-","0","0","0"
1,"1JcwxT",1,93,2021,58,"Ethiopia","ETH","ETH",51,"Djibouti","DJB","DJI",2158,10908,"0","-","0","0","0"
1,"1JcwxT",1,94,2022,58,"Ethiopia","ETH","ETH",51,"Djibouti","DJB","DJI",3710,8597,"0","-","0","0","0"
1,"1JcwxT",1,95,2023,58,"Ethiopia","ETH","ETH",51,"Djibouti","DJB","DJI",5435,7575,"0","-","0","0","0"
1,"1JcwxT",1,96,2024,58,"Ethiopia","ETH","ETH",51,"Djibouti","DJB","DJI",5695,8101,"0","-","0","0","0"
1,"1JcwxT",1,97,2025,58,"Ethiopia","ETH","ETH",51,"Djibouti","DJB","DJI",5843,8550,"0","-","0","0","0"
1,"1JcwxT",1,98,2015,69,"Palestinian","GAZ","PSE",51,"Djibouti","DJB","DJI",5,"0","0","-","0","0","0"
1,"1JcwxT",1,99,1994,92,"Iraq","IRQ","IRQ",51,"Djibouti","DJB","DJI",5,"0","0","-","0","0","0"
1,"1JcwxT",1,100,2010,92,"Iraq","IRQ","IRQ",51,"Djibouti","DJB","DJI",5,"0","0","-","0","0","0"
1,"1JcwxT",1,101,2011,92,"Iraq","IRQ","IRQ",51,"Djibouti","DJB","DJI",5,5,"0","-","0","0","0"
1,"1JcwxT",1,102,2012,92,"Iraq","IRQ","IRQ",51,"Djibouti","DJB","DJI",5,5,"0","-","0","0","0"
1,"1JcwxT",1,103,2013,92,"Iraq","IRQ","IRQ",51,"Djibouti","DJB","DJI",5,5,"0","-","0","0","0"
1,"1JcwxT",1,104,2014,92,"Iraq","IRQ","IRQ",51,"Djibouti","DJB","DJI",5,5,"0","-","0","0","0"
1,"1JcwxT",1,105,2015,92,"Iraq","IRQ","IRQ",51,"Djibouti","DJB","DJI",12,5,"0","-","0","0","0"
1,"1JcwxT",1,106,2016,92,"Iraq","IRQ","IRQ",51,"Djibouti","DJB","DJI",14,5,"0","-","0","0","0"
1,"1JcwxT",1,107,2017,92,"Iraq","IRQ","IRQ",51,"Djibouti","DJB","DJI",14,5,"0","-","0","0","0"
