"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","idps","oip","stateless","hst","ooc"
1,"46f8Xd",1,1,2014,2,"Afghanistan","AFG","AFG",53,"Dominican Rep.","DOM","DOM","0",5,"0","-","0","0","0"
1,"46f8Xd",1,2,2015,2,"Afghanistan","AFG","AFG",53,"Dominican Rep.","DOM","DOM",5,"0","0","-","0","0","0"
1,"46f8Xd",1,3,2016,2,"Afghanistan","AFG","AFG",53,"Dominican Rep.","DOM","DOM",5,"0","0","-","0","0","0"
1,"46f8Xd",1,4,2017,2,"Afghanistan","AFG","AFG",53,"Dominican Rep.","DOM","DOM",5,7,"0","-","0","0","0"
1,"46f8Xd",1,5,2018,2,"Afghanistan","AFG","AFG",53,"Dominican Rep.","DOM","DOM","0",5,"0","-","0","0","0"
1,"46f8Xd",1,6,2019,2,"Afghanistan","AFG","AFG",53,"Dominican Rep.","DOM","DOM","0",9,"0","-","0","0","0"
1,"46f8Xd",1,7,2020,2,"Afghanistan","AFG","AFG",53,"Dominican Rep.","DOM","DOM","0",8,"0","-","0","0","0"
1,"46f8Xd",1,8,2021,2,"Afghanistan","AFG","AFG",53,"Dominican Rep.","DOM","DOM","0",8,"0","-","0","0","0"
1,"46f8Xd",1,9,2022,2,"Afghanistan","AFG","AFG",53,"Dominican Rep.","DOM","DOM","0",8,"0","-","0","0","0"
1,"46f8Xd",1,10,2023,2,"Afghanistan","AFG","AFG",53,"Dominican Rep.","DOM","DOM",7,13,"0","-","0","0","0"
1,"46f8Xd",1,11,2024,2,"Afghanistan","AFG","AFG",53,"Dominican Rep.","DOM","DOM","0",9,"0","-","0","0","0"
1,"46f8Xd",1,12,2025,2,"Afghanistan","AFG","AFG",53,"Dominican Rep.","DOM","DOM","0",9,"0","-","0","0","0"
1,"46f8Xd",1,13,1995,38,"Chile","CHL","CHL",53,"Dominican Rep.","DOM","DOM",5,"0","0","-","0","0","0"
