"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"168mSO",1,1,1993,106,"Liberia","LBR","LBR",56,"Eritrea","ERT","ERI",5,"0","0","0","0","0","0","-","0"
1,"168mSO",1,2,1994,106,"Liberia","LBR","LBR",56,"Eritrea","ERT","ERI","0","0",5,"0","0","0","0","-","0"
1,"168mSO",1,3,1994,172,"Somalia","SOM","SOM",56,"Eritrea","ERT","ERI",704,"0","0","0","0","0","0","-","0"
1,"168mSO",1,4,1995,172,"Somalia","SOM","SOM",56,"Eritrea","ERT","ERI",1044,"0","0","0","0","0","0","-","0"
1,"168mSO",1,5,1995,177,"Sudan","SUD","SDN",56,"Eritrea","ERT","ERI",37,"0","0","0","0","0","0","-","0"
1,"168mSO",1,6,1996,172,"Somalia","SOM","SOM",56,"Eritrea","ERT","ERI",1982,"0","0","0","0","0","0","-","0"
1,"168mSO",1,7,1996,177,"Sudan","SUD","SDN",56,"Eritrea","ERT","ERI",123,"0","0","0","0","0","0","-","0"
1,"168mSO",1,8,1997,172,"Somalia","SOM","SOM",56,"Eritrea","ERT","ERI",2494,"0","0","0","0","0","0","-","0"
1,"168mSO",1,9,1997,177,"Sudan","SUD","SDN",56,"Eritrea","ERT","ERI",112,"0","0","0","0","0","0","-","0"
1,"168mSO",1,10,1998,172,"Somalia","SOM","SOM",56,"Eritrea","ERT","ERI",2342,"0","0","0","0","0","0","-","0"
1,"168mSO",1,11,1998,177,"Sudan","SUD","SDN",56,"Eritrea","ERT","ERI",159,"0","0","0","0","0","0","-","0"
1,"168mSO",1,12,1999,172,"Somalia","SOM","SOM",56,"Eritrea","ERT","ERI",2270,"0","0","0","0","0","0","-","0"
1,"168mSO",1,13,1999,177,"Sudan","SUD","SDN",56,"Eritrea","ERT","ERI",702,"0","0","0","0","0","0","-","0"
1,"168mSO",1,14,2000,56,"Eritrea","ERT","ERI",56,"Eritrea","ERT","ERI","0","0","0",1100000,"0","0","0","-","0"
1,"168mSO",1,15,2000,172,"Somalia","SOM","SOM",56,"Eritrea","ERT","ERI",1253,"0","0","0","0","0","0","-","0"
1,"168mSO",1,16,2000,177,"Sudan","SUD","SDN",56,"Eritrea","ERT","ERI",731,"0",10,"0","0","0","0","-","0"
1,"168mSO",1,17,2000,211,"Yemen","YEM","YEM",56,"Eritrea","ERT","ERI","0","0",5,"0","0","0","0","-","0"
1,"168mSO",1,18,2001,58,"Ethiopia","ETH","ETH",56,"Eritrea","ERT","ERI","0","0","0","0","0","0",1420,"-","0"
1,"168mSO",1,19,2001,172,"Somalia","SOM","SOM",56,"Eritrea","ERT","ERI",1743,"0",57,"0","0","0","0","-","0"
1,"168mSO",1,20,2001,177,"Sudan","SUD","SDN",56,"Eritrea","ERT","ERI",529,"0","0","0","0","0","0","-","0"
