"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"u2C7lD",1,1,2000,2,"Afghanistan","AFG","AFG",57,"Estonia","EST","EST","0",5,"0","0","0","0","0",null,"0"
1,"u2C7lD",1,2,2000,147,"Pakistan","PAK","PAK",57,"Estonia","EST","EST","0",5,"0","0","0","0","0",null,"0"
1,"u2C7lD",1,3,2001,2,"Afghanistan","AFG","AFG",57,"Estonia","EST","EST",6,"0","0","0","0","0","0",null,"0"
1,"u2C7lD",1,4,2001,10,"Armenia","ARM","ARM",57,"Estonia","EST","EST","0",5,"0","0","0","0","0",null,"0"
1,"u2C7lD",1,5,2001,147,"Pakistan","PAK","PAK",57,"Estonia","EST","EST","0",5,"0","0","0","0","0",null,"0"
1,"u2C7lD",1,6,2001,185,"Syrian Arab Rep.","SYR","SYR",57,"Estonia","EST","EST","0",5,"0","0","0","0","0",null,"0"
1,"u2C7lD",1,7,2001,203,"Uzbekistan","UZB","UZB",57,"Estonia","EST","EST","0",5,"0","0","0","0","0",null,"0"
1,"u2C7lD",1,8,2002,2,"Afghanistan","AFG","AFG",57,"Estonia","EST","EST",6,"0","0","0","0","0","0",null,"0"
1,"u2C7lD",1,9,2002,196,"Türkiye","TUR","TUR",57,"Estonia","EST","EST","0",5,"0","0","0","0","0",null,"0"
1,"u2C7lD",1,10,2003,2,"Afghanistan","AFG","AFG",57,"Estonia","EST","EST",6,"0","0","0","0","0","0",null,"0"
1,"u2C7lD",1,11,2004,2,"Afghanistan","AFG","AFG",57,"Estonia","EST","EST",6,"0","0","0","0","0","0",null,"0"
1,"u2C7lD",1,12,2004,13,"Azerbaijan","AZE","AZE",57,"Estonia","EST","EST","0",5,"0","0","0","0","0",null,"0"
1,"u2C7lD",1,13,2004,216,"Stateless","STA","XXA",57,"Estonia","EST","EST","0","0","0","0","0",150536,"0",null,"0"
1,"u2C7lD",1,14,2004,203,"Uzbekistan","UZB","UZB",57,"Estonia","EST","EST","0",5,"0","0","0","0","0",null,"0"
1,"u2C7lD",1,15,2005,216,"Stateless","STA","XXA",57,"Estonia","EST","EST","0","0","0","0","0",136000,"0",null,"0"
1,"u2C7lD",1,16,2006,160,"Russian Federation","RUS","RUS",57,"Estonia","EST","EST","0",5,"0","0","0","0","0",null,"0"
1,"u2C7lD",1,17,2006,216,"Stateless","STA","XXA",57,"Estonia","EST","EST","0","0","0","0","0",119204,"0",null,"0"
1,"u2C7lD",1,18,2007,2,"Afghanistan","AFG","AFG",57,"Estonia","EST","EST",6,"0","0","0","0","0","0",null,"0"
1,"u2C7lD",1,19,2007,24,"Belarus","BLR","BLR",57,"Estonia","EST","EST","0",5,"0","0","0","0","0",null,"0"
1,"u2C7lD",1,20,2007,216,"Stateless","STA","XXA",57,"Estonia","EST","EST","0","0","0","0","0",116248,"0",null,"0"
1,"u2C7lD",1,21,2008,2,"Afghanistan","AFG","AFG",57,"Estonia","EST","EST",6,"0","0","0","0","0","0",null,"0"
1,"u2C7lD",1,22,2008,24,"Belarus","BLR","BLR",57,"Estonia","EST","EST","0",5,"0","0","0","0","0",null,"0"
