"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","idps","oip","stateless","hst","ooc"
1,"3VPwyJ",1,1,2000,2,"Afghanistan","AFG","AFG",58,"Ethiopia","ETH","ETH",5,"0","0","-","0","0","0"
1,"3VPwyJ",1,2,2001,2,"Afghanistan","AFG","AFG",58,"Ethiopia","ETH","ETH",5,"0","0","-","0","0","0"
1,"3VPwyJ",1,3,2002,2,"Afghanistan","AFG","AFG",58,"Ethiopia","ETH","ETH",5,"0","0","-","0","0","0"
1,"3VPwyJ",1,4,2003,2,"Afghanistan","AFG","AFG",58,"Ethiopia","ETH","ETH",5,"0","0","-","0","0","0"
1,"3VPwyJ",1,5,2004,2,"Afghanistan","AFG","AFG",58,"Ethiopia","ETH","ETH",5,"0","0","-","0","0","0"
1,"3VPwyJ",1,6,2023,2,"Afghanistan","AFG","AFG",58,"Ethiopia","ETH","ETH","0",5,"0","-","0","0","0"
1,"3VPwyJ",1,7,2024,2,"Afghanistan","AFG","AFG",58,"Ethiopia","ETH","ETH","0",5,"0","-","0","0","0"
1,"3VPwyJ",1,8,2025,2,"Afghanistan","AFG","AFG",58,"Ethiopia","ETH","ETH","0",5,"0","-","0","0","0"
1,"3VPwyJ",1,9,1995,6,"Angola","ANG","AGO",58,"Ethiopia","ETH","ETH",5,"0","0","-","0","0","0"
1,"3VPwyJ",1,10,1996,6,"Angola","ANG","AGO",58,"Ethiopia","ETH","ETH",6,"0","0","-","0","0","0"
1,"3VPwyJ",1,11,1997,6,"Angola","ANG","AGO",58,"Ethiopia","ETH","ETH",6,"0","0","-","0","0","0"
1,"3VPwyJ",1,12,1998,6,"Angola","ANG","AGO",58,"Ethiopia","ETH","ETH",6,"0","0","-","0","0","0"
1,"3VPwyJ",1,13,1999,6,"Angola","ANG","AGO",58,"Ethiopia","ETH","ETH",6,"0","0","-","0","0","0"
1,"3VPwyJ",1,14,2000,6,"Angola","ANG","AGO",58,"Ethiopia","ETH","ETH",5,"0","0","-","0","0","0"
1,"3VPwyJ",1,15,2001,6,"Angola","ANG","AGO",58,"Ethiopia","ETH","ETH",5,"0","0","-","0","0","0"
1,"3VPwyJ",1,16,2002,6,"Angola","ANG","AGO",58,"Ethiopia","ETH","ETH",5,"0","0","-","0","0","0"
1,"3VPwyJ",1,17,2003,6,"Angola","ANG","AGO",58,"Ethiopia","ETH","ETH",5,"0","0","-","0","0","0"
1,"3VPwyJ",1,18,2004,6,"Angola","ANG","AGO",58,"Ethiopia","ETH","ETH",5,"0","0","-","0","0","0"
1,"3VPwyJ",1,19,2014,8,"Egypt","ARE","EGY",58,"Ethiopia","ETH","ETH","0",5,"0","-","0","0","0"
1,"3VPwyJ",1,20,2015,8,"Egypt","ARE","EGY",58,"Ethiopia","ETH","ETH",5,"0","0","-","0","0","0"
1,"3VPwyJ",1,21,2016,8,"Egypt","ARE","EGY",58,"Ethiopia","ETH","ETH",5,"0","0","-","0","0","0"
1,"3VPwyJ",1,22,2017,8,"Egypt","ARE","EGY",58,"Ethiopia","ETH","ETH",5,"0","0","-","0","0","0"
1,"3VPwyJ",1,23,2018,8,"Egypt","ARE","EGY",58,"Ethiopia","ETH","ETH",5,"0","0","-","0","0","0"
1,"3VPwyJ",1,24,2019,8,"Egypt","ARE","EGY",58,"Ethiopia","ETH","ETH",5,"0","0","-","0","0","0"
1,"3VPwyJ",1,25,2020,8,"Egypt","ARE","EGY",58,"Ethiopia","ETH","ETH",5,"0","0","-","0","0","0"
1,"3VPwyJ",1,26,2021,8,"Egypt","ARE","EGY",58,"Ethiopia","ETH","ETH",5,"0","0","-","0","0","0"
1,"3VPwyJ",1,27,2022,8,"Egypt","ARE","EGY",58,"Ethiopia","ETH","ETH",5,"0","0","-","0","0","0"
1,"3VPwyJ",1,28,2023,8,"Egypt","ARE","EGY",58,"Ethiopia","ETH","ETH",5,"0","0","-","0","0","0"
1,"3VPwyJ",1,29,2024,8,"Egypt","ARE","EGY",58,"Ethiopia","ETH","ETH",5,"0","0","-","0","0","0"
1,"3VPwyJ",1,30,1993,16,"Burundi","BDI","BDI",58,"Ethiopia","ETH","ETH",24,"0","0","-","0","0","0"
1,"3VPwyJ",1,31,1994,16,"Burundi","BDI","BDI",58,"Ethiopia","ETH","ETH",12,"0","0","-","0","0","0"
1,"3VPwyJ",1,32,1995,16,"Burundi","BDI","BDI",58,"Ethiopia","ETH","ETH",8,"0","0","-","0","0","0"
1,"3VPwyJ",1,33,1996,16,"Burundi","BDI","BDI",58,"Ethiopia","ETH","ETH",11,"0","0","-","0","0","0"
1,"3VPwyJ",1,34,1997,16,"Burundi","BDI","BDI",58,"Ethiopia","ETH","ETH",14,"0","0","-","0","0","0"
1,"3VPwyJ",1,35,1998,16,"Burundi","BDI","BDI",58,"Ethiopia","ETH","ETH",14,"0","0","-","0","0","0"
