"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"74NUgW",1,1,1969,262,"Unknown ","UKN","UNK",67,"Gabon","GAB","GAB",4500,"0","0","0","0","0","0","-","0"
1,"74NUgW",1,2,1975,55,"Equatorial Guinea","EGU","GNQ",67,"Gabon","GAB","GAB",60000,"0","0","0","0","0","0","-","0"
1,"74NUgW",1,3,1976,55,"Equatorial Guinea","EGU","GNQ",67,"Gabon","GAB","GAB",60000,"0","0","0","0","0","0","-","0"
1,"74NUgW",1,4,1977,55,"Equatorial Guinea","EGU","GNQ",67,"Gabon","GAB","GAB",90000,"0","0","0","0","0","0","-","0"
1,"74NUgW",1,5,1978,18,"Benin","BEN","BEN",67,"Gabon","GAB","GAB",200,"0","0","0","0","0","0","-","0"
1,"74NUgW",1,6,1978,55,"Equatorial Guinea","EGU","GNQ",67,"Gabon","GAB","GAB",60000,"0","0","0","0","0","0","-","0"
1,"74NUgW",1,7,1979,18,"Benin","BEN","BEN",67,"Gabon","GAB","GAB",200,"0","0","0","0","0","0","-","0"
1,"74NUgW",1,8,1979,55,"Equatorial Guinea","EGU","GNQ",67,"Gabon","GAB","GAB",30000,"0",30000,"0","0","0","0","-","0"
1,"74NUgW",1,9,1980,55,"Equatorial Guinea","EGU","GNQ",67,"Gabon","GAB","GAB",20000,"0",10000,"0","0","0","0","-","0"
1,"74NUgW",1,10,1981,6,"Angola","ANG","AGO",67,"Gabon","GAB","GAB",400,"0","0","0","0","0","0","-","0"
1,"74NUgW",1,11,1982,6,"Angola","ANG","AGO",67,"Gabon","GAB","GAB",640,"0","0","0","0","0","0","-","0"
1,"74NUgW",1,12,1986,262,"Unknown ","UKN","UNK",67,"Gabon","GAB","GAB",100,"0","0","0","0","0","0","-","0"
1,"74NUgW",1,13,1990,172,"Somalia","SOM","SOM",67,"Gabon","GAB","GAB",417,"0","0","0","0","0","0","-","0"
1,"74NUgW",1,14,1991,172,"Somalia","SOM","SOM",67,"Gabon","GAB","GAB",220,"0","0","0","0","0","0","-","0"
1,"74NUgW",1,15,1992,6,"Angola","ANG","AGO",67,"Gabon","GAB","GAB",50,"0","0","0","0","0","0","-","0"
