"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"gtH5M7",1,1,1975,75,"Guinea-Bissau","GNB","GNB",68,"Gambia","GAM","GMB","0","0",1240,"0","0","0","0","-","0"
1,"gtH5M7",1,2,1990,106,"Liberia","LBR","LBR",68,"Gambia","GAM","GMB",69,"0","0","0","0","0","0","-","0"
1,"gtH5M7",1,3,1990,262,"Unknown ","UKN","UNK",68,"Gambia","GAM","GMB",8,"0","0","0","0","0","0","-","0"
1,"gtH5M7",1,4,1991,106,"Liberia","LBR","LBR",68,"Gambia","GAM","GMB",227,"0","0","0","0","0","0","-","0"
1,"gtH5M7",1,5,1991,262,"Unknown ","UKN","UNK",68,"Gambia","GAM","GMB",13,"0","0","0","0","0","0","-","0"
1,"gtH5M7",1,6,1992,106,"Liberia","LBR","LBR",68,"Gambia","GAM","GMB",316,"0","0","0","0","0","0","-","0"
1,"gtH5M7",1,7,1992,165,"Senegal","SEN","SEN",68,"Gambia","GAM","GMB",3294,"0","0","0","0","0","0","-","0"
1,"gtH5M7",1,8,1992,262,"Unknown ","UKN","UNK",68,"Gambia","GAM","GMB",22,"0",50,"0","0","0","0","-","0"
1,"gtH5M7",1,9,1993,106,"Liberia","LBR","LBR",68,"Gambia","GAM","GMB",160,"0","0","0","0","0","0","-","0"
1,"gtH5M7",1,10,1993,165,"Senegal","SEN","SEN",68,"Gambia","GAM","GMB",2006,"0","0","0","0","0","0","-","0"
1,"gtH5M7",1,11,1993,172,"Somalia","SOM","SOM",68,"Gambia","GAM","GMB",5,"0","0","0","0","0","0","-","0"
1,"gtH5M7",1,12,1993,177,"Sudan","SUD","SDN",68,"Gambia","GAM","GMB",5,"0","0","0","0","0","0","-","0"
1,"gtH5M7",1,13,1993,199,"Uganda","UGA","UGA",68,"Gambia","GAM","GMB",6,"0","0","0","0","0","0","-","0"
1,"gtH5M7",1,14,1994,165,"Senegal","SEN","SEN",68,"Gambia","GAM","GMB",2006,"0","0","0","0","0","0","-","0"
1,"gtH5M7",1,15,1994,262,"Unknown ","UKN","UNK",68,"Gambia","GAM","GMB",200,"0","0","0","0","0","0","-","0"
1,"gtH5M7",1,16,1995,106,"Liberia","LBR","LBR",68,"Gambia","GAM","GMB",150,"0","0","0","0","0","0","-","0"
1,"gtH5M7",1,17,1995,165,"Senegal","SEN","SEN",68,"Gambia","GAM","GMB",2393,"0","0","0","0","0","0","-","0"
1,"gtH5M7",1,18,1995,169,"Sierra Leone","SLE","SLE",68,"Gambia","GAM","GMB",4050,"0","0","0","0","0","0","-","0"
1,"gtH5M7",1,19,1995,172,"Somalia","SOM","SOM",68,"Gambia","GAM","GMB",5,"0","0","0","0","0","0","-","0"
1,"gtH5M7",1,20,1996,106,"Liberia","LBR","LBR",68,"Gambia","GAM","GMB",155,"0",5,"0","0","0","0","-","0"
1,"gtH5M7",1,21,1996,165,"Senegal","SEN","SEN",68,"Gambia","GAM","GMB",2490,"0","0","0","0","0","0","-","0"
1,"gtH5M7",1,22,1996,169,"Sierra Leone","SLE","SLE",68,"Gambia","GAM","GMB",4263,"0",303,"0","0","0","0","-","0"
1,"gtH5M7",1,23,1996,172,"Somalia","SOM","SOM",68,"Gambia","GAM","GMB",15,"0","0","0","0","0","0","-","0"
1,"gtH5M7",1,24,1997,106,"Liberia","LBR","LBR",68,"Gambia","GAM","GMB",129,"0","0","0","0","0","0","-","0"
1,"gtH5M7",1,25,1997,165,"Senegal","SEN","SEN",68,"Gambia","GAM","GMB",1700,"0","0","0","0","0","0","-","0"
1,"gtH5M7",1,26,1997,169,"Sierra Leone","SLE","SLE",68,"Gambia","GAM","GMB",5427,"0","0","0","0","0","0","-","0"
1,"gtH5M7",1,27,1997,172,"Somalia","SOM","SOM",68,"Gambia","GAM","GMB",20,"0","0","0","0","0","0","-","0"
1,"gtH5M7",1,28,1998,75,"Guinea-Bissau","GNB","GNB",68,"Gambia","GAM","GMB",1160,"0","0","0","0","0","0","-","0"
1,"gtH5M7",1,29,1998,106,"Liberia","LBR","LBR",68,"Gambia","GAM","GMB",150,"0",16,"0","0","0","0","-","0"
1,"gtH5M7",1,30,1998,165,"Senegal","SEN","SEN",68,"Gambia","GAM","GMB",3567,"0","0","0","0","0","0","-","0"
1,"gtH5M7",1,31,1998,169,"Sierra Leone","SLE","SLE",68,"Gambia","GAM","GMB",5419,"0",634,"0","0","0","0","-","0"
1,"gtH5M7",1,32,1998,172,"Somalia","SOM","SOM",68,"Gambia","GAM","GMB",20,"0","0","0","0","0","0","-","0"
1,"gtH5M7",1,33,1999,58,"Ethiopia","ETH","ETH",68,"Gambia","GAM","GMB",5,"0","0","0","0","0","0","-","0"
1,"gtH5M7",1,34,1999,75,"Guinea-Bissau","GNB","GNB",68,"Gambia","GAM","GMB",26,"0",234,"0","0","0","0","-","0"
1,"gtH5M7",1,35,1999,106,"Liberia","LBR","LBR",68,"Gambia","GAM","GMB",50,"0","0","0","0","0","0","-","0"
1,"gtH5M7",1,36,1999,165,"Senegal","SEN","SEN",68,"Gambia","GAM","GMB",5071,"0",93,"0","0","0","0","-","0"
1,"gtH5M7",1,37,1999,169,"Sierra Leone","SLE","SLE",68,"Gambia","GAM","GMB",12044,"0","0","0","0","0","0","-","0"
1,"gtH5M7",1,38,1999,172,"Somalia","SOM","SOM",68,"Gambia","GAM","GMB",20,"0","0","0","0","0","0","-","0"
