"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"NTj85y",1,1,1951,262,"Unknown ","UKN","UNK",70,"United Kingdom of Great Britain and Northern Ireland","GBR","GBR",208000,"0","0","0","0","0","0","-","0"
1,"NTj85y",1,2,1952,262,"Unknown ","UKN","UNK",70,"United Kingdom of Great Britain and Northern Ireland","GBR","GBR",200000,"0","0","0","0","0","0","-","0"
1,"NTj85y",1,3,1953,262,"Unknown ","UKN","UNK",70,"United Kingdom of Great Britain and Northern Ireland","GBR","GBR",192000,"0","0","0","0","0","0","-","0"
1,"NTj85y",1,4,1954,262,"Unknown ","UKN","UNK",70,"United Kingdom of Great Britain and Northern Ireland","GBR","GBR",182000,"0","0","0","0","0","0","-","0"
1,"NTj85y",1,5,1955,262,"Unknown ","UKN","UNK",70,"United Kingdom of Great Britain and Northern Ireland","GBR","GBR",175000,"0","0","0","0","0","0","-","0"
1,"NTj85y",1,6,1956,262,"Unknown ","UKN","UNK",70,"United Kingdom of Great Britain and Northern Ireland","GBR","GBR",182000,"0","0","0","0","0","0","-","0"
1,"NTj85y",1,7,1957,262,"Unknown ","UKN","UNK",70,"United Kingdom of Great Britain and Northern Ireland","GBR","GBR",179000,"0","0","0","0","0","0","-","0"
1,"NTj85y",1,8,1958,262,"Unknown ","UKN","UNK",70,"United Kingdom of Great Britain and Northern Ireland","GBR","GBR",175000,"0","0","0","0","0","0","-","0"
1,"NTj85y",1,9,1959,262,"Unknown ","UKN","UNK",70,"United Kingdom of Great Britain and Northern Ireland","GBR","GBR",170000,"0","0","0","0","0","0","-","0"
1,"NTj85y",1,10,1960,262,"Unknown ","UKN","UNK",70,"United Kingdom of Great Britain and Northern Ireland","GBR","GBR",167000,"0","0","0","0","0","0","-","0"
1,"NTj85y",1,11,1961,262,"Unknown ","UKN","UNK",70,"United Kingdom of Great Britain and Northern Ireland","GBR","GBR",164000,"0","0","0","0","0","0","-","0"
1,"NTj85y",1,12,1962,262,"Unknown ","UKN","UNK",70,"United Kingdom of Great Britain and Northern Ireland","GBR","GBR",160000,"0","0","0","0","0","0","-","0"
1,"NTj85y",1,13,1963,262,"Unknown ","UKN","UNK",70,"United Kingdom of Great Britain and Northern Ireland","GBR","GBR",157000,"0","0","0","0","0","0","-","0"
1,"NTj85y",1,14,1964,262,"Unknown ","UKN","UNK",70,"United Kingdom of Great Britain and Northern Ireland","GBR","GBR",160000,"0","0","0","0","0","0","-","0"
1,"NTj85y",1,15,1965,262,"Unknown ","UKN","UNK",70,"United Kingdom of Great Britain and Northern Ireland","GBR","GBR",170000,"0","0","0","0","0","0","-","0"
1,"NTj85y",1,16,1966,262,"Unknown ","UKN","UNK",70,"United Kingdom of Great Britain and Northern Ireland","GBR","GBR",167000,"0","0","0","0","0","0","-","0"
1,"NTj85y",1,17,1967,262,"Unknown ","UKN","UNK",70,"United Kingdom of Great Britain and Northern Ireland","GBR","GBR",164000,"0","0","0","0","0","0","-","0"
1,"NTj85y",1,18,1968,262,"Unknown ","UKN","UNK",70,"United Kingdom of Great Britain and Northern Ireland","GBR","GBR",161000,"0","0","0","0","0","0","-","0"
1,"NTj85y",1,19,1969,262,"Unknown ","UKN","UNK",70,"United Kingdom of Great Britain and Northern Ireland","GBR","GBR",162000,"0","0","0","0","0","0","-","0"
1,"NTj85y",1,20,1970,262,"Unknown ","UKN","UNK",70,"United Kingdom of Great Britain and Northern Ireland","GBR","GBR",162000,"0","0","0","0","0","0","-","0"
1,"NTj85y",1,21,1971,262,"Unknown ","UKN","UNK",70,"United Kingdom of Great Britain and Northern Ireland","GBR","GBR",150000,"0","0","0","0","0","0","-","0"
1,"NTj85y",1,22,1972,262,"Unknown ","UKN","UNK",70,"United Kingdom of Great Britain and Northern Ireland","GBR","GBR",150000,"0","0","0","0","0","0","-","0"
1,"NTj85y",1,23,1973,262,"Unknown ","UKN","UNK",70,"United Kingdom of Great Britain and Northern Ireland","GBR","GBR",150000,"0","0","0","0","0","0","-","0"
1,"NTj85y",1,24,1974,262,"Unknown ","UKN","UNK",70,"United Kingdom of Great Britain and Northern Ireland","GBR","GBR",155500,"0","0","0","0","0","0","-","0"
1,"NTj85y",1,25,1975,262,"Unknown ","UKN","UNK",70,"United Kingdom of Great Britain and Northern Ireland","GBR","GBR",153000,"0","0","0","0","0","0","-","0"
1,"NTj85y",1,26,1976,262,"Unknown ","UKN","UNK",70,"United Kingdom of Great Britain and Northern Ireland","GBR","GBR",153000,"0","0","0","0","0","0","-","0"
1,"NTj85y",1,27,1977,262,"Unknown ","UKN","UNK",70,"United Kingdom of Great Britain and Northern Ireland","GBR","GBR",148000,"0","0","0","0","0","0","-","0"
1,"NTj85y",1,28,1978,262,"Unknown ","UKN","UNK",70,"United Kingdom of Great Britain and Northern Ireland","GBR","GBR",150000,"0","0","0","0","0","0","-","0"
1,"NTj85y",1,29,1979,262,"Unknown ","UKN","UNK",70,"United Kingdom of Great Britain and Northern Ireland","GBR","GBR",146000,"0","0","0","0","0","0","-","0"
1,"NTj85y",1,30,1980,262,"Unknown ","UKN","UNK",70,"United Kingdom of Great Britain and Northern Ireland","GBR","GBR",148000,"0","0","0","0","0","0","-","0"
1,"NTj85y",1,31,1981,262,"Unknown ","UKN","UNK",70,"United Kingdom of Great Britain and Northern Ireland","GBR","GBR",146000,"0","0","0","0","0","0","-","0"
1,"NTj85y",1,32,1982,262,"Unknown ","UKN","UNK",70,"United Kingdom of Great Britain and Northern Ireland","GBR","GBR",143000,"0","0","0","0","0","0","-","0"
1,"NTj85y",1,33,1983,262,"Unknown ","UKN","UNK",70,"United Kingdom of Great Britain and Northern Ireland","GBR","GBR",140000,"0","0","0","0","0","0","-","0"
1,"NTj85y",1,34,1984,262,"Unknown ","UKN","UNK",70,"United Kingdom of Great Britain and Northern Ireland","GBR","GBR",135000,"0","0","0","0","0","0","-","0"
1,"NTj85y",1,35,1985,262,"Unknown ","UKN","UNK",70,"United Kingdom of Great Britain and Northern Ireland","GBR","GBR",135000,"0","0","0","0","0","0","-","0"
1,"NTj85y",1,36,1986,262,"Unknown ","UKN","UNK",70,"United Kingdom of Great Britain and Northern Ireland","GBR","GBR",100000,"0","0","0","0","0","0","-","0"
1,"NTj85y",1,37,1987,262,"Unknown ","UKN","UNK",70,"United Kingdom of Great Britain and Northern Ireland","GBR","GBR",100000,"0","0","0","0","0","0","-","0"
1,"NTj85y",1,38,1988,2,"Afghanistan","AFG","AFG",70,"United Kingdom of Great Britain and Northern Ireland","GBR","GBR",241,"0","0","0","0","0","0","-","0"
1,"NTj85y",1,39,1988,4,"Algeria","ALG","DZA",70,"United Kingdom of Great Britain and Northern Ireland","GBR","GBR",5,"0","0","0","0","0","0","-","0"
1,"NTj85y",1,40,1988,6,"Angola","ANG","AGO",70,"United Kingdom of Great Britain and Northern Ireland","GBR","GBR",16,"0","0","0","0","0","0","-","0"
1,"NTj85y",1,41,1988,8,"Egypt","ARE","EGY",70,"United Kingdom of Great Britain and Northern Ireland","GBR","GBR",5,"0","0","0","0","0","0","-","0"
1,"NTj85y",1,42,1988,9,"Argentina","ARG","ARG",70,"United Kingdom of Great Britain and Northern Ireland","GBR","GBR",10,"0","0","0","0","0","0","-","0"
1,"NTj85y",1,43,1988,20,"Bangladesh","BGD","BGD",70,"United Kingdom of Great Britain and Northern Ireland","GBR","GBR",5,"0","0","0","0","0","0","-","0"
1,"NTj85y",1,44,1988,30,"Bulgaria","BUL","BGR",70,"United Kingdom of Great Britain and Northern Ireland","GBR","GBR",32,"0","0","0","0","0","0","-","0"
1,"NTj85y",1,45,1988,37,"China","CHI","CHN",70,"United Kingdom of Great Britain and Northern Ireland","GBR","GBR",12,"0","0","0","0","0","0","-","0"
1,"NTj85y",1,46,1988,38,"Chile","CHL","CHL",70,"United Kingdom of Great Britain and Northern Ireland","GBR","GBR",18,"0","0","0","0","0","0","-","0"
