"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"mxs12M",1,1,1999,2,"Afghanistan","AFG","AFG",71,"Georgia","GEO","GEO",5,"0","0","0","0","0","0","-","-"
1,"mxs12M",1,2,2000,2,"Afghanistan","AFG","AFG",71,"Georgia","GEO","GEO",5,"0","0","0","0","0","0","-","-"
1,"mxs12M",1,3,2001,2,"Afghanistan","AFG","AFG",71,"Georgia","GEO","GEO",5,"0","0","0","0","0","0","-","-"
1,"mxs12M",1,4,2002,2,"Afghanistan","AFG","AFG",71,"Georgia","GEO","GEO",5,"0","0","0","0","0","0","-","-"
1,"mxs12M",1,5,2003,2,"Afghanistan","AFG","AFG",71,"Georgia","GEO","GEO",5,"0","0","0","0","0","0","-","-"
1,"mxs12M",1,6,2004,2,"Afghanistan","AFG","AFG",71,"Georgia","GEO","GEO",5,"0","0","0","0","0","0","-","-"
1,"mxs12M",1,7,2005,2,"Afghanistan","AFG","AFG",71,"Georgia","GEO","GEO",5,"0",9,"0","0","0","0","-","-"
1,"mxs12M",1,8,2006,2,"Afghanistan","AFG","AFG",71,"Georgia","GEO","GEO",5,"0","0","0","0","0","0","-","-"
1,"mxs12M",1,9,2007,2,"Afghanistan","AFG","AFG",71,"Georgia","GEO","GEO",5,"0","0","0","0","0","0","-","-"
1,"mxs12M",1,10,2008,2,"Afghanistan","AFG","AFG",71,"Georgia","GEO","GEO",5,"0","0","0","0","0","0","-","-"
1,"mxs12M",1,11,2010,2,"Afghanistan","AFG","AFG",71,"Georgia","GEO","GEO",5,"0","0","0","0","0","0","-","-"
1,"mxs12M",1,12,2012,2,"Afghanistan","AFG","AFG",71,"Georgia","GEO","GEO",5,"0","0","0","0","0","0","-","-"
1,"mxs12M",1,13,2013,2,"Afghanistan","AFG","AFG",71,"Georgia","GEO","GEO",5,"0","0","0","0","0","0","-","-"
1,"mxs12M",1,14,2014,2,"Afghanistan","AFG","AFG",71,"Georgia","GEO","GEO",5,10,"0","0","0","0","0","-","-"
1,"mxs12M",1,15,2015,2,"Afghanistan","AFG","AFG",71,"Georgia","GEO","GEO",5,6,"0","0","0","0","0","-","-"
1,"mxs12M",1,16,2016,2,"Afghanistan","AFG","AFG",71,"Georgia","GEO","GEO",5,9,"0","0","0","0","0","-","-"
1,"mxs12M",1,17,2017,2,"Afghanistan","AFG","AFG",71,"Georgia","GEO","GEO",5,16,"0","0","0","0","0","-","-"
1,"mxs12M",1,18,2018,2,"Afghanistan","AFG","AFG",71,"Georgia","GEO","GEO",5,37,"0","0","0","0","0","-","-"
1,"mxs12M",1,19,2019,2,"Afghanistan","AFG","AFG",71,"Georgia","GEO","GEO",11,18,"0","0","0","0","0","-","-"
1,"mxs12M",1,20,2020,2,"Afghanistan","AFG","AFG",71,"Georgia","GEO","GEO",11,18,"0","0","0","0","0","-","-"
1,"mxs12M",1,21,2021,2,"Afghanistan","AFG","AFG",71,"Georgia","GEO","GEO",20,49,"0","0","0","0","0","-","-"
1,"mxs12M",1,22,2022,2,"Afghanistan","AFG","AFG",71,"Georgia","GEO","GEO",78,5,"0","0","0","0","0","-","0"
1,"mxs12M",1,23,2023,2,"Afghanistan","AFG","AFG",71,"Georgia","GEO","GEO",74,5,"0","0","0","0","0","-","0"
1,"mxs12M",1,24,2021,4,"Algeria","ALG","DZA",71,"Georgia","GEO","GEO","0",5,"0","0","0","0","0","-","-"
1,"mxs12M",1,25,2012,8,"Egypt","ARE","EGY",71,"Georgia","GEO","GEO","0",18,"0","0","0","0","0","-","-"
1,"mxs12M",1,26,2013,8,"Egypt","ARE","EGY",71,"Georgia","GEO","GEO",5,35,"0","0","0","0","0","-","-"
1,"mxs12M",1,27,2014,8,"Egypt","ARE","EGY",71,"Georgia","GEO","GEO",5,28,"0","0","0","0","0","-","-"
1,"mxs12M",1,28,2015,8,"Egypt","ARE","EGY",71,"Georgia","GEO","GEO",6,37,"0","0","0","0","0","-","-"
1,"mxs12M",1,29,2016,8,"Egypt","ARE","EGY",71,"Georgia","GEO","GEO",8,30,"0","0","0","0","0","-","-"
1,"mxs12M",1,30,2017,8,"Egypt","ARE","EGY",71,"Georgia","GEO","GEO",19,70,"0","0","0","0","0","-","-"
1,"mxs12M",1,31,2018,8,"Egypt","ARE","EGY",71,"Georgia","GEO","GEO",43,49,"0","0","0","0","0","-","-"
1,"mxs12M",1,32,2019,8,"Egypt","ARE","EGY",71,"Georgia","GEO","GEO",60,114,"0","0","0","0","0","-","-"
1,"mxs12M",1,33,2020,8,"Egypt","ARE","EGY",71,"Georgia","GEO","GEO",64,122,"0","0","0","0","0","-","-"
1,"mxs12M",1,34,2021,8,"Egypt","ARE","EGY",71,"Georgia","GEO","GEO",65,61,"0","0","0","0","0","-","-"
1,"mxs12M",1,35,2022,8,"Egypt","ARE","EGY",71,"Georgia","GEO","GEO",68,39,"0","0","0","0","0","-","0"
