"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"1Wlw5E",1,1,1951,262,"Unknown ","UKN","UNK",72,"Germany","GFR","DEU",265000,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,2,1952,262,"Unknown ","UKN","UNK",72,"Germany","GFR","DEU",240000,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,3,1953,262,"Unknown ","UKN","UNK",72,"Germany","GFR","DEU",228000,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,4,1954,262,"Unknown ","UKN","UNK",72,"Germany","GFR","DEU",225000,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,5,1955,262,"Unknown ","UKN","UNK",72,"Germany","GFR","DEU",219000,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,6,1956,262,"Unknown ","UKN","UNK",72,"Germany","GFR","DEU",221000,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,7,1957,262,"Unknown ","UKN","UNK",72,"Germany","GFR","DEU",217000,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,8,1958,262,"Unknown ","UKN","UNK",72,"Germany","GFR","DEU",212000,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,9,1959,262,"Unknown ","UKN","UNK",72,"Germany","GFR","DEU",205000,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,10,1960,262,"Unknown ","UKN","UNK",72,"Germany","GFR","DEU",197000,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,11,1961,262,"Unknown ","UKN","UNK",72,"Germany","GFR","DEU",190000,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,12,1962,262,"Unknown ","UKN","UNK",72,"Germany","GFR","DEU",185000,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,13,1963,262,"Unknown ","UKN","UNK",72,"Germany","GFR","DEU",182000,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,14,1964,262,"Unknown ","UKN","UNK",72,"Germany","GFR","DEU",180000,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,15,1965,262,"Unknown ","UKN","UNK",72,"Germany","GFR","DEU",180000,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,16,1966,262,"Unknown ","UKN","UNK",72,"Germany","GFR","DEU",140000,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,17,1967,262,"Unknown ","UKN","UNK",72,"Germany","GFR","DEU",112000,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,18,1968,262,"Unknown ","UKN","UNK",72,"Germany","GFR","DEU",110000,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,19,1969,262,"Unknown ","UKN","UNK",72,"Germany","GFR","DEU",113000,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,20,1970,262,"Unknown ","UKN","UNK",72,"Germany","GFR","DEU",115000,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,21,1971,262,"Unknown ","UKN","UNK",72,"Germany","GFR","DEU",125000,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,22,1972,262,"Unknown ","UKN","UNK",72,"Germany","GFR","DEU",125000,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,23,1973,262,"Unknown ","UKN","UNK",72,"Germany","GFR","DEU",125000,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,24,1974,262,"Unknown ","UKN","UNK",72,"Germany","GFR","DEU",123000,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,25,1975,262,"Unknown ","UKN","UNK",72,"Germany","GFR","DEU",122000,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,26,1976,262,"Unknown ","UKN","UNK",72,"Germany","GFR","DEU",122000,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,27,1977,262,"Unknown ","UKN","UNK",72,"Germany","GFR","DEU",120000,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,28,1978,262,"Unknown ","UKN","UNK",72,"Germany","GFR","DEU",83500,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,29,1979,262,"Unknown ","UKN","UNK",72,"Germany","GFR","DEU",87000,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,30,1980,262,"Unknown ","UKN","UNK",72,"Germany","GFR","DEU",94000,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,31,1981,262,"Unknown ","UKN","UNK",72,"Germany","GFR","DEU",100000,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,32,1982,262,"Unknown ","UKN","UNK",72,"Germany","GFR","DEU",100000,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,33,1983,262,"Unknown ","UKN","UNK",72,"Germany","GFR","DEU",115000,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,34,1984,262,"Unknown ","UKN","UNK",72,"Germany","GFR","DEU",126600,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,35,1985,216,"Stateless","STA","XXA",72,"Germany","GFR","DEU",42000,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,36,1985,262,"Unknown ","UKN","UNK",72,"Germany","GFR","DEU",433000,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,37,1986,216,"Stateless","STA","XXA",72,"Germany","GFR","DEU",39300,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,38,1986,262,"Unknown ","UKN","UNK",72,"Germany","GFR","DEU",508600,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,39,1987,216,"Stateless","STA","XXA",72,"Germany","GFR","DEU",37000,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,40,1987,262,"Unknown ","UKN","UNK",72,"Germany","GFR","DEU",559200,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,41,1988,216,"Stateless","STA","XXA",72,"Germany","GFR","DEU",36400,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,42,1988,262,"Unknown ","UKN","UNK",72,"Germany","GFR","DEU",573800,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,43,1989,216,"Stateless","STA","XXA",72,"Germany","GFR","DEU",32700,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,44,1989,262,"Unknown ","UKN","UNK",72,"Germany","GFR","DEU",595800,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,45,1990,216,"Stateless","STA","XXA",72,"Germany","GFR","DEU",32000,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,46,1990,262,"Unknown ","UKN","UNK",72,"Germany","GFR","DEU",784000,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,47,1991,216,"Stateless","STA","XXA",72,"Germany","GFR","DEU",28500,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,48,1991,262,"Unknown ","UKN","UNK",72,"Germany","GFR","DEU",793000,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,49,1992,216,"Stateless","STA","XXA",72,"Germany","GFR","DEU",28000,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,50,1992,262,"Unknown ","UKN","UNK",72,"Germany","GFR","DEU",1208000,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,51,1993,216,"Stateless","STA","XXA",72,"Germany","GFR","DEU",22000,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,52,1993,262,"Unknown ","UKN","UNK",72,"Germany","GFR","DEU",1396000,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,53,1994,29,"Bosnia and Herzegovina","BSN","BIH",72,"Germany","GFR","DEU",350000,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,54,1994,216,"Stateless","STA","XXA",72,"Germany","GFR","DEU",20600,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,55,1994,262,"Unknown ","UKN","UNK",72,"Germany","GFR","DEU",984000,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,56,1995,29,"Bosnia and Herzegovina","BSN","BIH",72,"Germany","GFR","DEU",320000,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,57,1995,32,"Cambodia","CAM","KHM",72,"Germany","GFR","DEU","0","0",13,"0","0","0","0","-","0"
1,"1Wlw5E",1,58,1995,112,"Sri Lanka","LKA","LKA",72,"Germany","GFR","DEU","0","0",60,"0","0","0","0","-","0"
1,"1Wlw5E",1,59,1995,216,"Stateless","STA","XXA",72,"Germany","GFR","DEU",18800,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,60,1995,262,"Unknown ","UKN","UNK",72,"Germany","GFR","DEU",929100,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,61,1996,29,"Bosnia and Herzegovina","BSN","BIH",72,"Germany","GFR","DEU",330000,"0",30000,"0","0","0","0","-","0"
1,"1Wlw5E",1,62,1996,216,"Stateless","STA","XXA",72,"Germany","GFR","DEU",17000,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,63,1996,262,"Unknown ","UKN","UNK",72,"Germany","GFR","DEU",919000,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,64,1997,29,"Bosnia and Herzegovina","BSN","BIH",72,"Germany","GFR","DEU",245000,"0",95929,"0","0","0","0","-","0"
1,"1Wlw5E",1,65,1997,216,"Stateless","STA","XXA",72,"Germany","GFR","DEU",16000,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,66,1997,262,"Unknown ","UKN","UNK",72,"Germany","GFR","DEU",788000,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,67,1998,29,"Bosnia and Herzegovina","BSN","BIH",72,"Germany","GFR","DEU",100000,"0",98050,"0","0","0","0","-","0"
1,"1Wlw5E",1,68,1998,262,"Unknown ","UKN","UNK",72,"Germany","GFR","DEU",849200,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,69,1999,29,"Bosnia and Herzegovina","BSN","BIH",72,"Germany","GFR","DEU",50000,"0",23500,"0","0","0","0","-","0"
1,"1Wlw5E",1,70,1999,164,"Serbia and Kosovo: S/RES/1244 (1999)","SRB","SRB",72,"Germany","GFR","DEU","0","0",18283,"0","0","0","0","-","0"
1,"1Wlw5E",1,71,1999,262,"Unknown ","UKN","UNK",72,"Germany","GFR","DEU",925500,"0","0","0","0","0","0","-","0"
1,"1Wlw5E",1,72,2000,2,"Afghanistan","AFG","AFG",72,"Germany","GFR","DEU","0",9229,"0","0","0","0","0","-","0"
1,"1Wlw5E",1,73,2000,3,"Albania","ALB","ALB",72,"Germany","GFR","DEU","0",122,"0","0","0","0","0","-","0"
1,"1Wlw5E",1,74,2000,4,"Algeria","ALG","DZA",72,"Germany","GFR","DEU","0",403,"0","0","0","0","0","-","0"
1,"1Wlw5E",1,75,2000,6,"Angola","ANG","AGO",72,"Germany","GFR","DEU","0",187,"0","0","0","0","0","-","0"
1,"1Wlw5E",1,76,2000,8,"Egypt","ARE","EGY",72,"Germany","GFR","DEU","0",35,"0","0","0","0","0","-","0"
1,"1Wlw5E",1,77,2000,10,"Armenia","ARM","ARM",72,"Germany","GFR","DEU","0",344,"0","0","0","0","0","-","0"
1,"1Wlw5E",1,78,2000,13,"Azerbaijan","AZE","AZE",72,"Germany","GFR","DEU","0",780,"0","0","0","0","0","-","0"
1,"1Wlw5E",1,79,2000,16,"Burundi","BDI","BDI",72,"Germany","GFR","DEU","0",12,"0","0","0","0","0","-","0"
1,"1Wlw5E",1,80,2000,18,"Benin","BEN","BEN",72,"Germany","GFR","DEU","0",10,"0","0","0","0","0","-","0"
1,"1Wlw5E",1,81,2000,20,"Bangladesh","BGD","BGD",72,"Germany","GFR","DEU","0",125,"0","0","0","0","0","-","0"
1,"1Wlw5E",1,82,2000,22,"Bhutan","BHU","BTN",72,"Germany","GFR","DEU","0",20,"0","0","0","0","0","-","0"
1,"1Wlw5E",1,83,2000,23,"Burkina Faso","BKF","BFA",72,"Germany","GFR","DEU","0",161,"0","0","0","0","0","-","0"
1,"1Wlw5E",1,84,2000,24,"Belarus","BLR","BLR",72,"Germany","GFR","DEU","0",166,"0","0","0","0","0","-","0"
1,"1Wlw5E",1,85,2000,29,"Bosnia and Herzegovina","BSN","BIH",72,"Germany","GFR","DEU",30000,726,6920,"0","0","0","0","-","0"
1,"1Wlw5E",1,86,2000,30,"Bulgaria","BUL","BGR",72,"Germany","GFR","DEU","0",12,"0","0","0","0","0","-","0"
1,"1Wlw5E",1,87,2000,32,"Cambodia","CAM","KHM",72,"Germany","GFR","DEU","0",5,"0","0","0","0","0","-","0"
1,"1Wlw5E",1,88,2000,34,"Central African Rep.","CAR","CAF",72,"Germany","GFR","DEU","0",8,"0","0","0","0","0","-","0"
1,"1Wlw5E",1,89,2000,36,"Chad","CHD","TCD",72,"Germany","GFR","DEU","0",9,"0","0","0","0","0","-","0"
1,"1Wlw5E",1,90,2000,37,"China","CHI","CHN",72,"Germany","GFR","DEU","0",470,"0","0","0","0","0","-","0"
1,"1Wlw5E",1,91,2000,39,"Cameroon","CMR","CMR",72,"Germany","GFR","DEU","0",234,"0","0","0","0","0","-","0"
1,"1Wlw5E",1,92,2000,40,"Congo","COB","COG",72,"Germany","GFR","DEU","0",68,"0","0","0","0","0","-","0"
