"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","idps","oip","stateless","hst","ooc"
1,"ID1yx5",1,1,1995,6,"Angola","ANG","AGO",78,"Guatemala","GUA","GTM",5,"0","0","-","0","0","0"
1,"ID1yx5",1,2,1996,6,"Angola","ANG","AGO",78,"Guatemala","GUA","GTM",5,"0","0","-","0","0","0"
1,"ID1yx5",1,3,1997,6,"Angola","ANG","AGO",78,"Guatemala","GUA","GTM",5,"0","0","-","0","0","0"
1,"ID1yx5",1,4,2023,9,"Argentina","ARG","ARG",78,"Guatemala","GUA","GTM","0",6,"0","-","0","0","0"
1,"ID1yx5",1,5,2024,9,"Argentina","ARG","ARG",78,"Guatemala","GUA","GTM","0",6,"0","-","0","0","0"
1,"ID1yx5",1,6,2025,9,"Argentina","ARG","ARG",78,"Guatemala","GUA","GTM","0",5,"0","-","0","0","0"
1,"ID1yx5",1,7,2015,20,"Bangladesh","BGD","BGD",78,"Guatemala","GUA","GTM","0",24,"0","-","0","0","0"
1,"ID1yx5",1,8,2022,27,"Brazil","BRA","BRA",78,"Guatemala","GUA","GTM","0",6,"0","-","0","0",3574
1,"ID1yx5",1,9,2023,27,"Brazil","BRA","BRA",78,"Guatemala","GUA","GTM","0",5,"0","-","0","0",1438
1,"ID1yx5",1,10,2024,27,"Brazil","BRA","BRA",78,"Guatemala","GUA","GTM","0",5,"0","-","0","0","0"
1,"ID1yx5",1,11,2025,27,"Brazil","BRA","BRA",78,"Guatemala","GUA","GTM","0",5,"0","-","0","0","0"
1,"ID1yx5",1,12,2021,31,"Belize","BZE","BLZ",78,"Guatemala","GUA","GTM","0",5,"0","-","0","0","0"
1,"ID1yx5",1,13,2024,31,"Belize","BZE","BLZ",78,"Guatemala","GUA","GTM","0",5,"0","-","0","0","0"
1,"ID1yx5",1,14,2025,31,"Belize","BZE","BLZ",78,"Guatemala","GUA","GTM","0",6,"0","-","0","0","0"
1,"ID1yx5",1,15,2015,32,"Cambodia","CAM","KHM",78,"Guatemala","GUA","GTM","0",5,"0","-","0","0","0"
1,"ID1yx5",1,16,1998,37,"China","CHI","CHN",78,"Guatemala","GUA","GTM",5,"0","0","-","0","0","0"
1,"ID1yx5",1,17,1999,37,"China","CHI","CHN",78,"Guatemala","GUA","GTM",5,"0","0","-","0","0","0"
1,"ID1yx5",1,18,2000,37,"China","CHI","CHN",78,"Guatemala","GUA","GTM",5,"0","0","-","0","0","0"
