"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","idps","oip","stateless","hst","ooc"
1,"878xgV",1,1,1993,2,"Afghanistan","AFG","AFG",85,"Hungary","HUN","HUN",15,"0","0","-","0","0","0"
1,"878xgV",1,2,1994,2,"Afghanistan","AFG","AFG",85,"Hungary","HUN","HUN",30,"0","0","-","0","0","0"
1,"878xgV",1,3,1999,2,"Afghanistan","AFG","AFG",85,"Hungary","HUN","HUN",601,"0","0","-","0","0","0"
1,"878xgV",1,4,2000,2,"Afghanistan","AFG","AFG",85,"Hungary","HUN","HUN",694,448,"0","-","0","0","0"
1,"878xgV",1,5,2001,2,"Afghanistan","AFG","AFG",85,"Hungary","HUN","HUN",581,1105,"0","-","0","0","0"
1,"878xgV",1,6,2002,2,"Afghanistan","AFG","AFG",85,"Hungary","HUN","HUN",1319,252,"0","-","0","0","0"
1,"878xgV",1,7,2003,2,"Afghanistan","AFG","AFG",85,"Hungary","HUN","HUN",1705,86,"0","-","0","0","0"
1,"878xgV",1,8,2004,2,"Afghanistan","AFG","AFG",85,"Hungary","HUN","HUN",2497,5,"0","-","0","0","0"
1,"878xgV",1,9,2005,2,"Afghanistan","AFG","AFG",85,"Hungary","HUN","HUN",2376,9,"0","-","0","0","0"
1,"878xgV",1,10,2006,2,"Afghanistan","AFG","AFG",85,"Hungary","HUN","HUN",2357,5,"0","-","0","0","0"
1,"878xgV",1,11,2007,2,"Afghanistan","AFG","AFG",85,"Hungary","HUN","HUN",2293,19,"0","-","0","0","0"
1,"878xgV",1,12,2008,2,"Afghanistan","AFG","AFG",85,"Hungary","HUN","HUN",2110,54,"0","-","0","0","0"
1,"878xgV",1,13,2009,2,"Afghanistan","AFG","AFG",85,"Hungary","HUN","HUN",1907,198,"0","-","0","0","0"
1,"878xgV",1,14,2010,2,"Afghanistan","AFG","AFG",85,"Hungary","HUN","HUN",1767,54,"0","-","0","0","0"
1,"878xgV",1,15,2011,2,"Afghanistan","AFG","AFG",85,"Hungary","HUN","HUN",1697,"0","0","-","0","0","0"
1,"878xgV",1,16,2012,2,"Afghanistan","AFG","AFG",85,"Hungary","HUN","HUN",1131,"0","0","-","0","0","0"
1,"878xgV",1,17,2013,2,"Afghanistan","AFG","AFG",85,"Hungary","HUN","HUN",749,697,"0","-","0","0","0"
1,"878xgV",1,18,2014,2,"Afghanistan","AFG","AFG",85,"Hungary","HUN","HUN",819,2623,"0","-","0","0","0"
1,"878xgV",1,19,2015,2,"Afghanistan","AFG","AFG",85,"Hungary","HUN","HUN",942,8469,"0","-","0","0","0"
1,"878xgV",1,20,2016,2,"Afghanistan","AFG","AFG",85,"Hungary","HUN","HUN",1008,1392,"0","-","0","0","0"
1,"878xgV",1,21,2017,2,"Afghanistan","AFG","AFG",85,"Hungary","HUN","HUN",1412,241,"0","-","0","0","0"
1,"878xgV",1,22,2018,2,"Afghanistan","AFG","AFG",85,"Hungary","HUN","HUN",1552,68,"0","-","0","0","0"
1,"878xgV",1,23,2019,2,"Afghanistan","AFG","AFG",85,"Hungary","HUN","HUN",1487,92,"0","-","0","0","0"
1,"878xgV",1,24,2020,2,"Afghanistan","AFG","AFG",85,"Hungary","HUN","HUN",1503,17,"0","-","0","0","0"
1,"878xgV",1,25,2021,2,"Afghanistan","AFG","AFG",85,"Hungary","HUN","HUN",1467,"0","0","-","0","0","0"
1,"878xgV",1,26,2022,2,"Afghanistan","AFG","AFG",85,"Hungary","HUN","HUN",1452,5,"0","-","0","0","0"
1,"878xgV",1,27,2023,2,"Afghanistan","AFG","AFG",85,"Hungary","HUN","HUN",1443,"0","0","-","0","0","0"
