"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","idps","oip","stateless","hst","ooc"
1,"57BdMj",1,1,2000,2,"Afghanistan","AFG","AFG",86,"Iceland","ICE","ISL","0",5,"0","-","0","0","0"
1,"57BdMj",1,2,2004,2,"Afghanistan","AFG","AFG",86,"Iceland","ICE","ISL","0",5,"0","-","0","0","0"
1,"57BdMj",1,3,2008,2,"Afghanistan","AFG","AFG",86,"Iceland","ICE","ISL","0",5,"0","-","0","0","0"
1,"57BdMj",1,4,2009,2,"Afghanistan","AFG","AFG",86,"Iceland","ICE","ISL",5,"0","0","-","0","0","0"
1,"57BdMj",1,5,2010,2,"Afghanistan","AFG","AFG",86,"Iceland","ICE","ISL",6,"0","0","-","0","0","0"
1,"57BdMj",1,6,2011,2,"Afghanistan","AFG","AFG",86,"Iceland","ICE","ISL",6,5,"0","-","0","0","0"
1,"57BdMj",1,7,2012,2,"Afghanistan","AFG","AFG",86,"Iceland","ICE","ISL",6,11,"0","-","0","0","0"
1,"57BdMj",1,8,2013,2,"Afghanistan","AFG","AFG",86,"Iceland","ICE","ISL",6,15,"0","-","0","0","0"
1,"57BdMj",1,9,2014,2,"Afghanistan","AFG","AFG",86,"Iceland","ICE","ISL",11,10,"0","-","0","0","0"
1,"57BdMj",1,10,2015,2,"Afghanistan","AFG","AFG",86,"Iceland","ICE","ISL",12,21,"0","-","0","0","0"
1,"57BdMj",1,11,2016,2,"Afghanistan","AFG","AFG",86,"Iceland","ICE","ISL",18,11,"0","-","0","0","0"
1,"57BdMj",1,12,2017,2,"Afghanistan","AFG","AFG",86,"Iceland","ICE","ISL",44,10,"0","-","0","0","0"
1,"57BdMj",1,13,2018,2,"Afghanistan","AFG","AFG",86,"Iceland","ICE","ISL",58,29,"0","-","0","0","0"
1,"57BdMj",1,14,2019,2,"Afghanistan","AFG","AFG",86,"Iceland","ICE","ISL",86,19,"0","-","0","0","0"
1,"57BdMj",1,15,2020,2,"Afghanistan","AFG","AFG",86,"Iceland","ICE","ISL",121,5,"0","-","0","0","0"
1,"57BdMj",1,16,2021,2,"Afghanistan","AFG","AFG",86,"Iceland","ICE","ISL",179,18,"0","-","0","0","0"
1,"57BdMj",1,17,2022,2,"Afghanistan","AFG","AFG",86,"Iceland","ICE","ISL",227,9,"0","-","0","0","0"
1,"57BdMj",1,18,2023,2,"Afghanistan","AFG","AFG",86,"Iceland","ICE","ISL",255,40,"0","-","0","0","0"
1,"57BdMj",1,19,2024,2,"Afghanistan","AFG","AFG",86,"Iceland","ICE","ISL",356,17,"0","-","0","0","0"
1,"57BdMj",1,20,2025,2,"Afghanistan","AFG","AFG",86,"Iceland","ICE","ISL",371,13,"0","-","0","0","0"
