"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","idps","oip","stateless","hst","ooc"
1,"6zeu6Y",1,1,1981,2,"Afghanistan","AFG","AFG",88,"India","IND","IND",2690,"0","0","-","0","0","0"
1,"6zeu6Y",1,2,1982,2,"Afghanistan","AFG","AFG",88,"India","IND","IND",3430,"0","0","-","0","0","0"
1,"6zeu6Y",1,3,1983,2,"Afghanistan","AFG","AFG",88,"India","IND","IND",5300,"0","0","-","0","0","0"
1,"6zeu6Y",1,4,1984,2,"Afghanistan","AFG","AFG",88,"India","IND","IND",5850,"0","0","-","0","0","0"
1,"6zeu6Y",1,5,1985,2,"Afghanistan","AFG","AFG",88,"India","IND","IND",5690,"0","0","-","0","0","0"
1,"6zeu6Y",1,6,1986,2,"Afghanistan","AFG","AFG",88,"India","IND","IND",5530,"0","0","-","0","0","0"
1,"6zeu6Y",1,7,1987,2,"Afghanistan","AFG","AFG",88,"India","IND","IND",5180,"0","0","-","0","0","0"
1,"6zeu6Y",1,8,1988,2,"Afghanistan","AFG","AFG",88,"India","IND","IND",4891,"0","0","-","0","0","0"
1,"6zeu6Y",1,9,1989,2,"Afghanistan","AFG","AFG",88,"India","IND","IND",8451,"0","0","-","0","0","0"
1,"6zeu6Y",1,10,1990,2,"Afghanistan","AFG","AFG",88,"India","IND","IND",11946,"0","0","-","0","0","0"
1,"6zeu6Y",1,11,1991,2,"Afghanistan","AFG","AFG",88,"India","IND","IND",9766,"0","0","-","0","0","0"
1,"6zeu6Y",1,12,1992,2,"Afghanistan","AFG","AFG",88,"India","IND","IND",11002,"0","0","-","0","0","0"
1,"6zeu6Y",1,13,1993,2,"Afghanistan","AFG","AFG",88,"India","IND","IND",24421,"0","0","-","0","0","0"
1,"6zeu6Y",1,14,1994,2,"Afghanistan","AFG","AFG",88,"India","IND","IND",22362,"0","0","-","0","0","0"
1,"6zeu6Y",1,15,1995,2,"Afghanistan","AFG","AFG",88,"India","IND","IND",19916,"0","0","-","0","0","0"
1,"6zeu6Y",1,16,1996,2,"Afghanistan","AFG","AFG",88,"India","IND","IND",18607,"0","0","-","0","0","0"
1,"6zeu6Y",1,17,1997,2,"Afghanistan","AFG","AFG",88,"India","IND","IND",17456,"0","0","-","0","0","0"
1,"6zeu6Y",1,18,1998,2,"Afghanistan","AFG","AFG",88,"India","IND","IND",16058,"0","0","-","0","0","0"
1,"6zeu6Y",1,19,1999,2,"Afghanistan","AFG","AFG",88,"India","IND","IND",14473,"0","0","-","0","0","0"
1,"6zeu6Y",1,20,2000,2,"Afghanistan","AFG","AFG",88,"India","IND","IND",12760,34,"0","-","0","0","0"
1,"6zeu6Y",1,21,2001,2,"Afghanistan","AFG","AFG",88,"India","IND","IND",11972,128,"0","-","0","0","0"
1,"6zeu6Y",1,22,2002,2,"Afghanistan","AFG","AFG",88,"India","IND","IND",11371,130,"0","-","0","0","0"
1,"6zeu6Y",1,23,2003,2,"Afghanistan","AFG","AFG",88,"India","IND","IND",10283,88,"0","-","0","0","0"
1,"6zeu6Y",1,24,2004,2,"Afghanistan","AFG","AFG",88,"India","IND","IND",9761,70,"0","-","0","0","0"
1,"6zeu6Y",1,25,2005,2,"Afghanistan","AFG","AFG",88,"India","IND","IND",9700,20,"0","-","0","0","0"
1,"6zeu6Y",1,26,2006,2,"Afghanistan","AFG","AFG",88,"India","IND","IND",9472,137,"0","-","0","0","0"
1,"6zeu6Y",1,27,2007,2,"Afghanistan","AFG","AFG",88,"India","IND","IND",9011,690,"0","-","0","0","0"
1,"6zeu6Y",1,28,2008,2,"Afghanistan","AFG","AFG",88,"India","IND","IND",8441,1661,"0","-","0","0","0"
1,"6zeu6Y",1,29,2009,2,"Afghanistan","AFG","AFG",88,"India","IND","IND",8528,1335,"0","-","0","0","0"
1,"6zeu6Y",1,30,2010,2,"Afghanistan","AFG","AFG",88,"India","IND","IND",9094,223,"0","-","0","0","0"
1,"6zeu6Y",1,31,2011,2,"Afghanistan","AFG","AFG",88,"India","IND","IND",9161,619,"0","-","0","0","0"
1,"6zeu6Y",1,32,2012,2,"Afghanistan","AFG","AFG",88,"India","IND","IND",9633,571,"0","-","0","0","0"
1,"6zeu6Y",1,33,2013,2,"Afghanistan","AFG","AFG",88,"India","IND","IND",10328,1049,"0","-","0","0","0"
1,"6zeu6Y",1,34,2014,2,"Afghanistan","AFG","AFG",88,"India","IND","IND",10395,1305,"0","-","0","0","0"
1,"6zeu6Y",1,35,2015,2,"Afghanistan","AFG","AFG",88,"India","IND","IND",10196,2728,"0","-","0","0","0"
1,"6zeu6Y",1,36,2016,2,"Afghanistan","AFG","AFG",88,"India","IND","IND",7693,4255,"0","-","0","0","0"
1,"6zeu6Y",1,37,2017,2,"Afghanistan","AFG","AFG",88,"India","IND","IND",7758,5743,"0","-","0","0","0"
1,"6zeu6Y",1,38,2018,2,"Afghanistan","AFG","AFG",88,"India","IND","IND",6984,7864,"0","-","0","0","0"
1,"6zeu6Y",1,39,2019,2,"Afghanistan","AFG","AFG",88,"India","IND","IND",7470,8219,"0","-","0","0","0"
1,"6zeu6Y",1,40,2020,2,"Afghanistan","AFG","AFG",88,"India","IND","IND",8275,6857,"0","-","0","0","0"
1,"6zeu6Y",1,41,2021,2,"Afghanistan","AFG","AFG",88,"India","IND","IND",9678,6569,"0","-","0","0","0"
1,"6zeu6Y",1,42,2022,2,"Afghanistan","AFG","AFG",88,"India","IND","IND",9858,5181,"0","-","0","0","0"
1,"6zeu6Y",1,43,2023,2,"Afghanistan","AFG","AFG",88,"India","IND","IND",10109,2115,"0","-","0","0","0"
1,"6zeu6Y",1,44,2024,2,"Afghanistan","AFG","AFG",88,"India","IND","IND",8671,1093,"0","-","0","0","0"
1,"6zeu6Y",1,45,2025,2,"Afghanistan","AFG","AFG",88,"India","IND","IND",8254,890,"0","-","0","0","0"
1,"6zeu6Y",1,46,1993,6,"Angola","ANG","AGO",88,"India","IND","IND",5,"0","0","-","0","0","0"
1,"6zeu6Y",1,47,1994,6,"Angola","ANG","AGO",88,"India","IND","IND",5,"0","0","-","0","0","0"
1,"6zeu6Y",1,48,2016,6,"Angola","ANG","AGO",88,"India","IND","IND","0",5,"0","-","0","0","0"
1,"6zeu6Y",1,49,2018,8,"Egypt","ARE","EGY",88,"India","IND","IND","0",5,"0","-","0","0","0"
1,"6zeu6Y",1,50,2019,8,"Egypt","ARE","EGY",88,"India","IND","IND","0",8,"0","-","0","0","0"
1,"6zeu6Y",1,51,2020,8,"Egypt","ARE","EGY",88,"India","IND","IND","0",8,"0","-","0","0","0"
1,"6zeu6Y",1,52,2021,8,"Egypt","ARE","EGY",88,"India","IND","IND","0",10,"0","-","0","0","0"
1,"6zeu6Y",1,53,2022,8,"Egypt","ARE","EGY",88,"India","IND","IND","0",6,"0","-","0","0","0"
1,"6zeu6Y",1,54,2023,8,"Egypt","ARE","EGY",88,"India","IND","IND","0",6,"0","-","0","0","0"
1,"6zeu6Y",1,55,2024,8,"Egypt","ARE","EGY",88,"India","IND","IND","0",5,"0","-","0","0","0"
1,"6zeu6Y",1,56,1993,10,"Armenia","ARM","ARM",88,"India","IND","IND",5,"0","0","-","0","0","0"
1,"6zeu6Y",1,57,1994,10,"Armenia","ARM","ARM",88,"India","IND","IND",5,"0","0","-","0","0","0"
1,"6zeu6Y",1,58,1995,10,"Armenia","ARM","ARM",88,"India","IND","IND",5,"0","0","-","0","0","0"
1,"6zeu6Y",1,59,1996,10,"Armenia","ARM","ARM",88,"India","IND","IND",5,"0","0","-","0","0","0"
1,"6zeu6Y",1,60,1997,10,"Armenia","ARM","ARM",88,"India","IND","IND",5,"0","0","-","0","0","0"
1,"6zeu6Y",1,61,2023,10,"Armenia","ARM","ARM",88,"India","IND","IND","0",5,"0","-","0","0","0"
1,"6zeu6Y",1,62,2016,16,"Burundi","BDI","BDI",88,"India","IND","IND","0",5,"0","-","0","0","0"
1,"6zeu6Y",1,63,2017,16,"Burundi","BDI","BDI",88,"India","IND","IND","0",5,"0","-","0","0","0"
1,"6zeu6Y",1,64,2018,16,"Burundi","BDI","BDI",88,"India","IND","IND","0",5,"0","-","0","0","0"
1,"6zeu6Y",1,65,2020,16,"Burundi","BDI","BDI",88,"India","IND","IND","0",5,"0","-","0","0","0"
1,"6zeu6Y",1,66,2021,16,"Burundi","BDI","BDI",88,"India","IND","IND","0",5,"0","-","0","0","0"
1,"6zeu6Y",1,67,2022,16,"Burundi","BDI","BDI",88,"India","IND","IND","0",5,"0","-","0","0","0"
1,"6zeu6Y",1,68,2023,16,"Burundi","BDI","BDI",88,"India","IND","IND","0",10,"0","-","0","0","0"
1,"6zeu6Y",1,69,2019,18,"Benin","BEN","BEN",88,"India","IND","IND","0",5,"0","-","0","0","0"
1,"6zeu6Y",1,70,2020,18,"Benin","BEN","BEN",88,"India","IND","IND","0",5,"0","-","0","0","0"
1,"6zeu6Y",1,71,1992,20,"Bangladesh","BGD","BGD",88,"India","IND","IND",53187,"0","0","-","0","0","0"
1,"6zeu6Y",1,72,1993,20,"Bangladesh","BGD","BGD",88,"India","IND","IND",56000,"0","0","-","0","0","0"
1,"6zeu6Y",1,73,1994,20,"Bangladesh","BGD","BGD",88,"India","IND","IND",53465,"0","0","-","0","0","0"
1,"6zeu6Y",1,74,1995,20,"Bangladesh","BGD","BGD",88,"India","IND","IND",53500,"0","0","-","0","0","0"
1,"6zeu6Y",1,75,1996,20,"Bangladesh","BGD","BGD",88,"India","IND","IND",53500,"0","0","-","0","0","0"
1,"6zeu6Y",1,76,1997,20,"Bangladesh","BGD","BGD",88,"India","IND","IND",40080,"0","0","-","0","0","0"
1,"6zeu6Y",1,77,2005,20,"Bangladesh","BGD","BGD",88,"India","IND","IND","0",14,"0","-","0","0","0"
1,"6zeu6Y",1,78,2006,20,"Bangladesh","BGD","BGD",88,"India","IND","IND","0",15,"0","-","0","0","0"
1,"6zeu6Y",1,79,2007,20,"Bangladesh","BGD","BGD",88,"India","IND","IND","0",16,"0","-","0","0","0"
1,"6zeu6Y",1,80,2008,20,"Bangladesh","BGD","BGD",88,"India","IND","IND","0",11,"0","-","0","0","0"
1,"6zeu6Y",1,81,2009,20,"Bangladesh","BGD","BGD",88,"India","IND","IND","0",11,"0","-","0","0","0"
1,"6zeu6Y",1,82,2020,20,"Bangladesh","BGD","BGD",88,"India","IND","IND",8,"0","0","-","0","0","0"
1,"6zeu6Y",1,83,2021,20,"Bangladesh","BGD","BGD",88,"India","IND","IND",8,"0","0","-","0","0","0"
1,"6zeu6Y",1,84,2022,20,"Bangladesh","BGD","BGD",88,"India","IND","IND",8,"0","0","-","0","0","0"
1,"6zeu6Y",1,85,2023,20,"Bangladesh","BGD","BGD",88,"India","IND","IND",12,"0","0","-","0","0","0"
1,"6zeu6Y",1,86,2024,20,"Bangladesh","BGD","BGD",88,"India","IND","IND",9,"0","0","-","0","0","0"
1,"6zeu6Y",1,87,2025,20,"Bangladesh","BGD","BGD",88,"India","IND","IND",9,"0","0","-","0","0","0"
1,"6zeu6Y",1,88,2023,24,"Belarus","BLR","BLR",88,"India","IND","IND","0",5,"0","-","0","0","0"
1,"6zeu6Y",1,89,2025,24,"Belarus","BLR","BLR",88,"India","IND","IND","0",5,"0","-","0","0","0"
1,"6zeu6Y",1,90,2022,29,"Bosnia and Herzegovina","BSN","BIH",88,"India","IND","IND","0",5,"0","-","0","0","0"
1,"6zeu6Y",1,91,2023,29,"Bosnia and Herzegovina","BSN","BIH",88,"India","IND","IND","0",5,"0","-","0","0","0"
1,"6zeu6Y",1,92,2023,36,"Chad","CHD","TCD",88,"India","IND","IND","0",5,"0","-","0","0","0"
1,"6zeu6Y",1,93,1992,37,"China","CHI","CHN",88,"India","IND","IND",80000,"0","0","-","0","0","0"
1,"6zeu6Y",1,94,1993,37,"China","CHI","CHN",88,"India","IND","IND",108001,"0","0","-","0","0","0"
1,"6zeu6Y",1,95,1994,37,"China","CHI","CHN",88,"India","IND","IND",108001,"0","0","-","0","0","0"
1,"6zeu6Y",1,96,1995,37,"China","CHI","CHN",88,"India","IND","IND",98000,"0","0","-","0","0","0"
1,"6zeu6Y",1,97,1996,37,"China","CHI","CHN",88,"India","IND","IND",98000,"0","0","-","0","0","0"
1,"6zeu6Y",1,98,1997,37,"China","CHI","CHN",88,"India","IND","IND",98000,"0","0","-","0","0","0"
1,"6zeu6Y",1,99,1998,37,"China","CHI","CHN",88,"India","IND","IND",98000,"0","0","-","0","0","0"
1,"6zeu6Y",1,100,1999,37,"China","CHI","CHN",88,"India","IND","IND",98001,"0","0","-","0","0","0"
1,"6zeu6Y",1,101,2000,37,"China","CHI","CHN",88,"India","IND","IND",92343,"0","0","-","0","0","0"
1,"6zeu6Y",1,102,2001,37,"China","CHI","CHN",88,"India","IND","IND",92344,"0","0","-","0","0","0"
1,"6zeu6Y",1,103,2002,37,"China","CHI","CHN",88,"India","IND","IND",92346,"0","0","-","0","0","0"
1,"6zeu6Y",1,104,2003,37,"China","CHI","CHN",88,"India","IND","IND",92349,"0","0","-","0","0","0"
1,"6zeu6Y",1,105,2004,37,"China","CHI","CHN",88,"India","IND","IND",94349,"0","0","-","0","0","0"
