"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","idps","oip","stateless","hst","ooc"
1,"i59jPg",1,1,1998,2,"Afghanistan","AFG","AFG",89,"Indonesia","INS","IDN",5,"0","0","-","0","0","0"
1,"i59jPg",1,2,1999,2,"Afghanistan","AFG","AFG",89,"Indonesia","INS","IDN",12,"0","0","-","0","0","0"
1,"i59jPg",1,3,2000,2,"Afghanistan","AFG","AFG",89,"Indonesia","INS","IDN",34,110,"0","-","0","0","0"
1,"i59jPg",1,4,2001,2,"Afghanistan","AFG","AFG",89,"Indonesia","INS","IDN",44,447,"0","-","0","0","0"
1,"i59jPg",1,5,2002,2,"Afghanistan","AFG","AFG",89,"Indonesia","INS","IDN",148,47,"0","-","0","0","0"
1,"i59jPg",1,6,2003,2,"Afghanistan","AFG","AFG",89,"Indonesia","INS","IDN",79,5,"0","-","0","0","0"
1,"i59jPg",1,7,2004,2,"Afghanistan","AFG","AFG",89,"Indonesia","INS","IDN",45,8,"0","-","0","0",62
1,"i59jPg",1,8,2005,2,"Afghanistan","AFG","AFG",89,"Indonesia","INS","IDN",13,5,"0","-","0","0",60
1,"i59jPg",1,9,2006,2,"Afghanistan","AFG","AFG",89,"Indonesia","INS","IDN",65,10,"0","-","0","0","0"
1,"i59jPg",1,10,2007,2,"Afghanistan","AFG","AFG",89,"Indonesia","INS","IDN",49,12,"0","-","0","0","0"
1,"i59jPg",1,11,2008,2,"Afghanistan","AFG","AFG",89,"Indonesia","INS","IDN",29,136,"0","-","0","0","0"
1,"i59jPg",1,12,2009,2,"Afghanistan","AFG","AFG",89,"Indonesia","INS","IDN",220,1411,"0","-","0","0","0"
1,"i59jPg",1,13,2010,2,"Afghanistan","AFG","AFG",89,"Indonesia","INS","IDN",259,1207,"0","-","0","0","0"
1,"i59jPg",1,14,2011,2,"Afghanistan","AFG","AFG",89,"Indonesia","INS","IDN",476,1649,"0","-","0","0","0"
1,"i59jPg",1,15,2012,2,"Afghanistan","AFG","AFG",89,"Indonesia","INS","IDN",890,2995,"0","-","0","0","0"
1,"i59jPg",1,16,2013,2,"Afghanistan","AFG","AFG",89,"Indonesia","INS","IDN",1128,2806,"0","-","0","0","0"
1,"i59jPg",1,17,2014,2,"Afghanistan","AFG","AFG",89,"Indonesia","INS","IDN",1681,4174,"0","-","0","0","0"
1,"i59jPg",1,18,2015,2,"Afghanistan","AFG","AFG",89,"Indonesia","INS","IDN",2890,3782,"0","-","0","0","0"
1,"i59jPg",1,19,2016,2,"Afghanistan","AFG","AFG",89,"Indonesia","INS","IDN",4379,2775,"0","-","0","0","0"
1,"i59jPg",1,20,2017,2,"Afghanistan","AFG","AFG",89,"Indonesia","INS","IDN",5477,2082,"0","-","0","0","0"
1,"i59jPg",1,21,2018,2,"Afghanistan","AFG","AFG",89,"Indonesia","INS","IDN",6098,1635,"0","-","0","0","0"
1,"i59jPg",1,22,2019,2,"Afghanistan","AFG","AFG",89,"Indonesia","INS","IDN",5866,1826,"0","-","0","0","0"
1,"i59jPg",1,23,2020,2,"Afghanistan","AFG","AFG",89,"Indonesia","INS","IDN",5863,1739,"0","-","0","0","0"
1,"i59jPg",1,24,2021,2,"Afghanistan","AFG","AFG",89,"Indonesia","INS","IDN",5828,1610,"0","-","0","0","0"
1,"i59jPg",1,25,2022,2,"Afghanistan","AFG","AFG",89,"Indonesia","INS","IDN",5872,1119,"0","-","0","0","0"
1,"i59jPg",1,26,2023,2,"Afghanistan","AFG","AFG",89,"Indonesia","INS","IDN",5090,889,"0","-","0","0","0"
1,"i59jPg",1,27,2024,2,"Afghanistan","AFG","AFG",89,"Indonesia","INS","IDN",4350,848,"0","-","0","0","0"
1,"i59jPg",1,28,2025,2,"Afghanistan","AFG","AFG",89,"Indonesia","INS","IDN",4271,866,"0","-","0","0","0"
1,"i59jPg",1,29,1996,4,"Algeria","ALG","DZA",89,"Indonesia","INS","IDN",5,"0","0","-","0","0","0"
1,"i59jPg",1,30,1998,4,"Algeria","ALG","DZA",89,"Indonesia","INS","IDN",5,"0","0","-","0","0","0"
1,"i59jPg",1,31,2002,4,"Algeria","ALG","DZA",89,"Indonesia","INS","IDN",5,"0","0","-","0","0","0"
1,"i59jPg",1,32,2003,4,"Algeria","ALG","DZA",89,"Indonesia","INS","IDN",5,"0","0","-","0","0","0"
1,"i59jPg",1,33,2004,4,"Algeria","ALG","DZA",89,"Indonesia","INS","IDN",5,"0","0","-","0","0","0"
1,"i59jPg",1,34,2008,4,"Algeria","ALG","DZA",89,"Indonesia","INS","IDN","0",5,"0","-","0","0","0"
1,"i59jPg",1,35,2010,4,"Algeria","ALG","DZA",89,"Indonesia","INS","IDN","0",5,"0","-","0","0","0"
1,"i59jPg",1,36,2014,4,"Algeria","ALG","DZA",89,"Indonesia","INS","IDN","0",5,"0","-","0","0","0"
1,"i59jPg",1,37,2015,4,"Algeria","ALG","DZA",89,"Indonesia","INS","IDN","0",5,"0","-","0","0","0"
1,"i59jPg",1,38,2016,4,"Algeria","ALG","DZA",89,"Indonesia","INS","IDN","0",5,"0","-","0","0","0"
1,"i59jPg",1,39,2017,4,"Algeria","ALG","DZA",89,"Indonesia","INS","IDN","0",14,"0","-","0","0","0"
1,"i59jPg",1,40,2018,4,"Algeria","ALG","DZA",89,"Indonesia","INS","IDN","0",5,"0","-","0","0","0"
1,"i59jPg",1,41,2016,6,"Angola","ANG","AGO",89,"Indonesia","INS","IDN","0",6,"0","-","0","0","0"
1,"i59jPg",1,42,2017,6,"Angola","ANG","AGO",89,"Indonesia","INS","IDN","0",7,"0","-","0","0","0"
1,"i59jPg",1,43,2018,6,"Angola","ANG","AGO",89,"Indonesia","INS","IDN","0",7,"0","-","0","0","0"
1,"i59jPg",1,44,2019,6,"Angola","ANG","AGO",89,"Indonesia","INS","IDN",6,"0","0","-","0","0","0"
1,"i59jPg",1,45,2020,6,"Angola","ANG","AGO",89,"Indonesia","INS","IDN",7,"0","0","-","0","0","0"
1,"i59jPg",1,46,2021,6,"Angola","ANG","AGO",89,"Indonesia","INS","IDN",7,"0","0","-","0","0","0"
1,"i59jPg",1,47,2022,6,"Angola","ANG","AGO",89,"Indonesia","INS","IDN",7,"0","0","-","0","0","0"
1,"i59jPg",1,48,2023,6,"Angola","ANG","AGO",89,"Indonesia","INS","IDN",7,"0","0","-","0","0","0"
1,"i59jPg",1,49,2024,6,"Angola","ANG","AGO",89,"Indonesia","INS","IDN",7,"0","0","-","0","0","0"
1,"i59jPg",1,50,2025,6,"Angola","ANG","AGO",89,"Indonesia","INS","IDN",7,"0","0","-","0","0","0"
1,"i59jPg",1,51,2010,8,"Egypt","ARE","EGY",89,"Indonesia","INS","IDN","0",8,"0","-","0","0","0"
1,"i59jPg",1,52,2011,8,"Egypt","ARE","EGY",89,"Indonesia","INS","IDN","0",11,"0","-","0","0","0"
1,"i59jPg",1,53,2013,8,"Egypt","ARE","EGY",89,"Indonesia","INS","IDN","0",5,"0","-","0","0","0"
1,"i59jPg",1,54,2014,8,"Egypt","ARE","EGY",89,"Indonesia","INS","IDN",13,10,"0","-","0","0","0"
1,"i59jPg",1,55,2015,8,"Egypt","ARE","EGY",89,"Indonesia","INS","IDN",13,11,"0","-","0","0","0"
1,"i59jPg",1,56,2016,8,"Egypt","ARE","EGY",89,"Indonesia","INS","IDN",14,16,"0","-","0","0","0"
1,"i59jPg",1,57,2017,8,"Egypt","ARE","EGY",89,"Indonesia","INS","IDN",14,15,"0","-","0","0","0"
1,"i59jPg",1,58,2018,8,"Egypt","ARE","EGY",89,"Indonesia","INS","IDN",16,13,"0","-","0","0","0"
