"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"rhJZ6w",1,1,1999,2,"Afghanistan","AFG","AFG",90,"Ireland","IRE","IRL",5,"0","0","0","0","0","0","-","-"
1,"rhJZ6w",1,2,2000,2,"Afghanistan","AFG","AFG",90,"Ireland","IRE","IRL",30,"0","0","0","0","0","0","-","-"
1,"rhJZ6w",1,3,2001,2,"Afghanistan","AFG","AFG",90,"Ireland","IRE","IRL",41,"0","0","0","0","0","0","-","-"
1,"rhJZ6w",1,4,2002,2,"Afghanistan","AFG","AFG",90,"Ireland","IRE","IRL",41,"0","0","0","0","0","0","-","-"
1,"rhJZ6w",1,5,2003,2,"Afghanistan","AFG","AFG",90,"Ireland","IRE","IRL",38,20,"0","0","0","0","0","-","-"
1,"rhJZ6w",1,6,2004,2,"Afghanistan","AFG","AFG",90,"Ireland","IRE","IRL",58,95,"0","0","0","0","0","-","-"
1,"rhJZ6w",1,7,2005,2,"Afghanistan","AFG","AFG",90,"Ireland","IRE","IRL",77,"0","0","0","0","0","0","-","-"
1,"rhJZ6w",1,8,2006,2,"Afghanistan","AFG","AFG",90,"Ireland","IRE","IRL",99,112,"0","0","0","0","0","-","-"
1,"rhJZ6w",1,9,2007,2,"Afghanistan","AFG","AFG",90,"Ireland","IRE","IRL",106,118,"0","0","0","0","0","-","-"
1,"rhJZ6w",1,10,2008,2,"Afghanistan","AFG","AFG",90,"Ireland","IRE","IRL",127,122,"0","0","0","0","0","-","-"
1,"rhJZ6w",1,11,2009,2,"Afghanistan","AFG","AFG",90,"Ireland","IRE","IRL",149,55,"0","0","0","0","0","-","-"
1,"rhJZ6w",1,12,2010,2,"Afghanistan","AFG","AFG",90,"Ireland","IRE","IRL",157,181,"0","0","0","0","0","-","-"
1,"rhJZ6w",1,13,2011,2,"Afghanistan","AFG","AFG",90,"Ireland","IRE","IRL",170,209,"0","0","0","0","0","-","-"
1,"rhJZ6w",1,14,2012,2,"Afghanistan","AFG","AFG",90,"Ireland","IRE","IRL",181,210,"0","0","0","0","0","-","-"
1,"rhJZ6w",1,15,2013,2,"Afghanistan","AFG","AFG",90,"Ireland","IRE","IRL",129,173,"0","0","0","0","0","-","-"
1,"rhJZ6w",1,16,2014,2,"Afghanistan","AFG","AFG",90,"Ireland","IRE","IRL",158,129,"0","0","0","0","0","-","-"
1,"rhJZ6w",1,17,2015,2,"Afghanistan","AFG","AFG",90,"Ireland","IRE","IRL",182,162,"0","0","0","0","0","-","-"
1,"rhJZ6w",1,18,2016,2,"Afghanistan","AFG","AFG",90,"Ireland","IRE","IRL",222,116,"0","0","0","0","0","-","-"
