"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"I48Y1h",1,1,1979,2,"Afghanistan","AFG","AFG",91,"Iran (Islamic Rep. of)","IRN","IRN",100000,"0","0","0","0","0","0","-","-"
1,"I48Y1h",1,2,1980,2,"Afghanistan","AFG","AFG",91,"Iran (Islamic Rep. of)","IRN","IRN",300000,"0","0","0","0","0","0","-","-"
1,"I48Y1h",1,3,1981,2,"Afghanistan","AFG","AFG",91,"Iran (Islamic Rep. of)","IRN","IRN",1500000,"0","0","0","0","0","0","-","-"
1,"I48Y1h",1,4,1982,2,"Afghanistan","AFG","AFG",91,"Iran (Islamic Rep. of)","IRN","IRN",1600000,"0","0","0","0","0","0","-","-"
1,"I48Y1h",1,5,1983,2,"Afghanistan","AFG","AFG",91,"Iran (Islamic Rep. of)","IRN","IRN",1800000,"0","0","0","0","0","0","-","-"
1,"I48Y1h",1,6,1984,2,"Afghanistan","AFG","AFG",91,"Iran (Islamic Rep. of)","IRN","IRN",1900000,"0","0","0","0","0","0","-","-"
1,"I48Y1h",1,7,1985,2,"Afghanistan","AFG","AFG",91,"Iran (Islamic Rep. of)","IRN","IRN",1900000,"0","0","0","0","0","0","-","-"
1,"I48Y1h",1,8,1986,2,"Afghanistan","AFG","AFG",91,"Iran (Islamic Rep. of)","IRN","IRN",2190000,"0","0","0","0","0","0","-","-"
1,"I48Y1h",1,9,1987,2,"Afghanistan","AFG","AFG",91,"Iran (Islamic Rep. of)","IRN","IRN",2350000,"0","0","0","0","0","0","-","-"
1,"I48Y1h",1,10,1988,2,"Afghanistan","AFG","AFG",91,"Iran (Islamic Rep. of)","IRN","IRN",2350000,"0","0","0","0","0","0","-","-"
1,"I48Y1h",1,11,1989,2,"Afghanistan","AFG","AFG",91,"Iran (Islamic Rep. of)","IRN","IRN",2350000,"0","0","0","0","0","0","-","-"
1,"I48Y1h",1,12,1990,2,"Afghanistan","AFG","AFG",91,"Iran (Islamic Rep. of)","IRN","IRN",3061110,"0","0","0","0","0","0","-","-"
1,"I48Y1h",1,13,1991,2,"Afghanistan","AFG","AFG",91,"Iran (Islamic Rep. of)","IRN","IRN",3186616,"0","0","0","0","0","0","-","-"
1,"I48Y1h",1,14,1992,2,"Afghanistan","AFG","AFG",91,"Iran (Islamic Rep. of)","IRN","IRN",2900666,"0",216600,"0","0","0","0","-","-"
1,"I48Y1h",1,15,1993,2,"Afghanistan","AFG","AFG",91,"Iran (Islamic Rep. of)","IRN","IRN",1850000,"0","0","0","0","0","0","-","-"
1,"I48Y1h",1,16,1994,2,"Afghanistan","AFG","AFG",91,"Iran (Islamic Rep. of)","IRN","IRN",1623331,"0",226669,"0","0","0","0","-","-"
1,"I48Y1h",1,17,1995,2,"Afghanistan","AFG","AFG",91,"Iran (Islamic Rep. of)","IRN","IRN",1429038,"0",194287,"0","0","0","0","-","-"
