"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","idps","oip","stateless","hst","ooc"
1,"Pq4YvS",1,1,2012,2,"Afghanistan","AFG","AFG",92,"Iraq","IRQ","IRQ","0",33,"0","-","0","0","0"
1,"Pq4YvS",1,2,2013,2,"Afghanistan","AFG","AFG",92,"Iraq","IRQ","IRQ",5,123,"0","-","0","0","0"
1,"Pq4YvS",1,3,2014,2,"Afghanistan","AFG","AFG",92,"Iraq","IRQ","IRQ",5,131,"0","-","0","0","0"
1,"Pq4YvS",1,4,2015,2,"Afghanistan","AFG","AFG",92,"Iraq","IRQ","IRQ",9,133,"0","-","0","0","0"
1,"Pq4YvS",1,5,2016,2,"Afghanistan","AFG","AFG",92,"Iraq","IRQ","IRQ",11,104,"0","-","0","0","0"
1,"Pq4YvS",1,6,2017,2,"Afghanistan","AFG","AFG",92,"Iraq","IRQ","IRQ",11,107,"0","-","0","0","0"
1,"Pq4YvS",1,7,2018,2,"Afghanistan","AFG","AFG",92,"Iraq","IRQ","IRQ",12,66,"0","-","0","0","0"
1,"Pq4YvS",1,8,2019,2,"Afghanistan","AFG","AFG",92,"Iraq","IRQ","IRQ",11,56,"0","-","0","0","0"
1,"Pq4YvS",1,9,2020,2,"Afghanistan","AFG","AFG",92,"Iraq","IRQ","IRQ",11,64,"0","-","0","0","0"
1,"Pq4YvS",1,10,2021,2,"Afghanistan","AFG","AFG",92,"Iraq","IRQ","IRQ",11,96,"0","-","0","0","0"
1,"Pq4YvS",1,11,2022,2,"Afghanistan","AFG","AFG",92,"Iraq","IRQ","IRQ",14,635,"0","-","0","0",5
1,"Pq4YvS",1,12,2023,2,"Afghanistan","AFG","AFG",92,"Iraq","IRQ","IRQ",21,1666,"0","-","0","0",8
1,"Pq4YvS",1,13,2024,2,"Afghanistan","AFG","AFG",92,"Iraq","IRQ","IRQ",22,3026,"0","-","0","0",6
1,"Pq4YvS",1,14,2025,2,"Afghanistan","AFG","AFG",92,"Iraq","IRQ","IRQ",46,8953,"0","-","0","0","0"
1,"Pq4YvS",1,15,2014,4,"Algeria","ALG","DZA",92,"Iraq","IRQ","IRQ","0",7,"0","-","0","0","0"
1,"Pq4YvS",1,16,2008,8,"Egypt","ARE","EGY",92,"Iraq","IRQ","IRQ",7,"0","0","-","0","0","0"
1,"Pq4YvS",1,17,2012,8,"Egypt","ARE","EGY",92,"Iraq","IRQ","IRQ",5,"0","0","-","0","0","0"
1,"Pq4YvS",1,18,2013,8,"Egypt","ARE","EGY",92,"Iraq","IRQ","IRQ","0",24,"0","-","0","0","0"
1,"Pq4YvS",1,19,2014,8,"Egypt","ARE","EGY",92,"Iraq","IRQ","IRQ","0",27,"0","-","0","0","0"
1,"Pq4YvS",1,20,2015,8,"Egypt","ARE","EGY",92,"Iraq","IRQ","IRQ","0",28,"0","-","0","0","0"
1,"Pq4YvS",1,21,2016,8,"Egypt","ARE","EGY",92,"Iraq","IRQ","IRQ","0",12,"0","-","0","0",61
1,"Pq4YvS",1,22,2017,8,"Egypt","ARE","EGY",92,"Iraq","IRQ","IRQ","0",23,"0","-","0","0","0"
1,"Pq4YvS",1,23,2018,8,"Egypt","ARE","EGY",92,"Iraq","IRQ","IRQ","0",24,"0","-","0","0","0"
1,"Pq4YvS",1,24,2019,8,"Egypt","ARE","EGY",92,"Iraq","IRQ","IRQ","0",22,"0","-","0","0","0"
1,"Pq4YvS",1,25,2020,8,"Egypt","ARE","EGY",92,"Iraq","IRQ","IRQ","0",23,"0","-","0","0","0"
1,"Pq4YvS",1,26,2021,8,"Egypt","ARE","EGY",92,"Iraq","IRQ","IRQ","0",22,"0","-","0","0","0"
1,"Pq4YvS",1,27,2022,8,"Egypt","ARE","EGY",92,"Iraq","IRQ","IRQ","0",41,"0","-","0","0",15
1,"Pq4YvS",1,28,2023,8,"Egypt","ARE","EGY",92,"Iraq","IRQ","IRQ","0",56,"0","-","0","0",13
1,"Pq4YvS",1,29,2024,8,"Egypt","ARE","EGY",92,"Iraq","IRQ","IRQ",10,53,"0","-","0","0",13
1,"Pq4YvS",1,30,2025,8,"Egypt","ARE","EGY",92,"Iraq","IRQ","IRQ",10,28,"0","-","0","0",13
1,"Pq4YvS",1,31,2016,14,"Bahrain","BAH","BHR",92,"Iraq","IRQ","IRQ","0",34,"0","-","0","0","0"
1,"Pq4YvS",1,32,2017,14,"Bahrain","BAH","BHR",92,"Iraq","IRQ","IRQ","0",39,"0","-","0","0","0"
1,"Pq4YvS",1,33,2018,14,"Bahrain","BAH","BHR",92,"Iraq","IRQ","IRQ","0",20,"0","-","0","0","0"
1,"Pq4YvS",1,34,2019,14,"Bahrain","BAH","BHR",92,"Iraq","IRQ","IRQ","0",23,"0","-","0","0","0"
1,"Pq4YvS",1,35,2020,14,"Bahrain","BAH","BHR",92,"Iraq","IRQ","IRQ","0",25,"0","-","0","0","0"
1,"Pq4YvS",1,36,2021,14,"Bahrain","BAH","BHR",92,"Iraq","IRQ","IRQ","0",25,"0","-","0","0","0"
1,"Pq4YvS",1,37,2022,14,"Bahrain","BAH","BHR",92,"Iraq","IRQ","IRQ","0",27,"0","-","0","0","0"
1,"Pq4YvS",1,38,2023,14,"Bahrain","BAH","BHR",92,"Iraq","IRQ","IRQ","0",5,"0","-","0","0","0"
1,"Pq4YvS",1,39,2024,14,"Bahrain","BAH","BHR",92,"Iraq","IRQ","IRQ","0",5,"0","-","0","0","0"
1,"Pq4YvS",1,40,2025,14,"Bahrain","BAH","BHR",92,"Iraq","IRQ","IRQ","0",5,"0","-","0","0","0"
1,"Pq4YvS",1,41,2022,20,"Bangladesh","BGD","BGD",92,"Iraq","IRQ","IRQ","0",5,"0","-","0","0","0"
1,"Pq4YvS",1,42,2023,20,"Bangladesh","BGD","BGD",92,"Iraq","IRQ","IRQ","0",5,"0","-","0","0","0"
1,"Pq4YvS",1,43,2024,20,"Bangladesh","BGD","BGD",92,"Iraq","IRQ","IRQ","0",5,"0","-","0","0","0"
1,"Pq4YvS",1,44,2025,20,"Bangladesh","BGD","BGD",92,"Iraq","IRQ","IRQ","0",5,"0","-","0","0","0"
1,"Pq4YvS",1,45,1979,56,"Eritrea","ERT","ERI",92,"Iraq","IRQ","IRQ",400,"0","0","-","0","0","0"
1,"Pq4YvS",1,46,1980,56,"Eritrea","ERT","ERI",92,"Iraq","IRQ","IRQ",400,"0","0","-","0","0","0"
1,"Pq4YvS",1,47,1981,56,"Eritrea","ERT","ERI",92,"Iraq","IRQ","IRQ",1200,"0","0","-","0","0","0"
1,"Pq4YvS",1,48,1982,56,"Eritrea","ERT","ERI",92,"Iraq","IRQ","IRQ",1200,"0","0","-","0","0","0"
1,"Pq4YvS",1,49,1983,56,"Eritrea","ERT","ERI",92,"Iraq","IRQ","IRQ",1200,"0","0","-","0","0","0"
1,"Pq4YvS",1,50,1984,56,"Eritrea","ERT","ERI",92,"Iraq","IRQ","IRQ",1200,"0","0","-","0","0","0"
1,"Pq4YvS",1,51,1985,56,"Eritrea","ERT","ERI",92,"Iraq","IRQ","IRQ",1200,"0","0","-","0","0","0"
1,"Pq4YvS",1,52,1991,56,"Eritrea","ERT","ERI",92,"Iraq","IRQ","IRQ",590,"0","0","-","0","0","0"
1,"Pq4YvS",1,53,1992,56,"Eritrea","ERT","ERI",92,"Iraq","IRQ","IRQ",600,"0","0","-","0","0","0"
1,"Pq4YvS",1,54,1993,56,"Eritrea","ERT","ERI",92,"Iraq","IRQ","IRQ",650,"0","0","-","0","0","0"
1,"Pq4YvS",1,55,1994,56,"Eritrea","ERT","ERI",92,"Iraq","IRQ","IRQ",621,"0","0","-","0","0","0"
1,"Pq4YvS",1,56,1995,56,"Eritrea","ERT","ERI",92,"Iraq","IRQ","IRQ",621,"0","0","-","0","0","0"
1,"Pq4YvS",1,57,1996,56,"Eritrea","ERT","ERI",92,"Iraq","IRQ","IRQ",598,"0","0","-","0","0","0"
1,"Pq4YvS",1,58,1997,56,"Eritrea","ERT","ERI",92,"Iraq","IRQ","IRQ",582,"0","0","-","0","0","0"
1,"Pq4YvS",1,59,1998,56,"Eritrea","ERT","ERI",92,"Iraq","IRQ","IRQ",574,"0","0","-","0","0","0"
