"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","idps","oip","stateless","hst","ooc"
1,"Hs0Dr0",1,1,2020,3,"Albania","ALB","ALB",93,"Israel","ISR","ISR","0",28,"0","-","0","0","0"
1,"Hs0Dr0",1,2,2021,3,"Albania","ALB","ALB",93,"Israel","ISR","ISR","0",12,"0","-","0","0","0"
1,"Hs0Dr0",1,3,2022,3,"Albania","ALB","ALB",93,"Israel","ISR","ISR","0",25,"0","-","0","0","0"
1,"Hs0Dr0",1,4,2023,3,"Albania","ALB","ALB",93,"Israel","ISR","ISR","0",14,"0","-","0","0","0"
1,"Hs0Dr0",1,5,2024,3,"Albania","ALB","ALB",93,"Israel","ISR","ISR","0",5,"0","-","0","0","0"
1,"Hs0Dr0",1,6,2025,3,"Albania","ALB","ALB",93,"Israel","ISR","ISR","0",5,"0","-","0","0","0"
1,"Hs0Dr0",1,7,2005,8,"Egypt","ARE","EGY",93,"Israel","ISR","ISR","0",6,"0","-","0","0","0"
1,"Hs0Dr0",1,8,2006,8,"Egypt","ARE","EGY",93,"Israel","ISR","ISR","0",12,"0","-","0","0","0"
1,"Hs0Dr0",1,9,2007,8,"Egypt","ARE","EGY",93,"Israel","ISR","ISR","0",13,"0","-","0","0","0"
1,"Hs0Dr0",1,10,2008,8,"Egypt","ARE","EGY",93,"Israel","ISR","ISR","0",9,"0","-","0","0","0"
1,"Hs0Dr0",1,11,2009,8,"Egypt","ARE","EGY",93,"Israel","ISR","ISR","0",9,"0","-","0","0","0"
1,"Hs0Dr0",1,12,2010,8,"Egypt","ARE","EGY",93,"Israel","ISR","ISR","0",9,"0","-","0","0","0"
1,"Hs0Dr0",1,13,2016,8,"Egypt","ARE","EGY",93,"Israel","ISR","ISR","0",10,"0","-","0","0","0"
1,"Hs0Dr0",1,14,2017,8,"Egypt","ARE","EGY",93,"Israel","ISR","ISR","0",12,"0","-","0","0","0"
1,"Hs0Dr0",1,15,2018,8,"Egypt","ARE","EGY",93,"Israel","ISR","ISR","0",12,"0","-","0","0","0"
1,"Hs0Dr0",1,16,2019,8,"Egypt","ARE","EGY",93,"Israel","ISR","ISR","0",12,"0","-","0","0","0"
1,"Hs0Dr0",1,17,2016,9,"Argentina","ARG","ARG",93,"Israel","ISR","ISR","0",5,"0","-","0","0","0"
1,"Hs0Dr0",1,18,2019,9,"Argentina","ARG","ARG",93,"Israel","ISR","ISR","0",5,"0","-","0","0","0"
