"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"Ay1jUW",1,1,1993,46,"Cuba","CUB","CUB",95,"Jamaica","JAM","JAM",5,"0","0","0","0","0","0","-","-"
1,"Ay1jUW",1,2,1994,46,"Cuba","CUB","CUB",95,"Jamaica","JAM","JAM",9,"0","0","0","0","0","0","-","-"
1,"Ay1jUW",1,3,1995,46,"Cuba","CUB","CUB",95,"Jamaica","JAM","JAM",12,"0","0","0","0","0","0","-","-"
1,"Ay1jUW",1,4,1996,46,"Cuba","CUB","CUB",95,"Jamaica","JAM","JAM",14,"0","0","0","0","0","0","-","-"
1,"Ay1jUW",1,5,1997,46,"Cuba","CUB","CUB",95,"Jamaica","JAM","JAM",17,"0","0","0","0","0","0","-","-"
1,"Ay1jUW",1,6,1998,46,"Cuba","CUB","CUB",95,"Jamaica","JAM","JAM",17,"0","0","0","0","0","0","-","-"
1,"Ay1jUW",1,7,1999,46,"Cuba","CUB","CUB",95,"Jamaica","JAM","JAM",17,"0","0","0","0","0","0","-","-"
1,"Ay1jUW",1,8,2000,46,"Cuba","CUB","CUB",95,"Jamaica","JAM","JAM",17,"0","0","0","0","0","0","-","-"
1,"Ay1jUW",1,9,2016,46,"Cuba","CUB","CUB",95,"Jamaica","JAM","JAM","0",8,"0","0","0","0","0","-","-"
1,"Ay1jUW",1,10,2017,46,"Cuba","CUB","CUB",95,"Jamaica","JAM","JAM","0",8,"0","0","0","0","0","-","-"
1,"Ay1jUW",1,11,2018,46,"Cuba","CUB","CUB",95,"Jamaica","JAM","JAM","0",8,"0","0","0","0","0","-","-"
1,"Ay1jUW",1,12,1992,81,"Haiti","HAI","HTI",95,"Jamaica","JAM","JAM",90,"0",50,"0","0","0","0","-","-"
1,"Ay1jUW",1,13,1993,81,"Haiti","HAI","HTI",95,"Jamaica","JAM","JAM",55,"0",5,"0","0","0","0","-","-"
1,"Ay1jUW",1,14,1994,81,"Haiti","HAI","HTI",95,"Jamaica","JAM","JAM",29,"0",32,"0","0","0","0","-","-"
1,"Ay1jUW",1,15,1995,81,"Haiti","HAI","HTI",95,"Jamaica","JAM","JAM",9,"0",35,"0","0","0","0","-","-"
