"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"5t5nSn",1,1,1971,10,"Armenia","ARM","ARM",96,"Jordan","JOR","JOR",50,"0","0","0","0","0","0","-","0"
1,"5t5nSn",1,2,1972,196,"Türkiye","TUR","TUR",96,"Jordan","JOR","JOR",50,"0","0","0","0","0","0","-","0"
1,"5t5nSn",1,3,1978,58,"Ethiopia","ETH","ETH",96,"Jordan","JOR","JOR",80,"0","0","0","0","0","0","-","0"
1,"5t5nSn",1,4,1979,58,"Ethiopia","ETH","ETH",96,"Jordan","JOR","JOR",120,"0","0","0","0","0","0","-","0"
1,"5t5nSn",1,5,1980,58,"Ethiopia","ETH","ETH",96,"Jordan","JOR","JOR",60,"0","0","0","0","0","0","-","0"
1,"5t5nSn",1,6,1981,58,"Ethiopia","ETH","ETH",96,"Jordan","JOR","JOR",80,"0","0","0","0","0","0","-","0"
1,"5t5nSn",1,7,1982,58,"Ethiopia","ETH","ETH",96,"Jordan","JOR","JOR",100,"0","0","0","0","0","0","-","0"
1,"5t5nSn",1,8,1983,2,"Afghanistan","AFG","AFG",96,"Jordan","JOR","JOR",50,"0","0","0","0","0","0","-","0"
1,"5t5nSn",1,9,1983,58,"Ethiopia","ETH","ETH",96,"Jordan","JOR","JOR",100,"0","0","0","0","0","0","-","0"
1,"5t5nSn",1,10,1984,2,"Afghanistan","AFG","AFG",96,"Jordan","JOR","JOR",150,"0","0","0","0","0","0","-","0"
1,"5t5nSn",1,11,1984,58,"Ethiopia","ETH","ETH",96,"Jordan","JOR","JOR",250,"0","0","0","0","0","0","-","0"
1,"5t5nSn",1,12,1985,2,"Afghanistan","AFG","AFG",96,"Jordan","JOR","JOR",150,"0","0","0","0","0","0","-","0"
1,"5t5nSn",1,13,1985,58,"Ethiopia","ETH","ETH",96,"Jordan","JOR","JOR",250,"0","0","0","0","0","0","-","0"
1,"5t5nSn",1,14,1989,58,"Ethiopia","ETH","ETH",96,"Jordan","JOR","JOR",130,"0","0","0","0","0","0","-","0"
1,"5t5nSn",1,15,1990,58,"Ethiopia","ETH","ETH",96,"Jordan","JOR","JOR",130,"0","0","0","0","0","0","-","0"
