"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"n7SlAY",1,1,1993,2,"Afghanistan","AFG","AFG",98,"Kazakhstan","KAZ","KAZ",2000,"0","0","0","0","0","0","-","0"
1,"n7SlAY",1,2,1994,2,"Afghanistan","AFG","AFG",98,"Kazakhstan","KAZ","KAZ",2000,"0","0","0","0","0","0","-","0"
1,"n7SlAY",1,3,1995,2,"Afghanistan","AFG","AFG",98,"Kazakhstan","KAZ","KAZ",3500,"0","0","0","0","0","0","-","0"
1,"n7SlAY",1,4,1996,2,"Afghanistan","AFG","AFG",98,"Kazakhstan","KAZ","KAZ",3500,"0","0","0","0","0","0","-","0"
1,"n7SlAY",1,5,1997,2,"Afghanistan","AFG","AFG",98,"Kazakhstan","KAZ","KAZ",1648,"0","0","0","0","0","0","-","0"
1,"n7SlAY",1,6,1998,2,"Afghanistan","AFG","AFG",98,"Kazakhstan","KAZ","KAZ",2081,"0","0","0","0","0","0","-","0"
1,"n7SlAY",1,7,1999,2,"Afghanistan","AFG","AFG",98,"Kazakhstan","KAZ","KAZ",2296,"0","0","0","0","0","0","-","0"
1,"n7SlAY",1,8,2000,2,"Afghanistan","AFG","AFG",98,"Kazakhstan","KAZ","KAZ",2460,"0","0","0","0","0","0","-","0"
1,"n7SlAY",1,9,2001,2,"Afghanistan","AFG","AFG",98,"Kazakhstan","KAZ","KAZ",2353,10,"0","0","0","0","0","-","0"
1,"n7SlAY",1,10,2002,2,"Afghanistan","AFG","AFG",98,"Kazakhstan","KAZ","KAZ",2250,"0",15,"0","0","0","0","-","0"
1,"n7SlAY",1,11,2003,2,"Afghanistan","AFG","AFG",98,"Kazakhstan","KAZ","KAZ",657,"0",19,"0","0","0","0","-","0"
1,"n7SlAY",1,12,2004,2,"Afghanistan","AFG","AFG",98,"Kazakhstan","KAZ","KAZ",670,"0",19,"0","0","0","0","-","0"
1,"n7SlAY",1,13,2005,2,"Afghanistan","AFG","AFG",98,"Kazakhstan","KAZ","KAZ",760,"0",22,"0","0","0","0","-","0"
