"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","idps","oip","stateless","hst","ooc"
1,"T1h3DH",1,1,2013,2,"Afghanistan","AFG","AFG",99,"Kenya","KEN","KEN",5,"0","0","-","0","0","0"
1,"T1h3DH",1,2,2014,2,"Afghanistan","AFG","AFG",99,"Kenya","KEN","KEN",5,"0","0","-","0","0","0"
1,"T1h3DH",1,3,2015,2,"Afghanistan","AFG","AFG",99,"Kenya","KEN","KEN",5,"0","0","-","0","0","0"
1,"T1h3DH",1,4,2016,2,"Afghanistan","AFG","AFG",99,"Kenya","KEN","KEN",8,"0","0","-","0","0","0"
1,"T1h3DH",1,5,2017,2,"Afghanistan","AFG","AFG",99,"Kenya","KEN","KEN",8,5,"0","-","0","0","0"
1,"T1h3DH",1,6,2018,2,"Afghanistan","AFG","AFG",99,"Kenya","KEN","KEN",8,10,"0","-","0","0","0"
1,"T1h3DH",1,7,2019,2,"Afghanistan","AFG","AFG",99,"Kenya","KEN","KEN",10,9,"0","-","0","0","0"
1,"T1h3DH",1,8,2020,2,"Afghanistan","AFG","AFG",99,"Kenya","KEN","KEN",11,8,"0","-","0","0","0"
1,"T1h3DH",1,9,2021,2,"Afghanistan","AFG","AFG",99,"Kenya","KEN","KEN",12,5,"0","-","0","0","0"
1,"T1h3DH",1,10,2022,2,"Afghanistan","AFG","AFG",99,"Kenya","KEN","KEN",18,40,"0","-","0","0","0"
1,"T1h3DH",1,11,2023,2,"Afghanistan","AFG","AFG",99,"Kenya","KEN","KEN",46,100,"0","-","0","0","0"
1,"T1h3DH",1,12,2024,2,"Afghanistan","AFG","AFG",99,"Kenya","KEN","KEN",87,372,"0","-","0","0","0"
1,"T1h3DH",1,13,2025,2,"Afghanistan","AFG","AFG",99,"Kenya","KEN","KEN",110,392,"0","-","0","0","0"
1,"T1h3DH",1,14,2016,6,"Angola","ANG","AGO",99,"Kenya","KEN","KEN","0",5,"0","-","0","0","0"
1,"T1h3DH",1,15,2017,6,"Angola","ANG","AGO",99,"Kenya","KEN","KEN","0",6,"0","-","0","0","0"
1,"T1h3DH",1,16,2018,6,"Angola","ANG","AGO",99,"Kenya","KEN","KEN","0",5,"0","-","0","0","0"
1,"T1h3DH",1,17,2010,8,"Egypt","ARE","EGY",99,"Kenya","KEN","KEN",5,"0","0","-","0","0","0"
1,"T1h3DH",1,18,2011,8,"Egypt","ARE","EGY",99,"Kenya","KEN","KEN","0",5,"0","-","0","0","0"
1,"T1h3DH",1,19,2012,8,"Egypt","ARE","EGY",99,"Kenya","KEN","KEN",5,"0","0","-","0","0","0"
1,"T1h3DH",1,20,2013,8,"Egypt","ARE","EGY",99,"Kenya","KEN","KEN",5,"0","0","-","0","0","0"
1,"T1h3DH",1,21,2014,8,"Egypt","ARE","EGY",99,"Kenya","KEN","KEN",5,"0","0","-","0","0","0"
1,"T1h3DH",1,22,2015,8,"Egypt","ARE","EGY",99,"Kenya","KEN","KEN",6,"0","0","-","0","0","0"
1,"T1h3DH",1,23,2018,8,"Egypt","ARE","EGY",99,"Kenya","KEN","KEN","0",9,"0","-","0","0","0"
1,"T1h3DH",1,24,2019,8,"Egypt","ARE","EGY",99,"Kenya","KEN","KEN","0",21,"0","-","0","0","0"
1,"T1h3DH",1,25,2020,8,"Egypt","ARE","EGY",99,"Kenya","KEN","KEN","0",21,"0","-","0","0","0"
1,"T1h3DH",1,26,2021,8,"Egypt","ARE","EGY",99,"Kenya","KEN","KEN","0",16,"0","-","0","0","0"
1,"T1h3DH",1,27,2022,8,"Egypt","ARE","EGY",99,"Kenya","KEN","KEN",5,18,"0","-","0","0","0"
1,"T1h3DH",1,28,2023,8,"Egypt","ARE","EGY",99,"Kenya","KEN","KEN",7,20,"0","-","0","0","0"
1,"T1h3DH",1,29,2024,8,"Egypt","ARE","EGY",99,"Kenya","KEN","KEN",7,23,"0","-","0","0","0"
1,"T1h3DH",1,30,2025,8,"Egypt","ARE","EGY",99,"Kenya","KEN","KEN",7,24,"0","-","0","0","0"
1,"T1h3DH",1,31,1973,16,"Burundi","BDI","BDI",99,"Kenya","KEN","KEN",165,"0","0","-","0","0","0"
1,"T1h3DH",1,32,1989,16,"Burundi","BDI","BDI",99,"Kenya","KEN","KEN",50,"0","0","-","0","0","0"
1,"T1h3DH",1,33,1990,16,"Burundi","BDI","BDI",99,"Kenya","KEN","KEN",50,"0","0","-","0","0","0"
1,"T1h3DH",1,34,1995,16,"Burundi","BDI","BDI",99,"Kenya","KEN","KEN",114,"0","0","-","0","0","0"
1,"T1h3DH",1,35,1996,16,"Burundi","BDI","BDI",99,"Kenya","KEN","KEN",73,"0","0","-","0","0","0"
1,"T1h3DH",1,36,1997,16,"Burundi","BDI","BDI",99,"Kenya","KEN","KEN",115,"0","0","-","0","0","0"
1,"T1h3DH",1,37,1998,16,"Burundi","BDI","BDI",99,"Kenya","KEN","KEN",556,"0","0","-","0","0","0"
1,"T1h3DH",1,38,1999,16,"Burundi","BDI","BDI",99,"Kenya","KEN","KEN",205,"0","0","-","0","0","0"
1,"T1h3DH",1,39,2000,16,"Burundi","BDI","BDI",99,"Kenya","KEN","KEN",146,52,"0","-","0","0","0"
1,"T1h3DH",1,40,2001,16,"Burundi","BDI","BDI",99,"Kenya","KEN","KEN",487,119,"0","-","0","0","0"
1,"T1h3DH",1,41,2002,16,"Burundi","BDI","BDI",99,"Kenya","KEN","KEN",402,107,"0","-","0","0","0"
1,"T1h3DH",1,42,2003,16,"Burundi","BDI","BDI",99,"Kenya","KEN","KEN",404,155,"0","-","0","0","0"
1,"T1h3DH",1,43,2004,16,"Burundi","BDI","BDI",99,"Kenya","KEN","KEN",782,8,"0","-","0","0","0"
1,"T1h3DH",1,44,2005,16,"Burundi","BDI","BDI",99,"Kenya","KEN","KEN",1188,5,"0","-","0","0","0"
1,"T1h3DH",1,45,2006,16,"Burundi","BDI","BDI",99,"Kenya","KEN","KEN",1195,95,"0","-","0","0","0"
1,"T1h3DH",1,46,2007,16,"Burundi","BDI","BDI",99,"Kenya","KEN","KEN",1270,80,"0","-","0","0","0"
1,"T1h3DH",1,47,2008,16,"Burundi","BDI","BDI",99,"Kenya","KEN","KEN",1313,129,"0","-","0","0","0"
1,"T1h3DH",1,48,2009,16,"Burundi","BDI","BDI",99,"Kenya","KEN","KEN",1313,279,"0","-","0","0","0"
1,"T1h3DH",1,49,2010,16,"Burundi","BDI","BDI",99,"Kenya","KEN","KEN",765,731,"0","-","0","0","0"
1,"T1h3DH",1,50,2011,16,"Burundi","BDI","BDI",99,"Kenya","KEN","KEN",803,1897,"0","-","0","0","0"
1,"T1h3DH",1,51,2012,16,"Burundi","BDI","BDI",99,"Kenya","KEN","KEN",1018,3228,"0","-","0","0","0"
1,"T1h3DH",1,52,2013,16,"Burundi","BDI","BDI",99,"Kenya","KEN","KEN",1167,4286,"0","-","0","0","0"
1,"T1h3DH",1,53,2014,16,"Burundi","BDI","BDI",99,"Kenya","KEN","KEN",657,5910,"0","-","0","0","0"
1,"T1h3DH",1,54,2015,16,"Burundi","BDI","BDI",99,"Kenya","KEN","KEN",848,7464,"0","-","0","0","0"
1,"T1h3DH",1,55,2016,16,"Burundi","BDI","BDI",99,"Kenya","KEN","KEN",1717,6744,"0","-","0","0","0"
1,"T1h3DH",1,56,2017,16,"Burundi","BDI","BDI",99,"Kenya","KEN","KEN",1902,10926,"0","-","0","0","0"
1,"T1h3DH",1,57,2018,16,"Burundi","BDI","BDI",99,"Kenya","KEN","KEN",4872,8448,"0","-","0","0","0"
1,"T1h3DH",1,58,2019,16,"Burundi","BDI","BDI",99,"Kenya","KEN","KEN",5775,9323,"0","-","0","0","0"
1,"T1h3DH",1,59,2020,16,"Burundi","BDI","BDI",99,"Kenya","KEN","KEN",6759,9761,"0","-","0","0","0"
1,"T1h3DH",1,60,2021,16,"Burundi","BDI","BDI",99,"Kenya","KEN","KEN",7203,11950,"0","-","0","0","0"
1,"T1h3DH",1,61,2022,16,"Burundi","BDI","BDI",99,"Kenya","KEN","KEN",8159,16432,"0","-","0","0",23
1,"T1h3DH",1,62,2023,16,"Burundi","BDI","BDI",99,"Kenya","KEN","KEN",8681,22518,"0","-","0","0",13
1,"T1h3DH",1,63,2024,16,"Burundi","BDI","BDI",99,"Kenya","KEN","KEN",9605,22775,"0","-","0","0","0"
1,"T1h3DH",1,64,2025,16,"Burundi","BDI","BDI",99,"Kenya","KEN","KEN",9981,23270,"0","-","0","0","0"
1,"T1h3DH",1,65,2003,20,"Bangladesh","BGD","BGD",99,"Kenya","KEN","KEN","0",5,"0","-","0","0","0"
1,"T1h3DH",1,66,2015,34,"Central African Rep.","CAR","CAF",99,"Kenya","KEN","KEN","0",5,"0","-","0","0","0"
1,"T1h3DH",1,67,2016,34,"Central African Rep.","CAR","CAF",99,"Kenya","KEN","KEN","0",5,"0","-","0","0","0"
1,"T1h3DH",1,68,2017,34,"Central African Rep.","CAR","CAF",99,"Kenya","KEN","KEN","0",6,"0","-","0","0","0"
1,"T1h3DH",1,69,2018,34,"Central African Rep.","CAR","CAF",99,"Kenya","KEN","KEN","0",5,"0","-","0","0","0"
1,"T1h3DH",1,70,2019,34,"Central African Rep.","CAR","CAF",99,"Kenya","KEN","KEN","0",10,"0","-","0","0","0"
1,"T1h3DH",1,71,2020,34,"Central African Rep.","CAR","CAF",99,"Kenya","KEN","KEN","0",10,"0","-","0","0","0"
1,"T1h3DH",1,72,2021,34,"Central African Rep.","CAR","CAF",99,"Kenya","KEN","KEN","0",11,"0","-","0","0","0"
1,"T1h3DH",1,73,2022,34,"Central African Rep.","CAR","CAF",99,"Kenya","KEN","KEN","0",13,"0","-","0","0","0"
1,"T1h3DH",1,74,2023,34,"Central African Rep.","CAR","CAF",99,"Kenya","KEN","KEN","0",14,"0","-","0","0","0"
1,"T1h3DH",1,75,2024,34,"Central African Rep.","CAR","CAF",99,"Kenya","KEN","KEN","0",14,"0","-","0","0","0"
1,"T1h3DH",1,76,2025,34,"Central African Rep.","CAR","CAF",99,"Kenya","KEN","KEN","0",14,"0","-","0","0","0"
