"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","idps","oip","stateless","hst","ooc"
1,"0DZYqA",1,1,2009,2,"Afghanistan","AFG","AFG",102,"Rep. of Korea","KOR","KOR","0",9,"0","-","0","0","0"
1,"0DZYqA",1,2,2010,2,"Afghanistan","AFG","AFG",102,"Rep. of Korea","KOR","KOR",7,16,"0","-","0","0","0"
1,"0DZYqA",1,3,2011,2,"Afghanistan","AFG","AFG",102,"Rep. of Korea","KOR","KOR",9,65,"0","-","0","0","0"
1,"0DZYqA",1,4,2012,2,"Afghanistan","AFG","AFG",102,"Rep. of Korea","KOR","KOR",10,22,"0","-","0","0","0"
1,"0DZYqA",1,5,2013,2,"Afghanistan","AFG","AFG",102,"Rep. of Korea","KOR","KOR",10,18,"0","-","0","0","0"
1,"0DZYqA",1,6,2014,2,"Afghanistan","AFG","AFG",102,"Rep. of Korea","KOR","KOR",16,33,"0","-","0","0","0"
1,"0DZYqA",1,7,2015,2,"Afghanistan","AFG","AFG",102,"Rep. of Korea","KOR","KOR",32,20,"0","-","0","0","0"
1,"0DZYqA",1,8,2016,2,"Afghanistan","AFG","AFG",102,"Rep. of Korea","KOR","KOR",33,8,"0","-","0","0","0"
1,"0DZYqA",1,9,2017,2,"Afghanistan","AFG","AFG",102,"Rep. of Korea","KOR","KOR",37,7,"0","-","0","0","0"
1,"0DZYqA",1,10,2018,2,"Afghanistan","AFG","AFG",102,"Rep. of Korea","KOR","KOR",38,31,"0","-","0","0","0"
1,"0DZYqA",1,11,2019,2,"Afghanistan","AFG","AFG",102,"Rep. of Korea","KOR","KOR",41,49,"0","-","0","0","0"
1,"0DZYqA",1,12,2020,2,"Afghanistan","AFG","AFG",102,"Rep. of Korea","KOR","KOR",42,45,"0","-","0","0","0"
1,"0DZYqA",1,13,2021,2,"Afghanistan","AFG","AFG",102,"Rep. of Korea","KOR","KOR",46,59,"0","-","0","0","0"
1,"0DZYqA",1,14,2022,2,"Afghanistan","AFG","AFG",102,"Rep. of Korea","KOR","KOR",50,90,"0","-","0","0","0"
1,"0DZYqA",1,15,2023,2,"Afghanistan","AFG","AFG",102,"Rep. of Korea","KOR","KOR",65,95,"0","-","0","0","0"
1,"0DZYqA",1,16,2024,2,"Afghanistan","AFG","AFG",102,"Rep. of Korea","KOR","KOR",79,98,"0","-","0","0","0"
1,"0DZYqA",1,17,2025,2,"Afghanistan","AFG","AFG",102,"Rep. of Korea","KOR","KOR",81,115,"0","-","0","0","0"
1,"0DZYqA",1,18,1999,4,"Algeria","ALG","DZA",102,"Rep. of Korea","KOR","KOR",5,"0","0","-","0","0","0"
1,"0DZYqA",1,19,2000,4,"Algeria","ALG","DZA",102,"Rep. of Korea","KOR","KOR",5,"0","0","-","0","0","0"
1,"0DZYqA",1,20,2001,4,"Algeria","ALG","DZA",102,"Rep. of Korea","KOR","KOR",5,"0","0","-","0","0","0"
1,"0DZYqA",1,21,2002,4,"Algeria","ALG","DZA",102,"Rep. of Korea","KOR","KOR",5,"0","0","-","0","0","0"
1,"0DZYqA",1,22,2005,4,"Algeria","ALG","DZA",102,"Rep. of Korea","KOR","KOR",5,"0","0","-","0","0","0"
1,"0DZYqA",1,23,2006,4,"Algeria","ALG","DZA",102,"Rep. of Korea","KOR","KOR",5,"0","0","-","0","0","0"
1,"0DZYqA",1,24,2007,4,"Algeria","ALG","DZA",102,"Rep. of Korea","KOR","KOR",5,"0","0","-","0","0","0"
1,"0DZYqA",1,25,2008,4,"Algeria","ALG","DZA",102,"Rep. of Korea","KOR","KOR",5,"0","0","-","0","0","0"
1,"0DZYqA",1,26,2009,4,"Algeria","ALG","DZA",102,"Rep. of Korea","KOR","KOR",5,"0","0","-","0","0","0"
1,"0DZYqA",1,27,2010,4,"Algeria","ALG","DZA",102,"Rep. of Korea","KOR","KOR",5,"0","0","-","0","0","0"
1,"0DZYqA",1,28,2011,4,"Algeria","ALG","DZA",102,"Rep. of Korea","KOR","KOR",5,"0","0","-","0","0","0"
1,"0DZYqA",1,29,2012,4,"Algeria","ALG","DZA",102,"Rep. of Korea","KOR","KOR",5,"0","0","-","0","0","0"
1,"0DZYqA",1,30,2013,4,"Algeria","ALG","DZA",102,"Rep. of Korea","KOR","KOR",5,"0","0","-","0","0","0"
1,"0DZYqA",1,31,2014,4,"Algeria","ALG","DZA",102,"Rep. of Korea","KOR","KOR",5,"0","0","-","0","0","0"
1,"0DZYqA",1,32,2015,4,"Algeria","ALG","DZA",102,"Rep. of Korea","KOR","KOR",5,5,"0","-","0","0","0"
1,"0DZYqA",1,33,2016,4,"Algeria","ALG","DZA",102,"Rep. of Korea","KOR","KOR",5,16,"0","-","0","0","0"
1,"0DZYqA",1,34,2017,4,"Algeria","ALG","DZA",102,"Rep. of Korea","KOR","KOR",5,47,"0","-","0","0","0"
1,"0DZYqA",1,35,2018,4,"Algeria","ALG","DZA",102,"Rep. of Korea","KOR","KOR",6,129,"0","-","0","0","0"
1,"0DZYqA",1,36,2019,4,"Algeria","ALG","DZA",102,"Rep. of Korea","KOR","KOR",6,239,"0","-","0","0","0"
1,"0DZYqA",1,37,2020,4,"Algeria","ALG","DZA",102,"Rep. of Korea","KOR","KOR",6,207,"0","-","0","0","0"
1,"0DZYqA",1,38,2021,4,"Algeria","ALG","DZA",102,"Rep. of Korea","KOR","KOR",6,73,"0","-","0","0","0"
1,"0DZYqA",1,39,2022,4,"Algeria","ALG","DZA",102,"Rep. of Korea","KOR","KOR",8,101,"0","-","0","0","0"
1,"0DZYqA",1,40,2023,4,"Algeria","ALG","DZA",102,"Rep. of Korea","KOR","KOR","0",125,"0","-","0","0","0"
1,"0DZYqA",1,41,2024,4,"Algeria","ALG","DZA",102,"Rep. of Korea","KOR","KOR","0",184,"0","-","0","0","0"
1,"0DZYqA",1,42,2025,4,"Algeria","ALG","DZA",102,"Rep. of Korea","KOR","KOR","0",200,"0","-","0","0","0"
1,"0DZYqA",1,43,2012,6,"Angola","ANG","AGO",102,"Rep. of Korea","KOR","KOR",5,"0","0","-","0","0","0"
1,"0DZYqA",1,44,2013,6,"Angola","ANG","AGO",102,"Rep. of Korea","KOR","KOR",5,"0","0","-","0","0","0"
1,"0DZYqA",1,45,2014,6,"Angola","ANG","AGO",102,"Rep. of Korea","KOR","KOR",5,"0","0","-","0","0","0"
1,"0DZYqA",1,46,2015,6,"Angola","ANG","AGO",102,"Rep. of Korea","KOR","KOR",5,"0","0","-","0","0","0"
1,"0DZYqA",1,47,2016,6,"Angola","ANG","AGO",102,"Rep. of Korea","KOR","KOR",5,5,"0","-","0","0","0"
1,"0DZYqA",1,48,2017,6,"Angola","ANG","AGO",102,"Rep. of Korea","KOR","KOR",5,30,"0","-","0","0","0"
1,"0DZYqA",1,49,2018,6,"Angola","ANG","AGO",102,"Rep. of Korea","KOR","KOR",5,59,"0","-","0","0","0"
1,"0DZYqA",1,50,2019,6,"Angola","ANG","AGO",102,"Rep. of Korea","KOR","KOR",5,50,"0","-","0","0","0"
1,"0DZYqA",1,51,2020,6,"Angola","ANG","AGO",102,"Rep. of Korea","KOR","KOR",5,42,"0","-","0","0","0"
1,"0DZYqA",1,52,2021,6,"Angola","ANG","AGO",102,"Rep. of Korea","KOR","KOR",9,18,"0","-","0","0","0"
