"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"L4AnP7",1,1,1984,2,"Afghanistan","AFG","AFG",104,"Kuwait","KUW","KWT",400,"0","0","0","0","0","0","-","-"
1,"L4AnP7",1,2,1985,2,"Afghanistan","AFG","AFG",104,"Kuwait","KUW","KWT",400,"0","0","0","0","0","0","-","-"
1,"L4AnP7",1,3,1994,2,"Afghanistan","AFG","AFG",104,"Kuwait","KUW","KWT",10,"0","0","0","0","0","0","-","-"
1,"L4AnP7",1,4,1995,2,"Afghanistan","AFG","AFG",104,"Kuwait","KUW","KWT",22,"0",101,"0","0","0","0","-","-"
1,"L4AnP7",1,5,1996,2,"Afghanistan","AFG","AFG",104,"Kuwait","KUW","KWT",23,"0",169,"0","0","0","0","-","-"
1,"L4AnP7",1,6,1997,2,"Afghanistan","AFG","AFG",104,"Kuwait","KUW","KWT",21,"0","0","0","0","0","0","-","-"
1,"L4AnP7",1,7,1998,2,"Afghanistan","AFG","AFG",104,"Kuwait","KUW","KWT",52,"0","0","0","0","0","0","-","-"
1,"L4AnP7",1,8,1999,2,"Afghanistan","AFG","AFG",104,"Kuwait","KUW","KWT",52,"0","0","0","0","0","0","-","-"
1,"L4AnP7",1,9,2000,2,"Afghanistan","AFG","AFG",104,"Kuwait","KUW","KWT",92,7,"0","0","0","0","0","-","-"
1,"L4AnP7",1,10,2001,2,"Afghanistan","AFG","AFG",104,"Kuwait","KUW","KWT",45,29,"0","0","0","0","0","-","-"
1,"L4AnP7",1,11,2002,2,"Afghanistan","AFG","AFG",104,"Kuwait","KUW","KWT",78,35,"0","0","0","0","0","-","-"
1,"L4AnP7",1,12,2003,2,"Afghanistan","AFG","AFG",104,"Kuwait","KUW","KWT",78,36,"0","0","0","0","0","-","-"
1,"L4AnP7",1,13,2004,2,"Afghanistan","AFG","AFG",104,"Kuwait","KUW","KWT",78,37,"0","0","0","0","0","-","-"
1,"L4AnP7",1,14,2005,2,"Afghanistan","AFG","AFG",104,"Kuwait","KUW","KWT",78,47,"0","0","0","0","0","-","-"
1,"L4AnP7",1,15,2006,2,"Afghanistan","AFG","AFG",104,"Kuwait","KUW","KWT","0",44,"0","0","0","0","0","-","-"
1,"L4AnP7",1,16,2007,2,"Afghanistan","AFG","AFG",104,"Kuwait","KUW","KWT",5,21,"0","0","0","0","0","-","-"
1,"L4AnP7",1,17,2008,2,"Afghanistan","AFG","AFG",104,"Kuwait","KUW","KWT","0",1795,"0","0","0","0","0","-","-"
1,"L4AnP7",1,18,2009,2,"Afghanistan","AFG","AFG",104,"Kuwait","KUW","KWT","0",1800,"0","0","0","0","0","-","-"
1,"L4AnP7",1,19,2010,2,"Afghanistan","AFG","AFG",104,"Kuwait","KUW","KWT","0",1794,"0","0","0","0","0","-","-"
1,"L4AnP7",1,20,2019,2,"Afghanistan","AFG","AFG",104,"Kuwait","KUW","KWT","0",17,"0","0","0","0","0","-","-"
1,"L4AnP7",1,21,2020,2,"Afghanistan","AFG","AFG",104,"Kuwait","KUW","KWT","0",17,"0","0","0","0","0","-","-"
1,"L4AnP7",1,22,2021,2,"Afghanistan","AFG","AFG",104,"Kuwait","KUW","KWT","0",17,"0","0","0","0","0","-","-"
1,"L4AnP7",1,23,2022,2,"Afghanistan","AFG","AFG",104,"Kuwait","KUW","KWT","0",17,"0","0","0","0","0","-","0"
1,"L4AnP7",1,24,2023,2,"Afghanistan","AFG","AFG",104,"Kuwait","KUW","KWT","0",17,"0","0","0","0","0","-","0"
1,"L4AnP7",1,25,2001,8,"Egypt","ARE","EGY",104,"Kuwait","KUW","KWT","0",5,"0","0","0","0","0","-","-"
1,"L4AnP7",1,26,2002,8,"Egypt","ARE","EGY",104,"Kuwait","KUW","KWT","0",5,"0","0","0","0","0","-","-"
1,"L4AnP7",1,27,2003,8,"Egypt","ARE","EGY",104,"Kuwait","KUW","KWT","0",5,"0","0","0","0","0","-","-"
1,"L4AnP7",1,28,2004,8,"Egypt","ARE","EGY",104,"Kuwait","KUW","KWT","0",5,"0","0","0","0","0","-","-"
1,"L4AnP7",1,29,2005,8,"Egypt","ARE","EGY",104,"Kuwait","KUW","KWT","0",5,"0","0","0","0","0","-","-"
1,"L4AnP7",1,30,2009,8,"Egypt","ARE","EGY",104,"Kuwait","KUW","KWT","0",5,"0","0","0","0","0","-","-"
1,"L4AnP7",1,31,2010,8,"Egypt","ARE","EGY",104,"Kuwait","KUW","KWT","0",7,"0","0","0","0","0","-","-"
1,"L4AnP7",1,32,2011,8,"Egypt","ARE","EGY",104,"Kuwait","KUW","KWT","0",8,"0","0","0","0","0","-","-"
1,"L4AnP7",1,33,2012,8,"Egypt","ARE","EGY",104,"Kuwait","KUW","KWT","0",19,"0","0","0","0","0","-","-"
1,"L4AnP7",1,34,2013,8,"Egypt","ARE","EGY",104,"Kuwait","KUW","KWT",5,18,"0","0","0","0","0","-","-"
1,"L4AnP7",1,35,2014,8,"Egypt","ARE","EGY",104,"Kuwait","KUW","KWT",5,18,"0","0","0","0","0","-","-"
1,"L4AnP7",1,36,2015,8,"Egypt","ARE","EGY",104,"Kuwait","KUW","KWT","0",22,"0","0","0","0","0","-","-"
1,"L4AnP7",1,37,2016,8,"Egypt","ARE","EGY",104,"Kuwait","KUW","KWT","0",18,"0","0","0","0","0","-","-"
1,"L4AnP7",1,38,2017,8,"Egypt","ARE","EGY",104,"Kuwait","KUW","KWT","0",18,"0","0","0","0","0","-","-"
1,"L4AnP7",1,39,2018,8,"Egypt","ARE","EGY",104,"Kuwait","KUW","KWT","0",18,"0","0","0","0","0","-","-"
1,"L4AnP7",1,40,2019,8,"Egypt","ARE","EGY",104,"Kuwait","KUW","KWT",5,19,"0","0","0","0","0","-","-"
1,"L4AnP7",1,41,2020,8,"Egypt","ARE","EGY",104,"Kuwait","KUW","KWT",5,19,"0","0","0","0","0","-","-"
1,"L4AnP7",1,42,2021,8,"Egypt","ARE","EGY",104,"Kuwait","KUW","KWT",6,19,"0","0","0","0","0","-","-"
1,"L4AnP7",1,43,2022,8,"Egypt","ARE","EGY",104,"Kuwait","KUW","KWT",5,16,"0","0","0","0","0","-","0"
1,"L4AnP7",1,44,2023,8,"Egypt","ARE","EGY",104,"Kuwait","KUW","KWT",5,16,"0","0","0","0","0","-","0"
1,"L4AnP7",1,45,2006,20,"Bangladesh","BGD","BGD",104,"Kuwait","KUW","KWT","0",5,"0","0","0","0","0","-","-"
1,"L4AnP7",1,46,2007,20,"Bangladesh","BGD","BGD",104,"Kuwait","KUW","KWT","0",5,"0","0","0","0","0","-","-"
1,"L4AnP7",1,47,2008,20,"Bangladesh","BGD","BGD",104,"Kuwait","KUW","KWT","0",5,"0","0","0","0","0","-","-"
1,"L4AnP7",1,48,2009,20,"Bangladesh","BGD","BGD",104,"Kuwait","KUW","KWT","0",5,"0","0","0","0","0","-","-"
1,"L4AnP7",1,49,2010,20,"Bangladesh","BGD","BGD",104,"Kuwait","KUW","KWT","0",5,"0","0","0","0","0","-","-"
1,"L4AnP7",1,50,2002,37,"China","CHI","CHN",104,"Kuwait","KUW","KWT","0",5,"0","0","0","0","0","-","-"
1,"L4AnP7",1,51,2003,37,"China","CHI","CHN",104,"Kuwait","KUW","KWT","0",5,"0","0","0","0","0","-","-"
1,"L4AnP7",1,52,2004,37,"China","CHI","CHN",104,"Kuwait","KUW","KWT","0",5,"0","0","0","0","0","-","-"
1,"L4AnP7",1,53,2005,37,"China","CHI","CHN",104,"Kuwait","KUW","KWT","0",5,"0","0","0","0","0","-","-"
1,"L4AnP7",1,54,2007,41,"Dem. Rep. of the Congo","COD","COD",104,"Kuwait","KUW","KWT","0",6,"0","0","0","0","0","-","-"
1,"L4AnP7",1,55,2013,51,"Djibouti","DJB","DJI",104,"Kuwait","KUW","KWT","0",5,"0","0","0","0","0","-","-"
1,"L4AnP7",1,56,2014,51,"Djibouti","DJB","DJI",104,"Kuwait","KUW","KWT","0",5,"0","0","0","0","0","-","-"
1,"L4AnP7",1,57,2015,51,"Djibouti","DJB","DJI",104,"Kuwait","KUW","KWT","0",5,"0","0","0","0","0","-","-"
1,"L4AnP7",1,58,2016,51,"Djibouti","DJB","DJI",104,"Kuwait","KUW","KWT","0",5,"0","0","0","0","0","-","-"
1,"L4AnP7",1,59,2017,51,"Djibouti","DJB","DJI",104,"Kuwait","KUW","KWT","0",5,"0","0","0","0","0","-","-"
1,"L4AnP7",1,60,2018,51,"Djibouti","DJB","DJI",104,"Kuwait","KUW","KWT","0",5,"0","0","0","0","0","-","-"
1,"L4AnP7",1,61,2019,51,"Djibouti","DJB","DJI",104,"Kuwait","KUW","KWT","0",5,"0","0","0","0","0","-","-"
1,"L4AnP7",1,62,2020,51,"Djibouti","DJB","DJI",104,"Kuwait","KUW","KWT","0",5,"0","0","0","0","0","-","-"
1,"L4AnP7",1,63,2021,51,"Djibouti","DJB","DJI",104,"Kuwait","KUW","KWT","0",5,"0","0","0","0","0","-","-"
1,"L4AnP7",1,64,2022,51,"Djibouti","DJB","DJI",104,"Kuwait","KUW","KWT","0",5,"0","0","0","0","0","-","0"
1,"L4AnP7",1,65,2023,51,"Djibouti","DJB","DJI",104,"Kuwait","KUW","KWT","0",5,"0","0","0","0","0","-","0"
1,"L4AnP7",1,66,2001,53,"Dominican Rep.","DOM","DOM",104,"Kuwait","KUW","KWT","0",5,"0","0","0","0","0","-","-"
1,"L4AnP7",1,67,2002,53,"Dominican Rep.","DOM","DOM",104,"Kuwait","KUW","KWT","0",5,"0","0","0","0","0","-","-"
1,"L4AnP7",1,68,2003,53,"Dominican Rep.","DOM","DOM",104,"Kuwait","KUW","KWT","0",5,"0","0","0","0","0","-","-"
1,"L4AnP7",1,69,2004,53,"Dominican Rep.","DOM","DOM",104,"Kuwait","KUW","KWT","0",5,"0","0","0","0","0","-","-"
1,"L4AnP7",1,70,2005,53,"Dominican Rep.","DOM","DOM",104,"Kuwait","KUW","KWT","0",5,"0","0","0","0","0","-","-"
1,"L4AnP7",1,71,2006,53,"Dominican Rep.","DOM","DOM",104,"Kuwait","KUW","KWT","0",7,"0","0","0","0","0","-","-"
1,"L4AnP7",1,72,2007,56,"Eritrea","ERT","ERI",104,"Kuwait","KUW","KWT","0",5,"0","0","0","0","0","-","-"
1,"L4AnP7",1,73,2008,56,"Eritrea","ERT","ERI",104,"Kuwait","KUW","KWT","0",5,"0","0","0","0","0","-","-"
1,"L4AnP7",1,74,2009,56,"Eritrea","ERT","ERI",104,"Kuwait","KUW","KWT","0",6,"0","0","0","0","0","-","-"
1,"L4AnP7",1,75,2010,56,"Eritrea","ERT","ERI",104,"Kuwait","KUW","KWT",5,6,"0","0","0","0","0","-","-"
1,"L4AnP7",1,76,2011,56,"Eritrea","ERT","ERI",104,"Kuwait","KUW","KWT",5,"0","0","0","0","0","0","-","-"
1,"L4AnP7",1,77,2012,56,"Eritrea","ERT","ERI",104,"Kuwait","KUW","KWT",5,5,"0","0","0","0","0","-","-"
1,"L4AnP7",1,78,2013,56,"Eritrea","ERT","ERI",104,"Kuwait","KUW","KWT",5,22,"0","0","0","0","0","-","-"
1,"L4AnP7",1,79,2014,56,"Eritrea","ERT","ERI",104,"Kuwait","KUW","KWT",5,23,"0","0","0","0","0","-","-"
1,"L4AnP7",1,80,2015,56,"Eritrea","ERT","ERI",104,"Kuwait","KUW","KWT","0",23,"0","0","0","0","0","-","-"
1,"L4AnP7",1,81,2016,56,"Eritrea","ERT","ERI",104,"Kuwait","KUW","KWT","0",23,"0","0","0","0","0","-","-"
1,"L4AnP7",1,82,2017,56,"Eritrea","ERT","ERI",104,"Kuwait","KUW","KWT","0",24,"0","0","0","0","0","-","-"
1,"L4AnP7",1,83,2018,56,"Eritrea","ERT","ERI",104,"Kuwait","KUW","KWT","0",29,"0","0","0","0","0","-","-"
1,"L4AnP7",1,84,2019,56,"Eritrea","ERT","ERI",104,"Kuwait","KUW","KWT","0",29,"0","0","0","0","0","-","-"
1,"L4AnP7",1,85,2020,56,"Eritrea","ERT","ERI",104,"Kuwait","KUW","KWT",5,28,"0","0","0","0","0","-","-"
1,"L4AnP7",1,86,2021,56,"Eritrea","ERT","ERI",104,"Kuwait","KUW","KWT",5,28,"0","0","0","0","0","-","-"
