"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"tgs2HN",1,1,1976,32,"Cambodia","CAM","KHM",105,"Lao People's Dem. Rep.","LAO","LAO",110,"0","0","0","0","0","0","-","-"
1,"tgs2HN",1,2,1977,32,"Cambodia","CAM","KHM",105,"Lao People's Dem. Rep.","LAO","LAO",100,"0","0","0","0","0","0","-","-"
1,"tgs2HN",1,3,1978,32,"Cambodia","CAM","KHM",105,"Lao People's Dem. Rep.","LAO","LAO",120,"0","0","0","0","0","0","-","-"
1,"tgs2HN",1,4,1979,32,"Cambodia","CAM","KHM",105,"Lao People's Dem. Rep.","LAO","LAO",110,"0","0","0","0","0","0","-","-"
1,"tgs2HN",1,5,1980,32,"Cambodia","CAM","KHM",105,"Lao People's Dem. Rep.","LAO","LAO",10370,"0",19940,"0","0","0","0","-","-"
1,"tgs2HN",1,6,1981,32,"Cambodia","CAM","KHM",105,"Lao People's Dem. Rep.","LAO","LAO",3500,"0",6900,"0","0","0","0","-","-"
1,"tgs2HN",1,7,1982,32,"Cambodia","CAM","KHM",105,"Lao People's Dem. Rep.","LAO","LAO",3500,"0","0","0","0","0","0","-","-"
1,"tgs2HN",1,8,1983,32,"Cambodia","CAM","KHM",105,"Lao People's Dem. Rep.","LAO","LAO",1260,"0",2240,"0","0","0","0","-","-"
1,"tgs2HN",1,9,1984,32,"Cambodia","CAM","KHM",105,"Lao People's Dem. Rep.","LAO","LAO",1200,"0","0","0","0","0","0","-","-"
1,"tgs2HN",1,10,1987,32,"Cambodia","CAM","KHM",105,"Lao People's Dem. Rep.","LAO","LAO",80,"0","0","0","0","0","0","-","-"
1,"tgs2HN",1,11,1972,135,"Myanmar","MYA","MMR",105,"Lao People's Dem. Rep.","LAO","LAO",700,"0","0","0","0","0","0","-","-"
1,"tgs2HN",1,12,1975,262,"Unknown ","UKN","UNK",105,"Lao People's Dem. Rep.","LAO","LAO",70,"0","0","0","0","0","0","-","-"
