"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"9AwHp4",1,1,2007,23,"Burkina Faso","BKF","BFA",106,"Liberia","LBR","LBR",5,"0","0","0","0","0","0","-","0"
1,"9AwHp4",1,2,2008,23,"Burkina Faso","BKF","BFA",106,"Liberia","LBR","LBR",5,"0","0","0","0","0","0","-","0"
1,"9AwHp4",1,3,2009,23,"Burkina Faso","BKF","BFA",106,"Liberia","LBR","LBR",5,"0","0","0","0","0","0","-","0"
1,"9AwHp4",1,4,2010,23,"Burkina Faso","BKF","BFA",106,"Liberia","LBR","LBR",5,"0","0","0","0","0","0","-","0"
1,"9AwHp4",1,5,2011,23,"Burkina Faso","BKF","BFA",106,"Liberia","LBR","LBR",5,"0","0","0","0","0","0","-","0"
1,"9AwHp4",1,6,2012,23,"Burkina Faso","BKF","BFA",106,"Liberia","LBR","LBR",5,"0","0","0","0","0","0","-","0"
1,"9AwHp4",1,7,2013,23,"Burkina Faso","BKF","BFA",106,"Liberia","LBR","LBR",5,"0","0","0","0","0","0","-","0"
1,"9AwHp4",1,8,2014,23,"Burkina Faso","BKF","BFA",106,"Liberia","LBR","LBR",5,"0","0","0","0","0","0","-","0"
1,"9AwHp4",1,9,2020,23,"Burkina Faso","BKF","BFA",106,"Liberia","LBR","LBR","0",5,"0","0","0","0","0","-","0"
1,"9AwHp4",1,10,2021,23,"Burkina Faso","BKF","BFA",106,"Liberia","LBR","LBR","0",5,"0","0","0","0","0","-","0"
1,"9AwHp4",1,11,2021,34,"Central African Rep.","CAR","CAF",106,"Liberia","LBR","LBR",5,"0","0","0","0","0","0","-","0"
1,"9AwHp4",1,12,2022,34,"Central African Rep.","CAR","CAF",106,"Liberia","LBR","LBR",5,"0","0","0","0","0","0","-","0"
1,"9AwHp4",1,13,2023,34,"Central African Rep.","CAR","CAF",106,"Liberia","LBR","LBR",5,"0","0","0","0","0","0","-","0"
1,"9AwHp4",1,14,1993,39,"Cameroon","CMR","CMR",106,"Liberia","LBR","LBR",5,"0","0","0","0","0","0","-","0"
1,"9AwHp4",1,15,1994,39,"Cameroon","CMR","CMR",106,"Liberia","LBR","LBR",5,"0","0","0","0","0","0","-","0"
1,"9AwHp4",1,16,2019,39,"Cameroon","CMR","CMR",106,"Liberia","LBR","LBR",5,"0","0","0","0","0","0","-","0"
1,"9AwHp4",1,17,2020,39,"Cameroon","CMR","CMR",106,"Liberia","LBR","LBR",5,"0","0","0","0","0","0","-","0"
1,"9AwHp4",1,18,2021,39,"Cameroon","CMR","CMR",106,"Liberia","LBR","LBR",5,"0","0","0","0","0","0","-","0"
1,"9AwHp4",1,19,2022,39,"Cameroon","CMR","CMR",106,"Liberia","LBR","LBR",6,"0","0","0","0","0","0","-","0"
1,"9AwHp4",1,20,2023,39,"Cameroon","CMR","CMR",106,"Liberia","LBR","LBR",6,"0","0","0","0","0","0","-","0"
