"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"cbC2Vw",1,1,1986,2,"Afghanistan","AFG","AFG",109,"Lebanon","LEB","LBN",100,"0","0","0","0","0","0","-","-"
1,"cbC2Vw",1,2,1988,2,"Afghanistan","AFG","AFG",109,"Lebanon","LEB","LBN",50,"0","0","0","0","0","0","-","-"
1,"cbC2Vw",1,3,1989,2,"Afghanistan","AFG","AFG",109,"Lebanon","LEB","LBN",50,"0","0","0","0","0","0","-","-"
1,"cbC2Vw",1,4,1990,2,"Afghanistan","AFG","AFG",109,"Lebanon","LEB","LBN",300,"0","0","0","0","0","0","-","-"
1,"cbC2Vw",1,5,1991,2,"Afghanistan","AFG","AFG",109,"Lebanon","LEB","LBN",100,"0","0","0","0","0","0","-","-"
1,"cbC2Vw",1,6,1992,2,"Afghanistan","AFG","AFG",109,"Lebanon","LEB","LBN",90,"0","0","0","0","0","0","-","-"
1,"cbC2Vw",1,7,1993,2,"Afghanistan","AFG","AFG",109,"Lebanon","LEB","LBN",550,"0","0","0","0","0","0","-","-"
1,"cbC2Vw",1,8,1994,2,"Afghanistan","AFG","AFG",109,"Lebanon","LEB","LBN",550,"0","0","0","0","0","0","-","-"
1,"cbC2Vw",1,9,1995,2,"Afghanistan","AFG","AFG",109,"Lebanon","LEB","LBN",550,"0","0","0","0","0","0","-","-"
1,"cbC2Vw",1,10,1996,2,"Afghanistan","AFG","AFG",109,"Lebanon","LEB","LBN",550,"0","0","0","0","0","0","-","-"
1,"cbC2Vw",1,11,1997,2,"Afghanistan","AFG","AFG",109,"Lebanon","LEB","LBN",550,"0","0","0","0","0","0","-","-"
1,"cbC2Vw",1,12,1998,2,"Afghanistan","AFG","AFG",109,"Lebanon","LEB","LBN",550,"0","0","0","0","0","0","-","-"
1,"cbC2Vw",1,13,1999,2,"Afghanistan","AFG","AFG",109,"Lebanon","LEB","LBN",550,"0","0","0","0","0","0","-","-"
1,"cbC2Vw",1,14,2000,2,"Afghanistan","AFG","AFG",109,"Lebanon","LEB","LBN",58,5,"0","0","0","0","0","-","-"
1,"cbC2Vw",1,15,2001,2,"Afghanistan","AFG","AFG",109,"Lebanon","LEB","LBN",48,"0","0","0","0","0","0","-","-"
1,"cbC2Vw",1,16,2002,2,"Afghanistan","AFG","AFG",109,"Lebanon","LEB","LBN",47,"0","0","0","0","0","0","-","-"
1,"cbC2Vw",1,17,2003,2,"Afghanistan","AFG","AFG",109,"Lebanon","LEB","LBN",49,"0","0","0","0","0","0","-","-"
1,"cbC2Vw",1,18,2004,2,"Afghanistan","AFG","AFG",109,"Lebanon","LEB","LBN",31,"0","0","0","0","0","0","-","-"
1,"cbC2Vw",1,19,2005,2,"Afghanistan","AFG","AFG",109,"Lebanon","LEB","LBN",13,"0","0","0","0","0","0","-","-"
1,"cbC2Vw",1,20,2006,2,"Afghanistan","AFG","AFG",109,"Lebanon","LEB","LBN",6,"0","0","0","0","0","0","-","-"
1,"cbC2Vw",1,21,2007,2,"Afghanistan","AFG","AFG",109,"Lebanon","LEB","LBN",9,6,"0","0","0","0","0","-","-"
1,"cbC2Vw",1,22,2008,2,"Afghanistan","AFG","AFG",109,"Lebanon","LEB","LBN",8,6,"0","0","0","0","0","-","-"
1,"cbC2Vw",1,23,2009,2,"Afghanistan","AFG","AFG",109,"Lebanon","LEB","LBN",8,6,"0","0","0","0","0","-","-"
1,"cbC2Vw",1,24,2010,2,"Afghanistan","AFG","AFG",109,"Lebanon","LEB","LBN",9,6,"0","0","0","0","0","-","-"
1,"cbC2Vw",1,25,2011,2,"Afghanistan","AFG","AFG",109,"Lebanon","LEB","LBN",5,14,"0","0","0","0","0","-","-"
1,"cbC2Vw",1,26,2012,2,"Afghanistan","AFG","AFG",109,"Lebanon","LEB","LBN",12,16,"0","0","0","0","0","-","-"
1,"cbC2Vw",1,27,2013,2,"Afghanistan","AFG","AFG",109,"Lebanon","LEB","LBN",16,14,"0","0","0","0",5,"-","-"
1,"cbC2Vw",1,28,2014,2,"Afghanistan","AFG","AFG",109,"Lebanon","LEB","LBN",19,19,"0","0","0","0","0","-","-"
1,"cbC2Vw",1,29,2015,2,"Afghanistan","AFG","AFG",109,"Lebanon","LEB","LBN",20,13,"0","0","0","0","0","-","-"
1,"cbC2Vw",1,30,2016,2,"Afghanistan","AFG","AFG",109,"Lebanon","LEB","LBN",22,6,"0","0","0","0","0","-","-"
1,"cbC2Vw",1,31,2017,2,"Afghanistan","AFG","AFG",109,"Lebanon","LEB","LBN",22,6,"0","0","0","0","0","-","-"
1,"cbC2Vw",1,32,2018,2,"Afghanistan","AFG","AFG",109,"Lebanon","LEB","LBN",17,6,"0","0","0","0","0","-","-"
1,"cbC2Vw",1,33,2019,2,"Afghanistan","AFG","AFG",109,"Lebanon","LEB","LBN",18,6,"0","0","0","0","0","-","-"
1,"cbC2Vw",1,34,2020,2,"Afghanistan","AFG","AFG",109,"Lebanon","LEB","LBN",13,7,"0","0","0","0","0","-","-"
1,"cbC2Vw",1,35,2021,2,"Afghanistan","AFG","AFG",109,"Lebanon","LEB","LBN",24,11,"0","0","0","0","0","-","-"
1,"cbC2Vw",1,36,2022,2,"Afghanistan","AFG","AFG",109,"Lebanon","LEB","LBN",33,11,"0","0","0","0","0","-","0"
1,"cbC2Vw",1,37,2023,2,"Afghanistan","AFG","AFG",109,"Lebanon","LEB","LBN",30,5,"0","0","0","0","0","-","0"
1,"cbC2Vw",1,38,1998,4,"Algeria","ALG","DZA",109,"Lebanon","LEB","LBN",54,"0","0","0","0","0","0","-","-"
1,"cbC2Vw",1,39,1999,4,"Algeria","ALG","DZA",109,"Lebanon","LEB","LBN",76,"0","0","0","0","0","0","-","-"
1,"cbC2Vw",1,40,2000,4,"Algeria","ALG","DZA",109,"Lebanon","LEB","LBN",46,61,"0","0","0","0","0","-","-"
1,"cbC2Vw",1,41,2001,4,"Algeria","ALG","DZA",109,"Lebanon","LEB","LBN",38,68,"0","0","0","0","0","-","-"
1,"cbC2Vw",1,42,2002,4,"Algeria","ALG","DZA",109,"Lebanon","LEB","LBN",36,5,"0","0","0","0","0","-","-"
1,"cbC2Vw",1,43,2003,4,"Algeria","ALG","DZA",109,"Lebanon","LEB","LBN",27,10,"0","0","0","0","0","-","-"
1,"cbC2Vw",1,44,2004,4,"Algeria","ALG","DZA",109,"Lebanon","LEB","LBN",21,"0","0","0","0","0","0","-","-"
1,"cbC2Vw",1,45,2005,4,"Algeria","ALG","DZA",109,"Lebanon","LEB","LBN",11,"0","0","0","0","0","0","-","-"
1,"cbC2Vw",1,46,2006,4,"Algeria","ALG","DZA",109,"Lebanon","LEB","LBN",5,"0","0","0","0","0","0","-","-"
1,"cbC2Vw",1,47,2007,4,"Algeria","ALG","DZA",109,"Lebanon","LEB","LBN",5,"0","0","0","0","0","0","-","-"
1,"cbC2Vw",1,48,2008,4,"Algeria","ALG","DZA",109,"Lebanon","LEB","LBN",5,"0","0","0","0","0","0","-","-"
1,"cbC2Vw",1,49,2009,4,"Algeria","ALG","DZA",109,"Lebanon","LEB","LBN",5,"0","0","0","0","0","0","-","-"
1,"cbC2Vw",1,50,2010,4,"Algeria","ALG","DZA",109,"Lebanon","LEB","LBN",5,"0","0","0","0","0","0","-","-"
1,"cbC2Vw",1,51,2012,4,"Algeria","ALG","DZA",109,"Lebanon","LEB","LBN",5,"0","0","0","0","0","0","-","-"
1,"cbC2Vw",1,52,2013,4,"Algeria","ALG","DZA",109,"Lebanon","LEB","LBN","0","0","0","0","0","0",10,"-","-"
1,"cbC2Vw",1,53,2014,4,"Algeria","ALG","DZA",109,"Lebanon","LEB","LBN","0","0","0","0","0","0",12,"-","-"
1,"cbC2Vw",1,54,2015,4,"Algeria","ALG","DZA",109,"Lebanon","LEB","LBN","0","0","0","0","0","0",12,"-","-"
1,"cbC2Vw",1,55,2016,4,"Algeria","ALG","DZA",109,"Lebanon","LEB","LBN","0","0","0","0","0","0",7,"-","-"
1,"cbC2Vw",1,56,2017,4,"Algeria","ALG","DZA",109,"Lebanon","LEB","LBN","0",5,"0","0","0","0",7,"-","-"
1,"cbC2Vw",1,57,2018,4,"Algeria","ALG","DZA",109,"Lebanon","LEB","LBN","0","0","0","0","0","0",11,"-","-"
1,"cbC2Vw",1,58,2019,4,"Algeria","ALG","DZA",109,"Lebanon","LEB","LBN","0",6,"0","0","0","0",9,"-","-"
1,"cbC2Vw",1,59,2020,4,"Algeria","ALG","DZA",109,"Lebanon","LEB","LBN",6,7,"0","0","0","0",9,"-","-"
1,"cbC2Vw",1,60,2021,4,"Algeria","ALG","DZA",109,"Lebanon","LEB","LBN",6,6,"0","0","0","0",10,"-","-"
1,"cbC2Vw",1,61,2022,4,"Algeria","ALG","DZA",109,"Lebanon","LEB","LBN","0",6,"0","0","0","0",12,"-","0"
1,"cbC2Vw",1,62,2023,4,"Algeria","ALG","DZA",109,"Lebanon","LEB","LBN","0",6,"0","0","0","0",13,"-","0"
1,"cbC2Vw",1,63,1978,8,"Egypt","ARE","EGY",109,"Lebanon","LEB","LBN",50,"0","0","0","0","0","0","-","-"
1,"cbC2Vw",1,64,2001,8,"Egypt","ARE","EGY",109,"Lebanon","LEB","LBN",17,80,"0","0","0","0","0","-","-"
1,"cbC2Vw",1,65,2002,8,"Egypt","ARE","EGY",109,"Lebanon","LEB","LBN",16,"0","0","0","0","0","0","-","-"
1,"cbC2Vw",1,66,2003,8,"Egypt","ARE","EGY",109,"Lebanon","LEB","LBN",10,"0","0","0","0","0","0","-","-"
1,"cbC2Vw",1,67,2004,8,"Egypt","ARE","EGY",109,"Lebanon","LEB","LBN",9,6,"0","0","0","0","0","-","-"
1,"cbC2Vw",1,68,2005,8,"Egypt","ARE","EGY",109,"Lebanon","LEB","LBN",9,"0","0","0","0","0","0","-","-"
1,"cbC2Vw",1,69,2006,8,"Egypt","ARE","EGY",109,"Lebanon","LEB","LBN",7,6,"0","0","0","0","0","-","-"
1,"cbC2Vw",1,70,2007,8,"Egypt","ARE","EGY",109,"Lebanon","LEB","LBN",15,7,"0","0","0","0","0","-","-"
1,"cbC2Vw",1,71,2008,8,"Egypt","ARE","EGY",109,"Lebanon","LEB","LBN",22,5,"0","0","0","0","0","-","-"
1,"cbC2Vw",1,72,2009,8,"Egypt","ARE","EGY",109,"Lebanon","LEB","LBN",23,6,"0","0","0","0","0","-","-"
1,"cbC2Vw",1,73,2010,8,"Egypt","ARE","EGY",109,"Lebanon","LEB","LBN",9,22,"0","0","0","0","0","-","-"
1,"cbC2Vw",1,74,2011,8,"Egypt","ARE","EGY",109,"Lebanon","LEB","LBN",5,41,"0","0","0","0","0","-","-"
1,"cbC2Vw",1,75,2012,8,"Egypt","ARE","EGY",109,"Lebanon","LEB","LBN",17,112,"0","0","0","0","0","-","-"
1,"cbC2Vw",1,76,2013,8,"Egypt","ARE","EGY",109,"Lebanon","LEB","LBN",28,110,"0","0","0","0","0","-","-"
1,"cbC2Vw",1,77,2014,8,"Egypt","ARE","EGY",109,"Lebanon","LEB","LBN",26,81,"0","0","0","0",42,"-","-"
1,"cbC2Vw",1,78,2015,8,"Egypt","ARE","EGY",109,"Lebanon","LEB","LBN",45,123,"0","0","0","0",52,"-","-"
1,"cbC2Vw",1,79,2016,8,"Egypt","ARE","EGY",109,"Lebanon","LEB","LBN",35,139,"0","0","0","0",50,"-","-"
1,"cbC2Vw",1,80,2017,8,"Egypt","ARE","EGY",109,"Lebanon","LEB","LBN",66,166,"0","0","0","0",41,"-","-"
1,"cbC2Vw",1,81,2018,8,"Egypt","ARE","EGY",109,"Lebanon","LEB","LBN",70,246,"0","0","0","0",41,"-","-"
1,"cbC2Vw",1,82,2019,8,"Egypt","ARE","EGY",109,"Lebanon","LEB","LBN",88,293,"0","0","0","0",27,"-","-"
1,"cbC2Vw",1,83,2020,8,"Egypt","ARE","EGY",109,"Lebanon","LEB","LBN",88,300,"0","0","0","0",25,"-","-"
1,"cbC2Vw",1,84,2021,8,"Egypt","ARE","EGY",109,"Lebanon","LEB","LBN",121,370,"0","0","0","0",38,"-","-"
1,"cbC2Vw",1,85,2022,8,"Egypt","ARE","EGY",109,"Lebanon","LEB","LBN",145,489,"0","0","0","0",118,"-","0"
1,"cbC2Vw",1,86,2023,8,"Egypt","ARE","EGY",109,"Lebanon","LEB","LBN",160,517,"0","0","0","0",166,"-","0"
1,"cbC2Vw",1,87,1971,10,"Armenia","ARM","ARM",109,"Lebanon","LEB","LBN",320,"0","0","0","0","0","0","-","-"
1,"cbC2Vw",1,88,1979,10,"Armenia","ARM","ARM",109,"Lebanon","LEB","LBN",300,"0","0","0","0","0","0","-","-"
1,"cbC2Vw",1,89,1980,10,"Armenia","ARM","ARM",109,"Lebanon","LEB","LBN",300,"0","0","0","0","0","0","-","-"
1,"cbC2Vw",1,90,1981,10,"Armenia","ARM","ARM",109,"Lebanon","LEB","LBN",300,"0","0","0","0","0","0","-","-"
1,"cbC2Vw",1,91,1982,10,"Armenia","ARM","ARM",109,"Lebanon","LEB","LBN",300,"0","0","0","0","0","0","-","-"
1,"cbC2Vw",1,92,1983,10,"Armenia","ARM","ARM",109,"Lebanon","LEB","LBN",300,"0","0","0","0","0","0","-","-"
1,"cbC2Vw",1,93,1984,10,"Armenia","ARM","ARM",109,"Lebanon","LEB","LBN",300,"0","0","0","0","0","0","-","-"
1,"cbC2Vw",1,94,1985,10,"Armenia","ARM","ARM",109,"Lebanon","LEB","LBN",300,"0","0","0","0","0","0","-","-"
1,"cbC2Vw",1,95,1986,10,"Armenia","ARM","ARM",109,"Lebanon","LEB","LBN",300,"0","0","0","0","0","0","-","-"
1,"cbC2Vw",1,96,1988,10,"Armenia","ARM","ARM",109,"Lebanon","LEB","LBN",300,"0","0","0","0","0","0","-","-"
1,"cbC2Vw",1,97,2013,10,"Armenia","ARM","ARM",109,"Lebanon","LEB","LBN","0","0","0","0","0","0",11,"-","-"
1,"cbC2Vw",1,98,2014,10,"Armenia","ARM","ARM",109,"Lebanon","LEB","LBN","0","0","0","0","0","0",13,"-","-"
1,"cbC2Vw",1,99,2015,10,"Armenia","ARM","ARM",109,"Lebanon","LEB","LBN","0","0","0","0","0","0",14,"-","-"
1,"cbC2Vw",1,100,2016,10,"Armenia","ARM","ARM",109,"Lebanon","LEB","LBN","0","0","0","0","0","0",12,"-","-"
1,"cbC2Vw",1,101,2017,10,"Armenia","ARM","ARM",109,"Lebanon","LEB","LBN","0","0","0","0","0","0",8,"-","-"
1,"cbC2Vw",1,102,2018,10,"Armenia","ARM","ARM",109,"Lebanon","LEB","LBN","0","0","0","0","0","0",5,"-","-"
1,"cbC2Vw",1,103,2019,10,"Armenia","ARM","ARM",109,"Lebanon","LEB","LBN","0",6,"0","0","0","0",5,"-","-"
1,"cbC2Vw",1,104,2020,10,"Armenia","ARM","ARM",109,"Lebanon","LEB","LBN","0",6,"0","0","0","0","0","-","-"
1,"cbC2Vw",1,105,2021,10,"Armenia","ARM","ARM",109,"Lebanon","LEB","LBN","0",11,"0","0","0","0","0","-","-"
1,"cbC2Vw",1,106,2022,10,"Armenia","ARM","ARM",109,"Lebanon","LEB","LBN","0",17,"0","0","0","0",5,"-","0"
1,"cbC2Vw",1,107,2023,10,"Armenia","ARM","ARM",109,"Lebanon","LEB","LBN","0",15,"0","0","0","0",8,"-","0"
1,"cbC2Vw",1,108,2001,14,"Bahrain","BAH","BHR",109,"Lebanon","LEB","LBN",5,"0","0","0","0","0","0","-","-"
1,"cbC2Vw",1,109,2002,14,"Bahrain","BAH","BHR",109,"Lebanon","LEB","LBN",5,"0","0","0","0","0","0","-","-"
1,"cbC2Vw",1,110,2012,14,"Bahrain","BAH","BHR",109,"Lebanon","LEB","LBN","0",5,"0","0","0","0","0","-","-"
1,"cbC2Vw",1,111,2013,14,"Bahrain","BAH","BHR",109,"Lebanon","LEB","LBN","0",10,"0","0","0","0",7,"-","-"
1,"cbC2Vw",1,112,2014,14,"Bahrain","BAH","BHR",109,"Lebanon","LEB","LBN",9,10,"0","0","0","0",7,"-","-"
1,"cbC2Vw",1,113,2015,14,"Bahrain","BAH","BHR",109,"Lebanon","LEB","LBN",19,15,"0","0","0","0","0","-","-"
1,"cbC2Vw",1,114,2016,14,"Bahrain","BAH","BHR",109,"Lebanon","LEB","LBN",24,5,"0","0","0","0","0","-","-"
1,"cbC2Vw",1,115,2017,14,"Bahrain","BAH","BHR",109,"Lebanon","LEB","LBN",27,10,"0","0","0","0","0","-","-"
1,"cbC2Vw",1,116,2018,14,"Bahrain","BAH","BHR",109,"Lebanon","LEB","LBN",25,12,"0","0","0","0","0","-","-"
1,"cbC2Vw",1,117,2019,14,"Bahrain","BAH","BHR",109,"Lebanon","LEB","LBN",19,7,"0","0","0","0","0","-","-"
1,"cbC2Vw",1,118,2020,14,"Bahrain","BAH","BHR",109,"Lebanon","LEB","LBN",16,6,"0","0","0","0","0","-","-"
1,"cbC2Vw",1,119,2021,14,"Bahrain","BAH","BHR",109,"Lebanon","LEB","LBN",14,5,"0","0","0","0","0","-","-"
