"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","idps","oip","stateless","hst","ooc"
1,"YO4oDa",1,1,2015,2,"Afghanistan","AFG","AFG",111,"Liechtenstein","LIE","LIE","0",7,"0","-","0","0","0"
1,"YO4oDa",1,2,2016,2,"Afghanistan","AFG","AFG",111,"Liechtenstein","LIE","LIE","0",7,"0","-","0","0","0"
1,"YO4oDa",1,3,2017,2,"Afghanistan","AFG","AFG",111,"Liechtenstein","LIE","LIE",5,"0","0","-","0","0","0"
1,"YO4oDa",1,4,2018,2,"Afghanistan","AFG","AFG",111,"Liechtenstein","LIE","LIE",5,"0","0","-","0","0","0"
1,"YO4oDa",1,5,2019,2,"Afghanistan","AFG","AFG",111,"Liechtenstein","LIE","LIE",5,"0","0","-","0","0","0"
1,"YO4oDa",1,6,2020,2,"Afghanistan","AFG","AFG",111,"Liechtenstein","LIE","LIE",5,"0","0","-","0","0","0"
1,"YO4oDa",1,7,2021,2,"Afghanistan","AFG","AFG",111,"Liechtenstein","LIE","LIE",5,"0","0","-","0","0","0"
1,"YO4oDa",1,8,2014,3,"Albania","ALB","ALB",111,"Liechtenstein","LIE","LIE","0",5,"0","-","0","0","0"
1,"YO4oDa",1,9,2015,3,"Albania","ALB","ALB",111,"Liechtenstein","LIE","LIE","0",5,"0","-","0","0","0"
1,"YO4oDa",1,10,2016,3,"Albania","ALB","ALB",111,"Liechtenstein","LIE","LIE","0",5,"0","-","0","0","0"
1,"YO4oDa",1,11,2017,3,"Albania","ALB","ALB",111,"Liechtenstein","LIE","LIE","0",6,"0","-","0","0","0"
1,"YO4oDa",1,12,2021,3,"Albania","ALB","ALB",111,"Liechtenstein","LIE","LIE","0",5,"0","-","0","0","0"
1,"YO4oDa",1,13,2001,10,"Armenia","ARM","ARM",111,"Liechtenstein","LIE","LIE","0",8,"0","-","0","0","0"
1,"YO4oDa",1,14,2002,10,"Armenia","ARM","ARM",111,"Liechtenstein","LIE","LIE",8,8,"0","-","0","0","0"
1,"YO4oDa",1,15,2003,10,"Armenia","ARM","ARM",111,"Liechtenstein","LIE","LIE",8,8,"0","-","0","0","0"
