"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","idps","oip","stateless","hst","ooc"
1,"dP5pt0",1,1,1994,2,"Afghanistan","AFG","AFG",112,"Sri Lanka","LKA","LKA",6,"0","0","-","0","0","0"
1,"dP5pt0",1,2,1995,2,"Afghanistan","AFG","AFG",112,"Sri Lanka","LKA","LKA",7,"0","0","-","0","0","0"
1,"dP5pt0",1,3,1998,2,"Afghanistan","AFG","AFG",112,"Sri Lanka","LKA","LKA",9,"0","0","-","0","0","0"
1,"dP5pt0",1,4,1999,2,"Afghanistan","AFG","AFG",112,"Sri Lanka","LKA","LKA",9,"0","0","-","0","0","0"
1,"dP5pt0",1,5,2001,2,"Afghanistan","AFG","AFG",112,"Sri Lanka","LKA","LKA","0",13,"0","-","0","0","0"
1,"dP5pt0",1,6,2002,2,"Afghanistan","AFG","AFG",112,"Sri Lanka","LKA","LKA","0",13,"0","-","0","0","0"
1,"dP5pt0",1,7,2003,2,"Afghanistan","AFG","AFG",112,"Sri Lanka","LKA","LKA",12,5,"0","-","0","0","0"
1,"dP5pt0",1,8,2004,2,"Afghanistan","AFG","AFG",112,"Sri Lanka","LKA","LKA",15,"0","0","-","0","0","0"
1,"dP5pt0",1,9,2005,2,"Afghanistan","AFG","AFG",112,"Sri Lanka","LKA","LKA",5,"0","0","-","0","0","0"
1,"dP5pt0",1,10,2006,2,"Afghanistan","AFG","AFG",112,"Sri Lanka","LKA","LKA",5,"0","0","-","0","0","0"
1,"dP5pt0",1,11,2007,2,"Afghanistan","AFG","AFG",112,"Sri Lanka","LKA","LKA",5,"0","0","-","0","0","0"
1,"dP5pt0",1,12,2008,2,"Afghanistan","AFG","AFG",112,"Sri Lanka","LKA","LKA",5,5,"0","-","0","0","0"
1,"dP5pt0",1,13,2009,2,"Afghanistan","AFG","AFG",112,"Sri Lanka","LKA","LKA","0",5,"0","-","0","0","0"
1,"dP5pt0",1,14,2011,2,"Afghanistan","AFG","AFG",112,"Sri Lanka","LKA","LKA","0",6,"0","-","0","0","0"
1,"dP5pt0",1,15,2012,2,"Afghanistan","AFG","AFG",112,"Sri Lanka","LKA","LKA",5,"0","0","-","0","0","0"
1,"dP5pt0",1,16,2013,2,"Afghanistan","AFG","AFG",112,"Sri Lanka","LKA","LKA","0",23,"0","-","0","0","0"
1,"dP5pt0",1,17,2014,2,"Afghanistan","AFG","AFG",112,"Sri Lanka","LKA","LKA",34,88,"0","-","0","0","0"
1,"dP5pt0",1,18,2015,2,"Afghanistan","AFG","AFG",112,"Sri Lanka","LKA","LKA",124,107,"0","-","0","0","0"
1,"dP5pt0",1,19,2016,2,"Afghanistan","AFG","AFG",112,"Sri Lanka","LKA","LKA",75,113,"0","-","0","0","0"
1,"dP5pt0",1,20,2017,2,"Afghanistan","AFG","AFG",112,"Sri Lanka","LKA","LKA",133,58,"0","-","0","0","0"
1,"dP5pt0",1,21,2018,2,"Afghanistan","AFG","AFG",112,"Sri Lanka","LKA","LKA",146,34,"0","-","0","0","0"
1,"dP5pt0",1,22,2019,2,"Afghanistan","AFG","AFG",112,"Sri Lanka","LKA","LKA",160,45,"0","-","0","0","0"
1,"dP5pt0",1,23,2020,2,"Afghanistan","AFG","AFG",112,"Sri Lanka","LKA","LKA",142,25,"0","-","0","0","0"
1,"dP5pt0",1,24,2021,2,"Afghanistan","AFG","AFG",112,"Sri Lanka","LKA","LKA",113,27,"0","-","0","0","0"
1,"dP5pt0",1,25,2022,2,"Afghanistan","AFG","AFG",112,"Sri Lanka","LKA","LKA",87,"0","0","-","0","0","0"
1,"dP5pt0",1,26,2023,2,"Afghanistan","AFG","AFG",112,"Sri Lanka","LKA","LKA",53,"0","0","-","0","0","0"
1,"dP5pt0",1,27,2024,2,"Afghanistan","AFG","AFG",112,"Sri Lanka","LKA","LKA",27,"0","0","-","0","0","0"
1,"dP5pt0",1,28,2025,2,"Afghanistan","AFG","AFG",112,"Sri Lanka","LKA","LKA",26,"0","0","-","0","0","0"
1,"dP5pt0",1,29,2016,20,"Bangladesh","BGD","BGD",112,"Sri Lanka","LKA","LKA",10,"0","0","-","0","0","0"
1,"dP5pt0",1,30,2019,20,"Bangladesh","BGD","BGD",112,"Sri Lanka","LKA","LKA","0",5,"0","-","0","0","0"
1,"dP5pt0",1,31,2020,20,"Bangladesh","BGD","BGD",112,"Sri Lanka","LKA","LKA","0",5,"0","-","0","0","0"
1,"dP5pt0",1,32,2023,20,"Bangladesh","BGD","BGD",112,"Sri Lanka","LKA","LKA","0",6,"0","-","0","0","0"
1,"dP5pt0",1,33,2022,24,"Belarus","BLR","BLR",112,"Sri Lanka","LKA","LKA","0",5,"0","-","0","0","0"
1,"dP5pt0",1,34,2023,24,"Belarus","BLR","BLR",112,"Sri Lanka","LKA","LKA","0",5,"0","-","0","0","0"
1,"dP5pt0",1,35,2024,24,"Belarus","BLR","BLR",112,"Sri Lanka","LKA","LKA","0",5,"0","-","0","0","0"
1,"dP5pt0",1,36,2025,24,"Belarus","BLR","BLR",112,"Sri Lanka","LKA","LKA","0",5,"0","-","0","0","0"
1,"dP5pt0",1,37,2007,69,"Palestinian","GAZ","PSE",112,"Sri Lanka","LKA","LKA",7,15,"0","-","0","0","0"
1,"dP5pt0",1,38,2008,69,"Palestinian","GAZ","PSE",112,"Sri Lanka","LKA","LKA",23,"0","0","-","0","0","0"
1,"dP5pt0",1,39,2009,69,"Palestinian","GAZ","PSE",112,"Sri Lanka","LKA","LKA",21,"0","0","-","0","0","0"
1,"dP5pt0",1,40,2010,69,"Palestinian","GAZ","PSE",112,"Sri Lanka","LKA","LKA",5,"0","0","-","0","0","0"
1,"dP5pt0",1,41,2013,69,"Palestinian","GAZ","PSE",112,"Sri Lanka","LKA","LKA","0",15,"0","-","0","0","0"
1,"dP5pt0",1,42,2014,69,"Palestinian","GAZ","PSE",112,"Sri Lanka","LKA","LKA",15,"0","0","-","0","0","0"
1,"dP5pt0",1,43,2015,69,"Palestinian","GAZ","PSE",112,"Sri Lanka","LKA","LKA",15,6,"0","-","0","0","0"
1,"dP5pt0",1,44,2016,69,"Palestinian","GAZ","PSE",112,"Sri Lanka","LKA","LKA",10,"0","0","-","0","0","0"
1,"dP5pt0",1,45,2017,69,"Palestinian","GAZ","PSE",112,"Sri Lanka","LKA","LKA",10,"0","0","-","0","0","0"
1,"dP5pt0",1,46,2018,69,"Palestinian","GAZ","PSE",112,"Sri Lanka","LKA","LKA",9,"0","0","-","0","0","0"
1,"dP5pt0",1,47,2019,69,"Palestinian","GAZ","PSE",112,"Sri Lanka","LKA","LKA",5,5,"0","-","0","0","0"
1,"dP5pt0",1,48,2020,69,"Palestinian","GAZ","PSE",112,"Sri Lanka","LKA","LKA",5,5,"0","-","0","0","0"
1,"dP5pt0",1,49,2021,69,"Palestinian","GAZ","PSE",112,"Sri Lanka","LKA","LKA",6,5,"0","-","0","0","0"
1,"dP5pt0",1,50,2022,69,"Palestinian","GAZ","PSE",112,"Sri Lanka","LKA","LKA",5,"0","0","-","0","0","0"
1,"dP5pt0",1,51,2023,69,"Palestinian","GAZ","PSE",112,"Sri Lanka","LKA","LKA",5,"0","0","-","0","0","0"
1,"dP5pt0",1,52,2024,69,"Palestinian","GAZ","PSE",112,"Sri Lanka","LKA","LKA",5,"0","0","-","0","0","0"
1,"dP5pt0",1,53,2025,69,"Palestinian","GAZ","PSE",112,"Sri Lanka","LKA","LKA",5,"0","0","-","0","0","0"
1,"dP5pt0",1,54,2006,88,"India","IND","IND",112,"Sri Lanka","LKA","LKA","0",7,"0","-","0","0","0"
1,"dP5pt0",1,55,2007,88,"India","IND","IND",112,"Sri Lanka","LKA","LKA","0",6,"0","-","0","0","0"
1,"dP5pt0",1,56,2022,88,"India","IND","IND",112,"Sri Lanka","LKA","LKA","0",5,"0","-","0","0","0"
1,"dP5pt0",1,57,2012,91,"Iran (Islamic Rep. of)","IRN","IRN",112,"Sri Lanka","LKA","LKA","0",7,"0","-","0","0","0"
1,"dP5pt0",1,58,2013,91,"Iran (Islamic Rep. of)","IRN","IRN",112,"Sri Lanka","LKA","LKA","0",9,"0","-","0","0","0"
1,"dP5pt0",1,59,2014,91,"Iran (Islamic Rep. of)","IRN","IRN",112,"Sri Lanka","LKA","LKA",5,5,"0","-","0","0","0"
1,"dP5pt0",1,60,2015,91,"Iran (Islamic Rep. of)","IRN","IRN",112,"Sri Lanka","LKA","LKA",6,6,"0","-","0","0","0"
1,"dP5pt0",1,61,2016,91,"Iran (Islamic Rep. of)","IRN","IRN",112,"Sri Lanka","LKA","LKA",7,5,"0","-","0","0","0"
1,"dP5pt0",1,62,2017,91,"Iran (Islamic Rep. of)","IRN","IRN",112,"Sri Lanka","LKA","LKA",8,11,"0","-","0","0","0"
1,"dP5pt0",1,63,2018,91,"Iran (Islamic Rep. of)","IRN","IRN",112,"Sri Lanka","LKA","LKA",18,12,"0","-","0","0","0"
1,"dP5pt0",1,64,2019,91,"Iran (Islamic Rep. of)","IRN","IRN",112,"Sri Lanka","LKA","LKA",23,12,"0","-","0","0","0"
