"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","idps","oip","stateless","hst","ooc"
1,"7V5oLw",1,1,2009,2,"Afghanistan","AFG","AFG",114,"Luxembourg","LUX","LUX","0",11,"0","-","0","0","0"
1,"7V5oLw",1,2,2010,2,"Afghanistan","AFG","AFG",114,"Luxembourg","LUX","LUX","0",16,"0","-","0","0","0"
1,"7V5oLw",1,3,2013,2,"Afghanistan","AFG","AFG",114,"Luxembourg","LUX","LUX",27,7,"0","-","0","0","0"
1,"7V5oLw",1,4,2014,2,"Afghanistan","AFG","AFG",114,"Luxembourg","LUX","LUX",35,17,"0","-","0","0","0"
1,"7V5oLw",1,5,2015,2,"Afghanistan","AFG","AFG",114,"Luxembourg","LUX","LUX",37,221,"0","-","0","0","0"
1,"7V5oLw",1,6,2016,2,"Afghanistan","AFG","AFG",114,"Luxembourg","LUX","LUX",43,230,"0","-","0","0","0"
1,"7V5oLw",1,7,2017,2,"Afghanistan","AFG","AFG",114,"Luxembourg","LUX","LUX",43,70,"0","-","0","0","0"
1,"7V5oLw",1,8,2018,2,"Afghanistan","AFG","AFG",114,"Luxembourg","LUX","LUX",43,115,"0","-","0","0","0"
1,"7V5oLw",1,9,2019,2,"Afghanistan","AFG","AFG",114,"Luxembourg","LUX","LUX",97,170,"0","-","0","0","0"
1,"7V5oLw",1,10,2020,2,"Afghanistan","AFG","AFG",114,"Luxembourg","LUX","LUX",317,146,"0","-","0","0","0"
1,"7V5oLw",1,11,2021,2,"Afghanistan","AFG","AFG",114,"Luxembourg","LUX","LUX",427,200,"0","-","0","0","0"
1,"7V5oLw",1,12,2022,2,"Afghanistan","AFG","AFG",114,"Luxembourg","LUX","LUX",531,240,"0","-","0","0","0"
1,"7V5oLw",1,13,2023,2,"Afghanistan","AFG","AFG",114,"Luxembourg","LUX","LUX",616,260,"0","-","0","0","0"
1,"7V5oLw",1,14,2024,2,"Afghanistan","AFG","AFG",114,"Luxembourg","LUX","LUX",562,215,"0","-","0","0","0"
1,"7V5oLw",1,15,2025,2,"Afghanistan","AFG","AFG",114,"Luxembourg","LUX","LUX",576,195,"0","-","0","0","0"
1,"7V5oLw",1,16,2009,3,"Albania","ALB","ALB",114,"Luxembourg","LUX","LUX","0",12,"0","-","0","0","0"
1,"7V5oLw",1,17,2010,3,"Albania","ALB","ALB",114,"Luxembourg","LUX","LUX","0",29,"0","-","0","0","0"
1,"7V5oLw",1,18,2013,3,"Albania","ALB","ALB",114,"Luxembourg","LUX","LUX",65,24,"0","-","0","0","0"
1,"7V5oLw",1,19,2014,3,"Albania","ALB","ALB",114,"Luxembourg","LUX","LUX",58,73,"0","-","0","0","0"
1,"7V5oLw",1,20,2015,3,"Albania","ALB","ALB",114,"Luxembourg","LUX","LUX",75,110,"0","-","0","0","0"
1,"7V5oLw",1,21,2016,3,"Albania","ALB","ALB",114,"Luxembourg","LUX","LUX",82,159,"0","-","0","0","0"
1,"7V5oLw",1,22,2017,3,"Albania","ALB","ALB",114,"Luxembourg","LUX","LUX",82,65,"0","-","0","0","0"
1,"7V5oLw",1,23,2018,3,"Albania","ALB","ALB",114,"Luxembourg","LUX","LUX",82,25,"0","-","0","0","0"
1,"7V5oLw",1,24,2019,3,"Albania","ALB","ALB",114,"Luxembourg","LUX","LUX",70,15,"0","-","0","0","0"
1,"7V5oLw",1,25,2020,3,"Albania","ALB","ALB",114,"Luxembourg","LUX","LUX",38,14,"0","-","0","0","0"
1,"7V5oLw",1,26,2021,3,"Albania","ALB","ALB",114,"Luxembourg","LUX","LUX",38,5,"0","-","0","0","0"
1,"7V5oLw",1,27,2022,3,"Albania","ALB","ALB",114,"Luxembourg","LUX","LUX",47,25,"0","-","0","0","0"
1,"7V5oLw",1,28,2023,3,"Albania","ALB","ALB",114,"Luxembourg","LUX","LUX",47,25,"0","-","0","0","0"
1,"7V5oLw",1,29,2024,3,"Albania","ALB","ALB",114,"Luxembourg","LUX","LUX",15,20,"0","-","0","0","0"
1,"7V5oLw",1,30,2025,3,"Albania","ALB","ALB",114,"Luxembourg","LUX","LUX",15,20,"0","-","0","0","0"
1,"7V5oLw",1,31,2009,4,"Algeria","ALG","DZA",114,"Luxembourg","LUX","LUX","0",5,"0","-","0","0","0"
1,"7V5oLw",1,32,2010,4,"Algeria","ALG","DZA",114,"Luxembourg","LUX","LUX","0",28,"0","-","0","0","0"
1,"7V5oLw",1,33,2013,4,"Algeria","ALG","DZA",114,"Luxembourg","LUX","LUX","0",57,"0","-","0","0","0"
1,"7V5oLw",1,34,2014,4,"Algeria","ALG","DZA",114,"Luxembourg","LUX","LUX","0",63,"0","-","0","0","0"
1,"7V5oLw",1,35,2015,4,"Algeria","ALG","DZA",114,"Luxembourg","LUX","LUX","0",46,"0","-","0","0","0"
1,"7V5oLw",1,36,2016,4,"Algeria","ALG","DZA",114,"Luxembourg","LUX","LUX","0",39,"0","-","0","0","0"
1,"7V5oLw",1,37,2017,4,"Algeria","ALG","DZA",114,"Luxembourg","LUX","LUX","0",50,"0","-","0","0","0"
1,"7V5oLw",1,38,2018,4,"Algeria","ALG","DZA",114,"Luxembourg","LUX","LUX","0",40,"0","-","0","0","0"
1,"7V5oLw",1,39,2019,4,"Algeria","ALG","DZA",114,"Luxembourg","LUX","LUX","0",40,"0","-","0","0","0"
1,"7V5oLw",1,40,2020,4,"Algeria","ALG","DZA",114,"Luxembourg","LUX","LUX","0",15,"0","-","0","0","0"
1,"7V5oLw",1,41,2021,4,"Algeria","ALG","DZA",114,"Luxembourg","LUX","LUX","0",20,"0","-","0","0","0"
1,"7V5oLw",1,42,2022,4,"Algeria","ALG","DZA",114,"Luxembourg","LUX","LUX",30,20,"0","-","0","0","0"
1,"7V5oLw",1,43,2023,4,"Algeria","ALG","DZA",114,"Luxembourg","LUX","LUX",35,75,"0","-","0","0","0"
1,"7V5oLw",1,44,2024,4,"Algeria","ALG","DZA",114,"Luxembourg","LUX","LUX",21,145,"0","-","0","0","0"
1,"7V5oLw",1,45,2025,4,"Algeria","ALG","DZA",114,"Luxembourg","LUX","LUX",31,145,"0","-","0","0","0"
1,"7V5oLw",1,46,2009,6,"Angola","ANG","AGO",114,"Luxembourg","LUX","LUX","0",7,"0","-","0","0","0"
1,"7V5oLw",1,47,2010,6,"Angola","ANG","AGO",114,"Luxembourg","LUX","LUX","0",7,"0","-","0","0","0"
1,"7V5oLw",1,48,2013,6,"Angola","ANG","AGO",114,"Luxembourg","LUX","LUX",14,6,"0","-","0","0","0"
1,"7V5oLw",1,49,2014,6,"Angola","ANG","AGO",114,"Luxembourg","LUX","LUX",13,7,"0","-","0","0","0"
1,"7V5oLw",1,50,2015,6,"Angola","ANG","AGO",114,"Luxembourg","LUX","LUX",15,6,"0","-","0","0","0"
1,"7V5oLw",1,51,2016,6,"Angola","ANG","AGO",114,"Luxembourg","LUX","LUX",15,"0","0","-","0","0","0"
1,"7V5oLw",1,52,2017,6,"Angola","ANG","AGO",114,"Luxembourg","LUX","LUX",15,"0","0","-","0","0","0"
1,"7V5oLw",1,53,2018,6,"Angola","ANG","AGO",114,"Luxembourg","LUX","LUX",15,"0","0","-","0","0","0"
1,"7V5oLw",1,54,2019,6,"Angola","ANG","AGO",114,"Luxembourg","LUX","LUX",13,5,"0","-","0","0","0"
1,"7V5oLw",1,55,2020,6,"Angola","ANG","AGO",114,"Luxembourg","LUX","LUX",9,5,"0","-","0","0","0"
1,"7V5oLw",1,56,2021,6,"Angola","ANG","AGO",114,"Luxembourg","LUX","LUX",9,10,"0","-","0","0","0"
1,"7V5oLw",1,57,2022,6,"Angola","ANG","AGO",114,"Luxembourg","LUX","LUX",9,10,"0","-","0","0","0"
1,"7V5oLw",1,58,2023,6,"Angola","ANG","AGO",114,"Luxembourg","LUX","LUX",9,10,"0","-","0","0","0"
1,"7V5oLw",1,59,2024,6,"Angola","ANG","AGO",114,"Luxembourg","LUX","LUX",6,10,"0","-","0","0","0"
1,"7V5oLw",1,60,2025,6,"Angola","ANG","AGO",114,"Luxembourg","LUX","LUX",6,10,"0","-","0","0","0"
1,"7V5oLw",1,61,2013,8,"Egypt","ARE","EGY",114,"Luxembourg","LUX","LUX","0",5,"0","-","0","0","0"
1,"7V5oLw",1,62,2014,8,"Egypt","ARE","EGY",114,"Luxembourg","LUX","LUX",5,5,"0","-","0","0","0"
1,"7V5oLw",1,63,2015,8,"Egypt","ARE","EGY",114,"Luxembourg","LUX","LUX",5,5,"0","-","0","0","0"
1,"7V5oLw",1,64,2016,8,"Egypt","ARE","EGY",114,"Luxembourg","LUX","LUX",5,5,"0","-","0","0","0"
1,"7V5oLw",1,65,2017,8,"Egypt","ARE","EGY",114,"Luxembourg","LUX","LUX",5,10,"0","-","0","0","0"
1,"7V5oLw",1,66,2018,8,"Egypt","ARE","EGY",114,"Luxembourg","LUX","LUX",5,10,"0","-","0","0","0"
1,"7V5oLw",1,67,2019,8,"Egypt","ARE","EGY",114,"Luxembourg","LUX","LUX",5,5,"0","-","0","0","0"
1,"7V5oLw",1,68,2021,8,"Egypt","ARE","EGY",114,"Luxembourg","LUX","LUX","0",5,"0","-","0","0","0"
1,"7V5oLw",1,69,2022,8,"Egypt","ARE","EGY",114,"Luxembourg","LUX","LUX",8,5,"0","-","0","0","0"
1,"7V5oLw",1,70,2023,8,"Egypt","ARE","EGY",114,"Luxembourg","LUX","LUX",8,10,"0","-","0","0","0"
1,"7V5oLw",1,71,2024,8,"Egypt","ARE","EGY",114,"Luxembourg","LUX","LUX",6,15,"0","-","0","0","0"
1,"7V5oLw",1,72,2025,8,"Egypt","ARE","EGY",114,"Luxembourg","LUX","LUX",5,15,"0","-","0","0","0"
1,"7V5oLw",1,73,2024,9,"Argentina","ARG","ARG",114,"Luxembourg","LUX","LUX","0",5,"0","-","0","0","0"
1,"7V5oLw",1,74,2025,9,"Argentina","ARG","ARG",114,"Luxembourg","LUX","LUX","0",5,"0","-","0","0","0"
1,"7V5oLw",1,75,2013,10,"Armenia","ARM","ARM",114,"Luxembourg","LUX","LUX","0",6,"0","-","0","0","0"
1,"7V5oLw",1,76,2014,10,"Armenia","ARM","ARM",114,"Luxembourg","LUX","LUX","0",5,"0","-","0","0","0"
1,"7V5oLw",1,77,2015,10,"Armenia","ARM","ARM",114,"Luxembourg","LUX","LUX","0",5,"0","-","0","0","0"
1,"7V5oLw",1,78,2016,10,"Armenia","ARM","ARM",114,"Luxembourg","LUX","LUX",6,"0","0","-","0","0","0"
1,"7V5oLw",1,79,2017,10,"Armenia","ARM","ARM",114,"Luxembourg","LUX","LUX",6,"0","0","-","0","0","0"
1,"7V5oLw",1,80,2018,10,"Armenia","ARM","ARM",114,"Luxembourg","LUX","LUX",6,"0","0","-","0","0","0"
1,"7V5oLw",1,81,2019,10,"Armenia","ARM","ARM",114,"Luxembourg","LUX","LUX",6,"0","0","-","0","0","0"
1,"7V5oLw",1,82,2020,10,"Armenia","ARM","ARM",114,"Luxembourg","LUX","LUX",5,"0","0","-","0","0","0"
1,"7V5oLw",1,83,2021,10,"Armenia","ARM","ARM",114,"Luxembourg","LUX","LUX",5,"0","0","-","0","0","0"
1,"7V5oLw",1,84,2022,10,"Armenia","ARM","ARM",114,"Luxembourg","LUX","LUX",10,"0","0","-","0","0","0"
1,"7V5oLw",1,85,2023,10,"Armenia","ARM","ARM",114,"Luxembourg","LUX","LUX",10,5,"0","-","0","0","0"
1,"7V5oLw",1,86,2024,10,"Armenia","ARM","ARM",114,"Luxembourg","LUX","LUX",15,5,"0","-","0","0","0"
1,"7V5oLw",1,87,2025,10,"Armenia","ARM","ARM",114,"Luxembourg","LUX","LUX",20,5,"0","-","0","0","0"
1,"7V5oLw",1,88,2009,13,"Azerbaijan","AZE","AZE",114,"Luxembourg","LUX","LUX","0",10,"0","-","0","0","0"
1,"7V5oLw",1,89,2010,13,"Azerbaijan","AZE","AZE",114,"Luxembourg","LUX","LUX","0",5,"0","-","0","0","0"
1,"7V5oLw",1,90,2013,13,"Azerbaijan","AZE","AZE",114,"Luxembourg","LUX","LUX",12,12,"0","-","0","0","0"
1,"7V5oLw",1,91,2014,13,"Azerbaijan","AZE","AZE",114,"Luxembourg","LUX","LUX",14,14,"0","-","0","0","0"
1,"7V5oLw",1,92,2015,13,"Azerbaijan","AZE","AZE",114,"Luxembourg","LUX","LUX",14,10,"0","-","0","0","0"
1,"7V5oLw",1,93,2016,13,"Azerbaijan","AZE","AZE",114,"Luxembourg","LUX","LUX",15,5,"0","-","0","0","0"
1,"7V5oLw",1,94,2017,13,"Azerbaijan","AZE","AZE",114,"Luxembourg","LUX","LUX",15,5,"0","-","0","0","0"
1,"7V5oLw",1,95,2018,13,"Azerbaijan","AZE","AZE",114,"Luxembourg","LUX","LUX",15,"0","0","-","0","0","0"
1,"7V5oLw",1,96,2019,13,"Azerbaijan","AZE","AZE",114,"Luxembourg","LUX","LUX",15,"0","0","-","0","0","0"
1,"7V5oLw",1,97,2020,13,"Azerbaijan","AZE","AZE",114,"Luxembourg","LUX","LUX",13,"0","0","-","0","0","0"
1,"7V5oLw",1,98,2021,13,"Azerbaijan","AZE","AZE",114,"Luxembourg","LUX","LUX",13,"0","0","-","0","0","0"
1,"7V5oLw",1,99,2022,13,"Azerbaijan","AZE","AZE",114,"Luxembourg","LUX","LUX",18,"0","0","-","0","0","0"
1,"7V5oLw",1,100,2023,13,"Azerbaijan","AZE","AZE",114,"Luxembourg","LUX","LUX",18,"0","0","-","0","0","0"
1,"7V5oLw",1,101,2024,13,"Azerbaijan","AZE","AZE",114,"Luxembourg","LUX","LUX",12,"0","0","-","0","0","0"
1,"7V5oLw",1,102,2025,13,"Azerbaijan","AZE","AZE",114,"Luxembourg","LUX","LUX",14,5,"0","-","0","0","0"
1,"7V5oLw",1,103,2009,16,"Burundi","BDI","BDI",114,"Luxembourg","LUX","LUX","0",7,"0","-","0","0","0"
1,"7V5oLw",1,104,2010,16,"Burundi","BDI","BDI",114,"Luxembourg","LUX","LUX","0",6,"0","-","0","0","0"
1,"7V5oLw",1,105,2013,16,"Burundi","BDI","BDI",114,"Luxembourg","LUX","LUX","0",5,"0","-","0","0","0"
1,"7V5oLw",1,106,2014,16,"Burundi","BDI","BDI",114,"Luxembourg","LUX","LUX","0",5,"0","-","0","0","0"
1,"7V5oLw",1,107,2015,16,"Burundi","BDI","BDI",114,"Luxembourg","LUX","LUX","0",5,"0","-","0","0","0"
1,"7V5oLw",1,108,2020,16,"Burundi","BDI","BDI",114,"Luxembourg","LUX","LUX",5,"0","0","-","0","0","0"
1,"7V5oLw",1,109,2021,16,"Burundi","BDI","BDI",114,"Luxembourg","LUX","LUX",5,"0","0","-","0","0","0"
