"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","idps","oip","stateless","hst","ooc"
1,"7fEUM5",1,1,2016,2,"Afghanistan","AFG","AFG",117,"Madagascar","MAD","MDG","0",5,"0","-","0","0","0"
1,"7fEUM5",1,2,2017,2,"Afghanistan","AFG","AFG",117,"Madagascar","MAD","MDG",5,"0","0","-","0","0","0"
1,"7fEUM5",1,3,2018,2,"Afghanistan","AFG","AFG",117,"Madagascar","MAD","MDG",5,"0","0","-","0","0","0"
1,"7fEUM5",1,4,2019,2,"Afghanistan","AFG","AFG",117,"Madagascar","MAD","MDG",10,10,"0","-","0","0","0"
1,"7fEUM5",1,5,2020,2,"Afghanistan","AFG","AFG",117,"Madagascar","MAD","MDG",10,9,"0","-","0","0","0"
1,"7fEUM5",1,6,2021,2,"Afghanistan","AFG","AFG",117,"Madagascar","MAD","MDG",20,"0","0","-","0","0","0"
1,"7fEUM5",1,7,2022,2,"Afghanistan","AFG","AFG",117,"Madagascar","MAD","MDG",16,"0","0","-","0","0","0"
1,"7fEUM5",1,8,2023,2,"Afghanistan","AFG","AFG",117,"Madagascar","MAD","MDG",5,"0","0","-","0","0","0"
1,"7fEUM5",1,9,2000,16,"Burundi","BDI","BDI",117,"Madagascar","MAD","MDG",14,"0","0","-","0","0","0"
1,"7fEUM5",1,10,2019,16,"Burundi","BDI","BDI",117,"Madagascar","MAD","MDG",5,"0","0","-","0","0","0"
1,"7fEUM5",1,11,2020,16,"Burundi","BDI","BDI",117,"Madagascar","MAD","MDG",5,"0","0","-","0","0","0"
1,"7fEUM5",1,12,2021,16,"Burundi","BDI","BDI",117,"Madagascar","MAD","MDG",5,"0","0","-","0","0","0"
1,"7fEUM5",1,13,2001,40,"Congo","COB","COG",117,"Madagascar","MAD","MDG",6,"0","0","-","0","0","0"
1,"7fEUM5",1,14,2020,40,"Congo","COB","COG",117,"Madagascar","MAD","MDG","0",5,"0","-","0","0","0"
1,"7fEUM5",1,15,2021,40,"Congo","COB","COG",117,"Madagascar","MAD","MDG","0",5,"0","-","0","0","0"
1,"7fEUM5",1,16,2000,41,"Dem. Rep. of the Congo","COD","COD",117,"Madagascar","MAD","MDG",9,"0","0","-","0","0","0"
1,"7fEUM5",1,17,2001,41,"Dem. Rep. of the Congo","COD","COD",117,"Madagascar","MAD","MDG",13,"0","0","-","0","0","0"
1,"7fEUM5",1,18,2016,41,"Dem. Rep. of the Congo","COD","COD",117,"Madagascar","MAD","MDG","0",5,"0","-","0","0","0"
1,"7fEUM5",1,19,2017,41,"Dem. Rep. of the Congo","COD","COD",117,"Madagascar","MAD","MDG","0",9,"0","-","0","0","0"
