"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","idps","oip","stateless","hst","ooc"
1,"ZX8GdM",1,1,2016,2,"Afghanistan","AFG","AFG",119,"Mauritania","MAU","MRT","0",7,"0","-","0","0","0"
1,"ZX8GdM",1,2,2017,2,"Afghanistan","AFG","AFG",119,"Mauritania","MAU","MRT","0",7,"0","-","0","0","0"
1,"ZX8GdM",1,3,2018,2,"Afghanistan","AFG","AFG",119,"Mauritania","MAU","MRT","0",8,"0","-","0","0","0"
1,"ZX8GdM",1,4,2017,4,"Algeria","ALG","DZA",119,"Mauritania","MAU","MRT","0",13,"0","-","0","0","0"
1,"ZX8GdM",1,5,2018,4,"Algeria","ALG","DZA",119,"Mauritania","MAU","MRT","0",5,"0","-","0","0","0"
1,"ZX8GdM",1,6,2017,8,"Egypt","ARE","EGY",119,"Mauritania","MAU","MRT","0",5,"0","-","0","0","0"
1,"ZX8GdM",1,7,2012,16,"Burundi","BDI","BDI",119,"Mauritania","MAU","MRT","0",6,"0","-","0","0","0"
1,"ZX8GdM",1,8,2013,16,"Burundi","BDI","BDI",119,"Mauritania","MAU","MRT","0",5,"0","-","0","0","0"
1,"ZX8GdM",1,9,2016,16,"Burundi","BDI","BDI",119,"Mauritania","MAU","MRT",5,"0","0","-","0","0","0"
1,"ZX8GdM",1,10,2017,16,"Burundi","BDI","BDI",119,"Mauritania","MAU","MRT",5,"0","0","-","0","0","0"
1,"ZX8GdM",1,11,2024,16,"Burundi","BDI","BDI",119,"Mauritania","MAU","MRT","0",5,"0","-","0","0","0"
1,"ZX8GdM",1,12,2025,16,"Burundi","BDI","BDI",119,"Mauritania","MAU","MRT","0",5,"0","-","0","0","0"
1,"ZX8GdM",1,13,2012,18,"Benin","BEN","BEN",119,"Mauritania","MAU","MRT","0",5,"0","-","0","0","0"
1,"ZX8GdM",1,14,2017,18,"Benin","BEN","BEN",119,"Mauritania","MAU","MRT","0",6,"0","-","0","0","0"
1,"ZX8GdM",1,15,2018,18,"Benin","BEN","BEN",119,"Mauritania","MAU","MRT","0",5,"0","-","0","0","0"
1,"ZX8GdM",1,16,2019,18,"Benin","BEN","BEN",119,"Mauritania","MAU","MRT","0",6,"0","-","0","0","0"
1,"ZX8GdM",1,17,2020,18,"Benin","BEN","BEN",119,"Mauritania","MAU","MRT","0",5,"0","-","0","0","0"
1,"ZX8GdM",1,18,2021,18,"Benin","BEN","BEN",119,"Mauritania","MAU","MRT","0",10,"0","-","0","0","0"
1,"ZX8GdM",1,19,2022,18,"Benin","BEN","BEN",119,"Mauritania","MAU","MRT","0",10,"0","-","0","0","0"
1,"ZX8GdM",1,20,2023,18,"Benin","BEN","BEN",119,"Mauritania","MAU","MRT","0",12,"0","-","0","0","0"
1,"ZX8GdM",1,21,2024,18,"Benin","BEN","BEN",119,"Mauritania","MAU","MRT","0",23,"0","-","0","0","0"
1,"ZX8GdM",1,22,2025,18,"Benin","BEN","BEN",119,"Mauritania","MAU","MRT","0",22,"0","-","0","0","0"
1,"ZX8GdM",1,23,2018,23,"Burkina Faso","BKF","BFA",119,"Mauritania","MAU","MRT","0",5,"0","-","0","0","0"
1,"ZX8GdM",1,24,2019,23,"Burkina Faso","BKF","BFA",119,"Mauritania","MAU","MRT","0",25,"0","-","0","0","0"
1,"ZX8GdM",1,25,2020,23,"Burkina Faso","BKF","BFA",119,"Mauritania","MAU","MRT",15,14,"0","-","0","0","0"
1,"ZX8GdM",1,26,2021,23,"Burkina Faso","BKF","BFA",119,"Mauritania","MAU","MRT",18,70,"0","-","0","0","0"
1,"ZX8GdM",1,27,2022,23,"Burkina Faso","BKF","BFA",119,"Mauritania","MAU","MRT",23,110,"0","-","0","0","0"
1,"ZX8GdM",1,28,2023,23,"Burkina Faso","BKF","BFA",119,"Mauritania","MAU","MRT",40,105,"0","-","0","0","0"
1,"ZX8GdM",1,29,2024,23,"Burkina Faso","BKF","BFA",119,"Mauritania","MAU","MRT",49,97,"0","-","0","0","0"
1,"ZX8GdM",1,30,2025,23,"Burkina Faso","BKF","BFA",119,"Mauritania","MAU","MRT",65,71,"0","-","0","0","0"
1,"ZX8GdM",1,31,2005,34,"Central African Rep.","CAR","CAF",119,"Mauritania","MAU","MRT",9,"0","0","-","0","0","0"
1,"ZX8GdM",1,32,2006,34,"Central African Rep.","CAR","CAF",119,"Mauritania","MAU","MRT",10,"0","0","-","0","0","0"
1,"ZX8GdM",1,33,2007,34,"Central African Rep.","CAR","CAF",119,"Mauritania","MAU","MRT",11,"0","0","-","0","0","0"
1,"ZX8GdM",1,34,2008,34,"Central African Rep.","CAR","CAF",119,"Mauritania","MAU","MRT",11,"0","0","-","0","0","0"
1,"ZX8GdM",1,35,2009,34,"Central African Rep.","CAR","CAF",119,"Mauritania","MAU","MRT",12,"0","0","-","0","0","0"
1,"ZX8GdM",1,36,2010,34,"Central African Rep.","CAR","CAF",119,"Mauritania","MAU","MRT",12,5,"0","-","0","0","0"
1,"ZX8GdM",1,37,2013,34,"Central African Rep.","CAR","CAF",119,"Mauritania","MAU","MRT","0",28,"0","-","0","0","0"
1,"ZX8GdM",1,38,2014,34,"Central African Rep.","CAR","CAF",119,"Mauritania","MAU","MRT",217,98,"0","-","0","0","0"
1,"ZX8GdM",1,39,2015,34,"Central African Rep.","CAR","CAF",119,"Mauritania","MAU","MRT",410,47,"0","-","0","0","0"
