"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","idps","oip","stateless","hst","ooc"
1,"SpMGr1",1,1,2010,2,"Afghanistan","AFG","AFG",120,"North Macedonia","MCD","MKD","0",29,"0","-","0","0","0"
1,"SpMGr1",1,2,2011,2,"Afghanistan","AFG","AFG",120,"North Macedonia","MCD","MKD","0",207,"0","-","0","0","0"
1,"SpMGr1",1,3,2012,2,"Afghanistan","AFG","AFG",120,"North Macedonia","MCD","MKD","0",216,"0","-","0","0","0"
1,"SpMGr1",1,4,2013,2,"Afghanistan","AFG","AFG",120,"North Macedonia","MCD","MKD","0",361,"0","-","0","0","0"
1,"SpMGr1",1,5,2014,2,"Afghanistan","AFG","AFG",120,"North Macedonia","MCD","MKD","0",558,"0","-","0","0","0"
1,"SpMGr1",1,6,2016,2,"Afghanistan","AFG","AFG",120,"North Macedonia","MCD","MKD",5,"0","0","-","0","0","0"
1,"SpMGr1",1,7,2017,2,"Afghanistan","AFG","AFG",120,"North Macedonia","MCD","MKD",5,"0","0","-","0","0","0"
1,"SpMGr1",1,8,2018,2,"Afghanistan","AFG","AFG",120,"North Macedonia","MCD","MKD",5,"0","0","-","0","0","0"
1,"SpMGr1",1,9,2019,2,"Afghanistan","AFG","AFG",120,"North Macedonia","MCD","MKD",5,15,"0","-","0","0","0"
1,"SpMGr1",1,10,2020,2,"Afghanistan","AFG","AFG",120,"North Macedonia","MCD","MKD",6,6,"0","-","0","0","0"
1,"SpMGr1",1,11,2021,2,"Afghanistan","AFG","AFG",120,"North Macedonia","MCD","MKD",8,"0","0","-","0","0",5
1,"SpMGr1",1,12,2023,2,"Afghanistan","AFG","AFG",120,"North Macedonia","MCD","MKD","0",5,"0","-","0","0",9
1,"SpMGr1",1,13,2024,2,"Afghanistan","AFG","AFG",120,"North Macedonia","MCD","MKD","0","0","0","-","0","0",8
1,"SpMGr1",1,14,2025,2,"Afghanistan","AFG","AFG",120,"North Macedonia","MCD","MKD","0","0","0","-","0","0",599
1,"SpMGr1",1,15,1993,3,"Albania","ALB","ALB",120,"North Macedonia","MCD","MKD",240,"0","0","-","0","0","0"
1,"SpMGr1",1,16,1994,3,"Albania","ALB","ALB",120,"North Macedonia","MCD","MKD",98,"0","0","-","0","0","0"
1,"SpMGr1",1,17,2008,3,"Albania","ALB","ALB",120,"North Macedonia","MCD","MKD","0",5,"0","-","0","0","0"
1,"SpMGr1",1,18,2012,4,"Algeria","ALG","DZA",120,"North Macedonia","MCD","MKD","0",6,"0","-","0","0","0"
1,"SpMGr1",1,19,2013,4,"Algeria","ALG","DZA",120,"North Macedonia","MCD","MKD","0",35,"0","-","0","0","0"
1,"SpMGr1",1,20,2014,4,"Algeria","ALG","DZA",120,"North Macedonia","MCD","MKD","0",10,"0","-","0","0","0"
1,"SpMGr1",1,21,2017,4,"Algeria","ALG","DZA",120,"North Macedonia","MCD","MKD","0",5,"0","-","0","0","0"
1,"SpMGr1",1,22,2019,4,"Algeria","ALG","DZA",120,"North Macedonia","MCD","MKD","0",7,"0","-","0","0","0"
1,"SpMGr1",1,23,2023,4,"Algeria","ALG","DZA",120,"North Macedonia","MCD","MKD","0",5,"0","-","0","0","0"
