"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"JVz1go",1,1,2021,92,"Iraq","IRQ","IRQ",121,"Monaco","MCO","MCO",5,"0","0","0","0","0","0","-","-"
1,"JVz1go",1,2,2022,92,"Iraq","IRQ","IRQ",121,"Monaco","MCO","MCO",5,"0","0","0","0","0","0","-","0"
1,"JVz1go",1,3,2023,92,"Iraq","IRQ","IRQ",121,"Monaco","MCO","MCO",5,"0","0","0","0","0","0","-","0"
1,"JVz1go",1,4,2021,174,"Viet Nam","SRV","VNM",121,"Monaco","MCO","MCO",7,"0","0","0","0","0","0","-","-"
1,"JVz1go",1,5,2022,174,"Viet Nam","SRV","VNM",121,"Monaco","MCO","MCO",7,"0","0","0","0","0","0","-","0"
1,"JVz1go",1,6,2023,174,"Viet Nam","SRV","VNM",121,"Monaco","MCO","MCO",7,"0","0","0","0","0","0","-","0"
1,"JVz1go",1,7,2021,185,"Syrian Arab Rep.","SYR","SYR",121,"Monaco","MCO","MCO",5,"0","0","0","0","0","0","-","-"
1,"JVz1go",1,8,2022,185,"Syrian Arab Rep.","SYR","SYR",121,"Monaco","MCO","MCO",5,"0","0","0","0","0","0","-","0"
1,"JVz1go",1,9,2023,185,"Syrian Arab Rep.","SYR","SYR",121,"Monaco","MCO","MCO",5,"0","0","0","0","0","0","-","0"
1,"JVz1go",1,10,2011,262,"Unknown ","UKN","UNK",121,"Monaco","MCO","MCO",37,"0","0","0","0","0","0","-","-"
1,"JVz1go",1,11,2012,262,"Unknown ","UKN","UNK",121,"Monaco","MCO","MCO",37,"0","0","0","0","0","0","-","-"
1,"JVz1go",1,12,2013,262,"Unknown ","UKN","UNK",121,"Monaco","MCO","MCO",34,"0","0","0","0","0","0","-","-"
1,"JVz1go",1,13,2014,262,"Unknown ","UKN","UNK",121,"Monaco","MCO","MCO",33,"0","0","0","0","0","0","-","-"
1,"JVz1go",1,14,2015,262,"Unknown ","UKN","UNK",121,"Monaco","MCO","MCO",32,"0","0","0","0","0","0","-","-"
1,"JVz1go",1,15,2016,262,"Unknown ","UKN","UNK",121,"Monaco","MCO","MCO",27,"0","0","0","0","0","0","-","-"
1,"JVz1go",1,16,2017,262,"Unknown ","UKN","UNK",121,"Monaco","MCO","MCO",25,"0","0","0","0","0","0","-","-"
1,"JVz1go",1,17,2018,262,"Unknown ","UKN","UNK",121,"Monaco","MCO","MCO",25,"0","0","0","0","0","0","-","-"
1,"JVz1go",1,18,2019,262,"Unknown ","UKN","UNK",121,"Monaco","MCO","MCO",22,"0","0","0","0","0","0","-","-"
1,"JVz1go",1,19,2020,262,"Unknown ","UKN","UNK",121,"Monaco","MCO","MCO",22,"0","0","0","0","0","0","-","-"
